,Link,Date Time,Category,Title,Content
0,https://radarbromo.jawapos.com/probolinggo/30/12/2020/istri-yang-kecelakaan-di-sumber-bersama-suami-dan-anaknya-meninggal,"Wednesday, 30 December 2020",PROBOLINGGO,Istri yang Kecelakaan di Sumber Bersama Suami dan Anaknya Meninggal,"SUMBER, Radar Bromo- Insiden kecelakaan yang dialami satu keluarga asal Kelurahan Jati, Kecamatan Mayangan, Kota Probolinggo di Sumber, akhirnya merenggut nyawa. Dari tiga korban, satu diantaranya Dewi Nuke Mayasari, 28, meninggal dunia. Dewi meninggal meski sempat mendapat perawatan di RSUD dr Moh Saleh.
Kapolsek Sumber Iptu Sono saat dikonfirmasi, membenarkan satu korban kecelakaan yang dialami satu keluarga, meninggal dunia. Korban yang awalnya dibawa ke Puskesmas Sumber, harus dirujuk ke RSUD dr. Moh Saleh Kota Probolinggo, akibat luka cukup parah.
“Betul, MD (meninggal dunia, Red) di RSU setelah dirawat. Korban meninggal Selasa sekitar pukul 21.00, saat ditangani medis di RSUD, tidak dapat diselamatkan,” beber Iptu Sono.
Insiden kecelakaan itu terjadi Selasa (29/12) sore. Saat itu Ramadhan Budi, 25, hendak pulang ke rumahnya di Kelurahan Jati, Kecamatan Mayangan. Mereka motor matic bernopol N 6347 ST, dan moor dikemudikan Ramadhan Budi.
Nah saat melaju di jalan turunan, motor mengalami rem blong. Rem motor matic tidak berfungsi alias blong. Akhirnya, Budi yang mengemudikan motor, memilih untuk membelokkan motornya dan masuk ke pekarangan warga.
Celakanya, ketiga korban terjatuh ke dalam pekarangan, yang tingginya sekitar 5 meter dari jalan. Alhasil, Budi mengalami luka patah jari kelingking tangan sebelah kanan, luka robek di tulang kering bawah lutut kaki sebelah kanan, dan memar di punggung. Akbar anaknya, alami memar di dahi.
Sedangkan korban Dewi luka robek kaki sebelah kanan, luka robek di pelipis mata sebelah kiri. Dewi harus dirujuk ke RSUD Moch. Soleh Kota Probolinggo.Namun akhirnya Dewi meregangnyawa. (mas/fun)"
1,https://radarbromo.jawapos.com/kraksaan/29/12/2020/11-bulan-ada-488-kecelakaan-yang-tewaskan-65-nyawa-di-jalan-raya,"Tuesday, 29 December 2020",KRAKSAAN,11 Bulan Ada 488 Kecelakaan yang Tewaskan 65 Nyawa di Jalan Raya,"KRAKSAAN, Radar Bromo – Jumlah insiden kecelakaan yang ditangani Polres Probolinggo selama Januari-November di tahun 2020. Selama 11 bulan, Satlantas Polres Probolinggo mencatat, ada 448 insiden kecelakaan di wilayah hukumnya. Dari jumlah 448 insiden, 65 korban di antaranya meninggal dunia.
Jika dirinci korban kecelakaan mencapai sekitar 540 orang. Korban kecelakaan paling banyak menderita luka ringan.
Kanitlaka Satlantas Polres Probolinggo Iptu Nyoman Harayasa mengatakan, insiden kecelakaan lalu lintas tersebut terjadi di sepanjang ruas jalan Kabupaten Probolinggo, khususnya yang ditangani Polres Probolinggo. “Kejadiannya hampir mencapai 500 laka lantas. Ratusan kejadian tersebut juga sama halnya dengan korban yang mengalami kecelakaan. Jumlahnya lebih tinggi dari pada kejadiannya. Sebab di antara kejadian, ada kendaraan yang dikendarai lebih dari satu orang,” ujarnya.
Harayasa menyebutkan, stiap bulan insiden kecelakaan memang mengalami naik turun. Sementara itu, pada ratusan kejadian tersebut, kendaraan yang terlibat laka lantas sendiri didominasi oleh kendaraan roda dua. Faktornya, lanjut Harayasa, ada dua. Yang pertama adalah disebabkan cuaca dan human error.
Harayasa menjelaskan, saat cuaca buruk kejadian kecelakaan rentan terjadi lantaran dapat menggangu konsentrasi para pengendara. Misal ada pada jarak pandang. Sedang pada kondisi para pengendara, lanjut dia, dalam kondisi kurang baik juga dapat memunculkan risiko kecelakaan.
Seperti saat hujan kondisi jalan licin dan jarak pandang terbatas. Lebih baik berhenti dan menunggu hujan selesai. Sedangkan saat kondisi berkendara seperti malam hari dan dalam keadaan mengantuk juga bisa berhenti untuk sitirahat. Hal itu dilakukan guna mengurangi risiko terjadinya kecelakaan.
“Untuk jenis kendaraan yang terlibat kecelakaan, mulai dari motor, minibus, pikap, hingga truk. Selain itu pada jenis profesi korban juga berbeda-beda. Selain itu, jenis pada profesi korban juga berbeda. Di antaranya dari karyawan swasta, pelajar, Polri 1, dan masih banyak yang lain. Sementara itu pada usia korban sendiri dimulai dari 36-55, usia 26-35 dan usia Remaja 18-25,” ujarnya.
Dengan adanya beberapa faktor tersebut, Harayasa mengingatkan, agar para pengendara agar dapat lebih hati-hati dan menyiapkan segala sesuatunya saat sebelum berkendara. “Keamanan dan mengecek kendaraan saat sebelum berkendara sangatlah penting, dan harus dilakukan,” ujarnya. (mu/fun)"
2,https://radarbromo.jawapos.com/pasuruan/17/12/2020/sopir-truk-tewaskan-3-pemotor-di-kecelakaan-kersikan-jadi-tersangka,"Thursday, 17 December 2020",PASURUAN,Sopir Truk Tewaskan 3 Pemotor di Kecelakaan Kersikan Jadi Tersangka,"GONDANGWETAN, Radar Bromo – Satlantas Polres Pasuruan Kota menetapkan sopir truk sebagai tersangka dalam kecelakaan yang menewaskan tiga korban, Selasa (15/12). Polisi menilai, kejadian itu murni kesalahan sopir.
Kasat Lantas Polres Pasuruan Kota AKP Yudiyono mengatakan, pihaknya menetapkan sopir truk, Antok Sudrajad, 22, warga Desa Panditan, Kecamatan Lumbang, Kabupaten Pasuruan, sebagai tersangka. Ia dinilai lalai mengemudikan truk, hingga menyebabkan kecelakaan di Jalan Raya Bromo, Desa Karang Sentul, Kecamatan Gondang Wetan, Kabupaten Pasuruan.
“Kecelakaan itu murni kesalahan sopir. Saat hujan masih berkendara dengan kecepatan tinggi. Karena itu, saat ngerem sampai oleng,” katanya.
Dalam kasus itu, pihaknya telah memeriksa beberapa saksi. Tujuannya tak lain untuk melengkapi berkas penyidikan. Selain itu, pihaknya juga sudah melakukan olah tempat kejadian perkara (TKP).
“Ada beberapa orang yang kami periksa sebagai saksi. Sopir, juga warga yang diduga mengetahui secara langsung kejadian itu,” lanjutnya.
Seperti diberitakan sebelumnya, kecelakaan maut terjadi Selasa (15/12) pukul 13.10 di Jalan Raya Bromo, Desa Karangsentul, Kecamatan Gondangwetan. Saat hujan lebat, truk yang dikemudikan tersangka selip dan menabrak dua motor dari arah berlawanan.
Akibatnya, tiga orang pengendara motor tewas. Yaitu, Erik Yopi Candra, 24, warga Desa Sukowilangun, Kecamatan Kalipare, Kabupaten Malang; Purwito, 36, warga Randusari, Kecamatan Gadingrejo, Kota Pasuruan dan Sahroni, 22, warga Kecamatan Gondangwetan, Kabupaten Pasuruan.
Erik Yopi Candra mengendarai motor Suzuki Shogun bernopol N 6367 XK berboncengan dengan Purwito. Sementara Sahroni mengendarai motor Honda Supra bernopol W 3556 YR. (sid/hn/fun)"
3,https://radarbromo.jawapos.com/pasuruan/13/12/2020/terlibat-kecelakaan-tiga-kendaraan-pemotor-asal-pohjentrek-tewas,"Sunday, 13 December 2020",PASURUAN,"Terlibat Kecelakaan Tiga Kendaraan, Pemotor asal Pohjentrek Tewas","KEJAYAN, Radar Bromo – Tabrakan antara dua motor dan sebuah mobil Avanza terjadi di Kecamatan Kejayan, Kabupaten Pasuruan. Akibatnya, Saifullah, 24, warga Desa Susukanrejo, Kecamatan Pohjentrek, Kabupaten Pasuruan, meninggal dunia.
Insiden itu terjadi Sabtu (12/12), di jalan jurusan Pasuruan-Malang di Desa Kurung, Kecamatan Kejayan. Saat itu sekitar pukul 21.00, korban mengendarai motor Suzuki Satria Fu Nopol M 2165 HF. Korban melaju dari arah timur.
Di saat yang sama, melaju motor Yamaha Vega Nopol N 3696 TAS yang dikendarai Wahyu Pratama, 16, asal Desa Sladi, Kejayan. Wahyu melaju dari arah berlawanan, yaitu dari arah barat.
Wahyu lantas membelokkan motornya ke kanan. Saat akan berbelok itulah, diduga dia kurang memperhatikan arus lalu lintas dari arah Timur.
“Maka, kecelakaan pun tidak bisa dihindarkan. Korban tertabrak motor Wahyu,” terang Kapos Lantas Kejayan Aiptu Suwandi.
Bahkan, tabrakan itu tak hanya melibatkan dua motor. Melainkan juga mobil Toyota Avanza Nopol N 1408 SC yang dikemudikan Budi Setyo, 22. Namun Budi tak mengalami luka.
Hanya Wahyu yang terluka pada kaki dan tangan kirinya. Dia kemudian dibawa ke RSUD dr R Soedarsono Kota Pasuruan untuk diberikan penanganan medis. Sementara, korban meninggal akibat kecelakaan tersebut. Dia terluka pada kepala belakang, pelipis kiri dan paha.
“Korban meninggal di TKP dan dibawa ke RSUD untuk divisum,” terang Suwandi.
Untuk sementara, polisi mengamankan tiga kendaraan yang terlibat kecelakaan itu sebagai barang bukti. Suwandi mengaku tengah melakukan penyelidikan terkait kasus itu. Pihaknya akan mendalami keterangan saksi dengan diperkuat hasil olah TKP yang telah dilakukan. (tom/hn)"
4,https://radarbromo.jawapos.com/kraksaan/30/11/2020/sebulan-polres-probolinggo-tangani-35-kecelakaan-3-meninggal,"Monday, 30 November 2020",KRAKSAAN,"Sebulan, Polres Probolinggo Tangani 35 Kecelakaan, 3 Meninggal","DRINGU, Radar Bromo – Kecelakaan di wilayah hukum Polres Probolinggo, bulan November ini cukup tinggi. Bulan kemarin, hanya ada 29 kejadian. Namun, bulan ini ada 35 kecelakaan.
Kanit Laka Satlantas Polres Probolinggo Iptu Nyoman Harayasa mengatakan, selama dua bulan ini jenis kendaraan yang terlibat kecelakaan, di ataranya ada 9 truk, 11 mobil penumpang umum, 6 pokap, dan 74 sepeda motor.
Bulan kemarin ada 3 korban meninggal dunia, 37 luka ringan. Bukan ini, ada 7 orang meninggal dunia dan 39 luka ringan. “Penyebab utamanya faktor human error dan cuaca,” ujarnya, Jumat (27/11) lalu.
Di samping itu, ia meyebutkan waktu kejadian kecelakaan paling banyak saat pagi hari, dengan jumlah 31 kasus. Diikuti siang 21 kasus dan malam 12 kejadian. Sedangkan, posisi kecelakaannya juga memiliki jumlah berbeda. Tabrak belakang 9 kasus, depan 9 kasus, samping 28 kasus, hilang kemudi 12 kasus, tabrak manusia 4 kasus, dan tabrak lari 2 kejadian. “Untuk kerugian materi pada dua bulan; Oktober sekitar Rp 15 juta dan pada November Rp 39 juta,” ujarnya.
Nyoman mengatakan, profesi korban kecelakaan ini sangat beragam. Ada karyawan swasta 46 orang, pelajar 14 orang, anggota Polri 1 orang, dan lain-lain 21 orang. “Usia 36-55 yang terlibat kecelakaan jumlahnya 25 orang. Usia 26-35 tahun ada 19 orang; sedangkan usia remaja 18-25 tahun berjumlah 25 orang,” ujarnya. (mu/rud)"
5,https://radarbromo.jawapos.com/kraksaan/19/11/2020/kecelakaan-di-jakarta-jumanto-mantan-dprd-kab-probolinggo-meninggal,"Thursday, 19 November 2020",KRAKSAAN,"Kecelakaan di Jakarta, Jumanto Mantan DPRD Kab Probolinggo Meninggal","PAKUNIRAN, Radar Bromo –Mantan anggota DPRD Kabupaten Probolinggo, Jumanto, meninggal dunia. Dia meninggal di kawasan Kemang, Jakarta Selatan, Kamis (19/11) saat hendak menuju Bandara Soekarno Hatta.
Politisi senior yang juga aktivis kemanusiaan asal Desa Sogaan, Kecamatan Pakuniran, Kabupaten Probolinggo itu meninggal setelah mengalami kecelakaan tunggal, sekitar pukul 03.30. Jenazahnya disemayamkan di Instalasi Forensik dan Pemulasaraan Rumah Sakit (RS) Fatmawati, Jakarta Selatan, sekitar pukul 07.00.
Siang harinya, jenazah lelaki yang pernah mencalonkan sebagai bakal calon Bupati Probolinggo dari jalur independen itu lantas dipulangkan.
Jenazah sampai di rumah duka pada Kamis malam sekitar pukul 21.00 dan langsung dikebumikan.  “Keluarga yang menjemput jenazahnya ke Jakarta dan akan dikebumikan di Sogaan,” kata Camat Pakuniran Hari Pribadi.
Rois, saudara sepupu dari istri almarhum mengatakan, Jumanto tiba di Jakarta hari Rabu (18/11). Sebelumnya dia ada urusan di Talaud, Sulawesi Utara. Dia lantas berencana pulang ke Probolinggo.
Sebelum kecelakaan menurutnya, almarhum sempat menelepon istrinya, sekitar pukul 02.00. Jumanto mengabarkan hendak pulang ke Probolinggo.
“Sempat telepon istrinya. Pak Jumanto mengabarkan mau pulang. Dia juga bilang tidak enak badan dan mau beli obat,” ungkapnya.
Sekitar pukul 03.00, Jumanto dalam perjalanan pulang. Dia seorang diri mengemudi ke bandara. Padahal menurut Rois, biasanya ada temannya yang membantu mengemudikan mobil.
“Tidak tahu kenapa kok pas nyetir sendiri. Rencananya itu sudah mau pulang. Almarhum meninggalkan tiga anak. Yang paling besar akan menikah bulan depan,” tuturnya.
Umi Kulsum, salah seorang keluarga almarhum menambahkan, saat sampai di kawasan Kemang, ada kucing melintas di jalan raya. Jumanto pun berusaha menghindari kucing itu.
Namun, mobilnya kemudian menabrak pohon. “Bapak kecelakaan saat mengemudi sendirian. Lalu menabrak pohon setelah menghindari kucing yang menyeberang,” katanya. (sid/hn)"
6,https://radarbromo.jawapos.com/pandaan/27/10/2020/tiga-truk-terlibat-kecelakaan-karambol-di-pandaan-dua-sopir-terjepit,"Tuesday, 27 October 2020",PANDAAN,"Tiga Truk Terlibat Kecelakaan Karambol di Pandaan, Dua Sopir Terjepit","PANDAAN, Radar Bromo – Insiden kecelakaan karambol terjadi ruas jalan nasional jurusan Surabaya–Malang, Selasa (27/10). Tepatnya di simpang empat Wunut, Desa Sumberejo, Kecamatan Pandaan.
Informasinya, kecelakaan terjadi sekitar pukul 04.30. Kecelakaan melibatkan tiga truk. Masing-masing truk tronton muatan galon kosong Nopol S 9116 UR, truk engkel muatan tempolong beton Nopol N 9778 UG dan truk Nopol AG 8185 UW.
Kecelakaan di jalur tengkorak tersebut berawal saat tronton muatan galon kosong berjalan dari arah utara ke selatan. Tronton dikemudikan Risandi Riza Ahler, 28, asal Desa Dwikora, Kecamatan Bukit Kemuning, Kabupaten Lampung Utara.
Sesampai di lokasi kecelakaan, tiba-tiba tronton oleh ke kanan. Lalu naik ke median dan menabrak tiang bekas traffic light dan sebuah tiang PJU. Kepala dan separo body tronton lantas masuk ke jalur berlawanan.
PANJANG: Ruas jalan nasional macet panjang, imbas laka karambol di Wunut, Pandaan. (Foto: Rizal F. Syatori/Jawa Pos Radar Bromo)
Namun, di saat yang sama melintas truk engkel muatan tempolong beton dari arah selatan ke utara. Truk dikemudikan Muhammad Efendi, 31, warga Desa Sentul, Kecamatan Purwodadi, Kabupaten Pasuruan. Kecelakaan pun tidak bisa dihindari. Truk tronton bertabrakan dengan truk engkel. Saat itu juga, truk engkel terguling di badan jalan.
Kecelakaan tidak berhenti di situ. Saat truk engkel muat tempolong beton terguling, di belakangnya melaju truk tanpa muatan yang disopiri Tri Eka Saputra, 24, asal Desa Baturetno, Kecamatan Singgosari, Kabupaten Malang. Truk tanpa muatan pun langsung menabrak truk engkel yang terguling.
“Pemicu lakanya truk tronton dulu. Sopir tampak hilang kendali, naik median dan menabrak bekas traffic light dan tiang PJU. Setelah itu masuk jalur berlawanan, tertabrak truk muat tempolong beton yang seketika itu juga terguling. Lanjut tertabrak dari belakang truk tanpa muatan,” beber Khoirul, warga setempat yang saat itu berada di tepi jalan dan hendak berangkat kerja.
Sesaat setelah kecelakaan itu, sopir truk tanpa muatan Tri Eka Saputra dan sopir truk tronton Risandi, terjepit di ruang kemudinya. Dengan sigap, warga sekitar dan pengguna jalan langsung membantu kedua sopir keluar.
Mereka mencongkel pintu ruang kemudi dan berhasil mengeluarkan kedua sopir. Keduanya lantas dilarikan ke IGD RS Mitra Sehat Medika di Pandaan menggunakan mobil pikap patroli Unit Lantas Polsek Pandaan yang tiba di lokasi kejadian.
“Tiang PJU langsung roboh, sopir truk tanpa muatan dan sopir truk tronton sempat terjepit. Sementara sopir truk muatan tempolong beton bersama kernetnya yaitu, Efendi dan berhasil keluar dari ruang kemudi,” katanya.
Namun, Efendi dan kernetnya juga dibawa ke IGD RS Mitra Sehat Medika untuk pemeriksaan. Setelah para korban terevakuasi, satu persatu kendaraan yang terlibat kecelakaan dievakuasi menggunakan truk derek. Usai evakuasi, semua kendaraan diamankan ke Poslantas Polsek Pandaan.
“Dari empat orang, ada tiga orang yang mengalami luka-luka dan satu tidak. Penyebab laka lantasnya dalam proses lidik. Dugaan kuat sopir trontonnya mengantuk saat kemudikan kendaraannya,” ujar Kanit Lantas Polsek Pandaan Iptu Gatot Subroto. (zal/fun)"
7,https://radarbromo.jawapos.com/pandaan/21/10/2020/persimpangan-kasri-perlu-warning-lamp-untuk-minimalisir-kecelakaan,"Wednesday, 21 October 2020",PANDAAN,Persimpangan Kasri Perlu Warning Lamp untuk Minimalisir Kecelakaan,"PANDAAN, Radar Bromo – Arus lalu lintas di persimpangan Kasri, Kelurahan Petungasri, Kecamatan Pandaan, Kabupaten Pasuruan, semakin ramai. Terutama, ketika pagi dan malam. Karenanya, di persimpangan ini dinilai dibutuhkan rambu-rambu pendukung kelancaran arus lalu lintas.
“Untuk traffic light masih belum waktunya, tetapi kalau warning lamp sudah seharusnya ada. Karena kendaraan menyeberang ramai, minimal kendaraan dari utara atau dari Surabaya menuju Malang atau ke Prigen, lebih hati-hati,” ujar Kanit Lantas Polsek Pandaan, Iptu Gatot Subroto.
Menurutnya, adanya warning lamp ini menjadi sebuah kebutuhan. Karena, di sepanjang ruas jalan ini mulai dari Simpang Empat Patung Sapi, merupakan Kawasan Tertib Lalu Lintas (KTL).
“Paling tidak kendaraan dari utara yang biasanya melaju dengan kecepatan tinggi bisa mengurangi kecepatannya. Juga lebih berhati-hati karena tidak jarang terjadi kecelakaan lalu lintas,” ujarnya.
Terpisah, Kepala Dinas Perhubungan (Dishub) Kabupaten Pasuruan Agus Hariwibawa mengatakan, tahun ini pihaknya belum menambah memasang warning lamp di Persimpangan Kasri. Pihaknya masih perlu berkoordinasi dengan BPTD dan Dishub Pemprov Jawa Timur, karena jalan ini merupakan ruas jalan nasional.
“Biar diusulkan dulu oleh lurah dan camat melalui Musrenbang (Musyawarah Rencana Pembangunan). Supaya diusulkan pembangunan fisiknya pada tahun depan sekaligus realisasinya,” ujarnya. (zal/rud)"
8,https://radarbromo.jawapos.com/headlines/13/10/2020/kecelakaan-karambol-di-sentul-tewaskan-sertu-taufik,"Tuesday, 13 October 2020",HEADLINES,Kecelakaan Karambol di Sentul Tewaskan Sertu Taufik,"PURWODADI, Radar Bromo – Keangkeran jalur Purwodadi-Purwosari menjadi kawasan rawan kecelakaan (baca: black spot) memang belum sirna. Sudah beberapa kali kecelakaan lalu lintas terjadi di jalur yang masuk di Jalan raya Surabaya-Malang tersebut. Minggu (12/10) siang, insiden kecelakaan karambol yang melibatkan 3 kendaraan, terjadi di Jalan Sentul.
Insiden itu menewaskan Sertu Taufik Fitono, 41, seorang personel TNI AD yang seharinya berdinas di Koramil Sukobanah, Kodim Sampang. Dia tewas usai mobilnya tertabrak dump truck dan sempat terjepit di bagian dalam mobil. Selain Sertu Taufik, ada 3 orang yang mengalami luka-luka akibat insiden tersebut.
Informasi yang diperoleh Jawa Pos Radar Bromo, kecelakaan terjadi sekitar pukul 10.30. Berawal dari mobil sedan Toyota Corolla nopol AE 1396 KH yang dikendarai Sertu Taufik, melaju dari arah utara ke selatan atau dari Surabaya ke Malang. Sertu Taufik dikabarkan dari Sampang dan hendak ke Blimbing, Kota Malang, yang merupakan tempat tinggalnya sesuai yang tertera di kartu identitas.
NYEMPLUNG: Dump truck masuk ke sungai Juri usai bertabrakan dengan mobil. (Foto: Rizal F Syatori/Jawa Pos Radar Bromo)
  Sesampainya di ruas jalan Sentul, entah mengapa tiba-tiba mobil yang dikemudikannya tiba-tiba mengarah ke kanan dan naik median. Pembatas jalan setinggi antara 25-30 sentimeter itu, dia tabrak. Akibatnya, mobil sempat jumping kemudian masuk jalur berlawanan.
Hingga kemudian menabrak dump truck L 9343 GJ yang berjalan dari arah selatan ke utara atau dari arah Malang ke Surabaya. Dump truck ini dikemudikan Rokimin, 45, warga Desa Ngembal, Kecamatan Tutur.
Setelah tabrakan, mobil sedan berputar dan berhenti di bahu jalan dengan bodi menghadap ke utara. Sedangkan dump truck menyenggol motor Yamaha Lexi nopol N 6911 TDG yang berjalan searah. Motor tersebut dikendarai Lilik Erawati, 28. Dia membonceng ibunya yakni Aliyawati, 56. Keduanya merupakan warga Desa Sentul, Kecamatan Purwodadi.
Usai menyenggol motor, dump truck mengarah ke kiri dan menabrak guardrail. Selanjutnya nyemplung ke kali Juri sedalam 5 meter yang berada di tepi jalan. Sementara motor Lexi bersama pengendara dan penumpangnya yang dibonceng jatuh, di bahu jalan.
DIAMANKAN: Seluruh kendaraan termasuk motor yang terlibat kecelakaan, sudah diamankan polisi. (Foto: Rizal F Syatori/Jawa Pos Radar Bromo)
  “Mobil sedannya berjalan dari arah Surabaya ke Malang, di TKP mengarah ke kanan naik median dan masuk lajur berlawanan. Kemudian menabrak dump truck, sehingga bodinya memutar dan menepi di bahu jalan. Sedangkan dump truck-nya menyenggol motor yang berjalan searah, setelah itu nyemplung ke sungai,” jelas Kasat Lantas Polres Pasuruan AKP Andika M Lubis.
Sesaat setelah kejadian, para korbannya dievakuasi dan dilarikan ke IGD Puskesmas Purwodadi. Sopir sedan sempat terjepit bodi kendaraan, didapati tewas di lokasi kejadian. Ia mengalami pendarahan di mulut, juga patah dan robek pada tangan kiri.
Sedangkan untuk sopir dump truck selamat, walau kendaraannya nyempung ke kali Juri. Hanya saja sopir dump truck mengalami luka telinga kanan dan kiri lecet, serta telapak kaki kanan memar.
Adapun pengendara motornya, juga mengalami luka-luka. Nahasnya, salah satu korban pemotor yakni Lilik Erawati, dalam posisi hamil atau mengandung delapan bulan. Dia mengalami luka dahi robek, pelipis mata kanan robek dan kaki kiri lecet. Sedangkan ibunya yang dibonceng luka pelipis mata kanan lecet, mata kanan memar dan siku tangan kanan lecet.
“Sopir mobil sedannya meninggal di lokasi kejadian. Untuk tiga korban lainnya masing-masing sopir dump truck, pengendara dan penumpang motor semuanya selamat hanya luka-luka,” bebernya.
Sesaat setelah kejadian, ruas jalan dari arah Malang ke Surabaya sempat tersendat. Baik warga sekitar, juga pengguna jalan yang melintas berbondong berusaha melihat dari dekat di TKP.
Kemacetan pun terpecahkan, setelah kendaraan mobil sedan yang terlibat laka lantas ini berhasil dievakuasi sekitar pukul 12.30. Truk dievakuasi menggunakan truk derek milik PT. Jasamarga Pandaan Malang yang didatangkan petugas ke TKP. Untuk dump truck yang nyemplung kali Juri masih berada di dasar sungai, hingga berita ini ditulis. Baik mobil sedan, dump truck dan motor terlibat laka maut ini, semuanya mengalami kerugian materiil atau kerusakan.
“Penyebab laka lantasnya dipicu dari mobil sedan. Diduga sopirnya tengah letih atau ngantuk saat mengemudikan kendaraannya. Proses penyelidikan laka lantasnya, selanjutnya ditangani oleh Denpom karena menyangkut dan melibatkan anggota TNI,” tegasnya. (zal/fun)"
9,https://radarbromo.jawapos.com/pandaan/09/10/2020/korban-kecelakaan-ngadimulyo-tewas-usai-11-jam-kritis,"Friday, 9 October 2020",PANDAAN,Korban Kecelakaan Ngadimulyo Tewas usai 11 Jam Kritis,"SUKOREJO, Radar Bromo – Sempat dirawat di rumah sakit, Akhmadi 35, mengembuskan napas terakhir. Pemotor Honda Vario yang terlibat kecelakaan di ruas jalan Dusun Ngula’an, Desa Ngadimulyo, Kecamatan Sukorejo, pada Kamis (8/10) lalu itu, meninggal usai 11 jam mengalami kritis.
Warga Dusun Krangkong, Desa Ngadimulyo, Kecamatan Sukorejo, mengembuskan napas terakhir di RSUD Sidoarjo. Sebelumnya dia sempat dilarikan ke IGD RS. Sahabat, Suwayuwo, Sukorejo. Namun karena lukanya parah, dia dirujuk ke RSUD Sidoarjo.
“Kami dapat informasi dari pihak keluarga, pengendara motor Honda Vario (Akhmadi, Red) akhirnya meninggal dunia sekitar pukul 03.30 pagi. Karena luka dialaminya parah sekaligus kritis, dan kemudian meninggal jelang subuh di RSUD Sidoarjo,” ungkap Kaposlantas Sukorejo, Aiptu Abdillah Yakub.
Sementara itu, Wawan, korban lainnya atau pengendara motor Honda CB 100, masih hidup. Hingga kini masih mendapat perawatan. Wawan juga sama luka parahnya, yakni dahi dan pelipis mata kiri robek, tangan kanan dan kiri lecet. Adapun kedua motor yang terlibat kcelakaan, semuanya sudah berada dan diamankan di Poslantas Sukorejo.
“Dari hasil penyelidikan, posisi yang tidak menguntungkan adalah pengendara motor Honda CB 100 nya. Karena berjalan terlalu mengarah ke kanan, sehingga adu moncong dengan motor Honda Vario yang berjalan dari arah berlawanan. Kasusnya ditangani unit laka Satlantas Polres Pasuruan,” tukasnya.
Seperti diberitakan sebelumnya, dua pemotor mengalami kecelakaan, Kamis (8/10), sekitar pukul 15.30, di Desa Ngadimulyo, Kecamatan Sukorejo, Kabupaten Pasuruan. Saat itu, Wawan mengendarai sepeda motor Honda CB 100 bernopol W 4234 TD. Sedangkan, Akhmadi mengemudikan Honda Vario bernopol N 5047 TDA.
Saat itu Wawan hendak menyalip sebuah truk yang ada di depannya. Lantaran laju kendaraannya terlalu kencang, diduga dia tidak melihat ada motor Vario yang dikendarai Akhmadi, dari lawan arah. Hingga saat motor keduanya beradu moncong, Akhmadi dan Wawan sama-sama terpental. (zal/fun)"
