,Link,Date Time,Category,Title,Content
0,https://radargresik.jawapos.com/pojok-perkoro/08/10/2020/kecelakaan-malam-pegawai-mi-sedaap-siang-truk-box-terguling,8 October 2020 08:53 AM,POJOK PERKORO,"Kecelakaan, Malam Pegawai Mi Sedaap, Siang Truk Box Terguling","GRESIK – Sungguh tragis peristiwa yang menimpa Nurul Islamiah ,19, perempuan asal Desa Jogodalu RT 05 RW 01 Kecamatan Benjeng. Ia tewas mengenaskan terlindas dump truk di Jalan Raya Desa Sukomulyo, Kecamatan Manyar, Selasa (9/10) malam. Karyawati PT Karunia Alam Segar atau lebih dikenal produsen mie sedaap itu meregang nyawa setelah dirinya tidak mampu menghindar dari kecelakaan. Peristiwa nahas itu terjadi cukup singkat. Kejadian bermula ketika korban melintas sekira jam 20.15 wib. Kanit Laka Satlantas Polres Gresik Ipda Yossy Eka Prasetya mengungkapkan, korban mengendarai sepeda motor Honda beat W 6872 CS dari arah utara menuju selatan dan hendak berbelok ke kanan menuju ke barat. Namun korban tidak fokus dan kurang memerhatikan arah depan. “Saat bersamaan, melintas dari arah barat menuju timur dump truk nopol W 8016 UD yang dikendarai Pujiono ,39,warga asal Desa Tengger Kulon RT 10 RW 03, Kecamatan Bancar-Tuban. Korban tidak mengutamakan dump truk untuk melintas,” bebernya. Karena ruang gerak yang sempit dan tidak cukup waktu untuk membelokan setir motornya, benturan tak terhindarkan dan terjadilah kecelakaan. Korban meregang nyawa dengan mengenaskan. “Korban sempat terlindas dump truk dan meninggal dunia di TKP,” ungkapnya.   Warga sekitar dan pengguna jalan yang melintas pun dikejutkan dengan peristiwa tersebut. Dengan menggunakan kertas koran, mereka menutupi jasad korban yang masih tergeletak di tengah jalan dengan kondisi yang berlumuran darah. Petugas yang tiba di lokasi dengan dibantu warga langsung mengevakuasi jasad korban. Kemudian, membawanya ke RSUD Ibnu Sina. Keesokan harinya, giliran truk box mengalami kecelakaan tunggal di ruas tol Kebomas KM 12 tepat di bawah jembatan penyeberangan Desa Prambangan, Rabu (7/10). Diduga supir mengantuk yang mengakibatkan truk oleng hingga terbalik. Truk mengalami rusak parah di bagian depan. Kaca pecah dan ruang kemudi berantakan akibat benturan imbas dari kecelakaan tersebut. Yossy pun membenarkan kejadian tersebut. Namun, peristiwa itu tidak ditangani oleh pihaknya. “Ditangani pihak PJR. Tidak ada korban jiwa hanya kerugian materiil,” ujarnya. Salah seorang warga, Risky yang berada di sekitar lokasi mengatakan peristiwa tersebut kemungkinan disebabkan human eror. Sopir kemungkinan kelelahan dan menahan kantuk. “Kemungkinan diakibatkan sopir mengantuk dan terbalik,” pungkasnya.(yud/han)"
1,https://radargresik.jawapos.com/kota-gresik/18/03/2021/kurangi-laka-dishub-sediakan-angkutan-di-bawean,18 March 2021 06:52 AM,KOTA GRESIK,"Kurangi Laka, Dishub Sediakan Angkutan di Bawean","GRESIK – Semakin banyaknya masyarakat di Pulau Bawean yang memiliki kendaraan pribadi membuat angka kecelakaan meningkat. Untuk meminimalisir hal tersebut, Dinas Perhubungan (Dishub) Gresik berencana menyediakan angkutan umum. Rencana angkutan milik Damri tersebut mulai disosialisasikan kepada masyarakat April mendatang. “Kecelakaan di Bawean mulai lumayan banyak. Makanya kami sediakan angkutan agar masyarakat bisa memiliki pilihan moda transportasi,” ujar Kepala Bidang Angkutan Dishub Gresik Amri. Titik utama angkutan tersebut berada di Pelabuhan dan berjalan mengelilingi jalur lingkar. “Kami berharap ini bisa memberikan pelayanan kepada masyarakat. Terutama penumpang kapal,” ungkap dia. Dikatakan, pihaknya sudah berkomunikasi dengan damri. Ada dua unit kendaraan jenis hiace berkapasitas 15 orang yang disediakan di Bawean. “April rencananya akan kami kami sosilisasikan kepada masyarakat di sana. Semoga bisa diterima,” imbuhnya. (jar/rof)"
2,https://radargresik.jawapos.com/politika/12/03/2021/lagi-saat-gowes-bupati-temukan-jalan-rusak,12 March 2021 08:32 AM,POLITIKA,"Lagi, Saat Gowes Bupati Temukan Jalan Rusak","GRESIK – Kegemaran Bupati Gresik Fandi Akhmad Yani bersepeda atau gowes ternyata memberikan banyak manfaat. Orang nomor satu di Pemkab Gresik ini bisa mengetahui secara langsung realitas di lapangan. Salah satunya, kondisi jalan masih banyak yang rusak parah. Seperti yang ditemuinya saat gowes di Mengare, Kecamatan Bungah. Bupati geleng-geleng kepala melihat kondisi jalan. Saking kesalnya, dia menuntun sepedanya itu, kemudian menata paving yang rusak dengan kondisi bergelombang dan tidak beraturan di tengah jalan. Sambil menyapa warga yang melintas, pria yang akrab disapa Gus Yani ini langsung meminta maaf. “Ngapunten pak, ngapunten nggih margine risak, segera kulo dandosi (maaf pak, maaf nggih, jalannya rusak secepatnya saya perbaiki. red),” kata Gus Yani kepada warga yang melintas, Kamis (11/3). Menurut dia, DPUTR Kabupaten Gresik sudah memberi laporan alat berat untuk pengerjaan perbaikan Jalan di Mengare sudah di lokasi. Ternyata sejak pukul 05.30 hingga 08.30 keberadaan alat berat itu hanya omong kosong. “Ternyata tidak ada pengerjaan pagi hari ini, saya berharap dinas PU (pekerjaan umum) harus konsisten mengawal pekerjannya. Beberapa hari yang lalu masih ada alat berat, saya pikir dikerjakan sampai tuntas, pada pagi hari ini ternyata tidak ada,” kata dia dengan nada kecewa. Jalan rusak memang menjadi keluhan di Kabupaten Gresik. Bahkan, tidak hanya di Mengare saja, Gus Yani menyebut masih banyak di wilayah Gresik selatan seperti di Kecamatan Menganti, Kecamatan Driyorejo dan lainnya. Dia berharap para Organisasi Perangkat Daerah (OPD) terkait segera menindaklanjuti dan konsisten dengan pembangunan di Kabupaten Gresik. “Kami berharap tidak ada lagi korban kecelakaan akibat kondisi jalan rusak yang ada di Gresik,” kata dia. Sementara itu, Kepala Dinas Pekerjaan Umum dan Tata Ruang (DPUTR) Kabupaten Gresik, Gunawan Setiaji saat di konfirmasi mengatakan masih menunggu lelang terkait perbaikan Jalan di menuju Mengare, Kecamatan Bungah. “Insya Allah Maret atau April terkait proses lelangnya, “pungkasnya. (yud/rof)"
3,https://radargresik.jawapos.com/kota-gresik/11/03/2021/rem-truk-blong-penjaga-warung-di-bungah-tewas,11 March 2021 07:10 AM,KOTA GRESIK,"Rem Truk Blong, Penjaga Warung di Bungah Tewas","GRESIK – Sebuah unit dump truk bermuatan batu bara milik PT BMM mengalami rem blong di ruas Jalan Raya Desa Bungah, Kecamatan Bungah. Akibat kecelakaan tersebut truk, menyasak tiga buah warung hingga roboh dan satu orang meninggal dunia di tempat, Rabu (10/3). Kanit Lakalantas Polres Gresik Ipda Yossy Eka Prasetya menuturkan kronolis kejadian laka terjadi sekitar jam 03.30 wib. Dump truk L 9842 UA yang dikemudikan Prastowo ,26, warga RT 7 RW 1 Desa Kalimati, Kecamatan Tarik Sidoarjo melaju dari arah utara menuju selatan dengan kecepatan sedang dan sesampainya di tempat kejadian kondisi jalan menurun sedangkan rem truk tidak berfungsi alias blong. “Karena tidak bisa menguasai stir, sopir truk langsung banting stir ke kanan dan menyeduruk tiga warung hingga roboh. Truk pun terbalik dan muatan batu baranya tumpah di area lapangan pertigaan Bungah itu,” ujarnya, (10/3). Selain menabrak warung, truk juga menabrak salah seorang penjaga warung Khotijah ,65, warga Dusun Nongkokerep RT 02 RW 01, Desa Bungah hingga meninggal dunia. Butuh waktu beberapa jam untuk mengevakuasi jasad korban karena terjepit badan truk dan reruntuhan warung. “Dalam insiden ini satu orang meninggal dunia mengalami luka pada bagian kepala dan kakinya serta tiga warung roboh. Kami imbau agar masyarakat lebih berhati-hati dalam berkendara, selalu pastikan kendaraan dalam kondisi prima,”pungkasnya.(yud/han)"
4,https://radargresik.jawapos.com/pojok-perkoro/11/03/2021/gagal-nyalip-warga-lumpur-tewas,11 March 2021 06:47 AM,POJOK PERKORO,"Gagal Nyalip, Warga Lumpur Tewas","GRESIK – Nasib nahas dialami Lailatul Munawaroh,17, perempuan asal Jalan Sindujoyo, Kelurahan Lumpur. Ia harus meregang nyawa usai gagal menyalip truk yang ada di depannya saat melintas di Jalan Raya Sukomulyo, Kecamatan Manyar. Insiden maut itu terjadi pada Selasa (9/3) sore sekitar pukul 15.30. Peristiwa tersebut bermula saat korban yang mengendarai sepeda motor Yamaha Mio bernopol W 3141 AQ berjalan dari arah barat ke timur. Sesampainya di lokasi kejadian, korban berusaha mendahului dari sisi kiri truk trailer yang berjalan searahnya. Upaya tersebut gagal lantaran motor korban membentur ban belakang truk hingga menyebabkan korban terjatuh. “Akibat kecelakaan tersebut korban yang masih duduk di bangku pelajar itu meninggal dunia di tempat kejadian,” ujar Kanit Laka Ipda Yossy Prasetya.
Yossy mengungkapkan Jasad korban kemudian di bawa ke Rs Ibnu Sina Kab Gresik untuk dimintakan visum. “Korban mengalami luka kaki kanan dan meninggal dunia, dan kerugian materi Rp 500 rb,” pungkasnya. (yud/rof)"
5,https://radargresik.jawapos.com/kota-gresik/05/03/2021/jalan-kh-syafii-tertutup-pohon-tumbang,5 March 2021 19:41 PM,KOTA GRESIK,Jalan KH Syafi’i Tertutup Pohon Tumbang,"GRESIK – Angin kencang membuat pohon yang berada di Jalan KH. Syafii Desa Sukomulyo, Kecamatan Manyar tumbang. Akibatnya, arus lalu lintas sempat terhambat karena tertutup batang pohon. Untungnya, tidak lama kemudian ada anggota Polsek Manyar, Bripka Hadi dan Brigadir Suharianto datang berpatroli. Dengan menggunakan sebilah parang keduanya mengevakuasi pohon yang tumbang agar tidak menutup Jalan yang bisa mengakibatkan kecelakaan lalu-lintas dan kemacetan. Kapolsek Manyar Iptu Bima Sakti Pria Laksana mengatakan untuk meningkatkan kewaspadaan perubahan cuaca di musim hujan disertai angin kencang yang tak menentu di wilayah Kecamatan Manyar anggota kami bekali alat untuk rescue seperti alat pemotong untuk pohon tumbang. “Pohon tumbang tersebut terjadinya pagi hari menjelang jam berangkat kerja dikarenakan anggota sudah dibekali rescue makan langsung melakukan evakuasi pohon yang tumbang tersebut,” Jumat (5/3). Ditambahkan Bima Sakti anggota juga telah mengevakuasinya sehingga tidak sampai menimbulkan kemacetan atau menjadi ancaman keselamatan pengguna jalan. “Anggota merespon cepat adanya kejadian tersebut. Dengan sebilah parang pun tidak butuh waktu lama pohon tumbang berhasil dievakuasi dan saya berharap agar para pengendara Jalan selalu berhati – hati saat berkekendara di musim hujan dan berangin beberapa hari ini,” pungkasnya.(yud/rof)"
6,https://radargresik.jawapos.com/kota-gresik/01/03/2021/rem-blong-kontainer-tabrak-pohon,1 March 2021 07:57 AM,KOTA GRESIK,"Rem Blong, Kontainer Tabrak Pohon","GRESIK– Kecelakaan terjadi di Jalan Raya Pertigaan Kecamatan Bungah. Sebuah truk kontainer bermuatan pupuk mengalami rem blong dan menabrak pohon di bahu kiri jalan, lalu pohon menimpa sebuah mobil penumpang berjenis Honda Brio berwarna abu-abu, Sabtu (27/2). Kanit laka Ipda Yossy menuturkan kecelakaan terjadi sekitar pukul 19.00 WIB. Truk kontainer Bernopol L 8503 UD yang dikemudikan Yanto ,37, warga asal surabaya melaju dari arah utara berjalan ke selatan, setibanya di jalan tanjakan tepatnya di depan SMP Negeri 1 Bungah, rem tiba-tiba ngeblong. “Sejak di tanjakan, saya sudah merasakan rem blong, saya injak rem sudah gak nyantol, untuk menghindari kendaraan di depan saya banting setir ke kiri lalu menabrak pohon,” ujarnya, Minggu (28/2). Beruntung tidak ada korban jiwa dalam kejadian ini. Kabin truk kontainer dan mobil penumpang hanya mengalami kerusakan di atas kabin, sopir dan dua pemuda dalam mobil penumpang selamat meski alami trauma ringan. “ Tidak ada korban jiwa dalam kecelakaan ini, sopir truk kontainer dan dua orang penumpang mobil Honda Brio selamat,” ungkapnya. Kejadian itu telah ditangani oleh Satuan Unit Laka Polres Gresik, hingga saat ini jajaran petugas Polisi dan TNI bersama masyarakat bahu-membahu mengevakuai mobil dan batang pohon melintang di tengah jalan pertigaan Bungah, sementara arus lalulintas terpantau lancar meski melamban.(yud/han)"
7,https://radargresik.jawapos.com/kota-gresik/23/02/2021/jalan-perumnas-di-kbd-rusak-parah,23 February 2021 07:41 AM,KOTA GRESIK,Jalan Perumnas di KBD Rusak Parah,"GRESIK- Warga Kota Baru Driyorejo (KBD) Gresik mengeluh konsisi akses jalan perumahan nasional (Perumnas) yang rusak parah. Kondisi itu diperparah dengan rusaknya akses penerangan jalan umum (JPU). Salah Satu paguyuban warga KBD Perum Perumnas, Kecamatan Driyorejo Dwi Proyogo menjelaskan, kerusakan jalan dan penerangan jalan umum (PJU) terjadi bersamaan hancurnya jalan di perumahan. Akibatnya, kecelakaan dan tindak kejahatan sering terjadi di daerah tersebut. “Setiap malam selama sepekan ini, PJU tidak menyala. Jalan raya menjadi gelap gulita. Penerangan jalan hanya mengandalkan dari teras rumah dan rumah toko (ruko) di sekitarnya,” kata Prayogo. Sementara beberapa ruas jalan mengalami rusak parah, mulai aspal mengelupas, jalan berlubang dan hingga terjadi genangan air setinggi 15 sentimeter lebih sepanjang 20 meter. Kerusakan jalan yang paling parah yaitu di Jalan Granit Kumala dan Jalan Intan Kalimaya. “Warga resah. Fasum dan fasos jalan rusak dan penerangan PJU padam setiap malam. Kerusakan itu mengakibatkan warga sering mengalami kecelakaan, belum kalau terjadi tindak kriminalitas seperti penjambretan,” imbuhnya. Sementara itu, Dhanang Septian menambahkan warga berharap pihak pengembang Perum Perumnas atau Pemkab Gresik memberi perhatian, atau memperbaiki. Supaya warga tidak menjadi korban buruknya fasum dan fasos. “Warga penghuni Perum Perumnas tidak mau dirugikan, sebab kami sudah membayar ke Perumnas,” tegasnya. Terpisah, Kepala Bidang Bina Marga Dinas Pekerjaan Umum dan Tata Ruang (PUTR) Gresik, Dhiannita Triastuti mengatakan, jalan di dalam Perum Perumnas masih tanggung jawab pengembang. Sedangkan, jalan raya antara Surabaya dan Gresik itu milik pemkab, sehingga yang memperbaiki pemkab juga. ” Perumnas itu urusannya perumahan, dan kalau menuju perumnas dari Surabaya ke Gresik sudah bagus. Beton dan aspal baru,” kata Dhiannita. (fir/han)"
8,https://radargresik.jawapos.com/kota-gresik/23/02/2021/warga-sembayat-protes-proyek-pipa-air,23 February 2021 07:40 AM,KOTA GRESIK,Warga Sembayat Protes Proyek Pipa Air,"GRESIK- warga Desa Sembayat, Kecamatan Manyar melakukan aksi memprotes proyek penanaman pipa PDAM yang ditanam di sepanjang jalan raya sembayat karena dinilai tidak ada sosialisasi sebelumnya dari pihak PDAM maupun kontraktor kepada warga terdampak dari proyek tersebut. Koordinator aksi Ali menuturkan warga protes lantaran tidak adanya sosialisasi sebelumnya dari pihak PDAM maupun kontraktor kepada warga, terutama yang langsung terdampak. Ironisnya, warga hanya diberikan janji belaka, sementara dampak yang dialami warga sudah jelas, seperti tanah ambles, jalan rusak, dan masih banyak lagi. “Kalau tidak ada sosialisasi seperti ini, berbagai elemen masyarakat pasti terdampak, terutama warga yang rumahnya dipinggir jalan raya,”ujarnya, Senin (22, /2). Dampak nyata dari penanaman pipa ini terjadi di Kecamatan Bungah. Menurutnya, terjadi penurunan tanah serta rekondisi asal-asalan pasca penanaman pipa. “Contohnya di Kecamatan Bungah, terjadi penurunan tanah serta rekondisi asal-asalan, jika seperti itu maka berpotensi mengganggu pengguna jalan dan berpotensi semakin banyak kecelakaan, dan kita sebagai warga sembayat setiap hari melintasi jalan ini,” terang dia. Sementara itu, Dirut PDAM Giri Tirta Gresik, Siti Aminatus Zariyah di kantornya Senin, (22/02) menegaskan proyek pipa air yang terjadi di Kecamatan Manyar merupakan proyek milik perusahaan patungan PT PP Infrastruktur dan PT Krakatau Steel. Perempuan 51 tahun yang akrab disapa Risa itu mengungkapkan, PDAM Giri Tirta Gresik tidak bisa melakukan intervensi terkait dengan kebijakan kompensasi maupun ganti rugi. Sebab hal itu menjadi kewenangan investor proyek PT PPKT. “Sifatnya kami ini hanya konsumen air bersih yang nantinya akan diproduksi mereka. Jadi kami tentu tidak bisa memutuskan (kompensasi),” kata Siti Aminatus Zariyah. Dia menuturkan, PDAM Gresik selama ini telah melakukan sosialisasi di tingkat desa hingga kecamatan. Wargapun diundang dalam kegiatan tersebut. Meski demikian, pihaknya tidak pada kapasitas memberikan informasi teknis di lapangan. Sementara hal-hal yang bersifat teknis dikerjakan oleh kontraktor pelaksana PT Gemilang yang ditunjuk oleh PPKT mengerjakan proyek tersebut. “Jika kompensasi disampaikan pada PDAM Gresik tentu itu salah alamat karena kami ini hanya konsumen pembeli air bersih dari proyek yang sedang dikerjakan,” tegas Risa. Seperti diketahui PDAM Giri Tirta Gresik melakukan kerjasama investasi pembangunan proyek Sistem Penyediaan Air Minum (SPAM) BGS dengan nilai investasi Rp 618 miliar. Senilai 30 persen anggaran investasi tersebut berasal dari modal PPKT dan 70 persen suntikan modal dari pinjaman perbankan plat merah. Berkat kerjasama ini kapasitas produksi air baku di Gresik akan bertambah sebesar 1.000 liter perdetik (lpd). Kerjasama investasi berbentuk Build Operate Transfer (BOT) sehingga setelah 25 tahun SPAM BGS akan diserahkan sepenuhnya ke Pemkab Gresik. (fir/han)"
9,https://radargresik.jawapos.com/kota-gresik/17/02/2021/truk-terguling-ratusan-liter-minyak-tumpah,17 February 2021 05:26 AM,KOTA GRESIK,"Truk Terguling, Ratusan Liter Minyak Tumpah","GRESIK – Para pengendara yang melintas di Jalan Raya Mayjend Sungkono tepatnya di Desa Prambangan, Kecamatan Kebomas harus berhati-hati. Pasalnya, kondisi jalan licin usai truk bermuatan ratusan linter minyak gorang terguling. Kanit Laka Lantas Polres Gresik Ipda Yossy Eka Prasetya menuturkan kecelakaan tunggal itu terjadi sekitar pukul 06.30. Awalnya, truk tangki muatan minyak nopol L 9132 AA yang dikemudikan Dwi Andi Setiono ,25, Asal Kalimas baru 1 Gang 6/No. 1 Kecamatan Pabean Cantikan Kota Surabaya berjalan dari arah timur menuju barat dengan kecepatan sedang. “Sampai di lokasi kejadian, ball joint atau kaki mobil sebelah kanan patah, pengemudi tidak mengandalkan setir dan terjatuh dan terguling, terjadilah kecelakaan,” ujarnya, Selasa (16/2). Ditambahkan Yossy dalam kejadian laka tersebut tidak ada korban hanya kerugian material tumpahan minyak goreng yang tumpah di Jalan. “Tidak ada korban jiwa dalam kejadian ini hanya kerugian material minyak tumpah diperkirakan jutaan rupiah,”pungkasnya. (yud/rof)"
