,Link,Date Time,Category,Title,Content
0,https://radargresik.jawapos.com/kota-gresik/01/03/2021/rem-blong-kontainer-tabrak-pohon,1 March 2021 07:57 AM,KOTA GRESIK,"Rem Blong, Kontainer Tabrak Pohon","GRESIK– Kecelakaan terjadi di Jalan Raya Pertigaan Kecamatan Bungah. Sebuah truk kontainer bermuatan pupuk mengalami rem blong dan menabrak pohon di bahu kiri jalan, lalu pohon menimpa sebuah mobil penumpang berjenis Honda Brio berwarna abu-abu, Sabtu (27/2). Kanit laka Ipda Yossy menuturkan kecelakaan terjadi sekitar pukul 19.00 WIB. Truk kontainer Bernopol L 8503 UD yang dikemudikan Yanto ,37, warga asal surabaya melaju dari arah utara berjalan ke selatan, setibanya di jalan tanjakan tepatnya di depan SMP Negeri 1 Bungah, rem tiba-tiba ngeblong. “Sejak di tanjakan, saya sudah merasakan rem blong, saya injak rem sudah gak nyantol, untuk menghindari kendaraan di depan saya banting setir ke kiri lalu menabrak pohon,” ujarnya, Minggu (28/2). Beruntung tidak ada korban jiwa dalam kejadian ini. Kabin truk kontainer dan mobil penumpang hanya mengalami kerusakan di atas kabin, sopir dan dua pemuda dalam mobil penumpang selamat meski alami trauma ringan. “ Tidak ada korban jiwa dalam kecelakaan ini, sopir truk kontainer dan dua orang penumpang mobil Honda Brio selamat,” ungkapnya. Kejadian itu telah ditangani oleh Satuan Unit Laka Polres Gresik, hingga saat ini jajaran petugas Polisi dan TNI bersama masyarakat bahu-membahu mengevakuai mobil dan batang pohon melintang di tengah jalan pertigaan Bungah, sementara arus lalulintas terpantau lancar meski melamban.(yud/han)"
1,https://radargresik.jawapos.com/pojok-perkoro/22/02/2021/nyaris-ditabrak-warga-suci-rusak-mobil-mahasiswa,22 February 2021 07:20 AM,POJOK PERKORO,"Nyaris Ditabrak, Warga Suci Rusak Mobil Mahasiswa","GRESIK– Polisi langsung memburu pelaku, Beni Kurniawan,35 perusak mobil dengan paving di kawasan Manyar, Jumat (19/2) sore. Warga Desa Suci RT 002 RW 004 Kecamatan Manyar ditangkap jajaran Unit Reskrim Polsek Manyar setelah bersitegang dengan Afra Putri Zainifa ,20, perempuan asal Desa Golokan, Kecamatan Sidayu, Jumat (19/2) sore. Kapolsek Manyar Iptu Bima Sakti Pria Laksana mengatakan pelaku mengaku tidak terima kepada korban karena saat hendak mengantarkan les, Afra nyaris menabrak motor Honda Scoopy nopol W 6820 AV yang dikendarainya. Waktu itu, Afra sedang mengemudikan mobil Daihatsu Sigra nopol W 1973 DZ di Jalan depan Giant GKB. “Setelah mengantar anaknya sampai di tempat les, pelaku mengejar mobil korban dan melakukan pengrusakan terhadap mobil korban,”ujarnya, Minggu (21/2). Pelaku dengan tangan kosong memukul bagian belakang kiri mobil korban hingga penyok. Tidak memukul menggunakan tangan kosong spontan pelaku juga mengambil batu paving yang diambilnya di jalan untuk menakut-nakuti korban. Korban bersama lima anggota keluarganya pun diadang. Dengan sok jagoan dan menenteng paving, pelaku mengacung-acungkannya ke arah mobil korban untuk memaksa menepi ke bahu jalan. “Pelaku mengaku tidak direncanakan. Pelaku spontan mengambil paving di jalan karena emosi tidak terima hampir ditabrak,” ungkapnya. Lebih lanjut Bina Sakti menjelaskan sebelumnya korban sudah sempat berhenti dan meminta maaf. Afra dan keluarga menyarankan untuk diselesaikan di kepolisian. Namun pelaku tetap menunjukkan gestur marah. Hingga aksi saling kerjar-kejaran tidak bisa terhindarkan. “Dengan bukti video singkat dan mobil yang penyok, polisi kemudian melakukan penyelidikan dan pelaku berhasil diamankan dan akibat perbuatan pelaku Beni dijerat dengan pasal 335 juncto pasal 406 KUHP dengan ancaman paling lama satu tahun kurungan,” pungkasnya. Sementara itu pelaku Beni saat di tanyain di Kapolsek Manyar mengaku menyesal atas perbuatannya. Dia juga meminta maaf kepada korban atas pebuatanya. “Saya salah pak, saya menyesal. Saya tidak akan mengulanginya lagi,” tandasnya sembari wajah tertunduk.(yud/han)"
2,https://radargresik.jawapos.com/pojok-perkoro/05/02/2021/sopir-mengantuk-hingga-tabrak-pohon-kernet-truk-tewas,5 February 2021 15:29 PM,POJOK PERKORO,"Sopir Mengantuk Hingga Tabrak Pohon, Kernet Truk Tewas","GRESIK– Kecelakaan tunggal terjadi di Jalan Raya Duduksanpeyan Jum’at (5/1) pagi. Diduga kecelakaan akibat sopir truk nopol K 1412 HS Ngadio, 56, warga Pati mengemudi dalam keadaan mengantuk. Akibatnya kernet truk Fatkur Rozi warga Bandar Utama, Tebingtinggi, Sumatra Utara tewas di tempat dan sopir mengalami luka-luka. Kejadian mengenaskan tersebut bermula saat truk berjalan dari arah barat ke timur. Sesampai di Desa Tebaloan, Kecamatan Duduksampean, tiba-tiba truk oleng keluar jalur dan menabrak pohon. Kanit Laka Satlantas Polres Gresik Ipda Yossy Eka Prasetya mengatakan, penyebab kecelakaan dikarenakan sopir mengemudi dalam keadaan ngantuk berat. Sehingga tidak bisa menguasai kendaraan dan mengakibatkan kecelakaan. “Satu orang dinyatakan meninggal dunia atas nama Fatkur Rozi warga Bandar Utama Tebingtinggi Sumatra Utara. Saat kejadian dia duduk di samping sopir,” ujarnya, Jumat (5/2). Sedangkan sopir Ngadio kondisinya masih bisa diselamatkan. Ia hanya mengalami luka-luka. Namun saat dilakukan evakuasi, Ngadio sempat merengek kesakitan, karena tubuhnya kejepit di antara kemudi. “Korban yang selamat langsung kami larikan RS Ibnu Sina untuk mendapatkan perawatan medis,” jelasnya. (yud/rof)"
3,https://radargresik.jawapos.com/kota-gresik/23/01/2021/dua-kapal-tabrakan-di-perairan-gresik-lima-abk-hilang,23 January 2021 12:08 PM,KOTA GRESIK,"Dua Kapal Tabrakan di Perairan Gresik, Lima ABK Hilang","GRESIK – Tabrakan kapal kembali terjadi di perairan laut utara Gresik. Kali ini terjadi kecelakaan laut di Perairan dekat anjungan migas (offshore) PT Pertamina Hulu Energi West Madura Offhsore. KM Tanto Bersinar bertabrakan dengan kapal tug boat TB Mitra Jaya XIX yang menggandeng TK Makmur Abadi 5 di Area Bouy 3 Alur Pelayaran Barat Surabaya (APBS) Perairan Gresik, (23/1) sekitar pukul 03.30 WIB. Lima orang hilang masih dalam pencarian sampai saat ini, Sabtu (23/1). Kasatpol air Polres Gresik Akp Masyhur Ade membenarkan kejadian tersebut menuturkan saat ini pihaknya masih melakukan pencarian Anak Buah Kapal (ABK) yang belum ditemukan. Dari kejadian tersebut crew kapal TB delapan orang, tiga orang selamat, dan kapal Tongkang dua orang selamat. 5 org belum ditemukan ” Ada tiga orang crew atau anak buah kapal (ABK) kapal TB Mitra Jaya XIX yang selamat dievakuasi, dengan jumlah delapan anak buah kapal (ABK) dan 2 orang selamat dievakuasi dari kapal tongkang. Tinggal lima ABK yang masih belum ditemukan, “ujarnya, Minggu (23/1). Sementara itu seorang ABK yang selamat dan berhasil dievakuasi Laudy Ahmad Syifa ,22, Warga asal Sulawesi Tenggara mengungkapkan saat kejadia kapal tabrakan dirinya langsung meloncat ke laut untuk meyelamatkan diri. “Saya langsung lompat saja ke laut saat kapal mau tenggelam,” ungkapnya. Ditambahkan Laudy menjelaskan saya kerja baru empat bulan bersama nahkoda dan satu ABK yang lain sudah diselamatkan o petugas gabungan Satpoairud, KPLP Gresik, Basarnas dan Surabaya serta Kantor Kesyabandaran Operasi Pelabuhan (KSOP) Kabupaten Gresik dan Perak Surabaya.(yud/han)"
4,https://radargresik.jawapos.com/pojok-perkoro/08/01/2021/tabrak-truk-dari-belakang-pemotor-asal-balongpanggang-tewas,8 January 2021 10:46 AM,POJOK PERKORO,"Tabrak Truk dari Belakang, Pemotor asal Balongpanggang Tewas","GRESIK— Nasib nahas dialami Siti Nur Janah, 24, warga Dusun Mojolebak RT 2/RW 3, Desa Mojogede, Kecamatan Balongpanggang. Korban harus meregang nyawa usai menabrak truk dari belakang di Jalan Dadap Kuning, Kecamatan Cerme Kamis (7/1) pukul 19.00 malam. Peristiwa tersebut bermula saat kedua korban yang berboncengan dengan Amanda Maulidah Nur Kusumah,14, mengendarai motor Honda Vario melaju dari arah timur ke barat dengan kecepatan sedang. Sesampainya di tempat kejadian, korban tidak memperhatikan arah depannya sehingga menabrak truk tronton Nopol BM 9523 EU yang dikemudikan Setevan Krisbiantoro, 22, warga Desa Sidomulyo RT 32/RW 10, Kecamatan Kedungadem, Kabupaten Bojonegoro. “Pengendara motor tidak memperhatikan arah depan sehingga membentur bagian belakang sebelah kanan truck,” ujar Kanitlaka Satlantas Polres Gresik, Ipda Yossy Eka Prasetya. Akibat kecelakaan tersebut kedua pengendara motor mengalami luka dan saat dibawa ke RS. Wates Husada Balongpanggang untuk dimintakan VER Luka di perjalanan korban Siti Nur Janah meninggal karena luka cukup parah di kepalanya. (yud/rof)"
5,https://radargresik.jawapos.com/pojok-perkoro/05/01/2021/terobos-lampu-merah-pasutri-tabrak-mobil,5 January 2021 10:45 AM,POJOK PERKORO,"Terobos Lampu Merah, Pasutri Tabrak Mobil","GRESIK – Nasib nahas dialami Muhibbin, 58, dan istrinya Muminatus Saadah, 48, warga Klangonan, Kecamatan Kebomas. Lantaran menerobos lampu merah, pasangan suami istri (pasutri) tersebut terlibat tabrakan dengan mobil APV di Jalan Raya dr Wahidin Sudirohusodo. Keduanya harus dilarikan ke rumah sakit lantaran mengalami sejumlah luka. Kanit Laka Satlantas Polres Gresik, Ipda Yossy Eka Prasetya mengatakan, kecelakaan antara sepeda motor dengan mobil itu terjadi sekitar pukul 06.00. Sepeda motor Honda Supra W 2733 MF yang dikendarai pasutri tersebut berjalan dari arah timur kebarat dengan kecepatan sedang. Saat melintas di simpang empat Exit Tol Kebomas, mereka menerobos lampu merah. Pada saat yang sama mobil Suzuki APV L 1192 ZO yang dikemudikan Mardiono, 27, warga Deket, Lamongan melaju dari arah sebaliknya karena lampu hijau. Mobil berwarna putih ini belok kanan akan masuk ke dalam tol KLBM. “Karena jarak sudah dekat baik pengendara sepeda motor maupun pengemudi Suzuki APV sama-sama tidak bisa menghindar sehingga terjadi kecelakaan,”ujarnya. Ditambahkan Yossy, dalam rekaman CCTV itu, Muhibbin yang mengendarai sepeda motor menabrak bagian depan sebelah kiri mobil. Keduanya terlempar dari atas motor karena tabrakan keras. Muhibbin terbaring di jalan raya, sedangkan istrinya Muminatus mencoba duduk sambil memegangi pelipis kirinya. “Keduanya mengalami luka ringan, Muhibbin mengalami luka di kepala dan tangan kanan. Sedangkan Muminatus mengalami luka di pelipis kiri,”pungkasnya. Keduanya langsung dilarikan ke RSUD Ibnu Sina untuk mendapatkan perawatan lebih lanjut. Dari hasil olah TKP, penyebab kecelakaan karena pengendara sepeda motor menerobos lampu lalu lintas. (yud/rof)"
6,https://radargresik.jawapos.com/kota-gresik/23/12/2020/masuk-rs-usai-tabrak-pemotor-lain,23 December 2020 12:30 PM,KOTA GRESIK,Masuk RS Usai Tabrak Pemotor Lain,"GRESIK– Nasib nahas dialami Kriswati, 42, warga Desa Dapet RT 02/RW 01, Kecamatan Balongpanggang. Lantaran kurang fokus saat mengendarai motor Honda Beat Nopol W 3417 BV ia menabrak kendaraan yang ada di depannya. Akibatnya, korban harus dilarikan ke rumah sakit. Kanit Laka Lantas Polres Gresik Ipda Yossy Eka Prasetya mengatakan peristiwa bermula saat korban berjalan dari arah utara ke selatan dengan kecepatan sedang. Sesampainya di tempat kejadian Jalan Umum Desa Kedungpring korban kurang memperhatikan arah depan dengan jelas dan tidak menjaga jarak aman. Sehingga membentur kendaraan sepeda motor tidak dikenal yang ada di depannya. “Saat kendaraan lain tersebut hendak belok korban tidak memperhatikan lampu sein. Sehingga, korban menabrak kendaraan lain tersebut hingga terjatuh,” katanya. Ditambahkan Yossy usai kecelakaan kendaraan sepeda motor tidak dikenal melanjutkan perjalanan. Sedangkan korban Kriswati mengalami luka dan dibawa ke RS. Wates Husada Balongpanggang untuk dimintakan VER Luka. (yud/rof)"
7,https://radargresik.jawapos.com/pojok-perkoro/15/12/2020/pindah-haluan-pengendara-sepeda-listrik-tewas-ditabrak-trail,15 December 2020 09:43 AM,POJOK PERKORO,"Pindah Haluan, Pengendara Sepeda Listrik Tewas Ditabrak Trail","GRESIK – Kecelakaan tragis menimpa Soetjipto warga Jjalan Veteran 9-D/7 RT. 3 RW. 2 Kelurahan Singosari Kecamatan Kebomas. Pria 60 tahun itu tewas dengan luka dikepala saat tengah mengendarai kendaraan listrik. Informasi di lapangan menyebut, kecelakaan terjadi lada hari Minggu (13/12) pukul 06.00 WIB. Korban yang saat itu hendak pulang ke rumahnya melintasi jalan Veteran Gresik. Diduga saat hendak berpindah haluan korban tidak memperhatikan arah belakang. Nahas pada waktu yang bersamaan dari arah yang sama melaju kencang motor Honda CRF Nomer polisi W 6917 CY yang dikendarai Sugiarta Rukmana warga Jalan Faqih Usman 14/8 Kelurahan Kemuteran Kecamatan Gresik. “Jarak yang terlalu dekat akibatnya benturan tdak bisa dihindari. Kedua korban jatuh tersungkur dan membentur aspal,” kata Kanit Laka Lantas Satlantas Polres Gresik, Ipda Yossy Syahputra. Celakanya korban pengendara sepeda listrik tidak memakai peralatn safety sehingga kepalanya membentur aspal. Tidak berselang lama korban tewas dilokasi kejadian sementara pengendara motor trail dilarikan ke rumah sakit akibat luka yang serius dibagian kaki dan tangan. “Kami mengimbau kepada seluruh pengguna jalan agar tetal berhati-hati saat berkendara. Selalu penuhi perlengkapan berkendara utamanya helm untuk menghindari luka yang lebih parah saat terjadi kecelakaan,” pungkasnya. (fir/han)"
8,https://radargresik.jawapos.com/pojok-perkoro/20/11/2020/gagal-nyalip-pemuda-balongpanggang-tewas-ditabrak-truk,20 November 2020 09:48 AM,POJOK PERKORO,"Gagal Nyalip, Pemuda Balongpanggang Tewas Ditabrak Truk","GRESIK – Nasib nahas dialami Moh. Saikhu Ibrahim, 21 warga asal RT 2/RW 2 Desa Wahas, Kecamatan Balongpanggang. Pengendara sepeda motor Suzuki nopol L 4153 QS harus meregang nyawa usai ditabrak truk saat hendak menyalip kendaraan yang ada di depannya. Peristiwa tersebut bermula saat korban mengendarai sepeda motor berjalan dengan kecepatan tinggi di Jalan Raya Pilang Desa Kedungpring, Kecamatan Balongpanggang, Kamis (19/11). Lantaran di depannya ada kendaraan lain korban berusaha menyalip dari sisi kanan. Belum berhasil menyalip, korban tidak bisa mengusai stir dan oleng. Disaat bersamaan datang truk box nopol A 9640 B yang dikendarai Andrianto ,33, warga RT 17/RW 5 Balowerti, Kota Kediri dari arah berlawanan. Karena jarak yang sudah dekat tabrakan pun tidak bisa dihindari. “Korban meninggal di tempat,” ujar Kanit Laka Satlantas Polres Gresik Ipda Yossy Eka Prasetia. Saking kerasnya benturan, tubuh korban hingga terpental cukup jauh. Saikhu terkapar di jalan raya dengan luka parah. “Korban langsung dibawa ke RSUD Ibnu Sina untuk menjalani visum Et repertum,” ungkapnya. Beruntung, supir truk tidak mengalami luka-luka akibat kecelakaan tersebut. Namun, mobilnya harus dibawa pihak kepolisian sebagai barang bukti. (yud/rof)"
9,https://radargresik.jawapos.com/pojok-perkoro/13/11/2020/ditabrak-mobil-pejalan-kaki-masuk-rs,13 November 2020 19:51 PM,POJOK PERKORO,"Ditabrak Mobil, Pejalan Kaki Masuk RS","GRESIK – Nasib apes dialami M. Abdulloh Fauzi, 17, warga Jalan Harun Tohir gang 17/15 RT 01 RW 03, Kelurahan Pulopancikan, Kecamatan Gresik. Ia terpaksa dilarikan ke rumah sakit usai ditabrak pengendara mobil yang tidak dikenal saat berjalan kaki di Jalan umum KH. Zubair, Kecamatan Gresik, Kamis (12/11) pukul 20.30. Kanit Laka Satlantas Polres Gresik Ipda Yossy Eka Prasetya menuturkan kecelakaan bermula saat kendaraan jenis roda empat tidak dikenal berjalan dari arah utara menuju ke selatan dengan kecepatan sedang diduga mengantuk saat melintas di lokasi kejadian sehingga membentur korban yang sedang berjalan di bahu kiri jalan. “Pengemudi kendaraan roda empat tidak dikenal tersebut diduga mengantuk serta kurang memperhatikan arah depan dengan jelas dan tidak menjaga jarak aman dan saat bersamaan di bahu kiri jalan korban berjalan kaki ” ujarnya, Jumat (13/11). Lanjut Yossy karena jarak yang sudah dekat, benturan pun tidak bisa dihindarkan dan terjadilah kecelakaan. ” Korban M. Abdulloh Fauzi mengalami luka pada kaki kananya dan dilarikan di RSUD Ibnu Sina sedangkan pengemudi roda emapat tidak dikenal melarikan diri melanjutkan perjalanannya,” pungkasnya. (yud/rof)"
