,Link,Date Time,Category,Title,Content
0,https://radarjember.jawapos.com/berita-daerah/jember/04/12/2020/cristanto-ditabrak-lantas-ditinggal-kabur,12/4/2020 13:52,Jember,"Cristanto, Ditabrak lantas Ditinggal Kabur
Dilarikan ke Puskesmas dan Meninggal","Polisi saat melakukan olah TKP di Jalan Raya Dusun Krajan, Desa Petung, Kecamatan Bangsalsari
JEMBER, RADARJEMBER.ID – Cristanto Tri Yuda Prawira, 31warga Dusun Krajan, Rt 002/RW 007, Desa Tanggul Kulon, Kecamatan Tanggul jadi korban tabrak lari di Jalan Raya Jember – Lumajang tepatnya di Dusun Krajan, Desa Petung, Kecamatan Bangsalsari Kamis (3/12/2020) pukul 17.15.
Korban mengendarai sepeda motor Suzuki Shogun 125 P 4558 LF dari arah timur ke barat. Sesampai di lokasi mendahului pengendara sepeda angin. Saat itu ada truk yang berusaha mendahului korban kurang ke kanan ndan menyenggol motor korban.
Melihat korban terjatuh dari motornya langsung melarikan kearah barat dengan kecepatan tinggi.
Korban yang sudah terjatuh ditinggal pergi baik sopir truk maupun sepeda angin yang terjadi senggolan. Korban ditolong warga dan dilarikan ke Puskesmas Bangsalsari.
Warga yang mengetahui kejadian tersebut langsung melaporkan ke polsek. Selanjutnya korban yang mengalami luka di kaki dan punggung meninggal setelah beberapa menit di rawat di Puskesmas Bangsalsari.
Kapolsek Bangsalsari AKP Putu membenarkan telah terjadi kecelakaan tabrak lari. Untuk sementara truk yang diduga menabrak korban langsung kabur setelah mengetahui korban terjatuh. “Selanjutnya kasusnya langsung di tangani Unit Laka Lantas Polres Jember,” katanya.
Editor: Solikhul Huda
Reporter: Jumai
Fotografer: Istimewa"
1,https://radarjember.jawapos.com/berita-daerah/jember/21/11/2020/tertabrak-truk-box-pengendara-motor-meninggal-di-tkp,11/21/2020 20:52,Jember,"Tertabrak Truk Box Pengendara Motor Meninggal di TKP
","RUSAK: Sepeda motor milik korban saat diamankan di Kepolisian Sektor Tanggul usai laka lantas di Jalan raya umum, Desa Klatakan Kecamatan Tanggul, Sabtu kemarin.
JEMBER, RADARJEMBER.ID – Sebuah kecelakaan antara sepeda motor dengan truk terjadi di jalan raya Desa Klatakan Kecamatan Tanggul, Sabtu pagi (21/11/2020). Dalam kecelakaan tersebut, seorang pengendara motor meninggal di lokasi kejadian dengan kondisi cukup mengenaskan. Badannya terputus.
Kapolsek Tanggul AKP Ahmad Musafa mengatakan, kejadian itu bermula saat sepeda motor matic bernopol P 6908 GD melaju dari arah barat ke timur. Saat bersamaan, sebuah kendaraan roda empat melaju dari arah yang sama. Saat itu sedang berhenti mendadak. “Karena jarak terlalu dekat, sehingga terjadi benturan. Dan sepeda motor terjatuh ke arah kanan hingga tertabrak truk box yang melaju dari arah berlawanan,” jelasnya.
Informasinya, korban adalah Viziatir Rodiah,16, warga Desa Gedang Mas, Kecamatan Randuagung, Lumajang. Dia adalah pengendara sepeda motor matic tersebut. Dan satu korban lainnya, Muklas,23, warga Desa Pakisan Kecamatan Tlogosari Kabupaten Bondowoso mengalami luka lecet.
Sementara truk box bernopol B 9518 FXR, diketahui dikemudikan Surya Agustin, 40, warga Kecamatan Genteng, Banyuwangi. Dan kendaraan roda empat yang berhenti mendadak, hingga berita ini dimuat, masih belum diketahui identitasnya.
Editor: Solikhul Huda
Reporter: Maulana
Fotografer: Jumai"
2,https://radarjember.jawapos.com/berita-daerah/jember/18/11/2020/jadi-korban-tabrak-lari-kaki-pedagang-jagung-nyaris-putus,11/18/2020 11:47,Jember,"Jadi Korban Tabrak Lari, Kaki Pedagang Jagung Nyaris Putus
","Kondisi korban saat masih berada di lokasi kejadian.
JEMBER, RADARJEMBER.ID – Agus Supriyadi, 30 pengendara sepeda motor Yamaha Vixion P 6164 LD asal Dusun Bedadung, Desa Kaliwining, Kecamatan Rambipuji menjadi korban tabrak lari Selasa (17/11/2020) pukul 17.00 WIB.
Korban mengalami luka yang cukup parah di bagian paha dan pergelangan kakinya setelah mengalami tabrak lari di Jalan Raya Umum jurusan Jember – Surabaya, tepatnya di depan Pasar Langkap Dusun Krajan, Desa Langkap, Kecamatan Bangsalsari.
Informasi di lapangan, korban Agus Supriyadi saat itu mengendarai sepeda motor membawa barang dagangan jagung. Korban hendak membawa dagangannya itu dari Rambipuji ke Pasar Sumberbaru.
Sesampai di lokasi kejadian, korban hendak menyalip mobil tak dikenal yang saat itu melaju searah di depannya. Pada saat yang bersamaan, muncul kendaraan sejenis truk dari arah barat ke timur. Akibat jarak yang sudah dekat, tabrakan pun tak terhindarkan. Kendaraan yang menabrak korban sempat berhenti sebentar, namun setelah itu melaju dengan kecepatan tinggi ke arah timur.
Korban oleh warga sekitar langsung dievakuasi ke pinggir jalan. Tulang paha kanan korban patah. Bahkan, pergelangan kakinya juga nyaris putus. Tak lama kemudian, petugas dari Polsek Bangsalsari datang ke lokasi. Korban dilarikan ke puskesmas terdekat sebelum akhirnya dirujuk ke RSD dr Soebandi Jember.
Kapolsek Bangsalsari AKP I Putu Adi, membenarkan kejadian itu. Pihaknya mengamankan barang bukti kendaraan milik korban. “Jadi kita ini hanya melakukan penanganan awal saja. Untuk kasusnya kita limpahkan ke Unit Laka Lantas Polres Jember,” ungkapnya.
Editor: Solikhul Huda
Reporter: Jumai
Fotografer: Jumai"
3,https://radarjember.jawapos.com/headline/14/11/2020/naik-shogun-pasutri-meninggal-tabrakan,11/14/2020 16:32,Headline,"Naik Shogun, Pasutri Meninggal Tabrakan
Diduga Akibat Sopir Truk Kurang Hati-Hati","EVAKUASI: Korban kecelakaan meninggal dunia di Jalan Gumitir, kemarin (14/11)
JEMBER, RADARJEMBER.ID – Pasangan suami istri (Pasutri) Mat Ruslan, 54 dan Sumiati, 48 meninggal dunia Sabtu (14/11). Itu terjadi setelah warga asal Dusun Talunrejo RT 1 RW 1, Desa Sembulung, Kecamatan Cluring, Kabupatan Banyuwangi mengalami kecelakaan, di Jalan Raya Gumitir, Desa Sidomulyo, Kecamatan Silo.
Pada mulanya, Ruslan mengendarai motor Suzuki Shogun P 6376 SC dan membonceng istrinya. Dia melaju dari arah Banyuwangi menuju Jember. Begitu sampai di lokasi, berpapasan dengan truk Disel P 8979 KB yang disopiri Yadi Hartono, 33 warga Dusun Karanganyar, Desa/ Kecamatan Tempurejo.
Truk yang disopiri Yadi Hartono, diduga krang hati-hati. Sopir ini berusaha mendahului sebuah mobil jenis Jazz yang tidak diketahui identitasnya, di jalan menikung. Nah, pada saat truk menyalip mobil itu lah, laju motor korban tepat berpapasan dengan truk tersebut.
Akibat jarak yang sudah terlalu dekat, kecelakaan tidak bisa dihindari. “Kerasnya benturan membuat korban Sumiati meninggal dunia di lokasi karena kepalanya parah. Sementara suaminya meninggal dunia di Puskesmas Silo 1,” kata AKP Suhartanto Kapolsek Silo.
Insiden kecelakaan menewaskan dua korban, diduga kuat lantaran sopir truk kurang berhati-hati. Bagaimana pun menyalip kendaraan ditikungan tidak dibenarkan. “Kasus kecelakaan yang menewaskan dua pemotor langsung ditangani Unitlaka Lantas Polres Jember,” pungkas Suhartanto.
Editor:
Reporter: Jumai
Fotografer: Istimewa"
4,https://radarjember.jawapos.com/berita-daerah/jember/10/11/2020/tabrak-pohon-penumpang-pikap-meninggal,11/10/2020 12:02,Jember,"Tabrak Pohon, Penumpang Pikap Meninggal
","RUSAK PARAH: Mobil pikap N 8386 NE mengalami rusak parah setelah menabrak pohon mahoni di Kecamatan Arjasa. Insiden ini mengakibatkan satu orang meninggal.
JEMBER, RADARJEMBER.ID – Kecelakaan lalu lintas membawa korban jiwa terjadi di Jalan Raya Dusun Krajan, Desa Candijati, Kecamatan Arjasa, Minggu (7/11). Peristiwa yang terjadi pukul 16.00 itu mengakibatkan Erfan Efendi, 31, warga Dusun Sumberan, Desa Sumberkerang, Kecamatan Gending, Probolinggo, meninggal dunia.
Sebelum mengalami kecelakaan, mobil pikap N 8386 NE yang disopiri Ishaq, 22, warga Dusun Sumberan, Desa Sumberkerang, Gending, Probolinggo, ini berjalan dari arah Bondowoso. “Dengan kecepatan tinggi, kendaraan itu berusaha mendahului mobil yang ada di depannya,” kata Dedi Priyanto, petugas pengamanan pabrik cerutu yang menyaksikan insiden itu.
Saat berusaha mendahului kendaraan tersebut, tiba-tiba mobil oleng hingga keluar jalan aspal. Sesampainya di jalan depan PTPN X Bobin yang berada di Dusun Krajan, Desa Candijati, Kecamatan Arjasa, kendaraan itu keluar jalur hingga menabrak pohon mahoni. “Kerasnya benturan membuat mobil terbalik. Saat itu, sopir dan penumpangnya masih di dalam,” ujar Dedi.
Warga sekitar yang datang berusaha mengeluarkan sopir yang hanya mengalami luka ringan. Selanjutnya, korban dilarikan ke puskesmas terdekat. Sedangkan penumpangnya yang mengalami luka parah di bagian kepala, cukup sulit dikeluarkan karena terjepit bodi mobil yang ringsek. “Setelah berhasil dikeluarkan, korban yang sudah meninggal dibawa ke kamar mayat RSD dr Sobendi Jember,” ungkapnya.
Kejadian itu juga dilaporkan ke Polsek Arjasa. Petugas polsek bersama anggota dari Unit Lakalantas Polres Jember datang ke lokasi. Kejadian terbaliknya mobil pikap pengangkut bawang merah itu sempat memicu kemacetan, karena banyak pengendara yang memperlambat laju kendaraan mereka untuk melihat peristiwa tersebut.
Kapolsek Arjasa Iptu Adam membenarkan peristiwa kecelakaan itu. Menurutnya, kecelakaan tersebut karena kurang hati-hatinya sopir saat berusaha mendahului kendaraan di depannya. “Untuk barang bukti kendaraan roda empat yang rusak parah diamankan di bagian Lakalantas Polres Jember,” kata Adam.
Editor: Mahrus Sholih
Reporter: Jumai
Fotografer: Jumai"
5,https://radarjember.jawapos.com/lakalantas/27/10/2020/sopir-tabrak-kendaraan-parkir-penumpang-terjepit-kabin,10/27/2020 8:46,Lakalantas,"Sopir Tabrak Kendaraan Parkir, Penumpang Terjepit Kabin
","RINGSEK: Bagian depan mobil pikap yang menabrak kendaraan parkir di depan Pasar Kepatihan. Kecelakaan yang disebabkan sopir mengantuk ini mengakibatkan penumpang pikap terjepit kabin dan harus dilarikan ke puskesmas.
KALIWATES.RADARJEMBER.ID – Gara-gara sopir mengantuk, pikap L300 P 8769 VO yang dikemudikan Ifan Dika Kusumawardani, 25, warga Dusun Krajan, Desa Tapanrejo, Kecamatan Muncar, Banyuwangi, menabrak mobil dan motor yang sedang parkir. Kecelakaan terjadi di Jalan Ahmad Yani depan Pasar Kepatihan, Kecamatan Kaliwates, Selasa (27/10) sekitar pukul 05.30.
Tidak ada korban jiwa dalam peristiwa tersebut. Hanya saja, Syaiful Bahri, penumpang pikap dilarikan ke Puskesmas Sumbersari. Karena kaki pemuda 30 tahun itu terjepit kabin pikap. Bahkan, petugas sempat kesulitan mengeluarkan korban, sehingga mereka menggunakan mesin gerinda untuk memotong kabin kemudian ditarik kendaraan lain agar korban bisa dikeluarkan.
Menurut Ifan, sopir pikap, dia sudah terasa mengantuk sejak dari Randuagung, Lumajang. Tapi dia dipaksa lanjut agar segera sampai ke Pasar Tanjung dan menurunkan muatan ikan asin. “Saat di Pasar Tanjung saya bilang ke Mas Syaiful untuk diganti karena saya benar-benar ngantuk,” kata Ifan kepada petugas.
Ifan mengaku mulai tak kuat menahan kantuk setelah di simpang tiga, beberapa meter sebelum lokasi kecelakaan. Dia terkejut ketika di depan sudah banyak motor, hingga akhirnya dia banting setir ke kiri. Akibatnya, Daihatsu Xenia P 1003 VG milik Roza, warga Jalan Sriwijaya dan beberapa motor yang terparkir di depan Pasar Kepatihan tertabrak.
Peristiwa ini selanjutnya dilaporkan ke Unit Lakalantas Polres Jember. Petugas yang datang segera melakukan olah TKP. Selanjutnya dua mobil diderek ke bagian Lakalantas Polres Jember.
Menurut Eko, salah seorang saksi, mobil pikap itu tiba-tiba oleng ke kiri dan menabrak mobil parkir. Kerasnya benturan membuat kabin mobil ringsek dan penumpangnya susah dikeluarkan. (*)
Editor: Mahrus Sholih
Reporter: Jumai
Fotografer: Jumai"
6,https://radarjember.jawapos.com/lakalantas/22/10/2020/tabrak-motor-dan-bengkel-dua-orang-meninggal,10/22/2020 14:30,Lakalantas,"Tabrak Motor dan Bengkel, Dua Orang Meninggal
","MAKAN KORBAN JIWA: Truk diesel yang disopiri Agus Toni, warga Sidoarjo, ini menabrak bentor dan bengkel di Jalan Raya Desa Gambirono, Bangsalsari, kemarin. 
JEMBER, RADARJEMBER.ID – Kecelakaan mengakibatkan korban jiwa terjadi di Jalan Raya Desa Gambirono, Kecamatan Bangsalsari. Sebuah truk diesel bernopol W 8094 UB yang disopiri Agus Toni, 45, warga Bebekan Timur, Sidoarjo, menabrak pengendara sepeda motor dan sebuah bengkel motor, Rabu (21/10) pukul 13.00 Wib kemarin.
Rupanya, sang sopir truk berusaha menghindari tabrakan. Namun, justru menabrak motor, bentor (becak bermesin motor), sekaligus orang yang sedang duduk-duduk. Akibatnya, dua orang tewas di lokasi kejadian.
Kecelakaan bermula saat truk melaju dari arah timur dengan kecepatan tinggi. Di lokasi kejadian, tiba-tiba ada pengendara motor tak diketahui identitasnya menyeberang dari arah utara.
Karena kaget dan berusaha menghindari tabrakan, sopir truk banting setir ke kanan. Nahas, dari arah berlawanan muncul sepeda motor Honda Vario P 4015 NQ yang dikendarai Irwanto, 28, warga Dusun Krajan, Desa Tugusari, Kecamatan Bangsalsari, yang membonceng Atika, 36, warga Dusun Dukuh, Desa Banjarsari, Bangsalsari.
Setelah bertabrakan dengan Vario, truk masih melaju hingga akhirnya menabrak Kusdaryono, 45, pemilik bengkel dan bentor yang diparkir. Truk baru berhenti setelah menabrak bagian penyangga bengkel Kusdaryono, warga Jalan Moch. Sroedji, Desa Gambirono, Bangsalsari, itu.
Dalam peristiwa itu, Irwanto dan Kusdaryono tewas di lokasi kejadian. Sementara itu, Atika, penumpang Vario, mengalami patah tulang pada kaki kanan. Sedangkan beberapa orang lainnya, termasuk sopir truk, hanya mengalami luka ringan.
Kapolsek Bangsalsari AKP I Putu Adi membenarkan adanya kecelakaan itu. “Kami hanya melakukan penanganan awal saja. Untuk kasusnya kita limpahkan ke Unit Laka Lantas Polres Jember,” kata Putu.
Editor: Hadi Sumarsono
Reporter: Jumai
Fotografer: Jumai"
7,https://radarjember.jawapos.com/headline/12/10/2020/ditabrak-sri-tanjung-remuk-terseret-puluhan-meter,10/12/2020 17:02,Headline,"Ditabrak Sri Tanjung, Remuk Terseret Puluhan Meter
Seluruh Penumpang Mobil Selamat","REMUK: Kondisi mobil yang terhantam KA Sri Tanjung, Senin (12/10) di perlintasan kereta api Baratan, Patrang.
JEMBER, RADARJEMBER.ID – Sebuah mobil Daihatsu Ayla terseret puluhan meter setelah diterjang KA Sri Tanjung di perlintasan kereta api Kelurahan Baratan, Kecamatan Patrang, Jember, Senin pagi (12/10) pukul 09.00 WIB. Akibatnya mobil berwarna hitam dengan plat nomor DK 1223 LM ringsek setelah ditabrak bagian samping kiri.
Suto, 55, penjaga pos perlintasan kereta api menjelaskan, peristiwa itu terjadi saat mobil Ayla yang dikemudikan Kusno, 48, warga Krajan, Ambulu, akan melintas setelah dari arah lokasi wisata Rembangan.
“Mobil hitam itu dari arah barat, tiba tiba mogok pas di tengah rel kereta. Sedangkan dari arah utara sudah kelihatan kereta Sri Tanjung,” kata Suto.
Melihat ada mobil mogok di tengah perlintasan, Suto lantas memberi aba-aba dengan bendera merah ke arah kereta. Namun karena kecepatan kereta tak bisa dikurangi lebih jauh, benturan pun tak terelakan terjadi. “Langsung ditabrak keseret mobilnya. Tetapi sebelum tertabrak, semua penumpangnya berhasil keluar dari dalam mobil,” kata Suto yang masih mengaku trauma.
Mobil itu ditumpangi oleh satu keluarga, termasuk bayi yang berumur sembilan bulan. Sopir dan tiga penumpang yakni pasangan suami istri Kusno dan Dwi Wahyuningtyas serta dua anaknya.
Namun, menurut Kusno, pengendara mobil, saat peristiwa terjadi palang pintu rel belum ditutup sehingga dirinya tetap melintas. Saat sampai tengah perlintasan, mobil yang dikemudikan Kusno berpapasan dengan mobil lain. “Belum ditutup (palang pintu perlintasan, Red) tadi, pas sampai tengah rel papasan sama mobil lain, saya kemudian berhenti menunggu mobil itu lewat. Setelah lolos mobil saya mogok,” kata Kusno.
Saat berusaha menyalakan mesin mobil ternyata dari arah utara terlihat KA Sri Tanjung. Kontan saja Kusno dan istrinya keluar menyelamatkan diri bersama dua orang anaknya dari dalam mobil. Selang semenit kemudian mobil langsung diterjang dan terseret hingga puluhan meter.
Akibat diterjang kereta api, mobil tersebut rusak parah dengan bagian samping kiri ringsek.
Kasus kecelakaan ini, dalam penyelidikan pihak kepolisian. ”Sopirnya masih kita minta keterangan, beruntung tidak ada korban jiwa, hanya kerugian material berupa mobil rusak,” kata Kanit Laka Satlantas Polres Jember Ipda Kukun.
  Editor: Lintang Anis Bena Kinanti
Reporter: Jumai
Fotografer: Jumai"
8,https://radarjember.jawapos.com/berita-daerah/jember/08/10/2020/diduga-sopir-teler-vios-tabrak-l300,10/8/2020 15:36,Jember,"Diduga Sopir Teler, Vios Tabrak L300
Dua Penumpang Wanita Ikut Pingsan","TERTUNDUK LESU: Polisi langsung memeriksa Sarjono, sopir Vios, yang berjalan oleng dan menabrak kendaraan jenis L300.
JEMBER, RADARJEMBER.ID – Kecelakaan lalu lintas akibat sopir mabuk dan mengantuk kembali terjadi. Terbaru, Toyota Vios menabrak sebuah mobil L300. Kecelakaan itu terjadi di jalan raya Dusun Kasiyan Timur, Desa Mlokorejo, Kecamatan Puger, Rabu (7/10) pukul 00.30 dini hari.
Toyota Vios pelat W 1768 SI itu dikemudikan oleh Sarjono, 57, warga Jalan Imam Bonjol 36, Kelurahan Citrodiwangsan, Kabupaten Lumajang. Sementara itu, mobil Mitsubishi L300 N 8834 EF disopiri Budiono, 41, warga Dusun Sendangbiru, Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang.
Akibat kecelakaan itu, sopir dan seluruh penumpang harus dilarikan ke IGD Puskesmas Kasiyan di Desa Mlokorejo, Puger. Selain sopir, seluruh penumpang mengalami luka-luka.
Kecelakaan bermula ketika mobil pikup L300 melaju dari arah timur. Di lokasi kejadian, tiba-tiba Vios yang dikemudikan Sarjono berjalan oleng dan menabrak pikup tersebut.
Sarjono mengalami luka di bagian wajah, termasuk giginya yang ikut rompal. Sementara, tiga orang penumpangnya dilarikan ke IGD Puskesmas Kasiyan di Desa Mlokorejo.
Penumpang Vios, seorang wanita, bahkan tidak sadarkan diri. Yakni Salwa Fitri, 18, warga Desa/Kecamatan Ajung, dan Vivi, 18, warga Jalan Gajah Mada, Lingkungan Condro, Kecamatan Kaliwates. Sedangkan Jainal Wahyudi, 48, PNS, warga Persil Sukosari, Desa Kalidalem,  Kecamatan Randuagung, Lumajang, mengalami luka di kaki kiri.
Kapolsek Puger AKP Ribut Budiono membenarkan terjadinya kecelakaan yang melibatkan dua kendaraan tersebut. Kecelakaan itu terjadi karena sopir Vios mengemudi dalam keadaan mabuk. “Beruntung, tak ada korban jiwa, sopir dan seluruh penumpang masih selamat,” jelasnya. Kasus kecelakaan itu pun langsung dilimpahkan ke Lakalantas Polres Jember.
Foto: Polsek Puger
Editor: Hadi Sumarsono
Reporter: Jumai
Fotografer:"
9,https://radarjember.jawapos.com/berita-daerah/jember/06/10/2020/pulang-takziah-tabrakan-di-bangsalsari,10/6/2020 15:35,Jember,"Pulang Takziah, Tabrakan di Bangsalsari
","DIRAWAT BARENG: Tiga korban yang terlibat kecelakaan langsung dilarikan ke Puskesmas Bangsalsari, kemarin.
JEMBER, RADARJEMBER.ID – Ini akibatnya bila mendahului kendaraan kurang hati-hati. Seperti kecelakaan yang terjadi di Jalan Raya Dusun Paguan, Desa Petung, Kecamatan Bangsalsari, Ahad malam pukul 19.30 WIB.
Kecelakaan itu melibatkan motor Honda Beat nopol S 6434 RQ milik Titin Handayani, 41, warga Jalan M Yamin, Kelurahan Tegalbesar, Kecamatan Kaliwates, dengan Honda Vario nopol DK 4851 IQ, dikendarai Noval, 17, warga Dusun Garahan Jati, Desa Garahan, Kecamatan Silo.
Akibat kecelakaan itu, tiga orang mengalami luka parah. Titin mengalami patah kaki bagian kiri dan tangan kanan. Sementara itu, Bahtiar EL Hamidi, 45, warga Jalan Gajah Mada, Lingkungan Condro, Kecamatan Kaliwates, yang menumpang Honda Beat juga mengalami patah tulang kaki kiri. Sementara, Noval, 17, mengalami patah tulang tangan kanan.
Azis, 39, saksi mata yang juga warga setempat, mengaku, sempat mendengar suara benturan keras. Setelah keluar ke jalan raya, ternyata ada dua kendaraan sepeda motor yang terlibat kecelakaan.
“Tiga orang sudah tergeletak di pinggir aspal. Setelah ada polisi datang, langsung dibawa ke IGD Puskesmas Bangsalsari dengan mobil ambulans Desa Petung,” katanya.
Karena luka parah, ketiganya dirujuk ke RSD dr Soebandi Jember. Sementara itu, dua kendaraan yang terlibat kecelakaan diamankan di Mapolsek Bangsalsari.
Sumber di kepolisian menyebut, sebelum kecelakaan, Titin yang mengendarai motor Honda Beat dari arah barat berusaha mendahului truk. Kemudian, muncul mobil jenis sedan dari arah berlawanan. Saat berpapasan itulah, roda belakang tersenggol hingga motor Beat oleng ke kanan.
Saat oleng, muncul kendaraan lain, Vario yang dikendarai Noval, 17, yang langsung menabrak Honda Beat milik Titin Handayani. Semua pengendara motor terlempar ke aspal.
“Korban Titin bersama temannya baru pulang takziah di Kencong,” kata Kapolsek Bangsalsari AKP Putu Adi.
Editor: Hadi Sumarsono
Reporter: Jumai
Fotografer: Jumai"
