,Link,Date Time,Location,Title,Content,Category
0,https://news.detik.com/berita-jawa-timur/d-5316356/ungkap-kasus-tabrak-lari-polantas-sidoarjo-dapat-penghargaan,"Kamis, 31 Des 2020 14:51 WIB",Sidoarjo,"Ungkap Kasus Tabrak Lari, Polantas Sidoarjo Dapat Penghargaan","Sidoarjo - Kinerja Sat Lantas Polresta Sidoarjo mendapatkan apresiasi dari Polda Jatim. Apresiasi itu berupa penghargaan untuk pengungkapan kasus tabrak lari.
Pemberian penghargaan dilakukan oleh Ditlantas Polda Jatim di lapangan Sat PJR Polda Jatim kepada Kasat Lantas dan penyidik laka lantas atas keberhasilan mengungkap kasus tabrak lari yang terjadi di wilayah hukum Polresta Sidoarjo.
Kasat Lantas Polresta Sidoarjo AKP Wikha Ardilestanto mengatakan penghargaan diberikan setelah pihaknya berhasil mengungkap kasus tabrak lari di wilayah Waru tepatnya di Jalan Raya Perum Pondok Candra. Kejadiannya pada Minggu 20 Desember 2020. Kejadiannya adalah kecelakaan anak balita yang menjadi korban tabrak lari oleh pengendara motor.
Baca juga:
Balap Liar di Sidoarjo Dibubarkan, 100 Motor Diamankan
""Penghargaan ini diberikan kepada Kasat Lantas dan anggota unit Laka Lantas yang mampu mengungkap kasus tabrak lari,"" kata Wikha kepada detikcom, Kamis (31/12/2020).
Wikha menjelaskan penghargaan tersebut diharapkan mampu menambah motivasi anggota dalam bekerja, khususnya dalam penanganan kecelakaan. Sehingga nantinya akan berimbas pada peningkatan kualitas kinerja Satlantas secara keseluruhan.
""Semoga prestasi ini mampu memberikan motivasi terhadap anggota, dan ke depannya dalam penanganan laka lebih cepat, tepat, dan akurat,"" tambah Wikha.
Baca juga:
Yuk ke Pos Yan Sidoarjo Berkonsep Kafe Milenial Ini, Kopinya Gratis Lho
Sementara itu Kanit Laka Polresta Sidoarjo AKP Sugeng Sulistiyono mengatakan adanya penghargaan itu akan menambah motivasi dan memacu kinerja anggota khususnya unit Laka Polresta Sidoarjo. Ke depan, sesuai arahan dan petunjuk pimpinan, pihaknya akan membentuk tim khusus untuk menangani dan mengungkap kasus tabrak lari.
""Guna memberikan kepastian hukum dan edukasi kepada masyarakat untuk bertanggung jawab ketika terlibat laka lantas. Kami mengharapkan masyarakat jangan takut untuk melapor. Bila mengetahui dan atau terlibat laka lantas, biasakan langsung melapor ke kepolisian terdekat,"" kata Sugeng.
(iwd/iwd)
polresta sidoarjo
tabrak lari
penghargaan
birojatim",detikNews
1,https://news.detik.com/berita-jawa-timur/d-5315998/ungkap-kasus-tabrak-lari-terbanyak-berbuah-penghargaan-untuk-polisi-di-ponorogo,"Kamis, 31 Des 2020 09:21 WIB",Ponorogo,Ungkap Kasus Tabrak Lari Terbanyak Berbuah Penghargaan untuk Polisi di Ponorogo,"Ponorogo - Kasus tabrak lari biasanya membutuhkan waktu untuk mengungkapnya. Bahkan terkadang kasus tersebut tak terungkap.
Tapi di Ponorogo sejumlah kasus tabrak lari terungkap. Keberhasilan itu yang membuat Satlantas Polres Ponorogo mendapat penghargaan dari Ditlantas Polda Jatim dalam mengungkap kasus tabrak lari tertinggi se-Jatim.
""Ini yang diungkap kasus tabrak lari selama bulan Januari hingga 29 Desember 2020, Polres Ponorogo tertinggi sebanyak tujuh kasus,"" tutur Kasat Lantas Polres Ponorogo AKP Indra Budi Wibowo kepada detikcom, Kamis (31/12/2020).
Baca juga:
DPR RI Yakin Kapolres dan Kajari Ponorogo Netral di Pilbup
Indra mengatakan untuk mengungkap kasus tabrak lari memang tidak mudah. Pihaknya mengungkap dengan melakukan penyelidikan. Indra mengaku rutin melakukan penyelidikan lanjutan dengan didukung bukti, mulai dari CCTV serta informasi dari masyarakat.
""Setelah penyelidikan lanjutan akhirnya bisa tertangkap pelakunya,"" terang Indra.
Baca juga:
Operasi Zebra di Ponorogo, Polisi Pakai APD Hingga Dihukum Baca Sumpah Pemuda
Untuk pengungkapan kasus tabrak lari, data Ditlantas Polda Jatim merinci, Polres Ponorogo 7 kasus, Polres Pasuruan 4 kasus, Polres Ngawi 3 kasus, Polres Kediri 3 kasus, Polres Madiun 3 kasus.
Kemudian Polres Probolinggo 2 kasus, Polrestabes Surabaya 2 kasus, Polres Magetan 2 kasus, Polres Batu 2 kasus, Polres Malang Kota 1 kasus, Polres Blitar Kota 1 kasus, Polres Mojokerto Kota 1 kasus, Polres Trenggalek 1 kasus, dan Polres Situbondo 1 kasus.
(iwd/iwd)
polres ponorogo
tabrak lari
polda jatim
penghargaan
birojatim",detikNews
2,https://news.detik.com/berita-jawa-timur/d-5297808/ban-agya-meletus-lalu-tabrak-barrier-dan-pikap-pengemudi-tewas-di-tempat,"Rabu, 16 Des 2020 18:11 WIB",Surabaya,"Ban Agya Meletus Lalu Tabrak Barrier dan Pikap, Pengemudi Tewas di Tempat","Surabaya - Kecelakaan mobil terjadi di Tol Romokalisari, Surabaya-Gresik. Satu orang pengemudi tewas dalam kecelakaan yang terjadi di KM 04/400 itu.
Dari informasi dihimpun, korban meninggal yakni Ita Puteri Hariyanti (25) warga Desa Pongangan, Manyar, Gresik. Kecelakaan terjadi sekitar pukul 07.02 WIB.
Mobil yang terlibat kecelakaan yakni Agya nopol W 1266 BR yang dikemudikan korban. Dan satu mobil lainnya jenis pikap nopol L 9713 BFN yang dikemudikan Abdul Kowi (25).
Baca juga:
Ayla Hantam Tiang TL di Surabaya, Sebelumnya Tabrak Mobil dan Orang Nyebrang
Kanit PJR Tol Jatim 2 Iptu Roni Faslah menyebut hasil analisa petugas di TKP, kecelakaan terjadi karena ban depan mobil yang dikendarai korban meletus.
""Berdasarkan analisa petugas di TKP, kecelakaan terjadi dikarenakan ban meletus depan sebelah kiri,"" terang Faslah, Rabu (16/12/2020).
Menurut Roni, saat ban meletus itu, mobil dalam kecepatan tinggi. Akibatnya mobil yang dikendarai korban menabrak barrier beton kemudian menabrak pikap hingga terguling.
Baca juga:
Elf Terbakar di Tol Madiun-Nganjuk, Tiga Orang Diduga Ikut Terbakar
""Tepat di KM 04.600/B, kecepatan tinggi, ban depan kiri meletus nabrak barrier beton dan terpental ke kanan lalu menabrak pikap L 9713 BF, mental dan terguling dengan posisi berbalik arah,"" tuturnya.
Menurut Roni, kerasnya tabrakan membuat korban meninggal di lokasi. Korban sendiri langsung dievakuasi ke rumah sakit Ibnu Sina, Gresik.
""Korban meninggal di lokasi dan langsung kami evakuasi ke RS Ibnu Sina,"" tandas Faslah.
Simak juga video 'Cerita Korban Selamat Insiden Elf Terbakar di Tol Madiun-Nganjuk':


(iwd/iwd)
kecelakaan
kecelakaan di tol
agya
kecelakaan di surabaya
tol romo kalisari
birojatim",detikNews
3,https://news.detik.com/berita-jawa-timur/d-5297365/sopir-truk-yang-tewaskan-3-bikers-di-pasuruan-jadi-tersangka,"Rabu, 16 Des 2020 14:35 WIB",Pasuruan,Sopir Truk yang Tewaskan 3 Bikers di Pasuruan Jadi Tersangka,"Pasuruan - Kecelakaan antara dua motor dan truk di Jalan Raya Bromo, Desa Karang Sentul, Gondang Wetan, Pasuruan membuat tiga orang tewas. Polisi menetapkan sopir truk menjadi tersangka.
Ketiga korban tewas adalah Erik Yopi Candra (24) warga Desa Sukowilangun Kecamatan Kalipare Kabupaten Malang, Purwito (36) warga Randusari Kecamatan Gadingrejo Kota Pasuruan, dan Sahroni (22) warga Kecamatan Gondangwetan, Kabupaten Pasuruan.
Erik mengendarai motor Suzuki Shogun bernopol N 6367 XK berboncengan dengan Purwito. Sementara Sahroni mengendarai motor Honda Supra bernopol W 3556 YR.
Baca juga:
Truk Selip Tabrak Dua Motor di Jalur Bromo Pasuruan, Tiga Orang Tewas
""Sebelumnya memang belum diketahui identitasnya,"" kata Kasat Lantas Polres Pasuruan Kota AKP Yudiyono, Rabu (16/12/2020).
Sementara itu sopir truk, Antok Sudrajad (22) warga Desa Panditan Kecamatan Lumbang Kabupaten Pasuruan ditetapkan sebagai tersangka.
""Murni kesalahan sopir. Saat hujan masih kecepatan tinggi sehingga ngerem sampai oleng,"" ungkap Yudiyono.
Baca juga:
Ban Pecah, Minibus Berpenumpang 9 Orang Terguling di Tol Gempas
Kecelakaan maut antara truk dan dua motor terjadi Selasa (15/12/2020) pukul 13.10 WIB saat hujan lebat. Kecelakaan bermula saat truk nopol P 8986 UK yang dikemudikan Antok Sudrajad (22) warga Desa Panditan, Lumbang, Pasuruan berjalan dari arah utara ke selatan.
Sampai di lokasi truk mengalami selip. Truk kemudian oleng ke kanan sehingga menabrak pengendara motor Suzuki Shogun bernopol N 6367 XK dan Honda Supra X bernopol W 3556 YR dari arah berlawanan. Setelah menabrak dua motor truk terhenti setelah menyasak pot bunga di depan SDN I Karang Sentul.
(iwd/iwd)
kecelakaan
kecelakaan di pasuruan
motor tabrak truk
birojatim",detikNews
4,https://news.detik.com/berita-jawa-timur/d-5296083/truk-selip-tabrak-dua-motor-di-jalur-bromo-pasuruan-tiga-orang-tewas,"Selasa, 15 Des 2020 17:27 WIB",Pasuruan,"Truk Selip Tabrak Dua Motor di Jalur Bromo Pasuruan, Tiga Orang Tewas","Pasuruan - Kecelakaan maut antara truk dan dua motor terjadi di Jalan Raya Bromo, Desa Karang Sentul Kecamayan Gondang Wetan Kabupaten Pasuruan. Kecelakan ini merenggut tiga nyawa.
Peristiwa ini terjadi Selasa (15/12/2020) pukul 13.10 WIB saat hujan lebat. Kecelakaan bermula saat truk nopol P 8986 UK yang dikemudikan Antok Sudrajad (22) warga Desa Panditan, Lumbang, Pasuruan berjalan dari arah utara ke selatan.
Sampai di lokasi truk mengalami selip. Truk kemudian oleng ke kanan sehingga menabrak pengendara motor Suzuki Shogun bernopol N 6367 XK dan Honda Supra X bernopol W 3556 YR dari arah berlawanan.
Baca juga:
Motor Roda Tiga Terjun ke Jurang di Pasuruan, Pengendaranya Tewas
Foto: Muhajir Arifin
""Truk mengalami selip karena hujan deras dan oleng ke kanan sehingga menabrak dua motor dari arah berlawanan. Satu motor berboncengan sedangkan motor kedua sendirian,"" kata Kasat Lantas Polres Pasuruan Kota AKP Yudiyono, Selasa (15/12/2020).
Setelah menabrak dua motor, truk terus melaju. Truk baru terhenti setelah menabrak pot bunga di depan SDN I Karangsentul.
Baca juga:
Truk Terguling dengan Kepala Terangkat Usai Tabrak Mobil di Pasuruan
Tiga pengendara motor yang semuanya berjenis kelamin laki-laki tewas di lokasi kejadian. Korban dibawa ke RSUD dr R Soedarsono Kota Pasuruan.
""Identitas korban belum diketahui,"" jelas Yudiyono.
(iwd/iwd)
kecelakaan
kecelakaan di pasuruan
truk tabrak motor
birojatim",detikNews
5,https://news.detik.com/berita-jawa-timur/d-5292176/truk-muat-beras-tabrak-pohon-di-probolinggo-sopir-terjepit-kabin-ringsek,"Sabtu, 12 Des 2020 09:35 WIB",Probolinggo,"Truk Muat Beras Tabrak Pohon di Probolinggo, Sopir Terjepit Kabin Ringsek","Probolinggo - Truk bermuatan beras menabrak pohon di jalur Pantura, Desa Pesisir, Kecamatan Sumberasih, Kabupaten Probolinggo. Sopir sempat terjepit kabin truk dalam kecelakaan tersebut.
Warga setempat dibantu pengguna jalan menolong dan membantu mengevakuasi sopir bernama Hadi Purwanto (38), warga Kecamatan Kanor, Kabupaten Bojonegoro itu. Mereka membutuhkan waktu 1 jam untuk evakuasi.
Tubuh Hadi dikeluarkan dari truk Nopol K 1775 GB. Begitu juga dengan kernetnya, Agung Sampurno (25) warga Kecamatan Kepoh Baru, Kabupaten Bojonegoro. Kedua korban langsung dievakuasi ke RSUD dr Mochamad Saleh, untuk dilakukan perawatan medis.
Baca juga:
Tersenggol Lalu Masuk Kolong Truk, Ibu dan Anak di Sidoarjo Tewas Terlindas
Kronologi kecelakaan tersebut, truk melaju dari arah barat menuju timur sekitar pukul 05.15 WIB. Sopir mengantuk. Truk sempat oleng ke kanan dan langsung menghantam pohon trembesi di pinggir jalan pantura.
""Sopir dan kernet ngantuk, bahkan sebelum menabrak pohon sopir tertidur. Dan sopir terjepit dan kernet luka ringan. Ringseknya badan truk membuat warga sulit mengeluarkan sopir yang terjepit,"" ujar Satar, warga setempat, Sabtu (12/12/2020).
Simak juga video 'Truk Seruduk Angkot di Jatiluhur, 2 Orang Tewas':


Polisi dari Unit Laka Lantas Satlantas Polres Probolinggo Kota yang datang langsung melakukan olah TKP (Tempat Kejadian Perkara). Lalu meminta keterangan saksi di lokasi kejadian, untuk mengetahui penyebab kecelakaan tunggal ini.
Bripka Taufik, anggota Laka Lantas Satlantas Polres Probolinggo Kota mengatakan, berdasarkan keterangan saksi-saksi dan hasil olah TKP, diduga kuat sopir mengantuk dan menabrak pohon.
Baca juga:
Warga Tulungagung Tewas Tertabrak Kereta Api Gajayana
""Bahkan kata saksi sopir tertidur saat mengemudikan truk, dan langsung hantam pohon di pinggir jalan. Sopir dan kernet dirawat di rumah sakit,"" kata Bripka Taufik.
Satuan Lalu Lintas Polres Probolinggo Kota mengimbau pengguna jalan yang melintas di jalur pantura Probolinggo, lebih hati-hati. Sebab di musim hujan jalannya licin dan juga rawan aksi kejahatan.
(sun/bdh)
kecelakaan 2019
kecelakaan di probolinggo
truk tabrak pohon
birojatim",detikNews
6,https://news.detik.com/berita-jawa-timur/d-5290840/truk-boks-tabrak-pembatas-jembatan-jalur-madiun-ponorogo-hingga-ringsek,"Jumat, 11 Des 2020 10:53 WIB",Madiun,Truk Boks Tabrak Pembatas Jembatan Jalur Madiun-Ponorogo hingga Ringsek,"Madiun - Sebuah truk boks menabrak pembatas jembatan di Jalur Madiun-Ponorogo. Tidak ada korban jiwa dalam kecelakaan tersebut namun truk itu ringsek.
Truk boks yang mengangkut buah itu bernopol L 9239 VZ. Kecelakaan tunggal itu tepatnya terjadi di Desa Mlilir, Kecamatan Dolopo, Madiun. Dua orang mengalami luka-luka dan dilarikan ke RSUD Ponorogo.
""Betul kecelakaan tunggal melibatkan truk pengangkut buah di jalur perbatasan Madiun dengan Ponorogo. Tepatnya di Mlilir,"" ujar Kanit Laka Polres Madiun Ipda Johan Ariadi saat dihubungi detikcom, Jumat (11/12/2020).
Baca juga:
Tersenggol Lalu Masuk Kolong Truk, Ibu dan Anak di Sidoarjo Tewas Terlindas
Kecelakaan yang terjadi sekitar pukul 05.00 WIB diduga karena pengemudi lalai dan mengantuk. Dalam kecelakaan tersebut, lanjut Johan, tidak ada korban jiwa. Pengemudi dan penumpangnya mengalami luka.
Pengemudi yakni Ferdian (28), warga Desa Dandangan, Kecamatan/Kabupaten Kediri. Ia hanya lecet. Sementara seorang penumpang yang mengalami patah tulang kedua kaki yakni Nanang (35), warga Desa Ploso, Klaten, Jawa Tengah.
""Korban jiwa nihil. Hanya luka sudah perawatan di RSUD Ponorogo. Untuk truk sudah kita evakuasi,"" imbuhnya.
Baca juga:
Lagi, Truk Terguling Saat Naik Flyover di Masangan Sidoarjo
Johan menambahkan, kecelakaan tersebut bermula saat truk boks melaju dari arah utara ke selatan. Atau dari Madiun ke Ponorogo. Sampai di lokasi, kendaraan itu oleng dan menabrak pembatas jembatan. Lalu terguling.
""Pengemudi mengantuk dan oleng menabrak pembatas jembatan mengakibatkan truk terguling,"" pungkasnya.
Simak video 'Truk Seruduk Angkot di Jatiluhur, 2 Orang Tewas':


(sun/bdh)
kecelakaan
truk terguling
truk ringsek
birojatim",detikNews
7,https://news.detik.com/berita-jawa-timur/d-5282884/emak-emak-yang-ditabrak-pengendara-ayla-mabuk-alami-luka-berat,"Sabtu, 05 Des 2020 15:05 WIB",Surabaya,Emak-emak yang Ditabrak Pengendara Ayla Mabuk Alami Luka Berat,"Surabaya - Sebuah mobil Daihatsu Ayla menabrak tiang traffic light di perempatan Pucang, Gubeng, Surabaya, Jumat (4/12) malam. Pengemudi dalam pengaruh alkohol tersebut juga menabrak ibu-ibu pejalan kaki.
Kapolsek Gubeng Kompol Palma Pahlevi mengatakan kondisi ibu-ibu tersebut mengalami luka berat. Usai tertabrak, korban langsung dibawa ke RS Haji Sukolilo Surabaya.
""Ibu-ibu mengalami luka berat, langsung dibawa ke RS Haji,"" kata Palma saat dikonfirmasi detikcom di Surabaya, Sabtu (5/12/2020).
Baca juga:
Polisi Pastikan Pengemudi Ayla yang Tabrak Traffic Light Mabuk
Palma membenarkan jika tiga orang di dalam mobil dalam keadaan mabuk. Sebelum menabrak pejalan kaki hingga tiang traffic light, mobil bernopol L 1130 LI ini juga sempat menabrak mobil lain. Mobil yang dirabrak itu milik Lika Dwijono. Lika mengatakan Toyota Avanza-nya ditabrak dari belakang oleh mobil tersebut saat ia melintas dari arah Manyar.
""Saat lampu merah saya mau berhenti, terus lihat spion tahu-tahu ada mobil berwarna silver berjalan zig-zag gini, nabrak mobil saya, kok nggak berhenti,"" ungkap Lika saat kejadian, Jumat (5/12) malam.
Baca juga:
Ayla Hantam Tiang TL di Surabaya, Sebelumnya Tabrak Mobil dan Orang Nyebrang
Melihat mobilnya menjadi korban tabrak lari, Lika kemudian mengejar Ayla tersebut. Saat mengejar, Lika juga melihat Ayla itu juga menyeprempet mobil di depannya hingga spionnya rusak.
""Kemudian ada orang nyebrang, ibu-ibu dihantam juga. Korbannya dibawa ke Rumah Sakit Haji sama ambulans,"" ungkap Lika.
(hil/iwd)
kecelakaan
kecelakaan di surabaya
ayla
mobil tabrak traffic light
birojatim",detikNews
8,https://news.detik.com/berita-jawa-timur/d-5282818/polisi-pastikan-pengemudi-ayla-yang-tabrak-traffic-light-mabuk,"Sabtu, 05 Des 2020 14:15 WIB",Surabaya,Polisi Pastikan Pengemudi Ayla yang Tabrak Traffic Light Mabuk,"Surabaya - Sebuah mobil Daihatsu Ayla menabrak tiang traffic light di perempatan Pucang, Gubeng, Surabaya, Jumat (4/12) malam. Pengemudi LCGC tersebut ternyata dalam pengaruh alkohol alias mabuk.
Hal ini dibenarkan Kapolsek Gubeng Kompol Palma Pahlevi. Palma membenarkan tiga orang di dalam mobil dalam keadaan mabuk.
""Iya benar (tiga orang dalam kondisi mabuk),"" kata Palma saat dikonfirmasi detikcom di Surabaya, Sabtu (5/12/2020).
Baca juga:
Ayla Hantam Tiang TL di Surabaya, Sebelumnya Tabrak Mobil dan Orang Nyebrang
Palma menambahkan kasus ini kini ditangani Unit Lakalantas Polrestabes Surabaya. Pihaknya juga langsung turun ke TKP semalam dan mengamankan tiga orang berikut dengan kendaraannya yang ringsek.
""Tadi malam Kami amankan TKP dan orang yg ada di dalam kendaraan. Sekarang dalam penanganan unit laka lantas Polrestabes. Penanganan lebih lanjut diserahkan ke Unit laka lantas Polrestabes,"" pungkas Palma.
Sebelumnya, salah satu saksi mata di lokasi Trio, mengatakan warga segera mendekat saat mobil itu menabrak tiang TL. Warga menyuruh yang ada di dalam mobil segera keluar. Ada tiga pemuda yang ada di dalam mobil.
Baca juga:
Pengemudi Ayla yang Tabrak Tiang Traffic Light di Surabaya Diduga Mabuk
Namun saat ditanya oleh warga tentang kejadian itu, mereka menjawab tidak jelas. Diduga tiga pemuda itu mabuk. Saat ditanya, tidak ada yang mengaku. Karena orangnya mabuk semua. Tadi banyak orang yang teriak-teriak bau minuman, bau minuman,"" kata Trio di lokasi, Jumat (4/12) malam.
Dari pantauan detikcom, tiga orang pemuda dengan menggunakan kaus warna putih terlihat duduk di sekitar Jalan Pucang dan dijaga oleh petugas polisi. Dari nada omongannya, mereka terdengar meracau. Mereka juga berjalannya sempoyongan.
Sekitar pukul 22.30 WIB, ketiganya dibawa ke Polsek Gubeng untuk dilakukan pendataan. Mobil Ayla kemudian diderek oleh mobil unit Lantas Polrestabes Surabaya
Lihat juga video 'Kecelakaan Saat Nataru 2020 Lebih Tinggi dari Tahun Lalu':


(hil/iwd)
kecelakaan
kecelakaan di surabaya
ayla
mobil tabrak traffic light
birojatim",detikNews
9,https://news.detik.com/berita-jawa-timur/d-5282361/pengemudi-ayla-yang-tabrak-tiang-traffic-light-di-surabaya-diduga-mabuk,"Sabtu, 05 Des 2020 01:03 WIB",Surabaya,Pengemudi Ayla yang Tabrak Tiang Traffic Light di Surabaya Diduga Mabuk,"Surabaya - Sebuah mobil Daihatsu Ayla menabrak tiang traffic light di perempatan Pucang, Gubeng, Surabaya. Pengemudi LCGC tersebut diduga dalam pengaruh alkohol alias mabuk.
Salah satu saksi mata, Trio, mengatakan warga segera mendekat saat mobil itu menabrak tiang TL. Warga menyuruh yang ada di dalam mobil segera keluar. Ada tiga pemuda yang ada di dalam mobil.
Namun saat ditanya oleh warga tentang kejadian itu, mereka menjawab tidak jelas. Diduga tiga pemuda itu mabuk.
Baca juga:
Ayla Hantam Tiang TL di Surabaya, Sebelumnya Tabrak Mobil dan Orang Nyebrang
Foto: Deny Prastyo Utomo
""Saat ditanya, tidak ada yang mengaku. Karena orangnya mabuk semua. Tadi banyak orang yang teriak-teriak bau minuman, bau minuman,"" kata Trio.
Dari pantauan detikcom, tiga orang pemuda dengan menggunakan kaus warna putih terlihat duduk di sekitar Jalan Pucang dan dijaga oleh petugas polisi. Dari nada omongannya, mereka terdengar meracau. Mereka juga berjalannya sempoyongan.
Baca juga:
SUV di Surabaya Tabrak Tiang Listrik, Pengemudi Didenda Rp 128 Juta
Sekitar pukul 22.30 WIB, ketiganya dibawa ke Polsek Gubeng untuk dilakukan pendataan. Mobil Ayla kemudian diderek oleh mobil unit Lantas Polrestabes Surabaya.
Kapolsek Gubeng Kompol Palma Pahlevi belum bisa memastikan apakah pemuda yang ada di Ayla mabuk atau tidak. ""Belum, kami belum tahu,"" kata Palma.
Sebuah mobil Daihatsu Ayla menabrak tiang traffic light di perempatan Pucang, Gubeng. Sebelumnya, LCGC itu sempat menabrak mobil lain dan orang menyebrang jalan.
(iwd/iwd)
kecelakaan
kecelakaan di surabaya
ayla
mobil tabrak traffic light
birojatim",detikNews
