,Link,Date Time,Category,Title,Content
0,https://radarbanyuwangi.jawapos.com/read/2020/11/05/222842/awas-infectious-coryza-serang-burung-puyuh,"05 NOVEMBER 2020, 09: 17: 59 WIB | EDITOR : ALI SODIQIN",Genteng,"Awas, Infectious Coryza Serang Burung Puyuh","JawaPos.com – Hujan yang hampir tiap hari turun, membuat peternak burung puyuh kelabakan. Sebab, puyuh piaraannya itu banyak yang mati mendadak karena terserang penyakit snot atau Infectious Coryza, kemairn (3/11).

Burung puyuh yang sebelumnya terlihat sehat, tiba-tba lemas dan mati akibat terserang penyakit yang dikenal pilek unggas itu. “Ini sudah biasa, setiap musim hujan banyak yang terserang snot,” cetus salah satu peternak burung puyuh, Yulianti, 40, warga Dusun Blokagung, Desa Karangdoro, Kecamatan Tegalsari.

Menurut Yulianti, dalam dua minggu terakhir ini sudah puluhan ekor puyuh yang mati mendadak. Puyuh yang mati itu, ada benjolan pada matanya. “Yang mati terkena penyakit snot itu ada benjolan di matanya,” ujarnya.

Penyakit snot itu, terang dia, biasa menyerang ungags saat musim pancaroba. Padahal, setiap hari kandangnya sudah dibersihkan. Buruh puyuhnya juga diberi vaksin untuk meningkatkan daya tahan tubuh. “Tetap saja terserang snot, tidak tahan dengan kondisi cuaca,” katanya.

Menurut Yuliatin, saat ini harga telur puyuh mengalami kenaikan. Tapi, ia tidak bisa tenang karena ada serangan penyakit. “Dalam sehari itu burung puyuh menghasilkan dua butir, tapi kalu sedang sakit dan mendadak mati ya tidak dapat bertelur,” katanya.

Untuk mengantisipasi menyebarnya penyakit snot, ruangan di kandang burung puyuh diberi kipas tambahan. Kipas itu, untuk melancarkan sirkulasi udara agar tidak terlalu lembab. “Mudah-mudahan penyakit snot segera teratasi, dan puyuh bisa bertelur lebih banyak,” harapnya.

Kepala Bidang Kesehatan Hewan dan Kesehatan Masyarakat Veteriner (Kabid Keswan dan Kesmavet) pada Dinas Pertanian (Disperta) Banyuwangi, drh Nanang Sugiharto mengatakan penyakit snot disebabkan oleh bakteri. Penyakit itu muncul di saat musim penghujan. “Untuk mengantisipasi penyakit snot, peternak harus selalu memberi antibiotik dan menjaga suhu ruangan agar tidak lembab. Selain itu, juga memberi vaksin,” jelasnya.

Tingkat mortalitas atau ukuran jumlah kematian yang disebabkan penyakit snot pada burung puyuh, terang dia, saat ini tidak begitu tinggi. Jika burung puyuh terinveksi penyakit snot, dapat segera diberi antibiotik dan menjaga kebersihan kandang.

“Tingkat penularan memang tinggi, tapi angka kematian tergolong rendah. Untuk antisipasi, semprot kandang dengan disinfektan agar penyakit snot ini tidak menyerang,” sarannya."
1,https://radarbanyuwangi.jawapos.com/read/2020/11/05/222841/musim-hujan-tiba-bibit-durian-laris-manis,"05 NOVEMBER 2020, 09: 17: 59 WIB | EDITOR : ALI SODIQIN",Genteng,"Musim Hujan Tiba, Bibit Durian Laris Manis","JawaPos.com – Sektor agribisnis, belakangan ini makin menjanjikan, apa lagi saat memasuki musim penghujan. Para penjual bibit tanaman buah, khususnya durian saat ini sedang ketiban untung.

Wasono, 45, warga Dusun Sidorejo Kulun, Desa Yosomulyo, Kecamatan Gambiran mengatakan banyak menyediakan bibit buah, mulai dari bibit buah durian, jambu, alpukat, hingga rambutan. Dari tamaman buah itu, yang paling banyak dicari pembeli bibit durian. “Sekarang banyak yang memesan bibit durian untuk ditanam di kebun,” ujarnya.

Menurutnya, kontur tanah di Banyuwangi, khususnya di wilayah dataran tinggi sangat cocok ditanami durian. Bibit tanamannya itu banyak dipesan oleh pembeli yang berasal dari Kecamatan Glenmore, Songgon, Kalibaru, hingga Licin. “Jumlah pembeli meningkat saat musim hujan seperti ini, itu karena menanamnya lebih mudah,” terangnya.

Bibit tanaman durian didatangkan dari Bali dan Jawa Tengah. Ia menyediakan bibit durian jenis musang king, montong, bawor, dan lokal. Harga bibit durian itu dibanderol Rp 50 ribu hingga Rp 250 ribu per pohon. “Tergantung ukuran dan umur bibit,” katanya.

Dalam sehari jelas dia, dapat menjual 10 hingga 20 bibit pohon durian. Sebelum Covid-19 merebak, ia dapat menjual bibit durian hingga 100 pohon per hari. “Sekarang agak menurun karena ada Covid-19,” katanya."
2,https://radarbanyuwangi.jawapos.com/read/2020/11/04/222840/bantah-alami-kelangkaan-nyatanya-gas-elpiji-3-kilogram-sulit-didapat,"04 NOVEMBER 2020, 17: 47: 41 WIB | EDITOR : ALI SODIQIN",Situbondo,"Bantah Alami Kelangkaan, Nyatanya Gas Elpiji 3 Kilogram Sulit Didapat","JawaPos.com – Masyarakat kesulitan mendapatkan tabung gas elpiji 3 kilogram, belakangan ini. Beberapa sumber mengaku, stok di toko-toko kosong. Karena itu, masyarakat menganggap terjadi kelangkaan.

Akan tetapi, versi pemerintah daerah, elpiji tidak langka. Kabag perekonomian Pemkab Situbondo, Imam Anshori menerangkan, jumlah distribusi tidak dikurangi Pertamina. Malah, ada penambahan. “Kita kemarin sudah mengajukan tambahan fluktuatif ke Pertamina, dan penambahannya sudah turun ke agen,” jelasnya.

Dalam surat pengajuan itu, pemerintah tidak mencantumkan permintaan tambahan. Makanya, Imam mengaku tidak tahu total tambahan yang disuplay Pertamina. “Kuota yang menentukan pertamina. Nanti pertamina mensuplay ke agen,” jelasnya.

Dari agen disuplay ke pangkalan. Kemudian pangkalan mendistribusi ke pengecer, dan baru sampai ke masyarakat. Imam menjelaskan, penambahan fluktuatif merupakan tambahan untuk mengantisipiasi terjadinya kekosongan. “Diajukan oleh daerah jika ada kegiatan-kegiatan di masyarakat. Sekarang inikan ada Maulid Nabi,” kata Imam.

Terpisah, Ketua Pokja Himpunan Wiraswasta Nasional  Minyak dan Gas (Hiswana Migas) wilayah Situbondo, Fransiskus mengatakan, gas elpiji masih normal. Tidak terjadi kelangkaan. “Kita mengirimkan masih normal. Malah ada penambahan dari pihak pertamina sebelum Maulid,” jelasnya.

Sayang, dia tidak tahu secara persis jumlah pasokan tabung gas elpiji yang dipasok ke Situbondo. Akan tetapi, satu pangkalan rata-rata menerima di atas 500 tabung dalam sekali pengiriman. “Agen sudah tahu kebutuhan masing-masing pangkalan,” jelasnya.

Fransiskus mengatakan, untuk jumlah yang disuplay, menjadi kewenangan Pertamina. Pokja Hiswana Migas bertugas mengatur pendistribusian. “Kita hanya operasional. Ketika dapat tambahan, kita operasikan ke wilayah masing-masing,” tambahnya.

Menanggapi keluhan adanya kekurangan, Fransiskus memperkirakan, disebabkan karena permintaan tinggi. Untuk mengimbangi tingginya permintaan konsumen, sudah diterapkan batas maksimal pembelian. ”Maksimal dua tabung untuk satu keluarga. Ini untuk pemerataan,” pungkasnya.

Sahani, warga Kelurahan Patokan, Kecamatan Situbondo mengatakan, di toko-toko sudah jarang gas elpiji 3 kilogram. Sekitar dua tiga hari ini, tabung melon itu tidak ada di toko terdekat tempat biasanya dia membeli. “Akhirnya saya mencari ke tempat lain, tapi tetap tidak ada,” ujarnya.

Salah satu pengecer tabung gas elpiji, Sumini mengaku,  sudah dua pekan ini dirinya dibatasi jumlah pembelian. Biasanya dalam sehari beli tujuh buah tabung, kini hanya tiga tabung. “Makanya, sekarang sering terjadi kekosongan,” katanya."
3,https://radarbanyuwangi.jawapos.com/read/2020/11/03/222653/berangkat-takziyah-mobil-ford-everest-nyemplung-sungai-kaliploso,"03 NOVEMBER 2020, 16: 25: 06 WIB | EDITOR : ALI SODIQIN",Genteng,"Berangkat Takziyah, Mobil Ford Everest Nyemplung Sungai Kaliploso","JawaPos.com - Kecelakan juga terjadi di Dusun Plosorejo, Desa Kaliploso, Kecamatan Cluring, Minggu malam (1/11). Mobil Ford Everest dengan nomor polisi N 1617 PY mengalami kecelakaan tunggal dengan nyemplung ke sungai.

Tidak ada korban jiwa dalam kecelakaan itu, sopir dan tujuh orang penumpang berhasil selamat dan tidak mengalami luka yang serius. “Mobil terjun bebas ke sungai, semua penumpangnya selamat,” cetus Kapolsek Cluring AKP Bejo Madrias Diantoro.

Menurut kapolsek, kecelakaan tunggal yang terjadi sekitar pukul 20.00 itu bermula saat mobil Ford Everest yang disopiri Rilis Angga Wijaya, 28, warga Kabupaten Probolinggo melaju dari arah barat. Saat itu, mobil ini akan takziyah ke Desa Sumberberas, Kecamatan Muncar. “Dalam mobil itu satu keluarga,” terangnya.

Tujuh orang penumpang dalam mobil itu, terang dia, Joko  Nugroho, 53;  Prapti Wahyu Difat, 55; Bima Bagus Setiawan, 27; Edy Sofyan, 74; Muji Utami, 61; Rizatun Jadidah, 24, dan Kara Jahra ,7, semua warga Kabupaten Probolinggo. “Mobil itu penuh dengan penumpang,” ujarnya.

Dari keterangan sejumlah saksi, terang dia, mobil ini melaju dengan kecepatan tinggi. Di lokasi kejadian, mobil ini menyalib truk yang ada di depannya. Tanpa di ketahui sopir, jalan yang dilewati bergelombang dan itu membuat kendaraan oleng. “Sopir banting setir ke arah kanan dan langsung nyemplung ke sungai,” katanya.

Kapolsek menyebut antara sungai dan jalan tidak ada pembatas. Di lokasi kondisi jalan bergelombang, kondisi gelap tanpa ada lampu penerangan jalan. “Mobil masuk ke dasar sungai dengan kedalaman lima meter, mobil terendam air,” cetusnya.

Warga yang melihat kecelakaan itu, langsung mendatangi lokasi untuk menolong para korban. Mereka membantu mengeluarkan para penumpang mobil. Selanjutnya, mobil itu juga langsung dievakuasi dengan bantuan mobil warga. “Setelah mobil berhasil dievakuasi, sopir dan tujuh penumpangnya dijemput oleh keluarganya,” pungkasnya."
4,https://radarbanyuwangi.jawapos.com/read/2020/11/03/222648/dua-dump-truk-untuk-sampah-pasar-genteng-ii,"03 NOVEMBER 2020, 16: 09: 29 WIB | EDITOR : ALI SODIQIN",Genteng,Dua Dump Truk untuk Sampah Pasar Genteng II,"JawaPos.com - Tempat Pembuangan Sementara (TPS) sampah di belakang Pasar Genteng II, Desa Genteng Kulon, Kecamatan Genteng akhirnya dibersihkan oleh Dinas Koperasi dan UMKM Banyuwangi dan Dinas Lingkungan Hidup (DLH) Banyuwangi, kemarin (2/11).

Untuk membersihkan sampah yang menumpuk hingga meluber ke jalanan itu, petugas kebersihan mendatangkan dua unit dump truk sekaligus. Sampah itu, selama ini meresahkan warga karena baunya yang menyengat menyebar-kemana-mana.

Koordinator Pasar Genteng II, Taladin mengatakan untuk mengantisipasi tumpukan sampah dan meluber ke jalanan, pihaknya sudah menyiagakan petugas. “Agar sampah yang dibuang oleh warga pasar dapat ditata dengan baik dan tidak meluber,” ujarnya.

Taladin mengaku sudah koordinasi dengan masyarakat sekitar pasar agar tidak membuang sampah sembarangan. Jika sampah di TPS itu sudah penuh, truk pengangkut sampah akan segera datang untuk mengambil. “Sampah akan segera diambil agar tidak menimbulkan bau busuk dan menggangu warga sekitar,” terangnya.

Taladin berjanji akan terus memantau di lokasi pembuangan sampah. Ia berharap masyarakat juga dapat membantu dengan cara membuang sampah di tempatnya. “Kami imbau kepada warga agar membuang sampah ke dalam TPS dan tidak menaruh sampah di luar TPS,” terangnya."
5,https://radarbanyuwangi.jawapos.com/read/2020/10/27/221533/polisi-obok-obok-lokalisasi-psk-sumberloh,"27 OKTOBER 2020, 17: 08: 51 WIB | EDITOR : ALI SODIQIN",Genteng,Polisi Obok-obok Lokalisasi PSK Sumberloh,"JawaPos.com – Sejumlah penjaja seks komersial (PSK) yang beroperasi di eks lokalisasi Sumberloh, Dusun Padang Bulan, Desa benelan Kidul, Kecamatan Singojuruh, ternyata membuat forpimka setempat kebakaran jenggot. Mereka kembali merazia, Minggu malam (25/10).

Sejumlah wisma yang ada di tempat pelacuran terbesar di Bumi Blambangan, itu juga sempat digeledah. Mereka mencari PSK dan minuman keras (miras) yang diduga banyak diedarkan di tempat itu. “Sudah tidak ada aktivitas prostitusi lagi,” cetus Kapolsek Singojuruh Iptu Abdul Rohman.

Kapolsek mengaku dalam razia yang digelar ini memeriksa semua wisma. Dan hasilnya, tidak ditemukan satu orangpun PSK dan penjualan miras. “Lokalisasi itu sudah tidak aktif lagi,” ujarnya pada Jawa Pos Radar Genteng.

Eks lokalisasi PSK Sumberloh itu, terang dia, akan terus dipantau. Sehingga, tidak tidak meresahkan masyarakat. Untuk pengawasan ini, pihaknya juga berkoordinasi dengan pemerintah desa. “Jika ada warga yang melihat lokalisasi itu beroperasi, segera laporkan,” pintanya.

Masalah eks lokalisasi PSK Sumberloh yang kembali beroperasi itu, jelas dia, sudah dibahas secara khusus di Forpimka Singojuruh. Ia juga memerintahkan Bhabinkamtibmas dan Bhabinsa untuk mengecek l setiap hari. “Kami akan gelar razia rutin,” katanya.

Kepala Desa Benelan Kidul Habib mengatakan sudah mengintruksikan ketua RT dan RW untuk mengawasi warga pendatang. Selain itu, jika ada warga pendatang yang tidak memiliki identitas diri, tidak diperbolehkan berada di eks lokalisasi tersebut. “Itu untuk menjaga ketertiban dan kenyamanan warga,” cetusnya."
6,https://radarbanyuwangi.jawapos.com/read/2020/10/27/221532/layangan-pocong-hantui-warga-purwoharjo,"27 OKTOBER 2020, 17: 07: 21 WIB | EDITOR : ALI SODIQIN",Genteng,Layangan Pocong Hantui Warga Purwoharjo,"JawaPos.com – Pemuda Desa/Kecamatan Purwoharjo membuat layangan sowangan dengan karakter unik, sekaligus menyeramkan. Layangan dibuat dengan karakter hantu pocong.

Salah satu pemuda yang membuat layangan aneh itu Devi Yuliatama, 20, warga Dusun Gumukrejo, Desa/Kecamatan Purwoharjo. Ia hobi membuat layangan jenis sowangan. Tapi layangan karakter hantu pocong, baru kali pertama dibuat. Meski terkesan menyeramkan, layangan itu menarik perhatian banyak orang. “Saya buat mirip hantu pocong agar tampak seram,” ujarnya.

Layangan dengan panjang dua meter dan lebar satu meter itu, selama ini sering diterbangkan. Biasanya, layangan itu diterbangkan di persawahan yang berdekatan dengan tempat pemakanan umum. “Kalau diterbangkan, banyak yang takut,” terangnya.

Jika dilihat sekilas, layangan bentuk pocong itu sangat menakutkan karena mirip hantu beneran. Selain itu, ukurannya juga tergolong jumbo dan terlihat jelas saat melayang-layang di angkasa. “Kalau pas diterbangkan, terlihat jelas seperti hantu,” terangnya.

Devi menyebut layangan itu dibuat dari bahan plastik, lem, dan bambu. Untuk karakter wajah pocong, ia rangkai menggunakan potongan tas plasti bekas. “Banyak yang bilang layangan pocong itu menyeramkan, mirip pocong beneran,” jelasnya.

Devi menyebut layangan itu tidak dijual, tapi hanya dikoleksi sendiri. Untuk membuat satu layangan jumbo, membutuhkan waktu sehari penuh dengan biaya sekitar Rp 50 ribu. “Saya yang buat sendiri layangan itu, sejak kecil saya senang membuat layangan dan melukis,” katanya."
7,https://radarbanyuwangi.jawapos.com/read/2020/10/27/221535/truk-besar-tetap-nekat-masuk-kota-genteng,"27 OKTOBER 2020, 17: 13: 43 WIB | EDITOR : ALI SODIQIN",Genteng,Truk Besar Tetap Nekat Masuk Kota Genteng,"JawaPos.com - Larangan kendaraan roda enam dan lebih melintas di Jalan Gajah Mada, Desa Genteng Kulon, Kecamatan Genteng, ternyata masih banyak yang tidak menaati. Seperti kemarin (26/10), dump truck dan truk pertamina terlihat melenggang di jalan yang ada di pusat Kota Genteng itu.

Sudah tiga bulan ini, polisi dan dinas perhubungan (Dishub) Banyuwangi melakukan rekayasa lalu lintas di pusat Kota Genteng. Untuk kendaraan roda enam dan lebih, dilarang masuk kota karena menyebabkan kemacetan. “Sudah ada larangan, tapi kendaraan masih ada yang melanggar,” ujar Sunarto, 40, warga Desa Genteng Kulon, Kecamatan Genteng.

Menurut Sunarto, di Jalan Gajah mada itu setiap pagi, siang, dan sore terjadi peningkatan volume kendaraan. Dan itu, sering membuat kemacetan. “Hampir setiap hari di jalan Kota Genteng macet total,” cetusnya.

Kemacetan itu, terang dia, diperparah dengan banyaknya truk yang masuk. Terkadang, kendaraan besar itu malah putar balik di jalur tersebut. “Banyak truk yang sering parkir sembarangan, ini membuat kemacetan tambah parah,” terangnya.

Truk yang masuk Kota Genteng itu, masih kata dia, kebanyakan yang meluncur dari arah barat. Kendaraan dari timur, sedikit berkurang karena setiap sore dipasang papan larangan.  “Padahal yang dari arah barat itu melewati pos lantas,” cetusnya.

Meski banyak truk yang masuk Kota Genteng, aparat kepolisian hanya diam. Mereka sepertinya sengaja membiarkan kendaraan yang melanggar itu. “Sering dapat toleransi, sopir truk seenaknya,” cetusnya.

Sayangnya, Kanit Lantas Polsek Genteng, Ipda Wahid Hasyim saat dikonfirmasi melalui telepon selulernya tidak ada jawaban. Meski nomor handpone (HP) aktif, tapi tidak diangkat. Pesan melalui WhatsApp juga tidak dibalas."
8,https://radarbanyuwangi.jawapos.com/read/2020/10/27/221531/jembatan-dibuat-tempat-pembuangan-sampah,"27 OKTOBER 2020, 17: 05: 52 WIB | EDITOR : ALI SODIQIN",Genteng,Jembatan Dibuat Tempat Pembuangan Sampah,"JawaPos.com – Jembatan di Dusun Lidah, Desa/Kecamatan Gambiran, selama ini sering dibuat tempat membuang sampah. Akibatnya, lingkungan di kampung itu menjadi kotor dan terlihat kumuh.

Geram dengan banyaknya orang yang sering membuang sampah sembarangan itu, warga di sekitar jembatan gotong royong menutup jembatan dengan jaring sepanjang 25 meter, kemarin (26/10). “Banyak yang membuang sampah dengan cara melempar dari atas jembatan,” terang Sekretaris Desa/Kecamatan Gambiran, Bina Cahya Putra.

Menurut Bina, yang membuang sempah di sekitar jembatan itu banyak yang dari luar desa. Warga sudah menegur, tapi maish banyak yang ngeyel. “Banyak sampah yang bertebaran di bawah jembatan, sampah itu dibuang oleh orang-orang yang lewat,” katanya.

Dengan dipasang jaring, jelas dia, diharapkan bisa mengurangi sampah yang ada di sekitar jembatan. Warga juga tidak bisa sembarangan dalam membuang sampah. “Sampah yang dibuang sembarangan itu bisa mengakibatkan banjir,” cetusnya.

Bina menyampaikan bagi warga yang tetap membuang sampah di sungai, akan dikenakan sanksi sesuai peraturan daerah (Perda) nomor 13 tahun 2017, tentang pengendalian pencemaran air. “Sudah ada aturannya, jadi masyarakat yang tetap ngotot buang sampah di sungai bisa dikenakan sanksi,” jelasnya."
9,https://radarbanyuwangi.jawapos.com/read/2020/10/23/220809/mangga-asal-situbondo-banjiri-banyuwangi,"23 OKTOBER 2020, 16: 19: 45 WIB | EDITOR : ALI SODIQIN",Genteng,Mangga Asal Situbondo Banjiri Banyuwangi,"JawaPos.com – Buah mangga asal Kabupaten Situbondo, banyak bertebaran di wilayah Kabupaten Banyuwangi. Buah itu dijual oleh para pedagang mulai Banyuwangi Kota hingga di Kecamatan Genteng, kemarin (22/10).

Mangga yang sebagian besar jenis gadung itu, banyak dikirim ke Banyuwangi karena di Situbondo sedang panen raya. Harga buah ini ternyata cukup murah, mulai Rp 7 ribu hingga Rp 8 ribu per kilogram. “Mangga dipasok dari Situbondo,” cetus Salah satu penjual mangga, Aris Susanto, 35, warga Dusun Krajan, Desa Kebaman, Kecamatan Srono.

Mangga gadung asal Situbondo, terang dia, rasanya lebih manis dibanding mangga dari daerah lain. Tekstur daging buahnya, juga lebih legit dan manisnya merata. “Mangga gadung asal Situbondo hamper tidak ada yang kecut,” terangnya.

Soal harga, jelas dia, juga tergolong murah dan terjangkau. Banyak pembeli yang lebih suka mangga gadung ketimbang mangga jenis lainnya. Diperkirakan, musim mangga gadung akan berlangsung hingga tiga bulan ke depan. “Harga sepertinya semakin mahal karena pasokan semakin berkurang,” terangnya.

Aris mengatakan dalam sehari dapat menjual mangga gadung sebanyak 300 kilogram. Saat ini, penjualan mangga gadung dirasa sangat menguntungkan karena banyak peminat. “Jika dibandingkan dengan harga buah lainnya, mangga gadung paling murah,” pungkasnya. (kri/abi)"
