,Link,Date Time,Category,Title,Content
0,https://radarbromo.jawapos.com/pandaan/29/12/2020/curi-kotak-amal-pria-lumbangrejo-prigen-dimassa-tapi-dilepas,"Tuesday, 29 December 2020",PANDAAN,"Curi Kotak Amal, Pria Lumbangrejo Prigen Dimassa, Tapi Dilepas","PANDAAN, Radar Bromo– Perbuatan AJ, 48, tak patut dicontoh. Pria asal Desa Lumbangrejo, Kecamatan Prigen, Kabupaten Pasuruan, dihakimi massa, Selasa (29/12). Penyebabnya, sekitar pukul 08.00 dia mencoba mencuri kotak amal di Musala Al-Ikhlas, Dusun Pateguhan, Desa Tawangrejo, Kecamatan Pandaan.
Syukur, aksinya diketahui warga dan berhasil digagalkan. Bahkan, pelaku sempat dimassa. Namun, akhirnya kasus ini diselesaikan secara kekeluargaan setelah pelaku sempat dibawa ke Mapolsek Pandaan.
Awalnya, pelaku datang dengan mengendarai motor matik. Sesampai di depan musala dan memarkir motornya, ia masuk musala. Ternyata AJ menggondol kotak amal berisi duit ratusan ribu rupiah.
“Pelaku naik motor jenis matik berhenti di depan musala dan masuk. Saat mau mencuri kotak amal dan sudah dipegangnya, kepergok warga. Juga sempat dimassa,” ujar Kepala Desa Tawangrejo Sukirno.
Beruntung aksi massa berhasil diredam oleh sejumlah anggota Polsek Pandaan yang saat itu merapat ke tempat kejadian perkara (TKP). Mereka juga langsung menggiring AJ ke Mapolsek Pandaan untuk dimintai keterangan. Polisi juga memintai keterangan dua warga Dusun Pateguhan, Desa Tawangrejo, sebagai saksi.
“Pelaku berada di TKP belum sempat mencuri, tetapi mau mencuri. Kotaknya memang sudah dipegang, tapi belum terbuka dan uang di dalam kotak sekitar Rp 750 ribu masih utuh,” ujar Kapolsek Pandaan AKP Marwan Isheri Purnomo.
Menjelang sore, perkara ini diselesaikan secara kekeluargaan. Sebab, kepala desa, takmir musala, dan penggurus RT dan RW berada di TKP sepakat tidak melanjutkan perkara ini ke proses hukum. Mereka kompak memaafkan pelaku. (zal/fun)"
1,https://radarbromo.jawapos.com/probolinggo/29/12/2020/rem-motor-matik-blong-sekeluarga-terjun-ke-pekarangan-warga-sumber,"Tuesday, 29 December 2020",PROBOLINGGO,"Rem Motor Matik Blong, Sekeluarga Terjun ke Pekarangan Warga Sumber","SUMBER, Radar Bromo – Rencana Ramadhan Budi, 25 beserta istri dan anaknya untuk pulang usai dari Sumber, Kabupaten Probolinggo berujung tragedi. Motor matiknya alami rem blong hingga terjun ke pekarangan warga.
Kecelakaan tunggal itu terjadi di jalan Desa/Kecamatan Sumber, Selasa (29/12) sekitar pukul 16.00. Sore itu rombongan sekeluarga asal Jalan WR Supratman Sentono, Kelurahan Jati, Kecamatan Mayangan, Kota Probolinggo itu hendak ke arah kota.
Mereka mengendarai motor Honda Beat bernopol N 6347 ST. Yang mengendarai adalah Ramadhan Budi. Sementara sang istri Dewi Nuke Mayasari, 28, dan anaknya Akbar berusia 2 tahun, dibonceng.
Korban Dewi Nuke Mayasari sesaat sebelum dirujuk ke RSUD dr Moh Saleh. (Polsek Sumber for Jawa Pos Radar Bromo)
Kapolsek Sumber Iptu Sono menjelaskan, saat sampai di lokasi kejadian, rem motor matik korban alami panas dan tak berfungsi. Alias ngeblong.
Untuk menghindari tabrakan yang lebih fatal, Ramadhan Budi memilih membelokkan motornya untuk masuk ke pekarangan warga.
”Kecelakaan akibat rem motor blong. Diduga rem blong akibat panas setelah dipakai terus menerus saat posisi jalan menurun. Kemudian motor pun masuk ke pekarangan warga,” katanya Iptu Sono.
Akibat kecelakaan tunggal itu, korban Budi alami luka patah jari kelingking tangan sebelah kanan, luka robek pada tulang kering bawah lutut kaki sebelah kanan, dan memar di punggung. Sedangkan korban Dewi alami luka robek kaki sebelah kanan, luka robek di pelipis mata sebelah kiri.
Dewi harus dirujuk ke RSUD dr Moh. Soleh Kota Probolinggo. Sedangkan korban Akbar anaknya, alami memar di dahi. ”Semua korban hanya alami luka luka. Satu korban dirujuk ke RSUD Moch Saleh Kota Probolinggo,” ujar Sono. (mas/mie)"
2,https://radarbromo.jawapos.com/probolinggo/29/12/2020/rem-beat-ngeblong-sekeluarga-terjun-ke-pekarangan-warga-di-sumber,,,,
3,https://radarbromo.jawapos.com/pasuruan/29/12/2020/mau-antar-ganja-2-kilogram-mantan-atlet-voli-asal-gempol-dibekuk-bnn,"Tuesday, 29 December 2020",PASURUAN,"Mau Antar Ganja 2 Kilogram, Mantan Atlet Voli Asal Gempol Dibekuk BNN","PASURUAN, Radar Bromo– Badan Narkotika Nasional (BNN) Kabupaten Pasuruan menangkap TP, 29. Mantan atlet volli asal Kecamatan Gempol tersebut ditangkap di jalan Melian Barat, Kejapanan, Gempol, Rabu (4/11) lalu. TN ditangkap saat hendak mengantar ganja seberat 2,1 kilogram ke Porong, Sidoarjo.
Begitu ditangkap, ia langsung digelandang ke kantor BNN untuk kepentingan penyelidikan lebih lanjut.
Erlang Dwi Permata, Kepala BNN Kabupaten Pasuruan mengatakan, penangkapan tersebut berdasarkan inforkasi dari BNN Medan, Sumatra Utara. BNN diberitahu bahwa ada kiriman paket aneh yang telah beberapa kali mendarat di Pasuruan.
Berdasarkan informasi itu, pihaknya kemudian langsung menelusuri. Hasilnya, pada tanggal itu pihaknya mendapat kabar bahwa paket yang mencurigakan telah tiba di Kota Pasuruan melalui paket pengiriman sebuah jasa ekspedisi. Yang Paket itu akan dikirim ke Kelurahan Japanan. “Setelah itu, kami telusuri lagi sampai pada penerimanya, ” katanya.
Selanjutnya, pukul 14.00 ganja tersebut diterima oleh tersangka. Ia mengendarai motor Honda Vario miliknya. Petugas yang telah siap untuk melakukan penangkapan, lantas langsung menangkap pelaku.
“Langsung kami amankan. Tersangka dengan barang buktinya narkotika jenis batang daun ganja. Itu kami lakukan setelah tersangka menerima paket tersebut dari kurir JNE,” ungkapnya. (sid/fun)"
4,https://radarbromo.jawapos.com/probolinggo/29/12/2020/hari-pertama-74-orang-masuk-kab-probolinggo-di-rapid-test-antigen,"Tuesday, 29 December 2020",PROBOLINGGO,"Hari Pertama, 74 Orang Masuk Kab Probolinggo Di-Rapid Test Antigen","PROBOLINGGO, Radar Bromo – Senin (28/12) Pemkab Probolinggo mulai menerapkan rapid test antigen untuk warga luar yang masuk ke wilayahnya.
Sebanyak 74 orang yang masuk ke kabupaten langsung dites di pos Rest Area Tongas. Dan hasilnya, semuanya nonreaktif.
Operasi itu sendiri berlangsung sekitar dua jam. Dari 74 pelaku perjalanan itu, sebanyak 19 orang asal Kabupaten Probolinggo. Lalu, 2 orang dari Kota Probolinggo dan 53 warga luar daerah.
Mereka ini ada yang mengendarai mobil pribadi. Ada juga yang naik kendaraan umum. Semua kendaraan itu langsung dihentikan saat melewati pos Rest Area Tongas. Kemudian, penumpangnya diminta turun dan menjalani rapid test antigen.
Pantauan Jawa Pos Radar Bromo menyebutkan, operasi pelaku perjalanan di Tongas kemarin melibatkan sejumlah petugas. Yaitu, 30 personel Polri, TNI, dan Satpol PP. Ada juga lima petugas khusus yang bertugas melakukan rapid test antigen. Mereka mengenakan APD (alat pelindung diri) lengkap. Kemudian, dua tenaga kesehatan (nakes) bertugas mencatat mereka yang terjaring operasi.
Awalnya, beberapa mobil pribadi yang melintas dari arah barat ke timur langsung diarahkan masuk ke Rest Area Tongas. Baik itu kendaraan pelat Probolinggo maupun luar daerah. Semuanya lantas menjalan rapid test antigen.
Selang 30 menit kemudian, petugas kembali mengarahkan kendaraan yang melintas masuk ke Rest Area Tongas. Ada rombongan mobil Elf dari Tanggul, Kabupaten Jember. Mereka habis menghadiri acara di Kecamatan Lekok, Kabupaten Pasuruan dan hendak pulang ke Tanggul.
”Dari Tanggul. Habis acara di Lekok, mau pulang ke Tanggul,” kata salah satu penumpang mobil Elf tersebut.
Salah satu yang dites cepat atau rapid antigen kemarin yaitu Reny Mardiana, 40, asal Kepanjen, Kabupaten Malang. Dia mengaku akan ke rumah asal suaminya di Desa Sumendi, Kecamatan Tongas, Kabupaten Probolinggo.
Reny sendiri selama dari Malang, tidak menyiapkan surat sehat hasil rapid test antigen. Sebab, dari Malang tidak ada pemeriksaan. Di jalan tol pun hanya pemeriksaan suhu tubuh saja.
“Awal dicegat kaget. Tapi bagus juga rapid test antigen gratis. Terus ini sebagai bentuk pencegahan penyebaran Covid-19 juga. Hasil rapid test antigen saya dan anak saya, nonreaktif,” katanya.
Ugas Irwanto selaku ketua penegakan hukum Satgas Penanganan Covid-19 Kabupaten Probolinggo mengatakan, pemeriksaan rapid test antigen di pintu masuk Kabupaten Probolinggo ini sesuai imbauan dari pemerintah pusat. Karena itu, pemkab pun betul-betul melakukan check point.
Dengan check point ini, pihaknya turut serta memantau kondisi masyarakat Indonesia selama melakukan perjalanan. Baik dari Kabuapten Probolinggo atau dari luar Kabupaten Probolinggo. Sebab selama periode libur panjang lalu, banyak klaster yang membuat masyarakat tertular Covid-19.
”Nantinya kalau hasil rapid test antigen reaktif, bagi warga Kabupaten Probolinggo langsung akan kami karantina di rumah isolasi. Karena antigen ini persentase keakuratannya luar biasa tinggi, hampir sama dengan swab PCR,” katanya.
Bagi warga dari luar kabupaten yang hasil tesnya reaktif, dikatakan Ugas, langsung akan disuruh kembali ke rumahnya masing-masing. Pertimbangannya, agar tidak menular pada yang lain. Sebab, pihaknya tidak yakin bahwa selama perjalanan nanti mereka yang hasil tesnya reaktif tidak berhenti di tengah jalan.
”Perintah dari Satgas Kabupaten, Ibu Bupati bersama Forkopimda termasuk Polresta sepakat bahwa kami akan melakukan pengetatan di tiga titik. Yaitu, Tongas, Paiton, dan Leces,” tuturnya.
Hari pertama, menurutnya, dimulai di Tongas. Total ada 74 orang yang terjaring operasi pelaku perjalanan. Mereka semua dites cepat antigen dan hasilnya nonreaktif semua.
“Kemudian mulai besok (hari ini, Red) serentak di tiga titik,” terangnya.
Untuk waktu operasi di perbatasan, menurut Ugas, pihaknya tidak menetapkan waktu atau jam. Namun, nantinya Satgas akan melihat kondisi perkembangan kerawanan. Jika banyak pengendara masuk ke Kabupaten Probolinggo, maka operasi akan dilakukan.
”Jadi operasi ini dilakukan bergantian dan acak selama libur Nataru. Kalau sesuai surat edaran bupati, operasi rapid test antigen ini akan berlangsung sampai tanggal 8 Januari,” terangnya. (mas/hn)"
5,https://radarbromo.jawapos.com/hukrim/29/12/2020/dugaan-korupsi-tanah-waduk-kedemungan-belum-tetapkan-tersangka,"Tuesday, 29 December 2020",HUKUM DAN KRIMINAL,"Dugaan Korupsi Tanah Waduk Kedemungan, Belum Tetapkan Tersangka","BANGIL, Radar Bromo – Kasus dugaan korupsi atas pemanfaatan tanah waduk Dinas PU SDA Provinsi Jatim di Desa Kedemungan, Kecamatan Kejayan, sejauh ini masih didalami. Hingga saat ini pihak kepolisian belum menetapkan satu pun tersangka atas kasus tersebut.
Kanit Tipikor Satreskrim Polres Pasuruan Ipda Wachid S. Arief menyampaikan, proses penyidikan kasus dugaan korupsi Alokasi Dana Desa (ADD) dan Dana Desa (DD) di Kedemungan masih dilakukan. Beberapa orang yang terkait dengan kasus tersebut, telah diperiksa untuk dimintai keterangannya.
“Kami juga sudah menghadirkan dari dinas terkait untuk melakukan pengukuran di lahan yang digunakan bangunan Toko Samprodi milik BUMDes,” kata Kanit Tipikor Satreskrim Polres Pasuruan Ipda Wachid S. Arief.
Hanya memang, kata Wachid, belum ada satu pun orang yang ditetapkan sebagai tersangka. Meski begitu, kasus tersebut sudah mengarah ke tersangka. Namun ia masih enggan untuk membeberkannya. “Kami masih mengumpulkan alat-alat bukti. Termasuk menunggu hasil audit dari inspektorat,” sambung dia.
Seperti yang diberitakan sebelumnya, pihak kepolisian tengah menelusuri dugaan korupsi di Desa Kedemungan. Dalam penelusuran yang dilakukan, Ketua Komisi III DPRD Kabupaten Pasuruan Saifullah Damanhuri ikut dipanggil penyidik.
Gus Saiful –sapaannya- ikut diperiksa karena memiliki keterkaitan. Tanah waduk milik Dinas PU SDA Provinsi Jatim disebut-sebut telah dikuasainya. Sementara, tanah tersebut digunakan untuk membangun BUMDes.
Padahal, pembangunan gedung toko Samprodi milik BUMDes seharusnya dibangun di atas lahan desa. Bukan tanah pengairan atau Dinas SDA. Hal ini yang tengah ditelusuri. Beberapa orang diperiksa. Termasuk Gus Saiful yang saat ini masih berstatus saksi.
Gus Saiful sendiri menegaskan kalau tidak pernah memberi izin, memerintah ataupun melarang pembangunan gedung toko Samprodi di tanah setempat. Ia merasa belum sepenuhnya menjadi pemilik tanah tersebut karena masih dalam proses sertifikat hak milik. (one/mie)"
6,https://radarbromo.jawapos.com/bangil/29/12/2020/jalan-rusak-di-pekangkungan-membahayakan-warga-waswas,"Tuesday, 29 December 2020",BANGIL,"Jalan Rusak di Pekangkungan Membahayakan, Warga Waswas","GONDANGWETAN, Radar Bromo – Datangnya musim hujan membuat sejumlah ruas jalan di Kabupaten Pasuruan alami kerusakan. Hal itu seperti yang terlihat di Desa Pekangkungan, Kecamatan Gondangwetan.
Dari pantauan Jawa Pos Radar Bromo, ruas jalan yang alami kerusakan parah sekitar 1 kilometer. Jalan itu merupakan jalan kabupaten yang menyambungkan Desa Pekangkungan dengan Desa Karangpandan, Kecamatan Rejoso. Ada yang kerusakannya tak seberapa, ada juga yang alami kerusakan hingga memakan separo badan jalan.
Chanan, warga setempat mengatakan, jalan itu rusak sudah sekitar 2 tahunan. Rusaknya jalan itu setelah adanya pengerjaan jalan tol. “Dulu sebelum ada tol, bagus jalannya. Tetapi, kini ya begitu, rusak! Sudah dua tahun lebih kayaknya,” katanya.
Menurutnya, jalan tersebut tergolong jalan yang sering digunakan. Karena jalan itu dekat dengan jalan pantura. “Jalan ini (menunjuk pada jalan) ramai. Banyak setiap harinya yang lewat,” katanya. Lantaran itu, pihaknya khawatir sampai memakan korban.
“Pernah diperbaiki sebenarnya beberapa bulan lalu. Ada kira-kira setengah tahun lalu. Tetapi, sudah rusak lagi. Kami berharap segera diperbaiki,” ungkapnya.
Mukhlis, salah seorang pengendara juga berharap yang sama. Sebab, tak jarang ketika hendak ke kota ia melalui jalur itu. “Masak nunggu ada yang jatuh? Kalau bisa ya segera diperbaiki,” harapnya.
Sementara itu, Eko Bagus, Sekretaris PU Bina Marga saat dikonfirmasi belum merespons. (sid/mie)"
7,https://radarbromo.jawapos.com/bangil/29/12/2020/kab-pasuruan-dapat-tambahan-14-ribu-blangko,"Tuesday, 29 December 2020",BANGIL,Kab Pasuruan Dapat Tambahan 14 Ribu Blangko,"RACI, Radar Bromo – Ini kabar gembira bagi warga Kabupaten Pasuruan yang hendak mengurus KTP elektronik (e-KTP). Sebab, hingga Januari 2021 mendatang, stok blangko e-KTP di wilayah setempat dipastikan aman.
Hal itu diketahui usai pemkab setempat mendapatkan tambahan stok blangko di akhir tahun ini. Kepala Dispenduk Capil Kabupaten Pasuruan Yudha Triwidya Sasongko mengatakan, pihaknya mendapatkan tambahan blanko sekitar 14 ribu keping.
“Untuk ketersediaan blangko insyaallah aman hingga Januari tahun depan,” katanya.
Yudha menjelaskan, stok blangko e-KTP di pemerintah pusat sendiri sejauh ini kondisinya aman. Daerah bisa mengajukan dan dapat terdistribusi. Kondisi itu tidak seperti tahun sebelumnya. “Di Pusat sendiri juga aman. Daerah bisa mengajukan tidak seperti tahun kemarin,” tuturnya.
Mantan Kepala Satuan Polisi Pamong Praja (Kasatpol PP) itu menjelaskan, saat ini stok blangko yang ada sekitar 24 ribu keping. Angka tersebut, diperkirakan bakalan cukup sampai tahun depan. Baru, nanti jika kondisi menipis, maka pihaknya akan mengajukan kembali.
Dalam kondisi korona sendiri, pelayanan dilakukan secara online. Bahkan, bisa mengurus dari desa. Namun, pengurusan ke desa masih sebatas 40-an desa yang telah menjelankan program ini.
“Kami fokuskan ke online. Jika tidak bisa melalui online, bisa melalui desa di kios Pakladi. Ada sekitar 48 desa yang menjalankan program ini,” terangnya. (sid/mie)"
8,https://radarbromo.jawapos.com/hukrim/29/12/2020/tim-meteor-polresta-probolinggo-dibekali-senjata-laras-panjang,"Tuesday, 29 December 2020",HUKUM DAN KRIMINAL,Tim Meteor Polresta Probolinggo Dibekali Senjata Laras Panjang,"KANIGARAN, Radar Bromo – Menyikapi tindak kriminalitas dan kejahatan yang kian meningkat, Polres Probolinggo Kota membentuk Unit Reaksi Cepat (URC) Meteor. Tim yang beranggotakan 10 personel kepolisian ini dibentuk bertujuan memberantas gangguan Kamtibmas.
Meteor yang merupakan kepanjangan dari mantap, energik, tepercaya, efektif, optimis, dan responsif ini diharapkan mampu menjawab semua persoalan berkaitan dengan kriminalitas di Kota Probolinggo. Termasuk dapat mengungkap sejumlah kasus yang sebelumnya pernah terjadi.
Jumlah anggota yang tergabung dalam unit ini sebanyak 10 orang. Mereka dibekali senjata laras panjang. Kesepuluh anggota itu memiliki keahlian khusus. Mulai dari menembak hingga bela diri.
Kapolres Probolinggo Kota AKBP R.M Jauhari mengatakan, setiap anggota yang tergabung dalam URC Meteor merupakan anggota terlatih. Mulai dari penembak terbaik di Jajaran Polresta. Serta, berdedikasi baik dan disiplin dalam pekerjaannya. “Mereka ini sudah melakoni asesmen oleh Bagsumda terkait kinerjanya,” ujarnya.
Meski Unit Meteor dilengkapi senjata laras panjang, namun anggota tetap harus menggunakannya sesuai Standar Operasional Prosedur (SOP). “Jadi, tidak sembarangan menembak, tetap harus sesuai SOP dan Perkap Kapolri tentang penggunaan senjata api,” ujarnya.
Selain dibekali senjata laras panjang, tim juga dilengkapi sejumlah motor trail dan sebuah kendaraan SUV untuk mempermudah operasinya. Jauhari mengatakan, Unit Meteor merupakan tim spesial yang dibentuk dalam masa Pandemi Covid-19. Mereka juga bisa bersinergi dengan tim lainnya, seperti Covid Hunter guna menekan penyebaran Covid-19.
“Pada intinya, Unit Meteor dibentuk guna mengungkap semua kasus kejahatan di wilayah hukum Polresta. Serta, membantu menanggulangi penyebaran Covid-19,” jelas Jauhari. (rpd/rud)"
9,https://radarbromo.jawapos.com/probolinggo/29/12/2020/gaji-tak-jelas-abk-wadul-dinas-pmtsp-kota-probolinggo,"Tuesday, 29 December 2020",PROBOLINGGO,"Gaji Tak Jelas, ABK Wadul Dinas PMTSP Kota Probolinggo","KANIGARAN, Radar Bromo – Gara-gara gajinya tidak jelas, seorang anak buah kapal (ABK) melapor ke kantor Dinas Penanaman Modal Penanaman Terpadu Satu Pintu (PMPTSP) dan Tenaga Kerja Kota Probolinggo, Senin (28/12) siang. Dia datang atas nama dirinya dan sembilan rekannya yang bernasib serupa.
Adalah Aziz Fikri Hidayatullah, 25, yang datang melapor ke Dinas PMPTSP dan Tenaga Kerja. ABK asal Jakarta Utara itu mengaku bekerja di KM Penelope bersama sembilan rekannya.
Mereka dikontrak 5 bulan oleh PT Berkah Aneka Laut di Jl Ikan Belanak No. 18A, Keluruhan/Kecamatan Mayangan, Kota Probolinggo. Mereka dikontrak Agustus-Desember untuk menangkap ikan.
Pada Agustus, mereka berangkat bekerja dari Pelabuhan Probolinggo. Lalu pada 1 November, mereka pulang ke Pelabuhan Probolinggo. Namun, hingga 28 Desember, mereka semua tidak menerima gaji utuh sesuai kontrak kerja.
Aziz menjelaskan, seharusnya mereka menerima gaji rata-rata Rp 15 juta per orang setelah pekerjaan selesai. Yakni, menangkap ikan di area penangkapan ikan atau ground fishing. Total, gaji mereka semua Rp 146 juta.
Namun, kenyataannya gaji mereka tidak jelas sampai Desember. Di awal berangkat, mereka ngebon Rp 3 juta per orang untuk uang saku. Artinya, tiap orang masih memiliki sisa gaji rata-rata Rp 12 juta per orang.
“Gaji kami semua yang mayoritas dari luar daerah itu berbeda-beda, totalnya Rp 146 juta,” tuturnya.
Namun, saat mereka kembali ke Pelabuhan Probolinggo, malah tidak ada kejelasan masalah gaji. Aziz dan rekan-rekannya pun mengaku terus menagih hak pada perusahaan.
“Akhirnya minggu lalu diberi Rp 13,5 juta untuk 10 orang. Dari 10 orang itu dua orang pulang dan sisanya masih bertahan. Karena menunggu hak kami atau kekurangan gaji,” kata Aziz.
Menurutnya, tidak cairnya gaji sejumlah ABK itu lantaran tidak ada tanda tangan dari nakhoda kapal. Sementara nakhoda kapal yang berinisila HD, diketahui melarikan diri. HD menurutnya melarikan diri lantaran punya utang ke perusahaan senilai Rp 500 juta.
“Perusahaan baru bisa mencairkan gaji kami setelah ada tanda tangan dari HD. Tetapi HD kan melarikan diri. Terus bagaimana nasib kami?” katanya.
Saat ini, menurutnya, dari 10 ABK, satu di antaranya meninggal dunia. Lalu dua lainnya pulang kampung setelah menerima Rp 13,5 juta yang dibagikan pada 10 ABK itu.
Menurutnya, perusahaan memberi uang Rp 13,5 juta itu untuk biaya pulang kampung. Namun, hanya dua ABK yang pulang. Sisanya tujuh orang menunggu haknya dibayarkan.
“Kami sampai sewa kontrakan untuk tempat tinggal. Soalnya kan sudah tidak bisa tinggal di kapal. Dulu kami tinggal di kapal, namun diusir sama perusahaan,” tambahnya
Sementara, Plt Kepala Dinas PMPTSP dan Tenaga Kerja Kota Probolinggo Aman Suryaman mengatakan, pihaknya sudah menindaklanjuti masalah itu. Pengaduan menurutnya masuk Senin (28/12) siang. Selanjutnya pada Selasa (29/12) undangan akan diluncurkan kepada pihak terkait, yaitu perusahaan dan AKB. Mereka akan dipertemukan untuk melakukan mediasi pada Rabu (30/12).
“Jadi besok undanganya akan kami berikan kepada pihak terkait untuk hadir pada tanggal 30 Desember untuk mediasi pertama,” katanya.
Terpisah, wartawan Jawa Pos Radar Bromo sudah berusaha mengonfirmasi Supervisor PT Berkah Aneka Laut, Bram. Namun, yang bersangkutan tidak dapat dikonfirmasi. Telepon dari media ini tidak bisa masuk. Sementara pesan melalui WhatsApp tidak dijawab, hingga pukul 17.00. (rpd/hn)"
