,Link,Date Time,Category,Title,Content
0,https://radarbromo.jawapos.com/news/24/12/2020/pesimistis-akan-ada-suplai-ternak-di-balai-karantina,"Thursday, 24 December 2020",NEWS,Pesimistis Akan Ada Suplai Ternak di Balai Karantina,"KRAKSAAN, Radar Bromo – Dari awal pandemi Covid 19 atau sejak Maret lalu, pengiriman hewan ternak sudah tidak dilakukan di Balai Karantina Pertanian Wilayah Kerja Kalibuntu, Kecamatan Kraksaan. Hal itu disinyalir akan berlanjut hingga pergantian tahun 2021.
Paramedik Veteriner Balai Karantina Wilayah Kerja Kalibuntu Slamet mengatakan, tidak adanya pengiriman hewan ternak, tidak terlepas dari adanya pandemi Covid-19. Inilah yang menjadi alasan utama pedagang luar daerah.
“Sejak awal pandemi para pedagang beralasan takut terpapar korona. Jadi, dari pada mati gegera korona, makanya tidak ada suplai yang dilakukan. Jika pandemi ini tetap seperti ini, hingga tahun depan mungkin tidak akan ada pengiriman,” ujarnya.
Selain persoalan Covid 19, Slamet juga menjelaskan, tidak adanya pengiriman ternak karena para pedagang juga banyak beralih pada transportasi darat. Tepatnya melalui Jembatan Surabaya Madura (Suramadu). Sehingga, dapat memangkas waktu penjualan para pedagang ke pasar.
“Kalau dari darat itu bisa langsung ke pasar kata pedagang. Namun, untuk cek kesehatan dan kebersihan hewan, kami tidak tahu dilakukan di mana. Kalau para pedagang yang melalui tempat kami, kan pengecekan dan pembersihannya dilakukan langsung di Balai Karantina,” jelasnya.
Di samping itu, Slamet mengatakan, pada masa pandemi Covid-19, pihaknya juga ditunjuk mengawasi tiga pelabuhan pengiriman hewan ternak lainnya. Hal itu dilakukan karena di tempatnya tidak adanya pengiriman. “Saya ditugasi mengawasi tempat lain yang berada di Pasuruan, Probolinggo, dan Situbondo. Kalau di pelabuhan lain pengiriman masih tetap lancar,” ujarnya. (mu/rud/fun)"
1,https://radarbromo.jawapos.com/news/23/12/2020/mau-kerja-pegawai-dishub-tewas-jadi-korban-tabrak-lari-di-beji,"Wednesday, 23 December 2020",NEWS,"Mau Kerja, Pegawai Dishub Tewas Jadi Korban Tabrak Lari di Beji","BEJI, Radar Bromo– Nahas nian nasib yang dialami Yoyok Pudjo Prayugo, 55. Pegawai yang seharinya menjalankan tugas di Cargo Beji, berakhir pilu. Pegawai Dishub Kabupaten Pasuruan tersebut meninggal dunia, setelah ditabrak tractor head yang tak diketahui identitasnya.
Informasi yang diperoleh radarbromo.jawapos.com peristiwa memilukan itu menimpa korban, Rabu sore (23/12). Ceritanya berawal saat korban hendak berdinas di Terminal Cargo Beji. Ia berangkat dari rumahnya di Pekuncen, Kecamatan Panggungrejo, Kota Pasuruan.
Semula, semuanya lancar. Korban mengendarai motor Honda Supra X 125 nopol N 5834 XA sendirian dari arah Pasuruan. Hingga ia sampai di Luwung, Desa/Kecamatan Beji. Saat hendak menyebrang, sebuah tractor head tak diketahui identitasnya menyasaknya dari belakang.
Tabrakan tersebut membuat korban masuk jalur berlawanan. Ironisnya, saat yang sama muncul sebuah mobil Daihatsu Terios nopol S 1492 ZM. Jarak yang dekat, membuat sopir Terios, Triyono Kembar Saputro, 44, warga Puton Diwek, Jombang, tak kuasa menghindar.
Mobil yang masih kinyis-kinyis itupun, langsung menabrak dan melindas kepala korban. Seketika saja, korban meninggal dunia di lokasi kejadian. “Kejadiannya sekitar pukul 17.00,” kata Yudi, warga Beji.
Sugi, salah satu pegawai Dishub Kabupaten Pasuruan membenarkan kalau Yoyok merupakan pegawai Dishub Kabupaten Pasuruan. Selama ini, Yoyok bertugas di Terminal Cargo Beji. “Iya, beliau pegawai Dishub yang bertugas di Cargo Beji,” akunya sedih. (one/fun)"
2,https://radarbromo.jawapos.com/news/23/12/2020/sediakan-toilet-portable-di-exit-tol-leces,"Wednesday, 23 December 2020",NEWS,Sediakan Toilet Portable di Exit Tol Leces,"KRAKSAAN, Radar Bromo – Beragam persiapan dilakukan menjelang Natal dan Tahun Baru (Nataru). Salah satunya dilakukan oleh Badan Penanggulangan Bencana (BPBD) Kabupaten Probolinggo, dengan menyiagakan toilet portable. Namun, BPBD hanya memasang satu titik toilet.
Kabid Kedaruratan dan Logistik BPBD Kabupaten Probolinggo Sugeng Suprisayoga mengatakan, menjelang Nataru, pihaknya menyiagakan sejumlah toilet portable bagi para petugas di Pos Pemantau Terpadu. Toilet ini juga diperuntukkan bagi para pengendara yang melakukan perjalanan.
“Yang sudah kami taruh, ada di Exit Tol Leces sebelah barat. Selain itu, para petugas kepolisian dan jajaran lainnya di pos pantau, para pengendara juga dapat menfungsikan toilet portable tersbut,” ujarnya, Selasa (22/12).
Sejatinya, kata Sugeng, BPBD memiliki 12 toilet portable. Namun, karena permintaan pemasangan hanya satu, pihaknya hanya memasang toilet di satu titik. “Permintaannya hanya satu titik. Jadi, kami kirim dua toilet ke exit tol Leces. Sisanya, toilet yang ada banyak yang rusak,” ujarnya.
Ia memastikan, menjelang Nataru, BPBD tetap menyiagakan personelnya. Namun, berbeda dengan kepolisian, Satpol PP, maupun Dinas Kesehatan, BPBD memantau dari jauh.
“Kami pantau dari kantor. Sebab, dikhawatirkan nanti ada persoalan kebencanaan yang tidak tentu di sebelah mana daerahnya, maka lebih mudah kami pantau dari sini (kantor),” ujarnya. (mu/rud/fun)"
3,https://radarbromo.jawapos.com/pasuruan/22/12/2020/kapolres-pasuruan-tahun-baru-jangan-sampai-gelar-event,"Tuesday, 22 December 2020",PASURUAN,Kapolres Pasuruan: Tahun Baru Jangan Sampai Gelar Event,"BANGIL, Radar Bromo – Momen liburan Natal dan Tahun Baru (Nataru) 2021 diprediksi rentan terjadi lonjakan kasus positif Covid-19 di Kabupaten Pasuruan. Banyaknya warga yang bepergian hingga berwisata, menjadi faktor yang bisa memicu tumbuhnya kasus-kasus baru Covid-19.
Sejumlah langkah pun dipersiapkan. Salah satunya, larangan bagi pelaku wisata untuk menggelar event yang bisa mengundang keramaian. Kapolres Pasuruan, AKBP Rofiq Ripto Himawan mengingatkan agar pelaku wisata tidak menggelar event. Supaya, tidak menyebabkan kerumunan massa di tempat-tempat wisata.
Ia mengakui, tidak menutup tempat-tempat wisata. Namun, ia melarang tempat-tempat wisata menggelar event. “Jangan sampai menggelar event. Kami tidak melarang buka, tapi melarang untuk menggelar event yang bisa memicu keramaian,” bebernya di sela-sela gelar pasukan Operasi Lilin Semeru 2020.
Kapolres menambahkan, bakal mengambil sikap tegas kalau ada tempat wisata yang menggelar event. Pembubaran bukan tidak mungkin akan dilakukannya.
Disampaikannya, momen Natal dan tahun baru saat ini, memang bakal berbeda dengan tahun-tahun sebelumnya. Karena, bukan hanya kamtibmas yang diantisipasi. Tetapi juga, ancaman pelanggaran-pelanggaran protokoler kesehatan. Sebab, pelanggaran protokoler kesehatan rentan meningkat.
Sekda Kabupaten Pasuruan, Anang Saiful Wijaya mewanti-wanti agar masyarakat tidak menggelar perayaan atau arak-arakan ketika natal atau tahun baru. Hal ini sebagai langkah dalam upaya pencegahan terhadap Covid-19.
“Kembang api tidak boleh. Kami juga melarang ASN untuk liburan. Kesehatan lebih penting,” timpalnya. (one/fun)"
4,https://radarbromo.jawapos.com/pandaan/22/12/2020/1st-anniversary-pandul-gelar-gowes-penghijauan-santuni-yatim-piatu,"Tuesday, 22 December 2020",PANDAAN,"1st Anniversary, Pandul Gelar Gowes Penghijauan – Santuni Yatim-Piatu","KOMUNITAS Pandaan Peduli (Pandul) punya cara tersendiri dalam memperingati 1st Anniversary atau HUT-nya yang pertama. Hari Minggu lalu (20/12), Pandul yang punya nama lengkap Yayasan Pandaan Peduli Bangsa ini menggelar Gowes Go Green.
Istimewanya, bukan hanya acara gowes biasa. Namun juga diwarnai kegiatan sosial dan penghijauan. Gowes Go Green ini selain diikuti anggota Pandul juga diikuti Kapolres Pasuruan dan jajaran Muspika Pandaan. Beberapa komunitas gowes dari Pandaan dan Sukorejo juga ikut berpartisipasi.
START: Pemberangkatan rombongan gowes dari halaman kantor kecamatan Pandaan.
Gowes Go Green diawali dari kantor kecamatan Pandaan. Kemudian di tengah perjalanan juga melakukan sosialisasi protokol kesehatan dengan membagikan masker ke pengguna jalan.
Selanjutnya menuju ke Yayasan Yatim Piatu Siti Fatimah Pandaan untuk penyerahan bantuan sosial. Sebelum finis, rombongan melakukan penanaman pohon di Stadion Plumbon Pandaan.
Dalam rangkaian 1st Anniversary Pandul, juga ada kegiatan penyerahan bansos, donor darah, khitanan masal, lomba vlog dan video, serta penyuluhan hukum. Rangkaian acara ditutup dengan tasyakuran, di aula SMAN 1 Pandaan pada malam harinya.
MENANAM: Kapolres Pasuruan AKBP Rofiq Ripto Himawan menanam pohon dalam upaya penghijauan lingkungan yang juga menjadi agenda 1st Anniversary Pandul.
Menurut Imam Fahrudi, selaku ketua panitia, beragam kegiatan sosial kemasyarakatan itu digelar untuk peringatan setahun perjalanan Pandaan Peduli dan peduli terhadap sesama. “Termasuk Gowes Go Green, pemberian bansos, donor darah dan sebagainya,” jelas Imam.
Sementara itu Camat Pandaan, Yudianto sangat mendukung keberadaan Pandaan Peduli. ’’Sangat membantu kerja dan program serta kegiatan positif Muspika. Semoga kedepan lebih baik, solid dan terus kompak,” tandas Yudianto. (unt/*)"
5,https://radarbromo.jawapos.com/kraksaan/22/12/2020/aparat-siagakan-tim-gabungan-di-5-pos-pengamanan,"Tuesday, 22 December 2020",KRAKSAAN,Aparat Siagakan Tim Gabungan di 5 Pos Pengamanan,"PAJARAKAN, Radar Bromo – Natal dan Tahun Baru (Nataru) kali ini terasa berbeda. Pasalnya masih berada di tengah situasi Covid-19. Di situasi pandemi, Polres Probolinggo bersama petugas gabungan tetap berupaya mewujukan pengamanan.
Kapolres Probolinggo AKBP Ferdy Irawan mengatakan bahwa upaya ini dilakukan untuk menciptakan keamanan dan kenyamanan saat Nataru. Kendati perayaan Natal berada di tengah keterbatasan, perlu ada jaminan keamanan agar dapat terlaksana dengan nyaman.
“Segala sarana dan prasarana pengamanan natal dan tahun baru sudah kami persiapkan,” ujarnya.
Pengamanan dilakukan dengan mendirikan 5 pos yang terdiri dari Pos Pengamanan di Paiton dan Kraksaan; Pos Pelayanan di Exit Tol Leces; serta Pos Pantau di Rest area tol dan jalan Malasan. Untuk memaksimalkan pengamanan petugas gabungan juga terlibat dalam melaksanakan pos pengamanan. Terdiri dari TNI, Dinkes, Dishub, Satpol PP, PMI, Pramuka, Orari dan Senkom. Personel gabungan yang sudah dibentuk akan bertugas dalam tiga shift.
“Pos Operasi Lilin Semeru ini disiapkan menyebar di 5 titik masuk Kabupaten Probolinggo dan tempat keramaian tujuannya dapat melayani masyarakat dengan cepat. Selama 15 hari mulai 21 Desember sampai 4 Januari 2021 akan bersiaga,” katanya.
Kapolres tetap mengimbau kepada masyarakat agar protokol kesehatan dipatuhi. Tidak merayakan perayaan Natal dan Tahun Baru dengan melakukan aktivitas yang menyebabkan kerumunan seperti yang biasa dilakukan. Sebab hal tersebut dapat menyebabkan penyebaran virus. Langkah untuk mencegah kerumunan dan penyebaran Covid-19 perlu diterapkan dengan baik agar pandemi cepat berakhir.
“Operasi ini tetap mengedepankan protokol kesehatan. Memakai masker, cuci tangan dan menjaga jarak lebih diperhatikan. Semoga natal dan tahun baru kali ini dapat berjalan dengan kondusif,” tutur Ferdy. (ar/fun)"
6,https://radarbromo.jawapos.com/pandaan/21/12/2020/boncengan-tiga-vario-tabrak-kijang-di-prigen-tiga-terluka,"Monday, 21 December 2020",PANDAAN,"Boncengan Tiga, Vario Tabrak Kijang di Prigen, Tiga Terluka","PRIGEN, Radar Bromo-Tiga orang pengendara motor Honda Vario bernopol P 3021 NB harus dilarikan ke IGD Puskesmas Prigen, Kabupaten Pasuruan. Minggu (20/12), sekitar pukul 19.00, motor itu bertabrakan dengan mobil Toyota Kijang bernopol W 1992 QC.
Kecelakaan lalu lintas ini terjadi di ruas jalan jurusan Prigen-Pandaan, Kelurahan/Kecamatan Prigen. Informasinya, saat itu, motor Vario itu dikemudikan oleh Maulidia, 25, warga Blimbing, Kota Malang. Ia berboncengan dengan Rita, 25, warga Kencong, Jember dan Samsul, 60, warga Desa Wonokoyo, Kecamatan Beji, Kabupaten Pasuruan.
Sesampainya di tempat kejadian perkara (TKP), motornya mengarah ke kanan dan menabrak Toyota Kijang yang melaju dari arah berlawanan. Mobil ini dikemudikan oleh Andri Panca Siswanto, 38, warga Desa Lumbangrejo, Kecamatan Prigen. “Motor dan mobil tabrak adu depan,” ujar Anggota Unit Lantas Polsek Pandaan Bripka Heru Susanto.
Dari lokasi kejadian, para pengendara motor itu dievakuasi ke IGD Puskesmas Prigen, yang berjarak sekitar 250 meter dari lokasi kejadian. “Pengendara motor dan dua orang yang dibonceng mengalami luka ringan. Posisinya motor kurang menguntungkan karena kurang hati-hati dan memang tak kenal medan,” ujarnya.
Setelah para korbannya dievakuasi, kendaraan yang terlibat kecelakaan dibawah ke Poslantas Polsek Pandaan. Motor dan mobil sama-sama ringsek di bagian depan. Sudah kami amankan di Poslantas,” ujarnya. (zal/rud)"
7,https://radarbromo.jawapos.com/pandaan/21/12/2020/pohon-perindang-di-jalan-ra-kartini-pandaan-membahayakan,"Monday, 21 December 2020",PANDAAN,Pohon Perindang di Jalan RA Kartini Pandaan Membahayakan,"PANDAAN, Radar Bromo – Sejumlah pohon perindang di Jalan R.A. Kartini, Kelurahan Jogosari, Kecamatan Pandaan, Kabupaten Pasuruan, dinilai membahayakan. Sebab, sejumlah pohon berukuran cukup besar di depan SDN Jogosari II, itu cukup lebat dan menjuntai ke jalan.
Terlebih, sejak beberapa pekan belakangan, sering terjai hujan disertai angin. Pohon di pinggir jalan ini pun sudah mulai doyong. “Suatu saat bisa saja ambruk. Pastinya membayakan pengguna jalan dan warga yang kebetulan jalan kaki di trotoar. Kondisi sebagian rantingnya banyak yang doyong, jadi seharusnya dikepras atau sekalian saja dipotong,” ucap Azwar Malik, salah seorang pemuda asal Kelurahan Jogosari.
Menurutnya, banyak warga yang berharap sejumlah pohon itu dipangkas. Terlebih rantingnya yang menjuntai ke jalan. Semuanya demi mengantisipasi terjadinya pohon tumbang dan menimpa pengguna jalan.
Adanya pohon yang rawan tumbang ini juga mendapat perhatian dari Camat Pandaan, Yudianto. Ia mengaku akan segera berkoordinasi dengan instansi yang berwenang. “Akan kami koordinasikan dengan pihak yang berwenang. Kalau melihat kondisinya sudah saatnya memang dikepras. Dari pada tumbang dan membahayakan pengguna jalan,” ujarnya. (zal/rud/fun)"
8,https://radarbromo.jawapos.com/pasuruan/21/12/2020/jangan-abai-prokes-selama-libur-nataru,"Monday, 21 December 2020",PASURUAN,Jangan Abai Prokes selama Libur Nataru,"PASURUAN, Radar Bromo – Di Kota Pasuruan, pemkot setempat bakal membatasi kegiatan pengumpulan massa selama liburan Natal dan tahun baru (nataru). Masyarakat diminta menghabiskan waktu bersama keluarga untuk mengisi liburan.
Kepala Diskominfo dan Statistik Kota Pasuruan, Kokoh Arie Hidayat mengungkapkan, pemerintah memberikan cuti bersama saat nataru agar masyarakat dapat beristirahat sejenak dari aktivitas dan bisa berkumpul keluarga. Istirahat menurutnya, bisa memperkuat imun tubuh juga.
Namun demikian, diimbau untuk menjauhi kerumunan. Tujuannya tidak lain untuk menghindari potensi penyebaran Covid-19, di samping memakai masker dan mencuci tangan. Gugus Tugas Penanggulangan Covid-19 Kota Pasuruan pun melaksanakan aktivitas pencegahan dengan menindak pelanggaran protokol kesehatan di masa cuti bersama tersebut.
“Kami tidak melarang masyarakat untuk memanfaatkan cuti bersama dengan berlibur. Namun, tetap harus diingat untuk selalu mengedepankan kesehatan di manapun berada,” ungkapnya.
Dilanjutkan Kokoh, Pemkot akan segera menerbitkan surat edaran agar warga tidak melakukan aktivitas yang dapat menimbulkan kerumunan saat perayaan nataru. Ini berlaku di semua tempat di Kota Pasuruan, termasuk kafe dan warung.
Pemilik kafe dan warung menurutnya, harus tetap harus mematuhi jam operasional. Yaitu, maksimal jam 10 malam.
“Nanti akan kami sosialisasikan pada pemilik tempat hiburan dan usaha. Kami berharap agar masyarakat bisa patuh karena saat ini masih dalam pandemi Covid-19,” sebut Kokoh. (riz/fun)"
9,https://radarbromo.jawapos.com/kraksaan/21/12/2020/biaya-ibadah-haji-tahun-depan-belum-diketahui,"Monday, 21 December 2020",KRAKSAAN,Biaya Ibadah Haji Tahun Depan Belum Diketahui,"DRINGU, Radar Bromo – Hingga akhir tahun ini pelunasan biaya perjalanan ibadah haji (BPIH) bagi para calon jamaah haji (CJH) masih belum diketahui. Sampai kini Kemenag Kabupaten Probolinggo masih menunggu dari pusat, baik yang belum maupun telah lunas namun mengklaim BPIH.
Kasi Penyelenggara Haji dan Umrah (PHU) di Kemenag Kabupaten Probolinggo Taufiq Amin mengatakan, hingga akhir tahun ini tuntunan dalam pelunasan BPIH masih belum didapatkan. Sehingga pihaknya masih belum menentukan pelunasan tersebut.
“Untuk petunjuknya dari Kementerian Agama RI masih belum turun. Jadi belum bisa dipastikan BPIH itu akan ada penambahan atau akan tetap nominal pelunasannya,” ujarnya.
Ia menjelaskan, klaim BPIH ini dilakukan untuk menarik kembali sejumlah uang BPIH sekitar sekitar Rp 12.500.000 dari total biaya haji CJH dalah Rp 37.516.000. Sebelumnya para CJH ini lebih dulu melakukan penyetoran awal sejumlah Rp 25 juta.
Di samping itu, status CHJ yang batal pada tahun ini semua sama, baik yang menarik BPIH maupun tidak. Di mana tahun depan para CHJ tersebut akan melakukan penghitungan ulang BPIH. Selain itu, status penghitungan ulang pelunasan tersebut juga dilakukan pada jamaah yang masih belum lunas.
“Semua CHJ pada tahun ini statusnya sama, baik yang lunas maupun tidak lunas, dan yang menarik BPIH maupun tidak. Di tahun 2021 akan ada penghitungan ulang kelunasan itu. Jadi penghitungan itu sesuai dengan BPIH yang ditetapkan pada tahun 2021. Sehingga apabila ada penambahan biaya maka harus menambah,” ujarnya.
BPIH akan dilakukan oleh para 833 CHJ pada tahun ini. Angka tersebut sesuai dengan kuota yang ada pada tahun ini. (mu/fun)"
