,Link,Date Time,Category,Title,Content
0,https://radargresik.jawapos.com/pojok-perkoro/18/03/2021/banjir-dimanfaatkan-pelaku-untuk-hilangkan-barang-bukti-b3,18 March 2021 07:27 AM,POJOK PERKORO,Banjir Dimanfaatkan Pelaku untuk Hilangkan Barang Bukti B3,"GRESIK – Yudhi/Radar Gresik Dengan dasar, pembuang agar tersapu banjir dan mencemari anak Kali Lamong di Desa Iker – Iker Geger Kecamatan Menganti. Lokasi pembuangan limbah digaris polisi tergenang air luapan banjir. Dari pantauan di lapangan terlihat garis polisi terlihat tumpukan limbah terendam air banjir luapan Kali Lamong dan ketinggian air menutup Tumpukan limbah B3 tidak terlihat dan garis polisi terpasang dengan jarak air satu jengkal tangan. Saat dikondirmasi terkait limbah yang sengaja dihilangkan, Ali sodikin ,49, Ketua RT 2, RW 1, Dusun-Desa iker iker Geger Kecamatan Cerme mengatakan membenarkan ada niatan pelaku pembuangan menghilangkan barang bukti limbah yang menumpuk di lokasi. ” Waktu banjir masuk di desa kami, saya melihat sendiri ada dua orang pembuang limbah Yudi Irwan bersama satu orang temanya masuk ke lokasi tumpukan limbah yang digaris polisi,” ujarnya, Rabu (17/3). Kedua orang tersebut menggunakan tangannya mencongkel tumpukan limbah tersebut dengan mengarahkanya ke aliran arus banjir yang mengarah ke anak Kali Lamong tepat di depan lokasi tumpukan limbah. “Kedua orang itu tau saya waktu mencongkel limbah sempat melihat saya dengan wajah kaget dan panik, namun keduanya tetap melakukan aksinya mencongkeli tumpukan limbah ke arus banjir, dikhawatirkan limbah beracun dan berbahaya tersebut mencemari anak Kalilamong dan Kalilamong, ” jelasnya. Sementara Kasatreskrim AKP Bayu Fitrianto dan Kanit Tiputer Ipda Suparlan saat di konfirmasi melalui pesan dan panggilan Whatsup terkait perkembangan dan hasil pemeriksaan limbah serta terkait di duga pelaku pembuang limbah dengan sengaja berniat mehilangkan barang bukti yang berada dilokasi yang terpasang garis polisi di Desa Iker – Iker Geger tidak ada jawaban padahal pesan di baca dan telpon berdering masuk. Sementara kemarin (14/3) Kepala Dinas DLH Gresik Mokh. Najikh saat dikonfirmasi melalui pesan Whatsapp up terkait hasil uji lab sampel limbah di Desa Iker – Iker menjelaskan pihak kami masih menunggu pihak Polres Gresik. ” Nunggu polres, kalau sudah ditangani sudah masuk unsur crime. DLH diminta keterangan ahli. Kami tidak bisa masuk ketika sudah dalam kontek crime, ” ujarnya. Sekedar diketahui berdasarkan pasal 99 ayat 1 UU No 32 tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup (PPLH). Disebutkan bahwa setiap orang yang karena kelalaiannya mengakibatkan dilampauinya baku mutu udara ambien, baku mutu air, baku mutu air laut, atau kriteria baku kerusakan lingkungan hidup dipidana dengan penjara paling singkat 1 tahun dam paling lama 3 tahun, dan denda paling sedikit Rp 1 miliar dan paling banyak Rp 3 miliar.(yud/han)"
1,https://radargresik.jawapos.com/politika/politik-pemerintahan/18/03/2021/anggaran-pendidikan-2022-balum-maksimal,18 March 2021 07:20 AM,POLITIK DAN PEMERINTAHAN,Anggaran Pendidikan 2022 Belum Maksimal,"GRESIK – Musyawarah rencana pembangunan (Musrenbang) Rencana Kerja Pemerintah Daerah (RKPD) untuk APBD 2022 diproyeksi mencapai Rp 3,63 triliun. Atau naik Rp 200 miliar dibandingkan APBD 2021 yang mencapai Rp 3,43 Triliun. Dari besaran anggaran itu, sektor pendidikan yang merupakan pelayanan dasar pembangunan, Bupati Fandi Akhmad Yani dan Aminatun Habibah mengalokasikan APBD sebesar 23,53 persen. Mirisnya, anggaran pendidikan tersebut termasuk gaji pegawai. Nah, jika merujuk amanah undang-undang nomor 20 tahun 2003 tentang Sisdiknas pasal 49 ayat 1 mengatur bahwa dana pendidikan selain gaji dan biaya pendidikan kedinasan minimal dialokasikan sebesar 20 persen dari APBD dan APBN. Dilihat dari tahun-tahun sebelumnya, plot anggaran yang disampaikan Bupati Fandi Akhmad Yani kemarin tidak jauh berbeda dengan tahun-tahun sebelumnya. Pada APBD 2020 misalnya. Saat itu, Pemkab memiliki APBD senilai Rp 3,79 triliun. Dari jumlah itu, sektor pendidikan diplot sebesar 26 persen. Angka itu sudah melebihi amanat undang-undang secara prosentase, namun anggaran untuk fungsi pendidikan sendiri hanya 7,8 persen dari APBD. Sisanya, anggaran untuk gaji pegawai. Nah pada APBD 2021 ini pun demikian. Dari total belanja daerah Rp 3,4 triliun, bidang pendidikan mendapatkan anggaran Rp 881,27 miliar atau 25,67 persen. Dari jumlah itu, hampir 50 persen untuk gaji pegawai. Kemarin (17/3), dalam Musrenbang RKPD 2022, Bupati Fandi Akhmad Yani menyampaikan plot anggaran untuk pendidikan diproyeksi mencapai 23,53 persen. Jumlah itu memang secara prosentasi sudah memenuhi amanat undang-undang. Namun, Apabila dirinci kembali, prosentase itu termasuk gaji pegawai dan belanja lain. Artinya, undang-undang yang mengamanatkan dana pendidikan selain gaji dan biaya pendidikan kedinasan minimal dialokasikan sebesar 20 persen dari APBD dan APBN belum dilaksanakan di kepemimpinan pertama Bupati Fandi Akhmad Yani. Selain itu, plot APBD dari tahun ke tahun untuk kepentingan publik selalu kalah dengan pengeluaran gaji pegawai dan operasional pegawai. Menanggapi hal itu, Kepala Bappeda Gresik Hermanto T Sianturi mengatakan, Musrenbang itu sebagai wadah untuk seluruh elemen memberikan masukan kepada pemerintah untuk pembangunan ke depan. Terkait proyeksi APBD tahun 2022 nantinya plot-plot anggaran tidak jauh berbeda dengan tahun sebelumnya. “Kalau pendidikan 23,53 persen itu sudah termasuk APBN,” kata Hermanto. Meski begitu, Herman mengaku dalam RKPD yang disampaikan kemarin sudah selaras dengan program kepemimpinan kedepan. Yakni Nawa Karsa Bupati Fandi Akhmad Yani dan Wabup Aminatun Habibah. “Ya keinginan beliau seperti yang disampaikan di RKPD itu. Tapi masih perlu untuk dibahas dalam Musrenbang tersebut,” tandasnya. (fir/han)"
2,https://radargresik.jawapos.com/politika/politik-pemerintahan/18/03/2021/anggaran-pendidikan-2022-belum-maksimal,18 March 2021 07:20 AM,POLITIK DAN PEMERINTAHAN,Anggaran Pendidikan 2022 Belum Maksimal,"GRESIK – Musyawarah rencana pembangunan (Musrenbang) Rencana Kerja Pemerintah Daerah (RKPD) untuk APBD 2022 diproyeksi mencapai Rp 3,63 triliun. Atau naik Rp 200 miliar dibandingkan APBD 2021 yang mencapai Rp 3,43 Triliun. Dari besaran anggaran itu, sektor pendidikan yang merupakan pelayanan dasar pembangunan, Bupati Fandi Akhmad Yani dan Aminatun Habibah mengalokasikan APBD sebesar 23,53 persen. Mirisnya, anggaran pendidikan tersebut termasuk gaji pegawai. Nah, jika merujuk amanah undang-undang nomor 20 tahun 2003 tentang Sisdiknas pasal 49 ayat 1 mengatur bahwa dana pendidikan selain gaji dan biaya pendidikan kedinasan minimal dialokasikan sebesar 20 persen dari APBD dan APBN. Dilihat dari tahun-tahun sebelumnya, plot anggaran yang disampaikan Bupati Fandi Akhmad Yani kemarin tidak jauh berbeda dengan tahun-tahun sebelumnya. Pada APBD 2020 misalnya. Saat itu, Pemkab memiliki APBD senilai Rp 3,79 triliun. Dari jumlah itu, sektor pendidikan diplot sebesar 26 persen. Angka itu sudah melebihi amanat undang-undang secara prosentase, namun anggaran untuk fungsi pendidikan sendiri hanya 7,8 persen dari APBD. Sisanya, anggaran untuk gaji pegawai. Nah pada APBD 2021 ini pun demikian. Dari total belanja daerah Rp 3,4 triliun, bidang pendidikan mendapatkan anggaran Rp 881,27 miliar atau 25,67 persen. Dari jumlah itu, hampir 50 persen untuk gaji pegawai. Kemarin (17/3), dalam Musrenbang RKPD 2022, Bupati Fandi Akhmad Yani menyampaikan plot anggaran untuk pendidikan diproyeksi mencapai 23,53 persen. Jumlah itu memang secara prosentasi sudah memenuhi amanat undang-undang. Namun, Apabila dirinci kembali, prosentase itu termasuk gaji pegawai dan belanja lain. Artinya, undang-undang yang mengamanatkan dana pendidikan selain gaji dan biaya pendidikan kedinasan minimal dialokasikan sebesar 20 persen dari APBD dan APBN belum dilaksanakan di kepemimpinan pertama Bupati Fandi Akhmad Yani. Selain itu, plot APBD dari tahun ke tahun untuk kepentingan publik selalu kalah dengan pengeluaran gaji pegawai dan operasional pegawai. Menanggapi hal itu, Kepala Bappeda Gresik Hermanto T Sianturi mengatakan, Musrenbang itu sebagai wadah untuk seluruh elemen memberikan masukan kepada pemerintah untuk pembangunan ke depan. Terkait proyeksi APBD tahun 2022 nantinya plot-plot anggaran tidak jauh berbeda dengan tahun sebelumnya. “Kalau pendidikan 23,53 persen itu sudah termasuk APBN,” kata Hermanto. Meski begitu, Herman mengaku dalam RKPD yang disampaikan kemarin sudah selaras dengan program kepemimpinan kedepan. Yakni Nawa Karsa Bupati Fandi Akhmad Yani dan Wabup Aminatun Habibah. “Ya keinginan beliau seperti yang disampaikan di RKPD itu. Tapi masih perlu untuk dibahas dalam Musrenbang tersebut,” tandasnya. (fir/han)"
3,https://radargresik.jawapos.com/kota-gresik/18/03/2021/tak-kuat-menahan-aliran-air-tanggul-gorekan-kidul-jebol,18 March 2021 07:16 AM,KOTA GRESIK,"Tak Kuat Menahan Aliran Air, Tanggul Gorekan Kidul Jebol","GRESIK – Derasnya aliran banjir luapan Kali Lamong mengakibatkam jebolnya tanggul di Dusun Gorekan Kidul Desa Cermen Lerek Kecamatan Kedamean membuat banjir masuk ke pemukiman warga. Dua dusun terendam banjir yang pertama kali semenjak lima tahun terakhir ini. Kapolsek Kedamean AKP Ali Syaiful mengatakan, banjir merendam perumahan warga sejak Selasa (16/3). Luapan Kali Lamong membuat tanggul tidak mampu menampung debit air yang tinggi, hingga akhirnya jebol. “Akibat adanya luapan Kali Lamong menyebabkan tanggul di Dusun Gorekan Kidul jebol. Padahal, sudah lima tahun ini Desa Cermen Lerek tidak pernah banjir,” ujarnya, Rabu (17/3). Untuk mengatasi banjir tersebut, tambahnya, perlu perbaikan pada tanggul. “Tanggul harus dibangun lebih kuat agar mampu menahan debit air sehingga tidak jebol dan tidak masuk ke pemukiman warga, “ungkapnya. Sementara Camat Kedamean Arifin membenarkan, jebolnya tanggul tersebut. Akibatnya, sejumlah rumah warga di dua dusun yakni Gorekan Kidul dan Gorekan Lor. “Jebolnya tanggul sungai di Gorekan Kidul membuat pemukiman warga tidak aman. Rumah warga yang ada di sepanjang daerah aliran anak sungai Kali Lamong itu akhirnya kebanjiran,” pungkasnya. Akibat banjir tersebut, air dengan ketinggian hingga lutut orang dewasa merendam berbagai fasilitas. Mulai jalan desa, rumah warga dan fasilitas umum lainnya. Sejumlah personel TNI dan BPBD sudah meninjau ke lokasi tanggul. Namun karena kondisi anak sungai belum surut, perbaikan tanggul belum bisa dilakukan.(yud/han)"
4,https://radargresik.jawapos.com/pojok-perkoro/18/03/2021/tersambar-bensin-lima-motor-di-pangkahwetan-terbakar,18 March 2021 07:11 AM,POJOK PERKORO,"Tersambar Bensin, Lima Motor di Pangkahwetan Terbakar","GRESIK – Berniat memindahkan bensin ke dalam jerigen saat angin kencang di dekat kompor merebus rajungan kepiting laut malah terbakar. Lima unit sepeda motor dan teras rumah milik Muh Zaim hangus terbakar, Selasa (16/3). Kerugian ditaksir mencapai Rp 50 juta. Kejadian kebakaran bermula saat Khusni, Dusun Krajan 01 RT 02 RW 03 Desa Pangkahwetan, Kecamatan Ujungpangkah mengirim pesanan bensin jenis pertalite ke rumah korban. Bensin 90 liter itu dikemas dalam tiga jerigen ukuran 30 liter. Kapolsek Ujungpangkah Akp Sunito menuturkan pada saat Muh Khusni hendak memindahkan bensin menggunakan selang ke wadah milik Muh Zaim untuk dijual eceran. Saat bersamaan korban sedang memasak rajungan di seberang jalan, jarak sekitar empat meter dari tempat kejadian perkara (TKP). “Saat kejadian kondisi angin kencang. Diduga membuat angin menyambar bensin yang sedang dipindahkan,” ujarnya, Rabu (17/3). Lebih lanjut Sujito menjelaskan material mudah terbakar membuat api dengan cepat merambat. Api makin membesar menghanguskan benda-benda di sekitar. Ada lima motor diparkir berhimpitan hangus tinggal kerangkanya. “Ada lima motor yang hangus terdiri dari motor Mio S 3287 KO, Spin S 3655 JF, Revo S 6616 JX, Vario W 2836 AO dan W 5544 AM. Serta bangunan depan rumah bagian atap milik korban. Api dengan cepat membakar benda-benda tersebut menyisakan kerangka,” jelasnya. Dikatakan, api bisa dipadamkan dengan air diambil dekat lokasi kejadian dekat dengan aliran Sungai Bengawan Solo. Hanya berjarak sekitar 10 meter. Kemudian, 15 menit berselang si jago merah berhasil dijinakkan setelah harga bahu-membahu memadamkan api menggunakan air dari sungai. “Tidak ada korban jiwa dalam kejadian ini. Kerugian ditaksir mencapai Rp 50 juta. Saya mengimbau kepada warga kejadian menjadi peringatan bagi masyarakat agar berhati-hati. Apalagi saat berhubungan dengan api dan bahan mudah terbakar ketika angin kencang.(yud/han)"
5,https://radargresik.jawapos.com/politika/politik-pemerintahan/18/03/2021/bupati-minta-proses-birokrasi-pemkab-gresik-lebih-disederhanakan,18 March 2021 07:06 AM,POLITIK DAN PEMERINTAHAN,Bupati Minta Proses Birokrasi Pemkab Gresik Lebih Disederhanakan,"GRESIK – Bupati Gresik Fandi Akhmad Yani mengajak para Kasubag Penyusunan Program, staf pengurus kepegawaian OPD dan pegawai Kecamatan se Kabupaten Gresik untuk melaksanakan penerapan budaya kerja yang telah ditetapkan oleh Pemerintah. Dalam budaya kerja baru selain ASN dituntut inovatif dan adaptif, juga diharuskan bisa bekerja kolaboratif. “Kami harus melaksanakan suatu Kerjasama, kecepatan, terukir dan terarah. Masing-masing harus punya target yang harus kita realisasikan. Mari kita lakukan penyederhanaan birokrasi,” kata Gus Yani saat membuka acara pelaksanaan reformasi birokrasi dan peraturan Menteri Pendayagunaan Aparatur Negara (Menpan) di Ruang Graita Eka Praja Kantor Bupati Gresik, Rabu (17/3). Pada kegiatan yang dihadiri oleh Sekda Gresik Abimanyu Poncoatmojo Iswinarno beserta para Kepala Organisasi Perangkat Daerah (OPD) Kabupaten Gresik itu, Yani menyampaikan arahan Gubernur Jawa Timur saat usai pelantikan. Dalam pesannya Gubernur meminta agar para kepala daerah melaksanakan penyederhanaan birokrasi. Dia juga mengungkap tentang video presiden yang viral, yaitu tentang pelayanan pemerintah yang ruwet. Yani tidak ingin hal itu terjadi di Gresik. “Jangan sampai dalam setiap pelaksanaan penyederhanaan birokrasi terkendala dengan Perpu, Perda dan lain-lain. Mulai saat ini harus cerdas membaca situasi, meningkatkan kreatifitas, punya strategi dan banyak inovasi. Bahkan kalau perlu komunikasi antar teman kerja harus terus ditingkatkan” tuturnya. Yani menegaskan agar sesama ASN tidak saling berkompetisi melainkan harus berkolaborasi. “Kami harus positif thinking, mulai saat ini kita harus berubah,” pungkasnya. (fir/han)"
6,https://radargresik.jawapos.com/pojok-perkoro/18/03/2021/kades-dooro-segera-jalani-sidang,18 March 2021 07:02 AM,POJOK PERKORO,Kades Dooro Segera Jalani Sidang,"GRESIK – Jaksa Penuntut Umum (JPU) Kejaksaan Negeri Gresik telah melimpahkan berkas perkara Mat Ja’i Kepala Desa Dooro, Kecamatan Cerme kepada Pengadilan Tindak Pidana Korupsi, Surabaya. Dalam waktu dekat tersangka kasus korupsi dana desa ini segera menjalani sidang. “Kemarin (16/3) berkas perkara dugaan tindak pidana korupsi dengan terdakwa Mat Jai sudah kami limpahkan ke PN Tipikor,” ujar Kasipidsus Kejari Gresik Dymas Adji Wibowo. Dymas menjelaskan dengan dilimpahkannya berkas itu, kewenangan status penahanan tersangka saat ini ada Pengadilan Negeri Tipikor. “Tersangka Mat Jai telah mengembalikan kerugian negara sebesar Rp210 juta pada tingkat penyelidikan dan kembali mengembalikan sisa kekurangan sebesar Rp43 juta saat ia berstatus tahanan Rutan Banjarsari, Cerme,” jelasnya. Lebih lanjut Dymas menerangkan, meskipun tersangka telah mengembalikan kerugian negara, perkara tindak pidana korupsi ini terus dilanjutkan sampai proses persidangan. “Kami masih menunggu jadwal dari PN Tipikor kapan agenda sidang pertama dilaksanakan. Sementara terkait status penahanan terdakwa yang saat ini menjadi tahanan kota sepenuhnya menjadi tanggung jawab dari Pengadilan Tipikor, ” terangnya. Sebagai catatan, Kades Dooro yang masih aktif ini diduga melakukan penyelewengan anggaran desa tahun 2016-2017, kemudian, ketentuan pasal 21 ayat 1 (KUHP) dengan pertimbangan subjektif maka selanjutnya tim Pidsus melakukan penahanan. Kemudian, Mat Jai yang berstatus tahanan Rutan Banjarsari beralih menjadi tahanan kota dengan pertimbangan telah mambayar kerugian negara sebesar Rp253 juta, tersangka kooperatif, dan ada jaminan dari keluarga. (yud/rof)"
7,https://radargresik.jawapos.com/lifestyle/18/03/2021/kendalikan-kelahiran-wabup-launching-kb-mkjp,18 March 2021 07:00 AM,LIFESTYLE,"Kendalikan Kelahiran, Wabup Launching KB MKJP","GRESIK – Wakil Bupati (Wabup) Gresik Aminatun Habibah melaunching program pelayanan KB Metode Kontrasepsi Jangka Panjang (MKJP). Program ini dibuat untuk mengendalikan laju pertumbuhan penduduk. Harapannya, masyarakat bisa mengatur jarak kehamilan. “Saya mendorong masyarakat untuk menggunakan alat kontrasepsi guna mencegah atau menunda kehamilan hingga saat yang tepat,” ujar perempuan yang akrab disapa Bu Min ini. Menurut dia, dipilihnya metode kontrasepsi jangka panjang karena metode kontrasepsi ini memiliki tingkat keefektifan yang tinggi dan tingkat kegagalan yang rendah. Serta komplikasi dan efek samping yang lebih sedikit dibandingkan metode kontrasepsi yang lain. “Metode ini paling aman dan efektif,” ungkapnya usai membuka Pelayanan KB MKJP di Kampung KB Budi Luhur Desa Kramat, Kecamatan Bungah. Selain itu, lanjut dia, program KB MKJP merupakan program skala nasional yang memiliki banyak manfaat dan bermuara pada terbentuknya keluarga yang berkualitas dan masyarakat yang sehat. Serta mencegah terjadinya pernikahan di usia dini, menekan angka kematian ibu dan bayi akibat hamil di usia yang terlalu muda atau terlalu tua. “Menjadi kewajiban kita bersama untuk mensukseskan program tersebut,”jelas dia. Sementara itu, Kepala Dinas KBPPA Kabupaten Gresik, dr. Adi Yumanto menjelaskan hingga Februari, angka kesertaan KB 76,53 persen, Unmeetneed (belum terlayani KB) 11, 48 persen, Capaian MKJP 21, 85 persen dan total peserta KB aktif 178.741. (jar/rof)"
8,https://radargresik.jawapos.com/ekonomi-bisnis/18/03/2021/dukung-kampung-sehat-pg-gelontorkan-rp-14-miliar,18 March 2021 06:58 AM,EKONOMI & BISNIS,"Dukung Kampung Sehat, PG Gelontorkan Rp 1,4 Miliar","GRESIK – PT Petrokimia Gresik menggelontorkan anggaran sebesar Rp 1,4 miliar guna mewujudkan kampung sehat di wilayah ring 1 perusahaan. Kegiatan launching kampung sehat dilakukan Direksi PT Petrokimia Gresik dan Bupati Gresik, Fandi Akhmad Yani. Dalam sambutannya, Direktur Utama PT Petrokimia Gresik, Dwi Satrio Anugroho mengatakan, untuk mendukung Program Kampung Sehat 2021 pihaknya mengalokasikan anggaran Corpotae Sosial Responbility (CSR) senilai Rp 1,4 miliar. “Sebenarnya program kampung sehat ini sudah berlangsung 10 tahun. Total dana yang telah dialokasikan para kegiatan kampung sehat selama 10 yahun tersebut sebesar Rp 13,4 miliar,” kata dia. Dikatakan, selama sepuluh tahun tersebut pihaknya sudah melaksanakan kegiatan pengobatan umum untuk masyarakat, fogging, penanganan gizi buruk, pap smer, khitanan massal, pembangunan IPAL komunal, pencegahan stunting dan berbagai kegiatan lain. “Untuk program kampung sehat tahun 2021 yang dialokasikan dana sebesar Rp 1,4 miliar ini kami mempersiapkan tema kampung dambaan bebas Covid. Kampung dambaan yang dimaksud berasal dari kepanjangan, dampak baik berkelanjutan,” tandasnya. Sementara itu Bupati Gresik, Fandi Akhmad Yani menyampaikan terima kasih kepada Petrokimia Gresik atas program peningkatan kesehatan kepada masyarakat Gresik. “Kolaborasi dan sinergitas memang sangat diperlukan dalam penyelenggaraan Pemerintahan dan peningkatan kesejahteraan masyarakat. Kami berharap, kedepan harus lebih ditingkatkan dengan cakupan yang lebih luas” katanya saat berkesempatan memberi sambutan. Gus Yani juga memaparkan tentang keadaan pandemi Covid-19 yang masih belum reda. Dia mengajak pihak BUMN untuk bersama-sama membantu Pemerintah dalam penurunan angka paparan Covid-19 di Gresik. “Diakui APBD di Pemkab Gresik saat ini sangat terbatas. Tentu dengan bantuan Corporasi maka kita perlu membagi sasaran program untuk meningkatkan kesejahteraan masyarakat. Kami welcome kepada Petrokimia Gresik untuk bersama-sama untuk memutus penyebaran Covid-19 juga meningkatkan gizi masyarakat untuk menurunkan stunting” jelasnya. (fir/rof)"
9,https://radargresik.jawapos.com/kota-gresik/18/03/2021/penyegaran-jajaran-polres-gresik-kapolsek-dan-kasat-dimutasi,18 March 2021 06:55 AM,KOTA GRESIK,"Penyegaran Jajaran Polres Gresik, Kapolsek dan Kasat Dimutasi","GRESIK – Roda mutasi di kalangan Pejabat polres Gresik kembali bergulir. Mutasi dilakukan untuk menyegarkan kepemimpinan dijajaran Polres Gresik. Bertempat di Aula Sarja Arya Racana Polres Gresik upacara serah terima jabatan dilaksanakan dengan menggunakan protokol kesehatan dalam rangka memutus mata rantai covid-19. Upacara serah terima jabatan dihadiri Kapolres Gresik AKBP Arief Fitrianto, Wakapolres Gresik Kompol Eko Iskandar, PJU Polres Gresik , Perwira Polres Gresik. Kasat Polair Polres Gresik yang sebelumnya di duduki oleh AKP Masyhur Ade menduduki jabatan baru sebagai Kapolsek Tanggulangin Polresta Sidoarjo akan digantikan oleh AKP Poerlaksono yang sebelumnya menjadi Kasat Polair Polres Pasuruan. Kasat Binmas Polres Gresik yang sebelumnya dijabat AKP Zunaedi akan digantikan AKP Said yang sebelumnya menjabat sebagai Kasubbaghukum Polres Gresik. AKP Zunaedi akan menduduki jabatan baru sebagai Kapolsek Driyorejo yang sebelumnya di jabat oleh Kompol Wavek yang akan memasuki masa pensiun. Sedangkan Kapolsek Wringinanom dijabat oleh Iptu Kristisnto yang sebelumnya dijabat oleh AKP Cristian Bagus Yulianto, SH SIK. saat ini akan menduduki jabatan baru sebagai Kapolsek Pakal Polrestabes Surabaya. Kapolres Gresik AKBP Arief Fitrianto mengatakan mutasi jabatan dalam organisasi Polri merupakan suatu hal yang biasa untuk pembinaan karir bagi anggota Polri dalam organisasi. Kepada pejabat lama Kapolres Gresik menyampaikan terimakasih atas dedikasi selama ini dalam menjaga kamtibmas diwilayah Gresik. “Terima kasih kepada pejabat lama atas dedikasi dan kinerja semuanya dalam membantu secara pribadi maupun kedinasan khususnya di Polres Gresik. Sehingga situasi Kabupaten Gresik menjadi aman dan kondusif,” ujarnya, Rabu (17/3). (yud/rof)"
