,Link,Date Time,Category,Title,Content
0,https://radarjember.jawapos.com/berita-daerah/jember/01/12/2020/penadah-mobil-rental-ditahan,1 December 2020 1:30 PM,Jember,"Penadah Mobil Rental Ditahan
Lima Tersangka Masih Buron","PENADAH: Tersangka Ansyari, 41, warga Dusun Babatan, Desa/Kecamatan Jenggawah, saat diamankan di Mapolsek Semboro.
JEMBER, RADARJEMBER.ID – Kasus penggelapan mobil rental yang ditangani Polsek Semboro belum tuntas hingga kemarin, (30/11). Padahal sebelumnya, kepolisian mengaku telah mengantongi identitas lima tersangka yang hingga kini masih buron. Kasus ini sempat menghebohkan publik, karena para tersangka penggelapan semuanya adalah emak-emak yang terhimpun dalam satu sindikat.
Kapolsek Semboro Iptu Facthur Rahman mengatakan, sejauh ini pihaknya masih memburu lima tersangka yang telah ditetapkan dalam daftar pencarian orang (DPO). Mereka adalah Sintha, 50, warga Desa Tembokrejo, Gumukmas; Wakidah, 50, asal Dusun Wonoroto, Umbulsari; dan Umi Kholifah, 49, warga Desa Paleran, Umbulsari. Selain itu, Rusti, 48, Desa Gadingrejo, Umbulsari, dan Eko Puji Pahayu, 45, asal Desa/Kecamatan Umbulsari.
Meski belum berhasil membekuk para tersangka penggelapan yang menjadi jaringan penggelapan mobil ini, namun polisi menangkap satu tersangka lagi yang diduga sebagai penadah. Dia adalah Ansyari, warga Dusun Babatan, Desa/Kecamatan Jenggawah. Kini, polisi baru mengamankan dua tersangka saja. Satu pelaku utama, Tentrem Dwi Hariyati, dan seorang penadahnya. Penangkapan pria 41 tahun ini dilakukan setelah Tentrem mengoceh ke polisi. Selain itu, dari keterangan pemilik mobil rental yang menjadi korban.
Setelah terbukti kuat menjadi penadah, aparat menetapkan Ansyari sebagai tersangka. Saat itu juga, Ansyari ditahan karena terbukti menggadai mobil yang bermasalah. Sebab, saat mengambil gadai, tersangka sudah tahu bahwa yang menggadaikan itu bukan pemiliknya. “Saat datang ke rumah Ansyari, tersangka Tentrem mengajak temannya,” kata Facthur.
Hasil penyelidikan juga menemukan, ternyata penadah ini juga pernah menggadai mobil. Tetapi tidak terkait aksi penggelapan Tentrem dan jaringannya. Ansyari mengaku hanya menggadai satu kali hasil komplotan Tentrem. Yakni mobil jenis Ertiga dengan nilai gadai Rp 30 juta. Tetapi, uang yang diberikan ke tersangka pertama tidak genap, masih dipotong 10 persen atau sebesar Rp 3 juta. “Kami terus melakukan pengembangan. Insyaallah tersangkanya nanti bertambah,” katanya.
Untuk pelaku utama, polisi masih menahan Tentrem Dwi Hariyati, 43, warga Dusun Gadingsari, Desa Gunungsari, Kecamatan Umbulsari. Sementara, barang bukti 14 mobil yang diamankan sebelumnya telah ada satu kendaraan yang dikembalikan kepada korban. “Rata-rata untuk mobil yang digadaikan oleh tersangka nilainya bervariasi mulai dari Rp 25 juta hingga Rp 30 juta. Tetapi biasanya pengambil gadai itu sudah langsung memotong uang sesuai persentase yang disepakati,” pungkas Facthur.
Editor: Mahrus Sholih
Reporter: Jumai
Fotografer: Jumai"
1,https://radarjember.jawapos.com/pendidikan/01/12/2020/jangan-tuntut-nilai-tinggi,1 December 2020 1:10 PM,Pendidikan,"Jangan Tuntut Nilai Tinggi
Bisa Bikin Siswa Tambah Depresi","KERJAKAN SENDIRI: Bagus, pelajar kelas II SDN Kepatihan VI, mengerjakan soal ujian semester ganjil di rumah. Bila orang tua menuntut hasil nilai tinggi, maka akan membuat siswa stres karena mengerjakannya dalam tekanan.
JEMBER, RADARJEMBER.ID – “Bunyi sila pertama adalah?” Begitulah salah satu soal yang tertuang dalam ujian semester kelas II SDN Kepatihan VI. Soal pilihan ganda tersebut membuat Bagus, pelajar kelas II SDN VI itu, bingung, apakah jawabannya A, B, atau C.
“Pak, apa ini jawabannya?” tanya Bagus kepada Pamuji, orang tuanya. Warga Kepatihan, Kaliwates, tersebut tidak segera memberi jawaban. Namun, dia langsung menyodorkan buku pendamping sekolah. “Ini dibaca bukunya,” jawabnya.
Pamuji mengaku, sejak sekolah daring, peran orang tua sangat penting dalam menentukan pendidikan anak. Dalam menyelesaikan tugas sekolah, terkadang lelaki 68 tahun inilah yang menjadi aktor di balik kesuksesan tugas putranya tersebut. Namun, untuk ujian semester, sikap Pamuji tidak seperti itu. Dia memilih menuntun anaknya untuk membaca buku. “Kasarnya, saya mengizinkan anak itu ngerpek (membaca buku, Red) daripada nyontek,” jelasnya.
Sebab, kata dia, bila membaca buku, anak akan berusaha untuk mendapatkan suatu jawaban ketimbang meminta jawaban langsung darinya. Sehingga, dia menyarankan, selama proses pembelajaran daring dan ujian daring ini, yang menjadi tujuan utama bukan lagi nilai. Sebab, semuanya dikerjakan di rumah tanpa pantauan guru. “Kalau mengejar nilai, orang tua juga pusing. Anak juga tidak akan mengerti pelajaran, karena yang mengerjakan adalah orang tua,” jelasnya.
Ujian Akhir Semester (UAS) pada SD ini resmi dilakukan sejak Senin (30/11). Ujian itu bakal diselenggarakan secara berkala. Sekolah berhak menetapkan waktu pelaksanaan ujian. Untuk SD negeri pelaksanaannya sejak awal pekan ini. Sementara, untuk SD swasta sebagian ada yang memulai Senin ini. Sebagian diberi kebebasan untuk memulai ujian pekan depan.
“Penentuan waktu ujian berdasarkan kalender pendidikan (kaldik). Dan kaldik itu sudah ada ketentuannya. Sekolah tinggal menyesuaikan dengan keperluan sekolah,” papar Wildatur Maghfiro, guru SD Baiturohman di Kelurahan Mangli, Kaliwates.
Dalam pelaksanaannya, setiap sekolah punya cara sendiri. Beberapa sekolah ada yang melaksanakan melalui formulir daring. Soal yang disediakan seluruhnya berupa pilihan ganda. Sebab, jika soal dalam bentuk uraian, sistem tidak bisa mendeteksi. Sedangkan untuk mata pelajaran yang membutuhkan praktik, siswa diwajibkan mengirim video. Durasi pengerjaannya selama 1,5 jam. Metode ini bisanya dilakukan oleh SD di kawasan perkotaan. SD Baiturohman salah satunya.
Lainnya, ada yang melakukan secara manual. Yaitu para wali murid mengambil lembar soal semua mata pelajaran di sekolah, untuk nantinya dikerjakan oleh siswa di rumah. Pengumpulannnya dilakukan di waktu terakhir pelaksanaan sekolah. Tidak jauh berbeda dengan teknis yang pertama, ujian praktik dilaporkan melalui video yang dikirim kepada guru. Model ini banyak didominasi oleh SD di desa.
Sistem pelaksanaan ini banyak mengundang kekhawatiran terhadap nilai kepribadian siswa. Dikhawatirkan tingkat kejujuran siswa dalam mengerjakan tugas mengalami degradasi. Begitupun dengan kualitas pembelajaran siswa. Wilda pun buka kartu mengenai hal tersebut. Kekhawatirannya terhadap penurunan kualitas peserta didik sudah mulai terasa sejak awal mula kegiatan pembelajaran daring dimulai.
Biasanya, untuk mengatasi kesangsian tersebut, para guru lebih menitikberatkan pada penilaian hasil tugas harian. “Kami bisa mengontrol dari tulisannya. Walaupun orang tuanya yang mengerjakan. Tapi siswa ikut membaca,” kata Yuni Fatimah, guru di SDN Curah Lele 03, Kecamatan Balung.
Terpisah, menurut pengamatan dosen Fakultas Keguruan Ilmu Pendidikan (FKIP) Universitas Jember (Unej), Senny Weyara Dienda Saputri, selama pembelajaran daring di masa pandemi, semua siswa merasakan depresi. Sebab, siswa mengalami tekanan pembelajaran dan pantauan langsung dari orang tua.
Apalagi, kata dia, jika para wali murid tergolong dalam kategori ambisius. Yakni menuntut anak- anaknya mendapatkan nilai terbaik. “Tapi, kembali lagi tergantung lingkungan. Orang tuanya bagaimana,” ungkapnya.
Hal lain yang membuat depresi para siswa adalah hambatan jaringan internet. Menurutnya, semua aktivitas pembelajaran banyak bergantung pada akses internet. Ditambah lagi jika situasinya tengah mati lampu. “Jika internetnya terputus, bukan hanya siswa, tapi orang serumah juga jadi panik,” pungkasnya.
Editor: Mahrus Sholih
Reporter: mg1
Fotografer: Dwi Siswanto"
2,https://radarjember.jawapos.com/berita-daerah/jember/30/11/2020/apd-siap-didistribusikan,30 November 2020 2:32 PM,Jember,"APD Siap Didistribusikan
Bagian dari Penyelenggaraan Pilkada","PERSIAPAN: Logistik KPU Jember diturunkan di gudang Jalan Imam Bonjol, Kecamatan Kaliwates, kemarin.
JEMBER, RADARJEMBER.ID – Logistik Pemilihan Kepala Daerah (Pilkada) 2020 ini bisa dibilang cukup banyak. Bagaimana tidak, jika dulu logistik pemilihan hanya terbatas pada kotak, surat suara, serta alat pencoblosan, kini harus ketambahan barang lain. Yaitu alat pelindung diri (APD) untuk para petugas dan calon pemilih.
Komisioner KPU Jember Ahmad Susanto memaparkan, APD yang akan digunakan pada pelaksanaan pilkada Jember nanti sudah dikirim oleh pihak ketiga. “Sudah datang dan disimpan di gudang KPU Jember,” paparnya.
Pantauan Jawa Pos Radar Jember, APD yang datang langsung dimasukkan ke dalam gudang KPU Jember di Jalan Imam Bonjol, Kelurahan Tegal Besar, Kecamatan Kaliwates. Di antara APD yang ada yaitu masker, pakaian khusus korona atau hazmat, hand sanitizer, serta sejumlah kelengkapan pelindung diri lainnya.
Santo menyebut, sebagian besar APD yang disediakan akan dipakai oleh petugas di lapangan. Namun demikian, warga yang akan masuk juga diharuskan untuk menggunakan hand sanitizer. “Jadi, lokasi TPS harus steril. Makanya, warga yang akan masuk ke TPS nanti wajib mematuhi protokol kesehatan,” paparnya.
Ditanya kapan APD yang akan digunakan oleh petugas di TPS tersebut, Santo mengungkap rencananya akan didistribusikan mulai besok atau tanggal 1 Desember. “Distribusi dilakukan awal Desember. Diharapkan, sebelum hari tenang atau sebelum pencoblosan, distribusi untuk seluruh logistik APD sudah selesai,” cetusnya.
Sementara itu, salah seorang kuli angkut yang membawa APD ke dalam gudang menyebut, APD yang dimasukkan sudah dipilah. Pada saatnya nanti, APD tersebut akan dikirim ke masing-masing kecamatan dan desa hingga sampai ke TPS. “Kalau bisa hari tenang sudah selesai semua,” kata pria yang tidak mau disebutkan namanya tersebut.
Editor: Lintang Anis Bena Kinanti
Reporter: Nur Hariri
Fotografer: Nur Hariri"
3,https://radarjember.jawapos.com/berita-daerah/jember/30/11/2020/fokus-apbd-tentukan-prioritas,30 November 2020 12:02 PM,Jember,"Fokus APBD, Tentukan Prioritas
","“Jangan hanya diam, selanjutnya berbicara pada saat akhir tahun. Ingat, pemerintah daerah itu elemennya ada dua, eksekutif dan legislatif. Dua-duanya harus kompak.” Rachmat Hidayat, Kaprodi Ilmu Administrasi Pascasarjana Unej.
JEMBER, RADARJEMBER.ID – Akhir tahun menjadi waktu tersibuk bagi pemerintah daerah. Bukan sekadar tutup buku, tapi menyiapkan Anggaran Pendapatan Belanja Daerah (APBD) untuk tahun depan. Namun, menjelang detik-detik akhir November yang menjadi tenggat waktu pembahasan, APBD Jember belum kunjung dibahas dan disepakati oleh eksekutif bersama legislatif.
Mengenai APBD 2021 Jember, menurut Rachmat Hidayat, sebenarnya bukan hal yang baru lagi bagi pemerintahan daerah. Sebab, dosen Fakultas Ilmu Sosial dan Politik (FISIP) Universitas Jember (Unej) ini mengatakan, APBD memiliki siklus yang jelas mulai dari pemerintah pusat, provinsi, hingga daerah. “Bukan hal yang baru ini. Tapi sudah siklus. Dan pemerintah daerah itu paham,” tuturnya.
Bila sudah ada siklus setiap tahun, seharusnya ada persiapan agar APBD itu tidak molor. Termasuk juga menghitung kapan dokumen anggaran masuk ke DRPD itu. Sebaiknya tanggal berapa dan bulan berapa. Menurut Rachmat, adanya keterlambatan menunjukan indikasi kinerja yang rendah dalam proses persiapan. Apalagi, kata dia, Jember juga punya pengalaman buruk mengenai APBD, yaitu molor mulai tahun 2016, 2017, 2018, bahkan 2020 gagal disahkan. Pemkab Jember juga berpengalaman mendapatkan sanksi akibat molornya APBD.
Bila kondisi pemerintah seperti ini, kata dia, tentu pegawai Pemkab Jember yaitu eksekutif harus refleksi kinerja. Tidak hanya itu, tapi juga refleksi tentang arah politik dari pemerintah daerah. Melihat kondisi Jember seperti ini terus, sebagai kabupaten langganan APBD molor, tentu saja DPRD harus mampu mendorong. “Jangan hanya diam, selanjutnya berbicara pada saat akhir tahun. Ingat, pemerintah daerah itu elemennya ada dua, eksekutif dan legislatif. Dua-duanya harus kompak,” jelasnya.
Kondisi seperti ini, menurut Rachmat, harus ada skala prioritas. Artinya, baik legislatif maupun eksekutif harus kompak konsentrasi membahas APBD. Bukan membahas persoalan lainnya. “Tetap fokus APBD, bukan ribut membahas mutasi jabatan atau penurunan pangkat,” terangnya.
Sebab, APBD nilai manfaatnya jauh lebih besar daripada membahas penurunan pangkat ataupun mutasi jabatan. “Karena yang dirugikan semua lapisan masyarakat Jember,” pungkas dosen yang juga menjadi Kaprodi Ilmu Administrasi Pascasarjana Unej tersebut.
Editor: Mahrus Sholih
Reporter: Dwi Siswanto
Fotografer: Istimewa"
4,https://radarjember.jawapos.com/iklan/27/11/2020/plt-bupati-muqit-minta-dinkes-disterilkan,27 November 2020 11:38 AM,Iklan,"Plt Bupati Muqit Minta Dinkes Disterilkan
","DISTERILKAN: Gara-gara ada tiga pegawai Dinas Kesehatan (Dinkes) Kabupaten Jember terpapar korona, terpaksa semua pegawai dinas itu menjalankan tugass dari rumah.
JEMBER, RADARJEMBER.ID – Suasana Dinas Kesehatan (Dinkes) Kabupaten Jember terlihat sepi dan lengang, karena mulai hari ini Jum’at (27/11) dinas tersebut lock down. Semua pegawai terpaksa harus bekerja dari rumah atau work from home (WFH), karena tiga pegawai dinas itu terpapar positif korona.
Begitu mendengar pegawai Dinkes terpapar virus mematikan tersebut, Plt Bupati Jember Drs Abdul Muqit Arief langsung memerintahkan dinas itu untuk disterilkan. “Tidak saja Dinkes tapi semua kantor dibawah naungan Pemkab Jember bila ada pegawainya terkena Covid-19, segera dilakukan sterilisasi, hal ini menghindari agar virus tersebut tidak meluas kemana-mana,”ungkap Plt Bupati Muqit Arief.
Himbauan Plt Bupati Jember itu langsung ditindaklanjuti Satgas Covid-19. Jumat pagi Satgas Covid-19 langsung mendatangi Dinkes melalukan penyemprotan disinfektan.
Terpisah, Gatot Triyono, Plt.Kepala Dinas Informasi dan Komunika (Diskominfo) Kabupaten Jember membenarkan bila ada tiga pegawai Dinkes terkena Covid-19.
“Memang benar ada tiga pegawai Dinkes terjangkit Covid-19, karena itu dinas terpaksa disterilkan dan pegawai tidak masuk kantor tapi cukup bekerja dari rumah,” tegas Gatot. (kl)
Editor: Solikhul Huda
Reporter: Winardyasto
Fotografer: Winardyasto"
5,https://radarjember.jawapos.com/headline/27/11/2020/seorang-ibu-gelapkan-mobil-begini-ceritanya,27 November 2020 11:08 AM,Headline,"Seorang Ibu Gelapkan Mobil, Begini Ceritanya
","DIPERIKSA : Tersangka Tentrem Dwi Hariyati, 43 warga Desa Gunungsari, Kecamatan Umbulsari saat dimintai keterangan
JEMBER, RADARJEMBER.ID – Tentrem Dwi Hariyati , 43 seorang ibu asal warga Dusun Gadingsari RT 002/RW 003, Desa Gunungsari, Kecamatan Umbulsari harus berurusan dengan polisi (27/11/2020). Pasalnya dia diduga telah melakukan penipuan penggelapan mobil.
Seorang ibu rumah tangga ini diduga tidak sendirian saat melakukan aksinya. Ada beberapa teman lainnya. Namun, saat polisi melakukan penangkapan di wilayah Jember, tersangka sedang sendirian.
Dia awalnya mengelak dan tidak mengakui perbuatannya saat ditangkap
Tetapi setelah dilakukan pemeriksaan dia mengakui perbuatannya.
Begini Ceritanya
Awalnya tersangka menyewa kepada Rental yang ada di Wilayah Kecamatan Tanggul melalui orang lain. Selanjutnya mobil itu dipindahtangankan. Bukan disewakan, namun tersangka menggadaikan oleh seseorang di wilayah Kecamatan Semboro.
Awalnya saat menyewa, Ibu Rumah Tangga ini sanggup membayar sewa setiap sepuluh hari sekali.
“Tak kunjung ada kabar, akhirnya pemilik mobil lapor polisi,” kata IPTU Facthur Rahman, Kapolsek Semboro.
Akhirnya polisi melakukan penelusuran. Mohil Suzuki Ertiga P 1826 GA itu akhirnya berhasil ditemukan dari orang yang menggadai mobil.
“Untuk sementara mobil yang sudah digadaikan kami amankan,” jelas kapolsek.
Mobil itu digadaikan Rp 20juta. Polisi masih terus memburu teman tersangka yang diduga juga terlibat dalam kasus penggelapan mobil ini.
Editor: Solikhul Huda
Reporter: Jumai
Fotografer: Jumai"
6,https://radarjember.jawapos.com/berita-daerah/bws/25/11/2020/warga-perbaiki-jalan-swadaya,25 November 2020 3:34 PM,Bondowoso,"Warga Perbaiki Jalan Swadaya
Lantas ke Mana Peran Pemerintah","GOTONG ROYONG: Warga Desa Kalianyar dan Desa Pejagan bahu-membahu memperbaiki jalan rusak di jalan raya Bondowoso-Tamanan secara mandiri.
BONDOWOSO, RADARJEMBER.ID – Aksi puluhan warga  Desa Kalianyar, Tamanan, dan Desa Pejagan, Jambesari Darussolah, patut diacungi jempol dobel. Tak bergantung pada APBD, Mereka memperbaiki jalan rusak secara mandiri. Warga membeli bahan aspal secara swadaya tanpa bantuan pemerintah.
Modalnya hanya Rp 8 juta. Hasil iuran ratusan warga Desa Wonosuko, Kalianyar, Tamanan, dan Pejagan. Selain uang, ada juga yang menyumbang pasir, aspal, bahkan ada yang mengirimi makanan bagi warga yang gotong royong mengaspal jalan rusak parah di Jl Raya Bondowoso-Tamanan. “Ada yang bantu aspal, pasir, konsumsi,” tutur Murakib, warga sekitar.
Dia menjelaskan, pengaspalan tersebut melibatkan sekitar 28 warga dari Desa Kalianyar dan Desa Pejagan. Mereka bekerja dengan niat bakti sosial. Rata-rata warga yang terjun punya pengalaman bekerja mengaspal jalan. Sehingga, kegiatan pengaspalan jalan rusak yang cukup parah itu cepat selesai.
Dijelaskannya, aksi sosial tersebut murni inisiatif warga setempat. Pasalnya, kerusakan jalan terus bertambah parah. Selama ini, belum ada tanda-tanda jalan tersebut akan diperbaiki oleh pemerintah. Apalagi, jalan yang rusak tersebut sempat mengakibatkan kecelakaan lalu lintas. Kebanyakan korban pengendara motor. “Sering kali kecelakaan, bahkan sudah ada yang meninggal dunia,” terangnya.
Untuk itu, dia berharap pemerintah bisa segera melakukan perbaikan Jalan Raya Tamanan-Bondowoso. Apalagi, saat ini masuk musim hujan. Risiko kecelakaan lalu lintas lebih tinggi lagi. Kondisi jalan itu sebelum diperbaiki, banyak lubang yang tidak terlihat karena tergenang air. Akibatnya, banyak pengendara roda dua yang terperosok sampai jatuh.
Meski telah diperbaiki secara swadaya, warga tetap berharap pemerintah segera turun tangan untuk mengatasi jalan rusak tersebut. Sebab, di sepanjang jalan dari Bondowoso Kota hingga Kecamatan Tamanan, memang banyak yang berlubang. Bahkan, ada yang lubangnya cukup dalam.
Plt Kepala Dinas PUPR H Munandar menanggapi, bahwa ruas jalan Desa Kalianyar-Tamanan sudah ditangani, tetapi masih sekitar 200 meter saja. Sumbernya menggunakan dana pemeliharaan rutin oleh UPTD. “Titik itu juga sudah kami anggarkan menggunakan kontraktual, tetapi terjadi refocusing karena Covid-19. akhirnya anggaran tersebut di-pending,” kata Munandar.
Namun, dipastikan tahun 2021 menjadi skala prioritas Dinas PUPR. “Karena DED-nya (detail engineering design, Red) sudah dilaksanakan tahun 2020, maka penanganan jalan Kalianyar-Tamanan tetap dilaksanakan 2021 dan sudah kami anggarkan,” imbuh Kabid Bina Marga Dinas PUPR Bondowoso Hergiar Yuli Pramanto.
Editor: Solikhul Huda
Reporter: Narto
Fotografer: Istimewa"
7,https://radarjember.jawapos.com/berita-daerah/lumajang-hari-ini/24/11/2020/rombongan-pengajian-kecelakaan-di-tol,24 November 2020 3:10 PM,Lumajang Hari Ini,"Rombongan Pengajian Kecelakaan di Tol
Satu Penumpang Meninggal di Lokasi Kejadian","KECELAKAAN: Rombongan pengajian warga Lumajang kecelakaan di Jalan Raya Tol Kilometer 676.400 arah Surabaya menuju Kota Kertosono di Desa Karangdagangan, Kecamatan Bandar Kedungmulyo, Kabupaten  Jombang.
LUMAJANG, RADARJEMBER.ID – Nasib nahas menimpa rombongan pengajian warga Desa Selok Gondang, Kecamatan Sukodono. Rombongan tersebut diketahui mengalami kecelakaan di jalan tol arah Surabaya menuju Kertosono yang berlokasi di Desa Karangdagangan, Kecamatan Bandar Kedungmulyo, Kabupaten Jombang. Dari delapan belas penumpang, satu orang langsung meninggal dunia di lokasi kejadian.
Kasat Lantas Polres Lumajang AKP I Putu Angga membenarkan adanya kejadian tersebut. Kecelakaan terjadi pada pukul 13.15 WIB, kemarin. Kendaraan yang mengalami kecelakaan adalah mobil Izusu Elf dengan nomor polisi M 7026 YJ. “Dalam kejadian kecelakaan tersebut, menurut informasi awal, ban dari mobil tersebut mengalami pecah,” ucapnya.
Kronologis kejadiannya, semula kendaraan tersebut berjalan di jalur cepat dari arah timur. Karena mengalami pecah ban roda belakang sebelah kanan, sopir tidak menguasai kendaraan dan lepas kendali. Kendaraan oleng ke kiri dan menabrak pembatas jalan. “Dari 18 penumpang, seorang meninggal dunia. Seorang luka berat, 6 orang lainnya luka ringan,” ucapnya.
Korban yang meninggal tersebut atas nama Hudar Mawani Nadiatus Sholikha, 21, warga Desa Selok Gondang, Kecamatan Sukodono. Dalam proses evakuasi, korban yang mengalami luka langsung mendapat perawatan medis. Sedangkan dari pihak keluarga yang masih ada di Lumajang masih dilakukan koordinasi.
Kapolsek Sukodono Sutiyo mengatakan, semua penumpang yang mengalami kecelakaan tersebut adalah warga Lumajang. Pagi kemarin pemberangkatan menuju Kediri. Namun sayang, ketika di dalam tol kendaraan mengalami kecelakaan. “Informasi dari pemerintah desa setempat rombongan itu bukan rombongan pengantin, tapi rombongan pengajian yang akan menuju Kediri. Semua korban masih ada hubungan keluarga,” pungkasnya.
Editor: Hafid Asnan
Reporter: Ridho Abdullah Akbar
Fotografer: Istimewa"
8,https://radarjember.jawapos.com/berita-daerah/lumajang-hari-ini/24/11/2020/berkas-dikembalikan-kejaksaan,24 November 2020 2:31 PM,Lumajang Hari Ini,"Berkas Dikembalikan Kejaksaan
","LUMAJANG, RADARJEMBER.ID – Beragam spekulasi penegakan hukum terhadap empat tahanan narkoba yang kabur makin santer dibicarakan. Ada yang menilai kelalaian penjaga, hingga banyak kejanggalan lainnya. Salah satunya yang paling menonjol yaitu kejanggalan tidak lengkapnya berkas perkara kepolisian yang disetorkan ke kejaksaan.
Padahal dalam penanganan perkara narkoba seharusnya bisa cepat. Namun, karena syarat formil dan materiilnya belum terpenuhi, kejaksaan terpaksa mengembalikan berkas tersebut ke kepolisian agar segera diperbaiki. Nah, di tengah perbaikan inilah, keempat tahanan itu melarikan diri melalui lubang tembok sel tahanan.
Kasi Pidana Umum (Pidum) Kejaksaan Negeri Lumajang Ari Chandra membenarkan seluruh perkara empat tahanan itu adalah masalah narkoba. Sayangnya, setelah dilakukan pengecekan secara detail, berkas perkara yang diserahkan ternyata dikembalikan sebulan lalu.
“Statusnya berkas dikembalikan P19. Keempat berkasnya belum memenuhi syarat formil dan materiilnya, makanya oleh jaksa dikembalikan semua berkasnya ke polisi. Rata-rata kami kembalikan berkas tersebut di bulan September dan Oktober kemarin. Jadi, berkasnya ada di penyidik semua,” jelasnya.
Advokat hukum, Adi Riwayanto mengatakan, sebelumnya kejadian serupa juga pernah terjadi di Lumajang. Ketika akan melaksanakan sidang, tahanan melarikan diri. Namun, untuk yang kali ini lebih parah. Sebab, mereka lolos dari tembok jeruji besi yang dijaga oleh pihak kepolisian dengan pengawasan ketat.
“Kenapa kok tahanan narkoba yang rentan terjadi seperti itu. Apa ada perlakuan diskriminatif terhadap tersangkanya. Padahal untuk pengurusan berkas tindak pidana narkoba, polisi bisa menyerahkan lebih cepat. Berbeda dengan tindak pidana umum. Ini yang kadang menjadi pertanyaan banyak orang,” pungkasnya.
Editor: Hafid Asnan
Reporter: Atieqson Mar Iqbal
Fotografer:"
9,https://radarjember.jawapos.com/berita-daerah/jember/23/11/2020/masih-jauh-dari-target-kota-layak-anak,23 November 2020 2:34 PM,Jember,"Masih Jauh dari Target Kota Layak Anak
Jember Hanya Punya 20 Forum","JEMBER, RADARJEMBER.ID – Eksistensi forum anak di Jember menjadi salah satu indikator kelayakan Jember untuk menyandang predikat Kota Layak Anak (KLA). Untuk mencapainya, Jember harus memiliki setidaknya 248 forum anak di seluruh kecamatan. Namun, saat ini baru sekitar 20 forum anak yang eksis.
Kendala mendasar macetnya forum anak di beberapa kecamatan adalah adanya keterbatasan SDM. Ketua Forum Anak Jember (FAJ) Nugraha Bayu Saputra menyebut bahwa masyarakat dan muda-mudi Jember masih minim informasi tentang forum anak. Karenanya, hanya sedikit anak yang tertarik dan berminat untuk mendaftar dalam keanggotaan di forum anak.
Selain itu, keterbatasan juga dialami oleh para pemerintah daerah. Laki-laki yang akrab disapa Bayu itu mengatakan bahwa tak sedikit pemerintah kecamatan hingga kabupaten yang kurang memberikan dukungan terhadap segala program forum anak. “Banyak curhat dari teman-teman forum anak di kecamatan, mereka mau mengadakan acara tapi tidak didukung oleh camatnya,” ujar mahasiswa Fakultas Teknik Universitas Jember tersebut.
Bentuk dukungan lain yang diharapkan oleh anggota forum anak di Jember adalah dukungan peningkatan kapasitas dalam administrasi. Menurut Bayu, selama ini belum ada perhatian lebih untuk meningkatkan kualitas anggota dalam administrasi ataupun untuk mencari sponsor. “Kalau kita tidak didukung dari pendanaan, mungkin kita bisa diajari tentang bagaimana cari sponsor. Juga bagaimana tentang keorganisasian,” tambah laki-laki 19 tahun itu.
Kerumitan lain yang dihadapi oleh forum anak di kecamatan adalah surat keputusan yang susah diturunkan dari pihak pemerintah kecamatan. Bayu pun menceritakan satu pengalaman lambatnya pengurusan SK pada salah satu kecamatan. Untuk melegalkan forum anak di kecamatan, wajib hukumnya mendapat SK dari kecamatan. Sayangnya, pihak kecamatan tidak cepat menurunkan SK tersebut. “Kita pernah mengajukan ke kecamatan pada akhir 2017. Tapi, sampai sekarang tidak ada tindak lanjut,” ungkap Bayu lagi.
Terpisah, anggota Forum Anak Jember, M Afandi mengatakan bahwa selama bergabung di forum anak, banyak hal yang dia dapatkan. Di antaranya, relasi, wawasan tentang bagaimana memperlakukan anak, hingga hak dan kewajiban anak yang harus didapat. “Jadi, lebih tahu dan lebih peka gimana sih kondisi kita sendiri dan anak-anak. Kita juga dituntut untuk menjadi pelapor dan pelopor dalam kasus dan kegiatan anak,” ungkap mahasiswa FISIP Universitas Jember tersebut.
Melalui forum anak ini pula beberapa kasus pada anak juga turut diungkap. Bayu menyebut, kasus paling santer yang dia himpun adalah kekerasan antara anak dan orang tua, pertikaian antarteman, dan pemalsuan data diri anak.
Pihaknya berharap, tahun ini forum anak di Jember mampu terbentuk minimal 50 persen dari jumlah yang disyaratkan untuk mencapai kota layak anak. Selanjutnya, dia juga berharap dukungan pemerintah dan pengadaan pelatihan bagi sumber daya manusia forum anak lebih maksimal.
Editor: Lintang Anis Bena Kinanti
Reporter: mg1
Fotografer:"
