,Link,Date Time,Category,Title,Content
0,https://radarjombang.jawapos.com/read/2020/12/01/227658/giliran-pikap-tabrak-pembatas,"01 DESEMBER 2020, 09: 09: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Giliran Pikap Tabrak Pembatas
Sebulan, 13 Kejadian di Jalan Tol Jomo","JOMBANG – Kecelakaan tunggal terjadi di jalan tol Jombang-Mojokerto (Jomo), Senin pagi kemarin (30/11). Mobil pikap nopol DD 8389 RQ muatan bawang merah mengalami pecah ban di kilometer 693+200 A di Desa Kedungmlati, Kecamatan Kesamben. Ini insiden ke-13 insiden dalam satu bulan terakhir.
Data yang dihimpun, sekitar pukul 08.39, mobil yang dikendarai M Hamdi warga Desa Lesongdayu, Kecamatan Batumarmar, Kabupaten Pamekasan Madura ini membawa  bawang merah melaju dari Semarang hendak ke Surabaya. ’’Melaju dengan kecepatan 80 kilometer per jam di lajur satu,’’ kata Zanuar Firmanto Project Operational Manager PT AIS.
Masuk di kilometer 693+200A, tiba-tiba, kendaraan mengalami pecah ban bagian belakang sebelah kiri. Lantaran sopir tak bisa mengendalikan laju kendaraan, maka hilang kendali. ’’Kendaraan terpental ke kanan dan berhenti di atas wire rope (sling pagar pembatas, Red),’’ imbuh dia.
Kendaraan pun terhenti usai menabrak pembatas. Sebanyak dua ton bawang merah berserakan di jalan. Beruntung tidak ada korban jiwa. ’’Namun kendaraan menghadap arah berlawanan, tiga penumpang dalam keadaan selamat,’’ terangnya. Dia menyebut, hingga akhir November kemarin ada 13 insiden lakalantas di jalan Tol Jomo. Masing-masing menyebar di beberapa kilometer. ’’Berdasar data kami sebulan terakhir ada 13 kejadian,’’ papar Zanuar.
Dari 13 insiden itu satu di antaranya merenggut satu korban jiwa yang berasal dari rombongan Elf berisi 18 orang di kilometer 676+400 B di Desa Karangdagangan, Kecamatan Bandarkedungmulyo, (23/11) lalu. Rata-rata, yang menjadi penyebab kecelakaan lantaran mengalami pecah ban. ’’Kedua karena mengantuk dan ketiga selip. Kalau memang kita prediksi faktornya human eror,’’  terang dia.
Apalagi jika melihat data lakalantas itu sebagian besar pengemudi perjalanan jauh. Tercatat hingga 80 persen. ’’Karena itu bagi pengguna jalan saat musim hujan seperti ini, kalau dirasa jarak pandang tidak memungkinkan berjalan kencang, lebih baik pasang lampu hazard. Atau kecepatan dikurangi, dan kalau lelah beristirahat,’’ pungkas Zanuar."
1,https://radarjombang.jawapos.com/read/2020/11/30/227624/tergelincir-di-flyover-pemotor-tewas-dilindas-truk,"30 NOVEMBER 2020, 17: 47: 58 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tergelincir di Flyover, Pemotor Tewas Dilindas Truk","JOMBANG – Kecelakaan maut melibatkan truk gandeng dan sepeda motor terjadi di jembatan layang (flyover) Peterongan Sabtu (28/11) malam. Akibat kejadian, satu korban meninggal dunia di lokasi, serta satu korban lainnya mengalami luka-luka.
”Satu korban meninggal di lokasi. satu korban lainnya mengalami luka-luka, sudah dilakukan evakuasi,” terang Kanitlaka Satlantas Polres Jombang Iptu Sulaiman, kemarin.
Kecelakaan terjadi sekitar pukul 20.00 (28/11). Semula melaju sepeda motor Honda Scoopy nopol AG 2608 VAT yang dikemudikan Sulawan, 40, warga Kabupaten Nganjuk berboncengan dengan Siti Nur Farid Afika, 33, yang juga warga Nganjuk dari arah timur ke barat.
Saat melintas di flyover Peterongan, kendaraan mereka beriringan dengan truk gandeng nopol S 8543 LS yang dikemudikan Suyani, 45, berjalan searah.
Saat itu kondisi cuaca tengah hujan. Tiba-tiba motor yang mereka kendarai oleng dan tergelincir mengarah ke kanan dan masuk kolong truk gandeng dan terlindas ban truk. ”Penumpang meninggal di lokasi, sementara pengemudi hanya mengalami luka ringan,” bebernya.
Akibat kejadian ini, jalur nasional sempat tersendat. Tak lama petugas unit laka tiba di lokasi dan mengevakuasi korban ke RSUD Jombang, berikut kendaraan yang terlibat diamankan."
2,https://radarjombang.jawapos.com/read/2020/11/28/227216/hendak-angkut-hasil-panen-truk-dihantam-kereta-api,"28 NOVEMBER 2020, 08: 10: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Hendak Angkut Hasil Panen, Truk Dihantam Kereta Api
Sopir dan Kernet Tewas","JOMBANG – Perlintasan kereta api tak berpalang kembali mamakan korban. Kemarin (27/11), sebuah dump truk hancur setelah dihantam kereta api di perlintasan Desa Kayen, Kecamatan Bandar Kedungmulyo. Dua orang tewas seketika dalam kejadian ini.
Pantauan di lokasi, tampak badan truk hancur menjadi beberapa bagian. Roda, as, bak truk hingga kepala hancur terpisah.
 Informasi yang dihimpun, kecelakaan maut ini terjadi sekitar pukul 13.00. Dump truk bernopol S 8174 N itu tertabrak kereta api Gaya Baru Malam Selatan yang melaju dari timur ke barat atau dari arah Jombang ke Kertosono.
”Kata warga, si sopir sudah diperingatkan warga sekitar kalau ada kereta lewat dari timur, tapi sopir tidak dengar karena mereka membunyikan musik terlalu keras,’’ ujar Ali Nurrohmad, 50, salah satu warga di lokasi.
Akhirnya, dump truk yang dikendarai dua warga masing- masing Nurul Hidayat, 40, warga Desa Gondang Manis, Kecamatan Bandar Kedungmulyo dan Abdur Rohmat, 43, warga Dusun Bodeh, Desa Kayen, Kecamatan Bandarkedungmulyo tertabrak kereta. ”Infonya mau ambil hasil panen di Desa Kayen,’’ tambahnya.
Akibat kejadian itu, dua orang di dalam truk tewas di lokasi kejadian. Bahkan, dump truk yang dikendarai korban terseret hingga sekitar 500 meter dari lokasi awal kecelakaan.
Begitupun dengan tubuh korban yang ikut terbawa di dalam mobil. Warga yang berada di lokasi berusaha mengevakuasi tubuh korban. ”Truknya sampai hancur. Menjadi beberapa bagian,’’ pungkas warga Desa Kayen ini.
Dikonfirmasi terpisah, Kapolsek Bandar Kedungmulyo AKP Mursid menjelaskan, kecelakaan antara KA dan dump truk dipicu pengemudi truk yang tidak memperhatikan adanya kereta api yang lewat. Apalagi, perlintasan kereta api ini tidak memiliki palang pintu.
""Pada pengemudi truk nopol S 8174 N tidak memperhatikan kereta api dari arah timur saat mau nyeberang,"" ujarnya.
Mursid  membenarkan, akibat kecelakaan itu, sopir dan kernet truk, Abdur Rohmat 43, warga Desa Gondang Manis tewas di lokasi kejadian. ""Dua korban meninggal dunia di TKP. Sopir dan kernet dump truk,"" pungkasnya."
3,https://radarjombang.jawapos.com/read/2020/11/27/226979/tabrak-truk-avanza-ringsek-di-tol,"27 NOVEMBER 2020, 09: 00: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tabrak Truk, Avanza Ringsek di Tol","JOMBANG – Kecelakaan melibatkan mobil avanza dan truk terjadi di kilometer 689.400 Tol Jomo masuk Dusun Juwet, Desa Kedunglosari, Kecamatan Tembelang, Kabupaten Jombang, Kamis pagi kemarin (26/11). Akibatnya, dua penumpang mobil mengalami luka-luka dan dibawa ke rumah sakit terdekat.
Kecelakaan ini yang terjadi sekitar pukul 04.00 ini bermula dari mobil Avanza bernopol AG 1963 A yang disopiri Widiantoko, 40, warga Kediri melaju dari arah Surabaya menuju Jombang. “Mobil ini sedang dinaiki lima orang satu keluarga, seluruhnya warga Kediri,” terang Zanuar Firmanto Project Operational Manager PT AIS.
Perjalanan yang semula lancar, tiba-tiba berbalik saat masuk kilometer 689.400. Mobil yang disopirinya tiba-tiba mengarah ke kiri jalur lambat. Nahas, saat bersamaan, tengah berjalan truk bernopol DA 8137 TAO yang disopiri Handika Eko Kawintato, 41, warga Kendal Jawa Tengah.
“Dari pengakuan sopir, mobil ini berjalan dengan kecepatan 100 kilometer perjam di jalur lambat, hingga menabrak bak truk di depannya,” lanjut dia.
Akibat kecelakaan ini, mobil milik Widiantoko mengalami rusak berat. Bagian bodi depan dan atas mobil terlihat ringsek tak berbentuk.
Seluruh kaca mobil juga pecah. Beruntung, seluruh penumpang mobil berhasil keluar dengan selamat. “Dari pendataan petugas tadi, lima penumpang mobil avanza, satu orang luka berat di kepala, satunya luka ringan, sisanya selamat,” terang Iptu Sulaiman Kanitlaka Satlantas Polres Jombang.
Petugas menyimpulkan kecelakaan diakibatkan sopir avanza yang mengemudi diduga tidak dalam kondisi fit sehingga kehilangan kendali. “Dugaannya mengantuk, untuk pemeriksaan lebih lanjut, kendaraan yang terlibat sudah diamankan di mako,” pungkasnya."
4,https://radarjombang.jawapos.com/read/2020/11/25/226570/bawa-pulang-medali-perak,"25 NOVEMBER 2020, 08: 30: 59 WIB | EDITOR : ROJIFUL MAMDUH",Olahraga,"Bawa Pulang Medali Perak
Kejuaraan Balap Sepeda Downhill di Jepara","JOMBANG – Putra Ganda Arrozaq pembalap sepeda downhill yang mengikuti kejuaraan di Jepara berhasil menorehkan prestasi. Dia berhasil finish di peringkat kedua, sehingga berhasil membawa pulang medali perak.
”Kemarin yang ikut 3 orang, saya adik kembar saja, dan satu senior saya,” ungkap Putra Ganda Arrozaq, kepada Jawa Pos Radar Jombang. Arrozaq berhasil meraih medali perak dalam kegiatan tersebut. Sedangkan adiknya Putra Ganda Allfatah berhasil duduk di peringkat empat.
Sedangkan seniornya Arif Handoko, seniornya tak mendapatkan peringkat. Seniornya mengalami kendala sepeda, pada saat perlombaan berjalan. Sepedanya bermasalah, sehingga ia tertinggal cukup jauh dengan lawannya. ”Kalau senior saya, trouble di sepeda, jadi tidak menang,” tambahnya.
Ia mengaku tak mudah melalui kejuaraan yang dilaksanakan di Jepara itu. Lintasan balapnya licin dan berlumpur. Apalagi saat final, hujan deras, yang membuat lintasan semakin licin dan membahayakan. 
Bahkan Arrozaq mengaku sempat terjatuh. Tidak ada cedera serius yang dialami, hanya memar pada bagian dada karena terbentur pohon. Ia kembali bangkit dan meneruskan kembali hingga ke titik finish dan dinobatkan sebagai juara dua.
Ia mengatakan, jika setelah insiden kecelakaan itu terjadi, tenganya menurun. ”Setelah terjatuh itu sangat menguras tenaga, karena medannya yang licin juga,” tambahnya.
Selain mengendarai MTB Downhill di medan yang curam serta licin, Ia mengaku pesaing dari Jepara sangat berat. Dilihat dari kemampuannya, sulit untuk dikalahkan. ”Tapi karena saya optimistis, dan percaya diri akhirnya saya berusaha semampu saya,” ungkapnya.
Setelah kejuaraan berakhir, ia tak kembali ke Jombang, melainkan ke Batu.  Ia melanjutkan program latihannya di sana. Karena minggu depan ia juga akan mengikuti kegiatan serupa. ”Masih balik lagi ke Batu, karena minggu depan ada event lagi, setelah itu baru kembali ke Jombang,” tambahnya.
Ia memang sementara menetap di Batu, untuk bisa latihan secara intensif dan setiap hari di sana. Pasalnya, di Jombang dinilai tak ada lintasan yang cocok. Di Wonosalam dinilai kurang curam dan menantang."
5,https://radarjombang.jawapos.com/read/2020/11/24/226382/angkut-17-penumpang-elf-terguling-di-tol-jomo,"24 NOVEMBER 2020, 08: 20: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Angkut 17 Penumpang, Elf Terguling di Tol Jomo","JOMBANG - Sebuah Elf yang membawa 18 orang mengalami kecelakaan di jalan tol Jombang-Mojokerto (Jomo) di KM 676.400 B tepatnya di Desa Karangdagangan, Kecamatan Bandarmulyo kemarin.
Satu orang meninggal di lokasi dantujuh lainnya mengalami luka dan harus dilarikan ke rumah sakit.
Kanit Laka Satlantas Polres Jombang Iptu Sulaiman mengatakan, kecelakaan terjadi sekitar pukul 13.15.
Semula kendaraan Isuzu Elf nopol N 7026 YJ berjalan di lajur cepat dari arah timur ke barat atau arah Surabaya menuju Kertosono.
Nahas, saat melintas di KM 676.400 B, kendaraan yang dikemudikan oleh Joko ,36, warga Kabupaten Jember mengalami pecah ban belakang sebelah kanan.
Seketika sopir kehilangan kendali dan laju kendaraan pun oleng ke kiri dan menabrak pembatas jalan hingga terguling.
”Jadi begitu pecah ban langsung mengarah ke kiri menabrak guardrail (pembatas jalan, red), langsung terpelanting. Terguling lebih dari satu kali,” terang Sulaiman.
Mengetahui kejadian itu, petugas gabungan PJR Polda Jatim, Satlantas Polres Jombang dibantu petugas tol begerak ke lokasi. Satu persatu persatu penumpang berhasil dikeluarkan dari mobil.
Dikatakan Sulaiman, ada 18 orang di dalam elf tersebut yang merupakan rombongan dari Kabupaten Lumajang. ”Semuanya di dalam semua. Tidak ada yang terlempar ke luar,” ujarnya.
Akibat kejadian itu, satu penumpang, Hudar Mawani Nadiatus Sholikhah , 21, warga Kecamatan Sukodono, Kabupaten Lumajang meninggal di lokasi kejadian. ""Yang meninggal mengalami luka di bagian kepala,"" ungkapnya.
Selain itu, sopir dan enam penumpang lainnya mengalami luka-luka berat hingga ringan dan langsung dievakuasi petugas ke rumah sakit.
Petugas juga melakukan oleh TKP, dan mendapati kondisi salah satu ban kendaraan pecah. ”Karena pengemudi kurang memperhatikan kondisi ban,” singkat Sulaiman. Guna pemeriksaan lebih lanjut, polisi mengamankan kendaraan ke kantor satlantas."
6,https://radarjombang.jawapos.com/read/2020/11/23/226333/dinkes-adakan-pengukuran-kebugaran-jasmani-asn-pemkab,"23 NOVEMBER 2020, 19: 30: 23 WIB | EDITOR : ROJIFUL MAMDUH",Politik & Pemerintahan,"Dinkes Adakan Pengukuran Kebugaran Jasmani ASN Pemkab
Wujudkan SDM Sehat Jasmani","JOMBANG - Dinas Kesehatan (Dinkes) Kabupaten Jombang menggelar Pengukuran Kebugaran Jasmani masal Jumat (20/11) kemarin di lapangan pemkab. Tujuannya untuk mewujudkan SDM yang sehat secara jasmani di lingkup Pemkab Jombang.
Ikut dalam kegiatan, Sekretaris Daerah Akhmad Jazuli, asisten, staf ahli, kepala OPD, direktur BUMD, camat, kepala BLUD Puskesmas se-Kabupaten Jombang dan seluruh pegawai Dinas Kesehatan Kabupaten Jombang. Kepala Dinas Kesehatan drg Subandriyah menjelaskan, kegiatan pengukuran tingkat kebugaran pegawai menggunakan metode rockport.
”Setiap peserta berlari sepanjang 1.600 meter. Sebelum pengukuran kebugaran, peserta diminta untuk mengisi Par Q Test (Physical Activity Readiness Questionnaire) sebagai upaya screening, apakah peserta layak atau tidak untuk mengikuti pengukuran kebugaran dengan metode rockport,’’ ujar dia kemarin.
Selain itu, peserta juga diukur tinggi badan dan berat badan untuk mengetahui IMT (Indeks Massa Tubuh) sebagai salah satu cara untuk mengetahui status gizi seseorang, diukur tekanan darah, dan denyut nadi.
”Selanjutnya peserta menandatangi informed consent, yaitu surat pernyataan bersedia/setuju dengan sukarela untuk mengikuti pengukuran kebugaran setelah sebelumnya dijelaskan tentang tujuan, manfaat, dan risiko yang mungkin terjadi akibat aktivitas selama pengukuran kebugaran berlangsung,’’ tambahnya.  
Sebelum peserta berlari, lanjut Subandriyah, peserta terlebih dahulu melakukan pemanasan dan peregangan seluruh tubuh, terutama otot tungkai dan dilanjutkan dengan jalan kaki. ”Pemanasan sekitar 10-15 menit,” bebernya.
Usai pemanasan, baru peserta disiapkan untuk berlari. Waktu yang dicapai peserta dalam menyelesaikan lari sepanjang 1.600 meter tersebut kemudian dikonversikan ke dalam tabel hubungan waktu tempuh - VO2 max untuk mengetahui VO2 max (ml/kg/menit) peserta.
”Setelah mengetahui VO2 max peserta, kemudian nilai VO2 max digunakan untuk mengetahui tingkat kebugaran jantung paru sesuai dengan jenis kelamin dan kelompok umur,’’ papar dia.
Selain metode rockport, bagi pegawai ASN yang mempunyai faktor risiko, misalnya mempunyai riwayat penyakit, riwayat kecelakaan, riwayat patah tulang, pengapuran tulang dan obesitas, dapat mengikuti pengukuran kebugaran dengan metode jalan enam menit (setelah mendapatkan rekomendasi dari dokter).
”Kebalikan dari metode rockport, pada metode jalan 6 menit peserta diminta untuk berjalan cepat melalui lintasan yang sudah dibuat selama 6 menit. Total jarak yang dapat ditempuh peserta kemudian dikonversikan ke dalam tabel (waktu) hingga didapatkan kategori tingkat kebugaran,’’ tandasnya. Sementara itu, Sekdakab Akhmad Jazuli mengapresiasi kegiatan yang dilakukan Dinkes.
Menurut dia, kegiatan positif seperti ini harus dilakukan secara rutin dan berkala. ”Kegiatan ini perlu dilanjutkan. Agar kegiatan pengukuran kebugaran pegawai dapat berlangsung terus, maka perlu koordinasi dan kerja sama lintas sektor dan mendapat dukungan penuh dari Pemerintah Kabupaten Jombang demi mewujudkan visi misi Kabupaten Jombang,’’ pungkasnya."
7,https://radarjombang.jawapos.com/read/2020/11/23/226320/lewati-tikungan-tajam-pemotor-nyungsep,"23 NOVEMBER 2020, 18: 54: 40 WIB | EDITOR : ROJIFUL MAMDUH",Berita Daerah,"Lewati Tikungan Tajam, Pemotor Nyungsep","JOMBANG – Moch Burhanudin Safi'i, 43, pemotor asal Kecamatan Sukomoro, Kabupaten Nganjuk harus menjalani perawatan di Puskesmas Mojoagung. Menyusul kendaraan menabrak pembatas ringroad Mojoagung Sabtu (21/11) malam. ”Laka tunggal, korban sudah dievakuasi ke puskesmas Mojoagung,” terang Kanitlaka Satlantas Polres Jombang Iptu Sulaiman.
Kecelakaan bermula saat Burhan mengendarai sepeda motor Kawasaki Ninja bernopol L 6875 TA berjalan dari arah Surabaya (timur) ke arah Jombang (barat) di jalan lingkar Mojoagung. Nahas, saat melintasi jalan menikung, korban diduga tak mampu menguasai kemudi motor, sehingga menabrak pembatas jalan.
”Jadi dia ini berkendara dengan kecepatan tinggi, mungkin tidak mengausai jalan di situ ada tikungan tajam,” lanjutnya. Akibat kejadian ini, kondisi kendaraan mengalami ringsek di bagian bodi depan. Korban selanjutnya dilarikan ke puskesmas Mojoagung. ”Korban selamat, hanya mengalami luka ringan. Sementara motornya sudah kita amankan,” singkat Sulaiman."
8,https://radarjombang.jawapos.com/read/2020/11/23/226321/hindari-fortuner-innova-tabrak-pembatas-tol,"23 NOVEMBER 2020, 18: 58: 43 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Hindari Fortuner, Innova Tabrak Pembatas Tol","JOMBANG – Kecelakaan tunggal terjadi di tol Jombang – Mojokerto (Jomo) (22/11). Tidak ada korban jiwa. Korban luka mendapat penanganan di rumah sakit.
Mobil Kijang Innova bernopol S 1997 HR yang disopiri Bayu, 27, warga Kabupaten Lamongan. Zanuar Firmanto, Project Operational Manager PT Astra Infratoll Solution (AIS) menjelaskan, kecelakaan terjadi sekitar pukul 15.21 Semula melaju kendaraan Kijang Innova bernopol S 1997 HR disopiri Bayu, 27, warga asal Kabupaten Lamongan berjalan dari arah Surabaya tujuan Kertosono.
Perjalanan yang semula lancar ini mengalami kendala ketika masuk di Kilometer 697.000. Saat itu, kondisi cuaca sedang hujan, dan bayu berkendara dengan kecepatan sekitar 80 kilometer per jam.
”Tiba-tiba saja, korban melihat di depannya ada mobil Fortuner yang sedang oleng,” lanjutnya. Sontak dia pun membanting kendaraannya ke kiri untuk menghindari benturan.
Nahas, mobilnya ini justru mengalami selip sehingga terombang-ambing dan menabrak pembatas jalan. Beruntung Bayu, beserta istri dan anaknya selamat. Namun akibat benturan keras, kondisi bodi kendaraannya ringsek.
”Beruntung tidak ada korban jiwa, sopir selamat tanpa luka, untuk istri korban dan anaknya menderita luka benturan di kepala, sekarang masih dalam perawatan,” pungkasnya."
9,https://radarjombang.jawapos.com/read/2020/11/21/225926/tabrak-truk-parkir-pemotor-luka-berat,"21 NOVEMBER 2020, 07: 05: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tabrak Truk Parkir, Pemotor Luka Berat","JOMBANG – Muttaqin, 34, warga Sooko, Mojokerto harus mendapatkan perawatan intensif di RSUD Jombang. Ini setelah ia terlibat kecelakaan dengan truk di Jl Prof Dr Nurcholish Madjid Jombang, Kamis malam kemarin (19/11).
“Kejadiannya sekira pukul 21.00, korban sudah dievakuasi ke rumah sakit dan menjalani pemeriksaan intensif,” terang Kanitlaka Satlantas Polres Jombang Iptu Sulaiman. Kecelakaan ini bermula, saat Muttaqin yang mengendarai sepeda motor bernopol S 5309 NAY, berjalan dari selatan dengan kecepatan tinggi. “Ia menggunakan jalur lambat di sisi kiri jalan nasional,” lanjutnya.
Perjalanan yang semula lancar, berujung petaka ketika ia masuk di Jalan Prof Dr Nurcholish Madjid Jombang. Di jalan itu, ada dumptruck bernopol S 9924 HF tengah parkir di bahu jalan. Dump truk yang disopiri Sri Guntoro, 37, warga Plosoklaten Kediri ini sedang mengalami kendala karena ban pecah. “Jadi dumptruck ini pecah ban dan sudah menyalakan tanda bahaya,” tambahnya.
Diduga karena mengantuk dan kelelahan, Muttaqin tak melihat tanda bahaya yang dipasang itu. Tanpa ampun, ia pun menabrak bagian belakang truk. Sepeda motornya mengalami rusak berat di bagian depan. Sementara ia sendiri sempat terlempar ke jalan raya. “Korban pengendara sepeda motor mengalami luka cukup parah, patah kedua tangan dan cidera otak ringan,” jelas Sulaiman.
Untuk kendaraan yang terlibat kecelakaan, lanjutnya, sudah dievakuasi ke mako. Hingga berita ini diturunkan, korban masih menjalani perawatan intensif di RSUD Jombang. “Untuk pemeriksaan lebih lanjut,” pungkasnya."
