,Link,Date Time,Category,Title,Content
0,https://radarjombang.jawapos.com/read/2020/12/01/227658/giliran-pikap-tabrak-pembatas,"01 DESEMBER 2020, 09: 09: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Giliran Pikap Tabrak Pembatas
Sebulan, 13 Kejadian di Jalan Tol Jomo","JOMBANG – Kecelakaan tunggal terjadi di jalan tol Jombang-Mojokerto (Jomo), Senin pagi kemarin (30/11). Mobil pikap nopol DD 8389 RQ muatan bawang merah mengalami pecah ban di kilometer 693+200 A di Desa Kedungmlati, Kecamatan Kesamben. Ini insiden ke-13 insiden dalam satu bulan terakhir.
Data yang dihimpun, sekitar pukul 08.39, mobil yang dikendarai M Hamdi warga Desa Lesongdayu, Kecamatan Batumarmar, Kabupaten Pamekasan Madura ini membawa  bawang merah melaju dari Semarang hendak ke Surabaya. ’’Melaju dengan kecepatan 80 kilometer per jam di lajur satu,’’ kata Zanuar Firmanto Project Operational Manager PT AIS.
Masuk di kilometer 693+200A, tiba-tiba, kendaraan mengalami pecah ban bagian belakang sebelah kiri. Lantaran sopir tak bisa mengendalikan laju kendaraan, maka hilang kendali. ’’Kendaraan terpental ke kanan dan berhenti di atas wire rope (sling pagar pembatas, Red),’’ imbuh dia.
Kendaraan pun terhenti usai menabrak pembatas. Sebanyak dua ton bawang merah berserakan di jalan. Beruntung tidak ada korban jiwa. ’’Namun kendaraan menghadap arah berlawanan, tiga penumpang dalam keadaan selamat,’’ terangnya. Dia menyebut, hingga akhir November kemarin ada 13 insiden lakalantas di jalan Tol Jomo. Masing-masing menyebar di beberapa kilometer. ’’Berdasar data kami sebulan terakhir ada 13 kejadian,’’ papar Zanuar.
Dari 13 insiden itu satu di antaranya merenggut satu korban jiwa yang berasal dari rombongan Elf berisi 18 orang di kilometer 676+400 B di Desa Karangdagangan, Kecamatan Bandarkedungmulyo, (23/11) lalu. Rata-rata, yang menjadi penyebab kecelakaan lantaran mengalami pecah ban. ’’Kedua karena mengantuk dan ketiga selip. Kalau memang kita prediksi faktornya human eror,’’  terang dia.
Apalagi jika melihat data lakalantas itu sebagian besar pengemudi perjalanan jauh. Tercatat hingga 80 persen. ’’Karena itu bagi pengguna jalan saat musim hujan seperti ini, kalau dirasa jarak pandang tidak memungkinkan berjalan kencang, lebih baik pasang lampu hazard. Atau kecepatan dikurangi, dan kalau lelah beristirahat,’’ pungkas Zanuar."
1,https://radarjombang.jawapos.com/read/2020/12/01/227659/puskesmas-mojowarno-luncurkan-program-poskeswa-pelita-jaya,"01 DESEMBER 2020, 08: 25: 59 WIB | EDITOR : ROJIFUL MAMDUH",Berita Daerah,Puskesmas Mojowarno Luncurkan Program Poskeswa Pelita Jaya,"JOMBANG – Puskesmas Mojowarno kemarin melakukan pembinaan dan evaluasi kegiatan posyandu jiwa sekaligus sosialisasi Terapi Aktifitas Kelompok (TAK). Serta meluncurkan program inovasi, posyandu kesehatan jiwa (Poskeswa) yang diberi nama Poskeswa Pelita Jaya (Pos kesehatan jiwa peduli kita, harapan jiwanya bahagia).
”Hal ini sesuai Undang Undang No 18 Tahun 2014 tentang Kesehatan Jiwa, yaitu menjamin setiap orang dapat hidup sejahtera lahir dan batin serta memperoleh pelayanan kesehatan dengan penyelenggaraan pembangunan kesehatan,” ungkap dr Ainun Zubaidah MKp Kepala Puskesmas Mojowarno.
Untuk mencapai tujuan itu perlu dilakukan berbagai upaya kesehatan jiwa. Termasuk dengan pendekatan promotif, preventif, kuratif, dan rehabilitif.
Upaya kesehatan jiwa harus diselenggarakan secara terintregasi, komprehensif dan berkesinambungan. Sebagai upaya mntuk mewujudkan program itu BLUD Puskesmas Mojowarno, dibantu pemerintah desa dan masyarakat.
Sejauh ini, tambahnya, kasus ODGJ di wilayah kerja Puskesmas Mojowarno tahun 2019 ada 156 jiwa. Tahun ini ada kenaikan kasus 8 orang. Pelaksanaan posyandu jiwa  dilakukan secara bergilir dari desa ke desa setiap bulan.
Dengan menerapkan TAK pada saat Poskeswa, diharapkan ODGJ bisa bersosialisai dengan masyarakat sekitar dan lebih percaya diri.
”Kami ucapkan terimakasih pada pemerintah desa dan jajaran lintas sektor yang ikut memperhatikan ODGJ, agar bisa diterima di masyarakat. Kasus ODGJ  semoga tidak ada kenaikan lagi,” pungkas Ainun."
2,https://radarjombang.jawapos.com/read/2020/12/01/227681/pemuda-meninggal-mendadak,"01 DESEMBER 2020, 07: 20: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,Pemuda Meninggal Mendadak,"JOMBANG – Ketenangan warga Desa Jombatan, Kecamatan Kesamben, Kabupaten Jombang tiba-tiba terusik. Ini setelah ditemukan pemuda meninggal mendadak di sekitar tambangan Sungai Brantas. Belum diketahui pasti penyebab meninggalnya laki-laki lajang tersebut.
”Setelah mendapat laporan warga, anggota melakukan olah TKP,” kata Kapolsek Kesamben Iptu Slamet Hariyana, kemarin. Hasil pemeriksaan yang dilakukan, korban meninggal Adam Hery Sabrang, 24, warga Dusun Blereng, Desa Sumberejo, Kecamatan Purwoasri, Kabupaten Kediri. ”Korban belum kawin, pekerjaannya belum tahu,” ucapnya.
Menurut keterangan warga, lanjut Slamet, pemuda itu naik sepeda motor nopol AG 6634 VAS dari tambangan sungai Brantas.
Setiba di perempatan jalan, tiba-tiba Adam roboh dari motornya. Warga yang mengetahui kejadian itu langsung mendekat untuk memberikan pertolongan. Namun, korban  sudah tak bernyawa.
”Sudah diberi pertolongan warga dengan membantunya berdiri. Tapi tidak bisa karena korban sudah meninggal dunia,” tegasnya.
Pihak kepolisian belum bisa menyimpulkan penyebab kematian pemuda tersebut. Saat dilakukan pengecekan tim medis dari Puskesmas Kesamben, tidak ditemukan tanda-tanda bekas penganiayaan. ”Belum bisa kita simpulkan penyebab meninggalnya,” pungkas Slamet."
3,https://radarjombang.jawapos.com/read/2020/11/30/227624/tergelincir-di-flyover-pemotor-tewas-dilindas-truk,"30 NOVEMBER 2020, 17: 47: 58 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tergelincir di Flyover, Pemotor Tewas Dilindas Truk","JOMBANG – Kecelakaan maut melibatkan truk gandeng dan sepeda motor terjadi di jembatan layang (flyover) Peterongan Sabtu (28/11) malam. Akibat kejadian, satu korban meninggal dunia di lokasi, serta satu korban lainnya mengalami luka-luka.
”Satu korban meninggal di lokasi. satu korban lainnya mengalami luka-luka, sudah dilakukan evakuasi,” terang Kanitlaka Satlantas Polres Jombang Iptu Sulaiman, kemarin.
Kecelakaan terjadi sekitar pukul 20.00 (28/11). Semula melaju sepeda motor Honda Scoopy nopol AG 2608 VAT yang dikemudikan Sulawan, 40, warga Kabupaten Nganjuk berboncengan dengan Siti Nur Farid Afika, 33, yang juga warga Nganjuk dari arah timur ke barat.
Saat melintas di flyover Peterongan, kendaraan mereka beriringan dengan truk gandeng nopol S 8543 LS yang dikemudikan Suyani, 45, berjalan searah.
Saat itu kondisi cuaca tengah hujan. Tiba-tiba motor yang mereka kendarai oleng dan tergelincir mengarah ke kanan dan masuk kolong truk gandeng dan terlindas ban truk. ”Penumpang meninggal di lokasi, sementara pengemudi hanya mengalami luka ringan,” bebernya.
Akibat kejadian ini, jalur nasional sempat tersendat. Tak lama petugas unit laka tiba di lokasi dan mengevakuasi korban ke RSUD Jombang, berikut kendaraan yang terlibat diamankan."
4,https://radarjombang.jawapos.com/read/2020/11/28/227172/tanpa-busana-mengambang-di-dam-karet,"28 NOVEMBER 2020, 08: 00: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tanpa Busana, Mengambang di Dam Karet","JOMBANG – Penemuan mayat wanita tanpa busana menggegerkan warga Desa Sudimoro, Kecamatan Megaluh, Kabupaten Jombang, Jumat pagi kemarin (27/11). Hingga kini, polisi masih kesulitan melacak identitas korban karena kondisi mayat sudah rusak.
“Ditemukan sekira pukul 09.30, tersangkut di pusaran air Bendung Karet Jatimlerek sisi Desa Sudimoro,” terang AKP Darmaji Kapolsek Megaluh. Saat ditemukan, mayat berjenis kelamin perempuan ini berada di antara sampah sungai di pusaran air.
Tak ada indentitas maupun tanda pengenal apapun di tubuhnya. Mayat dalam kondisi telanjang bulat, dengan posisi tertelungkup dengan kaki tertekuk ke belakang. “ Posisinya sudah pucat, beberapa bagian kulit juga sudah mengelupas,” tambahnya.
Dibantu sejumlah warga dan relawan, upaya evakuasi mayat dilakukan dengan cara mengaitnya dengan tali. Setelah berhasil diangkat ke permukaan, jenazah langsung dibawa ke RSUD Jombang untuk dilakukan visum dan pemeriksaan.
Sayangnya, hingga berita ini diturunkan, teka-teki identitas mayat ini belum bisa ditemukan. Polisi masih terkendala proses identifikasi, lantaran sidik jari korban tak terbaca. Ciri khusus pada jenazah juga tidak ada. “Benar, sudah sangat rusak jenazahnya,” tambah Darmaji.
Pihaknya memperkirakan, mayat wanita ini terlalu lama berada di air hingga sulit dikenali. Perkiraan lebih dari seminggu. Terlebih, hingga kini belum ada warga Megaluh dan sekitar Brantas yang mengaku kehilangan anggota keluarga. “Kami masih terus sebarkan penemuan ini melalui media dan radio, tapi  belum ada warga yang melapor,” pungkasnya."
5,https://radarjombang.jawapos.com/read/2020/11/27/226979/tabrak-truk-avanza-ringsek-di-tol,"27 NOVEMBER 2020, 09: 00: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Tabrak Truk, Avanza Ringsek di Tol","JOMBANG – Kecelakaan melibatkan mobil avanza dan truk terjadi di kilometer 689.400 Tol Jomo masuk Dusun Juwet, Desa Kedunglosari, Kecamatan Tembelang, Kabupaten Jombang, Kamis pagi kemarin (26/11). Akibatnya, dua penumpang mobil mengalami luka-luka dan dibawa ke rumah sakit terdekat.
Kecelakaan ini yang terjadi sekitar pukul 04.00 ini bermula dari mobil Avanza bernopol AG 1963 A yang disopiri Widiantoko, 40, warga Kediri melaju dari arah Surabaya menuju Jombang. “Mobil ini sedang dinaiki lima orang satu keluarga, seluruhnya warga Kediri,” terang Zanuar Firmanto Project Operational Manager PT AIS.
Perjalanan yang semula lancar, tiba-tiba berbalik saat masuk kilometer 689.400. Mobil yang disopirinya tiba-tiba mengarah ke kiri jalur lambat. Nahas, saat bersamaan, tengah berjalan truk bernopol DA 8137 TAO yang disopiri Handika Eko Kawintato, 41, warga Kendal Jawa Tengah.
“Dari pengakuan sopir, mobil ini berjalan dengan kecepatan 100 kilometer perjam di jalur lambat, hingga menabrak bak truk di depannya,” lanjut dia.
Akibat kecelakaan ini, mobil milik Widiantoko mengalami rusak berat. Bagian bodi depan dan atas mobil terlihat ringsek tak berbentuk.
Seluruh kaca mobil juga pecah. Beruntung, seluruh penumpang mobil berhasil keluar dengan selamat. “Dari pendataan petugas tadi, lima penumpang mobil avanza, satu orang luka berat di kepala, satunya luka ringan, sisanya selamat,” terang Iptu Sulaiman Kanitlaka Satlantas Polres Jombang.
Petugas menyimpulkan kecelakaan diakibatkan sopir avanza yang mengemudi diduga tidak dalam kondisi fit sehingga kehilangan kendali. “Dugaannya mengantuk, untuk pemeriksaan lebih lanjut, kendaraan yang terlibat sudah diamankan di mako,” pungkasnya."
6,https://radarjombang.jawapos.com/read/2020/11/27/226993/siup-tak-berlaku-efektif,"27 NOVEMBER 2020, 08: 30: 59 WIB | EDITOR : ROJIFUL MAMDUH",Politik & Pemerintahan,"SIUP Tak Berlaku Efektif
DPMPTSP: Tak Diperbolehkan Menjalankan Usaha","JOMBANG – Surat Izin Usaha Perdagangan (SIUP) CV Putra Indah Raya ternyata belum berlaku efektif. Setidaknya ini terlihat dari tanggal izin usaha proyek pertama dan salah pengisian data.
”Berdasar data di Online Single Submission (OSS) tanggal izin usaha proyek pertama 9 Januari 2020,” ujar Ilham Hero Koentjoro Kepala Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP) Jombang, melalui Yaumassyfa Kabid Pelayanan Perizinan, kemarin (26/11).
Disampaikan, setelah dilakukan pengecekan CV Putra Indah Raya, SIUP masih belum memenuhi komitmen atau bisa disebut tidak efektif. Disebut tidak efektif diduga karena pelaku usaha salah saat pengisian data. Sebab, pada saat pengisian data di OSS itu pelaku usaha tidak didampingi pihak DPMPTSP.
”Itu kesalahan bisa jadi pada saat pemilihan komitmen usaha, atau pemilihan izin lokasi. Karena banyak klausul. Tapi kami belum bisa memastikan kesalahan pastinya dimana,” terangnya.
Saat ditanya apakah bisa CV yang SIUP-nya tidak efektif menjalankan usaha, ia menyebut usaha SIUP harus efektif terlebih dahulu. Karena apapun kegiatan itu harus mempunyai izin terlebih dahulu.
Sehingga, apabila tidak efektif, maka tidak diperbolehkan menjalankan usaha. ”Ya harus dilakukan perbaikan terlebih dulu sampai SIUP efektif, baru menjalankan usaha,” tegasnya lagi.
Agar SIUP itu bisa efektif, lanjut dia, maka pelaku usaha harus melakukan perbaikan data. Apabila pengisian data dilakukan dengan benar dan tepat, maka SIUP akan langsung efektif.
”Tapi sampai sekarang SIUP CV Putra Indah Raya belum efektif. Harus dilakukan perbaikan, bila tidak bisa, kami bisa memberikan pendampingan,” tambah Syfa.
CV Putra Indah Raya ini sendiri memasukkan beberapa kegiatan. Diantaranya perdagangan besar makanan dan minuman, perdagangan eceran mesin pertanian dan perlengkapan, perdagangan eceran alat tulis menulis dan gambar, perdagangan eceran berbagai macam material bahan bangunan, perdagangan eceran furnitur, perdagangan eceran padi dan palawija, perdagangan eceran sayuran dan yang terakhir event organizer. ”Untuk satu CV memang tidak dibatasi jumlah kegiatan usahanya,” tegasnya.
Sementara itu, pembayaran yang dilakukan RSUD Jombang ke CV Putra Indah Raya untuk pasokan logistik makanan dan minuman secara keseluruhan setiap bulan berkisar Rp 220 juta. ”Pembayaran baru kita lakukan setelah CV menagih sesuai dengan dokumen klaim lengkap,” jelas dr Pudji Umbaran Direktur RSUD Jombang.
Ia menjelaskan, pembayaran antara bahan makanan kering dan basah biasanya dibedakan. Untuk bahan makanan kering, pembayaran dilakukan satu bulan sekali.
Sesuai dengan dokumen klaim yang diserahkan CV. Jumlah yang dibayarkan sekitar Rp 80 juta per bulan. Bahan makanan kering yang dimaksud seperti beras, mie, tepung, telur, dan bahan makanan lain yang tahan lama.
Sedangkan untuk bahan makanan basah, lanjut dia, biasanya dilakukan dua minggu sekali. Per pembayaran, kisaran angka Rp 70-75 juta. Bahan makanan basah yang dimaksud ini sayur mayur, lauk pauk yang disuplai setiap hari.
”Karena kebutuhan logistik makanan dan minuman sangat fluktuatif, kita menyesuaikan dengan jumlah pasien, jadi tagihan setiap bulan tidak sama. Tapi kisaran angka untuk bahan makanan kering Rp 80 juta, dan bahan makanan basah Rp 70-75 juta,” rincinya. Semua pembayaran menurut dr Pudji dibayarkan non tunai. ”Setelah dokumen klaim semua lengkap baru kita bayarkan,” pungkas dia."
7,https://radarjombang.jawapos.com/read/2020/11/27/226965/bupati-jombang-terpapar-covid-19,"27 NOVEMBER 2020, 07: 45: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Bupati Jombang Terpapar Covid-19
Swab Kedua Masih Positif","JOMBANG - Bupati Jombang Mundjidah Wahab dikabarkan terpapar Covid-19. Orang nomor satu di Jombang ini dinyatakan positif Covid-19 sejak 14 hari lalu. Bahkan, saat ini masih menjalani perawatan di RS dr Soetomo Surabaya.
”Ya  terinfeksi (Covid-19, Red), ibu (Mundjidah Wahab, Red) sudah menjalani perawatan 14 hari,” ujar Ema Umiyyatul Chusnah, salah seorang putri bupati saat dikonfirmasi Kamis kemarin (26/11).
Perempuan yang akrab disapa Ning Emma ini menyebut sang ibu terinfeksi virus korona sejak 14 hari lalu.
Bupati perempuan pertama di Jombang ini sudah menjalani tes swab tiga kali. Hasil uji swab dua kali menunjukkan positif, dan saat ini masih menunggu hasil uji swab ketiga.
Ning Ema menjelaskan, sang ibu sedang menjalani perawatan di RS dr Soetomo Surabaya sejak Senin (23/11). Sebelum dibawa ke RS dr Soetomo, Mundjidah sempat menjalani isolasi mandiri di rumah dinas Bupati Jombang selama 10 hari.
”Ibu sekarang lagi pemulihan di RS dr Soetomo karena sudah menjalani isolasi mandiri di rumah dinas. Untuk mempercepat pemulihan saja, keluarga minta untuk dibawa ke RS dr Soetomo,” tambah perempuan yang menjadi anggota DPR RI ini.
Saat ini, kondisi Bupati Mundjidah mulai membaik. Emma mengatakan, Mundjidah tidak memiliki penyakit penyerta sehingga masa pemulihan bisa berjalan cepat.
”Alhamdulillah karena ibu tidak memiliki penyakit bawaan, jadi kondisi ibu baik dan stabil. Mulai dari tekanan darah, kandungan gula, semua baik,” tegasnya.
Dikonfirmasi terpisah, Sekda Akhmad Jazuli menjelaskan kondisi Bupati Jombang saat ini sangat baik. Dia mengaku tidak tahu kalau orang nomor satu di Jombang ini terpapar Covid-19.
”Rabu kemarin (25/11), saya telepon kondisinya sangat baik. Coba tanya yang membidangi, informasi yang saya dapat menjalani perawatan di dr Soetomo Surabaya,” pungkasnya."
8,https://radarjombang.jawapos.com/read/2020/11/24/226382/angkut-17-penumpang-elf-terguling-di-tol-jomo,"24 NOVEMBER 2020, 08: 20: 59 WIB | EDITOR : ROJIFUL MAMDUH",Peristiwa,"Angkut 17 Penumpang, Elf Terguling di Tol Jomo","JOMBANG - Sebuah Elf yang membawa 18 orang mengalami kecelakaan di jalan tol Jombang-Mojokerto (Jomo) di KM 676.400 B tepatnya di Desa Karangdagangan, Kecamatan Bandarmulyo kemarin.
Satu orang meninggal di lokasi dantujuh lainnya mengalami luka dan harus dilarikan ke rumah sakit.
Kanit Laka Satlantas Polres Jombang Iptu Sulaiman mengatakan, kecelakaan terjadi sekitar pukul 13.15.
Semula kendaraan Isuzu Elf nopol N 7026 YJ berjalan di lajur cepat dari arah timur ke barat atau arah Surabaya menuju Kertosono.
Nahas, saat melintas di KM 676.400 B, kendaraan yang dikemudikan oleh Joko ,36, warga Kabupaten Jember mengalami pecah ban belakang sebelah kanan.
Seketika sopir kehilangan kendali dan laju kendaraan pun oleng ke kiri dan menabrak pembatas jalan hingga terguling.
”Jadi begitu pecah ban langsung mengarah ke kiri menabrak guardrail (pembatas jalan, red), langsung terpelanting. Terguling lebih dari satu kali,” terang Sulaiman.
Mengetahui kejadian itu, petugas gabungan PJR Polda Jatim, Satlantas Polres Jombang dibantu petugas tol begerak ke lokasi. Satu persatu persatu penumpang berhasil dikeluarkan dari mobil.
Dikatakan Sulaiman, ada 18 orang di dalam elf tersebut yang merupakan rombongan dari Kabupaten Lumajang. ”Semuanya di dalam semua. Tidak ada yang terlempar ke luar,” ujarnya.
Akibat kejadian itu, satu penumpang, Hudar Mawani Nadiatus Sholikhah , 21, warga Kecamatan Sukodono, Kabupaten Lumajang meninggal di lokasi kejadian. ""Yang meninggal mengalami luka di bagian kepala,"" ungkapnya.
Selain itu, sopir dan enam penumpang lainnya mengalami luka-luka berat hingga ringan dan langsung dievakuasi petugas ke rumah sakit.
Petugas juga melakukan oleh TKP, dan mendapati kondisi salah satu ban kendaraan pecah. ”Karena pengemudi kurang memperhatikan kondisi ban,” singkat Sulaiman. Guna pemeriksaan lebih lanjut, polisi mengamankan kendaraan ke kantor satlantas."
9,https://radarjombang.jawapos.com/read/2020/11/23/226320/lewati-tikungan-tajam-pemotor-nyungsep,"23 NOVEMBER 2020, 18: 54: 40 WIB | EDITOR : ROJIFUL MAMDUH",Berita Daerah,"Lewati Tikungan Tajam, Pemotor Nyungsep","JOMBANG – Moch Burhanudin Safi'i, 43, pemotor asal Kecamatan Sukomoro, Kabupaten Nganjuk harus menjalani perawatan di Puskesmas Mojoagung. Menyusul kendaraan menabrak pembatas ringroad Mojoagung Sabtu (21/11) malam. ”Laka tunggal, korban sudah dievakuasi ke puskesmas Mojoagung,” terang Kanitlaka Satlantas Polres Jombang Iptu Sulaiman.
Kecelakaan bermula saat Burhan mengendarai sepeda motor Kawasaki Ninja bernopol L 6875 TA berjalan dari arah Surabaya (timur) ke arah Jombang (barat) di jalan lingkar Mojoagung. Nahas, saat melintasi jalan menikung, korban diduga tak mampu menguasai kemudi motor, sehingga menabrak pembatas jalan.
”Jadi dia ini berkendara dengan kecepatan tinggi, mungkin tidak mengausai jalan di situ ada tikungan tajam,” lanjutnya. Akibat kejadian ini, kondisi kendaraan mengalami ringsek di bagian bodi depan. Korban selanjutnya dilarikan ke puskesmas Mojoagung. ”Korban selamat, hanya mengalami luka ringan. Sementara motornya sudah kita amankan,” singkat Sulaiman."
