,Link,Date Time,Category,Title,Content
0,https://radarmadura.jawapos.com/read/2020/11/21/226064/pikap-oleng-ribuan-telur-lumuri-jalan-raya-tlanakan,"21 NOVEMBER 2020, 22: 39: 12 WIB | EDITOR : HARYANTO",Pamekasan,"Pikap Oleng, Ribuan Telur Lumuri Jalan Raya Tlanakan","PAMEKASAN – Nasib nahas menimpa Sinhaji kemarin (21/11) sekitar pukul 05.30. Pikap bernopol M 9184 E yang dikendarainya dari utara di Jalan Raya Tlanakan oleng ke kanan dan menabrak pembatas jalan. Nahasnya lagi, ribuan butir telur yang diangkut berserakan dan melumuri ruas jalan di sekitar pintu masuk kampus Universitas Madura (Unira) itu.
Kanit Laka Lantas Ipda Bambang Budiyanto mewakili Kasatlantas Polres Pamekasan AKP Deddy Eka membenarkan terjadinya laka lantas tersebut. ”Kecelakaan tunggal. Pengemudinya bernama Sinhaji dan penumpangnya bernama Bairi. Keduanya berdomisili di Desa Sentol, Kecamatan Pademawu,” tuturnya saat dikonfirmasi RadarMadura.id.
Bambang menjelaskan, pikap lansiran 2014 tersebut oleng karena pengemudi kurang hati-hati saat berkendara. ”Pengemudi kurang konsentrasi. Akibatnya, tidak dapat menguasai laju kendaraan, lalu oleng ke kanan hingga akhirnya menabrak median jalan,” terangnya.
SABAR PAK: Warga menenangkan sopir dan penumpang pikap yang menjerit histeris usai mengetahui telurnya berhamburan. (Istimewa)
Dia menjelaskan, pengemudi dan penumpang kendaraan hanya mengalami luka ringan. Sementara jumlah kerugian materiil diperkirakan Rp 50 juta. Untuk kepentingan penyelidikan, kendaraan yang terlibat laka lantas diamankan di kantor Unit Laka Lantas Satlantas Polres Pamekasan di Jalan Raya Nyalaran. (ky)"
1,https://radarmadura.jawapos.com/read/2020/10/12/218758/mantan-karyawan-bri-jadi-tersangka,"12 OKTOBER 2020, 23: 39: 29 WIB | EDITOR : HARYANTO",Hukum & Kriminal,"Mantan Karyawan BRI Jadi Tersangka
Dugaan Penipuan dengan Kerugian Rp 8,2 M","PAMEKASAN – Polres Pamekasan menindaklanjuti laporan dugaan penipuan dengan kerugian mencapai Rp 8,2 miliar. Mantan karyawan BRI Kantor Cabang Pamekasan Mohammad Lukman Anizar (MLA) kini ditetapkan jadi tersangka.
Pria 31 tahun itu diduga telah melakukan tindak pidana penipuan dan penggelapan uang Rp 8,2 miliar milik 23 warga. Penipuan berkedok investasi dan lelang BRI Kantor Cabang Pamekasan tersebut dilaporkan oleh salah seorang korban pada 29 September lalu.
Kasatreskrim Polres Pamekasan AKP Adhi Putranto Utomo menjelaskan, pihaknya telah melakukan serangkaian pemeriksaan saksi dan bukti-bukti. Akhirnya, MLA ditetapkan sebagai tersangka pada Jumat (9/10). ”Sudah kami tetapkan sebagai tersangka,” terangnya.
Menurut Adhi, MLA diduga tidak berada di rumahnya di Jalan Segara, Kelurahan Jungcangcang, Pamekasan. Karena itu, MLA dimasukkan dalam daftar pencarian orang (DPO) Polres Pamekassn. ”Kami akan cari tersangka,” janjinya. (ky/luq)
Selengkapnya baca Jawa Pos Radar Madura edisi Selasa, 13 Oktober 2020."
2,https://radarmadura.jawapos.com/read/2020/10/08/217909/taspen-beri-perlindungan-non-asn,"08 OKTOBER 2020, 05: 25: 59 WIB | EDITOR : ABDUL BASRI",Pamekasan,TASPEN Beri Perlindungan Non-ASN,"PAMEKASAN , Jawa Pos Radar Madura – PT Taspen melakukan kerja sama dengan MTsN 3 Pamekasan dalam memberikan perlindungan jaminan kecelakaan kerja (JKK) dan jaminan kematian (JKm) bagi pegawai non-ASN/honorer di lingkungan sekolah. Itu merupakan implementasi PP Nomor 49 Tahun 2018 tentang Manajemen Pegawai Pemerintah dengan Perjanjian Kerja.
Penandatanganan perjanjian kerja sama (PKS) dilakukan oleh Branch Manager Taspen Pamekasan Yoka Krisma Wijaya dengan Kepala MTsN 3 Mohammad Holis. Dengan PKS ini pegawai non-ASN akan lebih aman dalam melaksanakan pekerjaan. ”Ke depan, kami mengharapkan hal ini dapat diikuti oleh MTsN lain di wilayah Madura sesuai dengan PP Nomor 49 Tahun 2018,” ungkapnya.
Mohammad Holis menyampaikan pegawai non-ASN/PPNPN berhak mendapatkan perlindungan yang sama dengan ASN. Sebab, mereka juga bagian dari penyelenggara negara. ”Oleh karena itu, pada hari ini kami ikut mendaftarkan kepesertaan dalam program jaminan kecelakaan kerja dan jaminan kematian di Taspen sesuai dengan peraturan pemerintah,” katanya. (ky)"
3,https://radarmadura.jawapos.com/read/2020/10/06/217705/petani-tewas-disambar-bus,"06 OKTOBER 2020, 22: 39: 06 WIB | EDITOR : HARYANTO",Hukum & Kriminal,"Petani Tewas Disambar Bus
Suami Jalani Perawatan Medis","SUMENEP – Badan bus melintang beberapa saat setelah terjadi benturan dengan sepeda motor. Seorang perempuan tergeletak di markah tengah. Seorang pria tengkurap di bahu jalan. Sepeda motor juga terlempar ke pinggir jalan, tak jauh dari tempat mereka terkapar.
Dalam waktu sekejap, pertolongan segera datang. Pengguna jalan lain segera membopong perempuan yang diketahui bernama Helliyah itu ke tepi jalan. Begitu juga dengan suaminya yang terpental ke luar garis markah sisi barat.
Kecelakaan lalu lintas itu terjadi di Jalan Raya Sumenep-Pamekasan, Desa Nambakor, Kecamatan Saronggi, Sumenep, Selasa (6/10) sekitar pukul 06.15. Peristiwa tersebut melibatkan bus Akas IV tujuan Surabaya dengan pengendara sepeda motor.
Sepeda motor Suzuki Tornado M 3561 W itu dikendarai Muhtadi, warga Desa Sera Tengah, Kecamatan Bluto. Pagi itu dia bersama istrinya, Helliyah. Mereka melaju dari arah selatan ke utara arah menuju Kota Sumenep.
Saat itu, dari arah berlawanan bus Akas N 7020 UR melaju dengan kecepatan sedang. Tabrakan terjadi saat pengendara sepeda motor hendak menyeberangi jalan. Kecelakaan tidak bisa dihindari karena pengendara sepeda motor seperti ragu-ragu di tengah jalan raya.
Hendarawan Triwantoro, 30, selaku sopir bus itu sempat mengerem. Warga Desa Dawuhan Lor, Kecamatan Sukodono, Kabupaten Lumajang, itu kemudian banting setir ke sisi kanan.
Namun, upaya tersebut tidak berhasil. Benturan keras terjadi di bagian sudut kiri depan bus. ”Laju kami dalam kecepatan sedang. Rem sudah dirasa tidak nututi, akhirnya sopir banting setir ke sisi kanan,” tutur kondektur bus Mariyam, 35. (jun/luq)
Selengkapnya baca Jawa Pos Radar Madura edisi Rabu, 7 Oktober 2020."
4,https://radarmadura.jawapos.com/read/2020/09/11/213391/jumlah-dokter-di-puskesmas-belum-ideal-begini-kata-dinkes-bangkalan,"11 SEPTEMBER 2020, 16: 08: 35 WIB | EDITOR : HARYANTO",Bangkalan,"Jumlah Dokter di Puskesmas Belum Ideal, Begini Kata Dinkes Bangkalan","BANGKALAN – Jumlah dokter di tiap puskesmas belum ideal, terutama dokter gigi. Dari 22 puskesmas yang tersebar di Bangkalan, hampir separo belum memiliki dokter gigi.
Kepala Dinas Kesehatan (Dinkes) Bangkalan Sudiyo mengungkapkan, sebenarnya jumlah dokter di tiap puskesmas perlu ditambah. Idealnya, satu puskesmas memiliki tiga dokter. Namun kenyataannya, masih ada puskesmas yang memiliki dua dokter.
”Untuk dokter umum, kami masih butuh 30 dokter. Kalau dokter gigi, hampir separo, sekitar sembilan dokter gigi,” katanya.
Menurut Sudiyo, selama ini memang belum terjadi pemerataan. ”Agar ideal, kami mengajukan penambahan ke Kemenkes RI. Sempat dapat respons 16 dokter. Tapi karena pandemi, belum ada perkembangan,” terangnya.
Upaya lain, sambung Sudiyo, pihaknya selalu mengusulkan pengadaan dokter. Namun, kuota yang diberikan tidak sesuai kebutuhan. ”Untuk kuota bukan kami, tapi langsung pemerintah pusat,” paparnya. (daf)
Selengkapnya baca Jawa Pos Radar Madura edisi Sabtu, 12 September 2020."
5,https://radarmadura.jawapos.com/read/2020/08/28/210994/dua-korban-km-obama-belum-ditemukan,"28 AGUSTUS 2020, 07: 20: 59 WIB | EDITOR : ABDUL BASRI",Sumenep,"Suami Ibu Hamil Itu Masih dalam Perawatan
Dua Korban KM Obama Belum Ditemukan","SUMENEP, Jawa Pos Radar Madura – Duka Ulil berlipat-lipat. Dia beserta anak dan istrinya menjadi korban KM Obama yang terbalik Rabu (26/8). Iyat, 27, istrinya yang sedang hamil ditemukan meninggal dunia. Sementara Azmi, 3, anak semata wayangnya belum ditemukan hingga kemarin (27/8).
Saat kejadian, KM Obama mengangkut 15 orang. Yakni, dua kru kapal dan 13 penumpang umum. Kapal itu dinakhodai Acok, 38, warga Desa Pagerungan Besar, Kecamatan Sapeken. Sebagai juragan, Acok mengoperasikan kapal itu bersama Sofyan, 48, selaku ABK.
Sembilan penumpang merupakan warga Desa/Pulau Pagerungan Kecil, Sapeken. Mereka adalah Mulzam, 27; Iyat, 27; Ulil, 35; Abu Hurairah, 38; Usman Ali, 52; Syamsul Ma’arif, 20; Misbah, 30; Azmi, 3; dan Khairul, 27. Iyat merupakan ibu kandung Azmi.
GOTONG ROYONG: Relawan dari pemerintah Desa Pagerungan Kecil melakukan pencarian korban KM Obama yang hilang di perairan Sapeken, Sumenep, kemarin. (ZAINULLAH FOR RadarMadura.id)
Penumpang lainnya, Bustomi, 45, warga Dusun Kayuaru, Desa/Kecamatan Kangayan. Selain itu, Rifaldi, 18, warga Desa Sadulang Besar, Kecamatan Sepeken. Sedangkan dua penumpang lainnya; Erfan, 25; dan Malia, 50, warga Pulau Pagerungan Besar.
Selama 1 x 24 jam pencarian masih aktif dilakukan oleh masyarakat. Namun, dua korban hilang belum ditemukan hingga kemarin (27/8). Yakni, Azmi, 3, warga Desa/Pulau Pagerungan Kecil, Kecamatan Sapekan. Satu korban hilang lainnya adalah Bustomi, 45, warga Desa Kayuaru, Kecamatan Kangayan, Pulau Kangean.
Kepala Desa Pagerungan Kecil Kholilurrahman menyampaikan, pencarian dua korban hilang masih berlangsung. Pencarian di sekitar lokasi dilakukan oleh pemerintah desa dan masyarakat.
Bahkan, dirinya juga ikut andil dalam pencarian korban yang hilang. Pada hari kedua, pencarian mulai dilakukan sejak pukul 08.30 oleh pemerintah desa dibantu masyarakat. Pencarian juga dilakukan pemerintah Desa Kayuaru.
Sementara itu, korban meninggal bernama Iyat sudah dikebumikan sekitar pukul 14.00 Rabu (26/8). Saat kejadian yang bersangkutan berama suami dan anaknya. Suaminya, Ulil, masih menjalani perawatan di Pustu Pagerungan Kecil.
Sementara, balitanya yang berusia 3 tahun masih hilang. Sebelum dimakamkan, Ulil didatangkan ke rumah duka untuk melihat istrinya yang terakhir kalinya. Namun, kondisinya yang belum pulih harus tetap menjalani perawatan di pustu.
Azmi yang masih hilang merupakan anak satu-satunya pasangan Iyat dan Ulil. ”Mayoritas korban kecelakaan sudah dipulangkan. Sementara suami Iyat masih dirawat di sana,” jelasnya.
Sampai saat ini belum ada bantuan relawan maupun armada kapal dari Pemerintah Kabupaten Sumenep. Sebagian warga yang selamat sudah ada yang menceritakan kondisi kapal sebelum tenggelam. Kapal itu dihantam ombak besar dua kali.
Pada hantaman pertama mesin kapal langsung mati. Penumpang sudah mulai riuh dan khawatir. Hantaman ombak kedua mengenai lambung dan membuat kapal langsung terbalik. Semua penumpang langsung terlempar ke laut.
Beruntung ada pertolongan cepat dari warga dan para nelayan. ”Katanya yang menceritakan, kondisi kapal sangat menakutkan,” ungkapnya.
Kepala BPBD Sumenep Abd. Rahman Riadi tidak menampik bahwa belum ada pengiriman relawan dan armada kapal untuk membantu pencarian. Pasalnya, pihaknya belum memiliki kapal besar untuk langsung ke lokasi. Hal ini sudah dikoordinasikan kepada Basarnas Surabaya.
Keterbatasan ini juga sudah dikoordinasikan dengan pemerintah desa setempat. Selanjutnya, dirinya mengimbau kepada nelayan maupun nakhoda kapal untuk tetap mengutamakan keselamatan berlayar. Penggunaan pelampung wajib dikenakan. Apalagi untuk kapal penumpang.
”Kami sudah sampaikan dan meminta Basarnas Surabaya untuk membantu pencarian korban hilang,” jelasnya.
Korban meninggal KM Obama sebelumnya sempat simpang siur. Perangkat Desa Pagerungan Kecil Zainullah pada hari kejadian sempat menyatakan bahwa Azmi juga meninggal dunia. Namun, Kepala Desa Pagerungan Kecil Kholilurrahman kemarin (27/8) memastikan bocah tiga tahun itu belum ditemukan. (jun)"
6,https://radarmadura.jawapos.com/read/2020/08/04/207521/berswafoto-pengunjung-asela-jatuh-ke-laut,"04 AGUSTUS 2020, 21: 09: 43 WIB | EDITOR : ABDUL BASRI",Sampang,"Berswafoto, Pengunjung Asela Jatuh ke Laut","SAMPANG, Jawa Pos Radar Madura – Dua peristiwa jatuh ke laut terjadi di Desa Sejati, Kecamatan Camplong, Sampang, pada Minggu (2/8). Peristiwa pertama, mobil Carry M 1343 AL nyemplung laut setelah menghindar dari truk. Kedua, seorang perempuan jatuh ke tepi laut di Warung Makan Asela.
Warung makan di Jalan Raya Camplong, Sampang, itu mendadak jadi sorotan dan perbincangan publik. Penyebabnya, seorang pengunjung perempuan jatuh ke tepi laut. Dia diduga terpeleset saat hendak melakukan swafoto di area spot foto Warung Asela. Korban jatuh dengan posisi telentang.
Ceceran darah juga terlihat di sisi kanan dan kiri tubuh perempuan berkerudung itu. Saat kejadian, para pengunjung tidak bergegas menolong. Namun, banyak yang memilih merekam tubuh korban yang tergeletak di pinggir laut yang sedang surut itu.
Pemilik Warung Asela Bukat Rianto membenarkan kejadian tersebut. Menurut dia, kejadiannya pada Minggu sekitar pukul 16.00. Namun, video amatir yang diambil pengunjung saat itu viral kemarin (3/8).
”Video yang viral itu kejadiannya di Warung Asela milik saya. Kata pengunjung lainnya perempuan itu muter-muter sambil foto selfie,” tutur Bukat kemarin (3/8).
Bukat menjelaskan, korban yang jatuh itu tidak meninggal seperti yang dikabarkan. Menurut dia, korban mengalami luka di kepala bagian belakang. ”Jika lukanya di kepala, wajar kalau keluar darah banyak,” katanya.
Bukat menambahkan, korban yang jatuh tersebut kemudian diangkat oleh karyawan Asela. Selanjutnya, korban dibawa ke Puskesmas Tanjung untuk dilakukan perawatan medis.
”Saya tidak tahu nama perempuan itu. Sepertinya sudah berkeluarga. Perempuan itu orang Jawa, bukan orang Madura. Dia datang dengan teman-temannya. Korban ngaku mendadak pusing kepalanya sebelum jatuh,” ungkapnya.
Pihak Asela telah memberikan biaya untuk pijat kepada korban meski sempat ditolak. Menurut Bukat, di lokasi korban jatuh memang belum dipasang pagar kayu pengaman di kanan kiri. Atas kejadian tersebut, pihaknya akan meningkatkan pengawasan dan fasilitas. Terutama sarana pengaman terhadap pengunjung.
Dalam waktu dekat, pagar kayu pengaman segera dipasang di seluruh akses. ”Sarana untuk keamanan pengunjung akan kami tambah dan tingkatkan. Memang ada pengunjung yang berlebihan saat hendak foto selfie di warung ini sampai tidak memperhatikan rambu larangan yang kami pasang,” imbuhnya.
 Kapolsek Camplong Iptu Tomo mengaku belum mendapat laporan atas kejadian tersebut. Dia mengaku tahu ada kejadian itu dari media sosial. ”Informasinya, korban baik-baik saja,” ucapnya."
7,https://radarmadura.jawapos.com/read/2020/07/27/206223/ombak-besar-masalembu-karamkan-kapal,"27 JULI 2020, 17: 47: 23 WIB | EDITOR : ABDUL BASRI",Sumenep,"Ombak Besar Masalembu Karamkan Kapal
Nelayan Asal Kangayan Hilang","SUMENEP, Jawa Pos Radar Madura – Cuaca ekstrem di perairan Masalembu mengakibatkan kecelakaan laut. Kapal Motor (KM) DJO 3 karam di perairan Dusun Baru, Desa Masalima, Kecamatan Masalembu, Sumenep.
Kapal GT 684 berkapasitas muatan 650 ton itu kandas setelah dihantam ombak besar dan menabrak karang di perairan Masalembu, Jumat (24/7) sekitar pukul 22.15. Lambung bocor, air laut masuk hingga menenggelamkan separo badan kapal.
KM DJO 3 bermuatan barang kelontong dan bahan bangunan itu membawa 16 anak buah kapal (ABK). Kapal tersebut dinakhodai Kapten Anut Anggawian berikut Guna Apriana dan Diki Fajar yang menjabat sebagai mualim I dan II. Selain itu, terdapat 13 ABK lainnya yang masuk dalam kru pelayaran kapal itu.
Kejadian bermula saat KM DJO 3 berangkat dari Pelabuhan Tanjung Perak, Surabaya, sekitar pukul 07.00 dengan tujuan Pelabuhan Malinau, Kalimantan Timur. Sesampainya di perairan laut Masalembu bagian selatan, kapal dihantam angin dan ombak besar. Kondisi tersebut membuat kapal terhempas dan hanyut menabrak batu karang hingga menyebabkan kebocoran di bagian haluan depan lambung kapal.
Kasubbaghumas Polres Sumenep AKP Widiarti menyampaikan, saat ini posisi kapal kandas di atas batu karang. Beruntung, ABK bisa langsung dievakuasi ke daratan terdekat, Sabtu (25/7) sekitar pukul 06.00 oleh petugas syahbandar dibantu masyarakat setempat menggunakan perahu nelayan.
Saat dievakuasi, sembilan ABK dibawa ke Kantor Unit Penyelenggara Pelabuhan (UPP) Kelas III Masalembu. Sementara tujuh ABK lainnya bertahan di kapal untuk menjaga muatan hingga selesai dievakuasi.
”Tidak ada korban jiwa. Kerugian materiil hingga saat ini belum bisa ditentukan,” terangnya kemarin (26/7).
Mantan Kapolsek Kota Sumenep itu menambahkan, barang muatan kapal dievakuasi ke pinggir pantai menggunakan tiga perahu nelayan. Hingga saat ini anggota dari syahbandar, Polsek dan Koramil Masalembu masih melakukan penjagaan KM DJO 3 yang berjarak sekitar 2 mil dari bibir pantai Dusun Baru, Desa Masalima, Kecamatan Masalembu.
Sementara itu, Kepala UPP Kelas III Masalembu Taufiqurrahman mengatakan, saat ini ABK ditampung di salah satu rumah warga. Semua ABK dalam kondisi sehat dan selamat. Sementara posisi kapal masih berada di titik semula. Gelombang laut di perairan Masalembu diperkirakan mencapai 2,5 meter.
Langkah selanjutnya, para ABK direncanakan dievakuasi kembali ke Surabaya menggunakan kapal perintis. ”Tapi belum tahu juga nanti akan diikutkan kapal perintis tujuan Surabaya atau Kalianget. Menunggu jadwal kapal,” paparnya.
Di tempat terpisah, warga Dusun Kayuaru, Desa/Kecamatan Kangayan dikabarkan hilang. Kabar itu tersebar di grup-grup WhatsApp. Jamal atau dikenal dengan nama Sitok, 48, yang bekerja sebagai nelayan berangkat melaut Jumat (24/7) sekitar pukul 03.00.
Namun hingga sekitar pukul 15.00, pria tersebut tak kunjung kembali ke rumah. Khawatir, pihak keluarga dibantu warga setempat kemudian melakukan upaya pencarian. Namun hingga Sabtu (25/7), Sitok belum ditemukan.
Informasinya, Sitok memiliki ciri-ciri berkulit agak gelap dan tinggi badan sekitar 165 cm. Terdapat nomor telepon pihak keluarga Sitok atas nama Ach. Rasyid dalam pesan tersebut. Namun saat dihubungi, tidak ada respons.
AKP Widiarti menegaskan, pihaknya tidak menerima informasi mengenai orang hilang. Setelah berkoordinasi dengan Polsek Kangayan, Pulau Kangean, juga tidak ada laporan masuk mengenai warga yang hilang.
”Dari pihak desa juga belum menerima informasi itu. Tapi, polsek masih mencari informasi lebih lanjut,” terangnya.
Dia mengimbau jika terdapat warga yang hilang, diharapkan segera melaporkan kepada pihak berwajib. Sehingga, bisa dibantu untuk melakukan proses pencarian. ”Kami juga masih akan mencari tahu informasi itu benar atau tidak,” kata mantan Kapolsek Kota Sumenep itu."
8,https://radarmadura.jawapos.com/read/2020/07/25/205860/dihantam-ombak-klm-sahabat-muslim-karam-enam-abk-selamat,"25 JULI 2020, 00: 27: 51 WIB | EDITOR : ABDUL BASRI",Sumenep,"Dihantam Ombak, KLM Sahabat Muslim Karam, Enam ABK Selamat","SUMENEP – Kecelakaan kembali terjadi di perairan Sumenep. Kali ini menimpa Kapal Layar Motor (KLM) Sahabat Muslim. Kapal yang berlayar dari Bima, Nusa Tenggara Barat, itu tenggelam di perairan Pulau Sakala, Kecamatan Sapeken, Sumenep, Kamis (23/7).
Kapal yang dinakhodai Jaidun, 60, itu berlayar menuju Banjarmasin, Kalimantan Selatan. Kapten kapal asal Kota Bima itu mengarugi lautan bersama lima anak buah kapal (ABK). Kelima ABK itu yakni Andi Muhammad Heriyanto, 36; Istama, 35; Brunai Darussalam, 27; dan Kamli, 34. 
Mereka berasal dari Kota Bima. Sedangkan satu ABK lainnya, Suaeb, 53, berasal dari Kota Kediri, Jawa Timur. Kapal bermuatan garam dan bawang merah itu berlayar dari Pelabuhan Kota Bima, Senin (20/7) sekitar pukul 24.00. 
SELAMAT: Kru KLM Sahabat Muslim ditampung di rumah Hairil Muttaqin, warga Dusun Mandar, Desa/Kecamatan Sapeken, Sumenep. (ISTIMEWA)
Sesampainya di perairan Pulau Sakala Kamis (23/7) bertemu gelombang tinggi. Ombak besar menghantam bagian kanan lambung kapal berjenis GT 71 berkapasitas 215 ton itu. Sehingga lambung kapal bagian kanan pecah. Air merangsek masuk hingga memenuhi lambung. Kapal oun tenggelam.
Sebelum karam, para ABK berhasil menyelamatkan diri. Jaidun menginstruksikan agar mereka membuat rakit yang terbuat dari drum minyak. Mereka juga segera mengenakan baju pelampung.
Kasubbaghumas Polres Sumenep AKP Widiarti menyampaikan, para ABK terapung berjam-jam di laut setelah kapal yang ditumpangi tenggelam. Sekitar 28 jam Jaidun dan kru terombang-ambing.
Sekitar pukul 13.30 Jumat (24/7), para pemuda Sapeken dan tim SAR menemukan para ABK terapung di utara perairan Pulau Pagerungan Kecil, Kecamatan Sapeken. ”Alhamdulillah semua ABK ditemukan dalam keadaan sehat dan selamat. Setelah itu petugas membawa para ABK kapal tenggelam ini ke Pulau Sapeken,” ungkapnya.
Setelah dievakuasi, keenam korban ditampung di rumah Hairil Muttaqin, 71, warga di Dusun Mandar, Desa/Kecamatan Sapeken. ”Muatan kapal tidak bisa diselamatkan,” terang mantan kapolsek Kota Sumenep itu."
9,https://radarmadura.jawapos.com/read/2020/07/17/204554/taspen-berikan-perlindungan-non-asn-pemerintah-kabupaten-sampang,"17 JULI 2020, 06: 40: 59 WIB | EDITOR : ABDUL BASRI",Pamekasan,TASPEN Berikan Perlindungan Non-ASN Pemerintah Kabupaten Sampang,"PAMEKASAN – Sebagai implementasi PP Nomor 49 Tahun 2018, Taspen melakukan kerja sama dengan Pemkab Sampang. Yakni, dalam memberikan perlindungan Jaminan kecelakaan kerja dan jaminan kematian bagi pegawai non-ASN/honorer di lingkungan Pemkab Sampang.
Penandatanganan perjanjian kerja sama (PKS) dilakukan oleh Branch Manager Taspen Pamekasan Yoka Krisma Wijaya dengan Kepala BPKAD Sampang Saryono. Dalam kesempatan tersebut, Yoka mengatakan, dengan adanya PKS, pegawai non-ASN akan lebih aman dalam melaksanakan pekerjaan karena sudah dilindungi program JKK dan JKM TASPEN.
”Kami mengapresiasi Pemkab Sampang yang sangat peduli terhadap perlindungan pegawai non-ASN. Ke depan, kami mengharapkan hal ini dapat diikuti oleh pemkab lain di wilayah Madura sesuai dengan PP 49/2018,” terang Yoka.
Dijelaskan, perlindungan kepada non-ASN sangat penting terlebih lagi dalam masa pandemi Covid-19. ”Dengan adanya perlindungan JKK dan JKM Taspen, maka para pegawai non-ASN Pemkab Sampang dapat bekerja dengan lebih aman dan bisa memberikan pelayanan lebih baik kepada masyarakat,” imbuhnya.
Yoka menambahkan, Taspen sebagai BUMN yang mengelola program jaminan sosial bagi ASN dan pejabat negara akan terus berkomitmen memberikan layanan terbaiknya dengan empat Program perlindungan. Yakni, program jaminan kecelakaan kerja, jaminan kematian, tabungan hari tua, dan pensiun.
Selain itu, Taspen juga memberikan perlindungan kepada para pegawai non-ASN yang bekerja pada Instansi pemerintah pusat maupun daerah sesuai dengan PP 49/2018. (ky)"
