,Link,Date Time,Category,Title,Content
0,https://radarmojokerto.jawapos.com/read/2020/12/01/227695/usai-atur-lalin-sambar-tiang-pju-petugas-dishub-tewas,"01 DESEMBER 2020, 07: 00: 59 WIB | EDITOR : MOCHAMAD CHARIRIS",Hukum & Kriminal,"Usai Atur Lalin, Sambar Tiang PJU, Petugas Dishub Tewas","PUNGGING, Jawa Pos Radar Mojokerto – Nahas menimpa Arif Fanani, 37, warga Desa Awang-Awang, Kecamatan Mojosari, Senin (30/11) pagi.
Petugas Dinas Perumahan Rakyat, Kawasan Permukiman, dan Perhubungan (DPRKP2) Kabupaten Mojokerto itu tewas setelah menabrak tiang penerangan jalan umum (PJU) di Jalan Raya Mojorejo (Pungging-Trawas).
Sebelumnya, korban sempat melaksanakan tugas mengatur lalu lintas di Pertigaan Cepek. Sekitar pukul 08.45 Arif mengendarai motor Honda Beat S 3853 QO dari arah selatan.
Setibanya di tempat kejadian perkara (TKP), tiba-tiba motor berwarna hitam tersebut oleng ke kiri lalu menabrak tiang PJU. Akibatnya, korban mengalami luka serius pada bagian kepala hingga meregang nyawa. Motor Beat warna hitam yang dikedarai korban mengalami kerusakan pada bagian depan sebelah kiri.
’’Korban meninggal tadi langsung dievakuasi Prof dr Soekandar Mojosari,’’ ujar Kasat Lantas Polres Mojokerto AKP Randy Asdar. Setelah dilakukan olah TKP, insiden tersebut terjadi lantaran korban kurang berhati-hati dan berkonsentrasi.
Sehingga terjadi kecelakaan tunggal. ’’Diduga karena kurang berhati-hati atau berkonsentrasi pada saat berkendara. Sehingga kendaraan keluar jalur dan melaju di bahu jalan lalu menabrak tiang PJU,’’ ungkap Randy.
Dijelaskannya, peristiwa tersebut dialami korban setelah melaksanakan tugasnya mengatur lalu lintas di Pertigaan Cepek atau simpang tiga antara Polsek Pungging dan Terminal Baru Mojosari.
’’Info dari rekan Dishub, kecelakaan tunggal itu terjadi selesai korban melaksanakan pengaturan (lalu lintas) di simpul jalan di pagi hari,’’ tukasnya. (vad)"
1,https://radarmojokerto.jawapos.com/read/2020/11/27/226980/innova-terjepit-trailer-dan-truk-ekspedisi,"27 NOVEMBER 2020, 07: 00: 59 WIB | EDITOR : IMRON ARLADO",Hukum & Kriminal,Innova Terjepit Trailer dan Truk Ekspedisi,"MOJOANYAR, Jawa Pos Radar Mojokerto – Hendak kulakan ke Pasar Turi Surabaya, Innova bernopol AG 1078 TC diseruduk trailer bernopol S 8872 UT bermuatan beton di Jl Raya Simpang Empat Mertex sekitar pukul 07.00, Kamis (26/11). Tidak ada korban jiwa dalam kecelakaan tersebut. Namun, Innova warna hitam yang dikemudikan M. Arif, 34, warga Kecamatan Ngunut, Kabupaten Tulungagung, itu rusak parah di bagian depan dan belakang.
Saat itu, M. Arif melaju di belakang truk ekspedisi nopol AG 8768 PB yang dikemudikan Margono, 37, Kecamatan Kawedanan, Magetan. Di belakangannya, melaju truk trailer yang dikemudikan Bagus Ariawan, 22, warga Kelurahan Bulak Banteng, Surabaya.
Ketika traffic light Simpang Empat Mertex menyala merah, truk ekspedisi dan Innova pun berhenti. Namun, karena kurang bisa menjaga jarak aman, truk trailer muatan beton nyelontong dan menabrak Innova. Diseruduk trailer, Innova terdorong ke depan dan menghantam truk ekspedisi.
’’Mungkin karena sopirnya (truk trailer) gak ndelok bangjo, moro-moro wes cedek terus gak nutut direm (tidak melihat lampu merah, tiba-tiba sudah dekat dan ngremnya terlalu dekat),’’ ujar salah satu penumpang Innova, Masrur, 48, Kecamatan Kalidawir, Tulungagung.
Menurutnya, insiden tersebut murni tabrakan beruntun dan kondisi para sopir dipastikan sehat tanpa pengaruh apa pun. Beruntung tidak ada korban jiwa dalam kecelakaan tersebut. Bagian depan dan belakang mobil Innova tiga penumpang itu rusak parah. ’’Bagian depan mobil ini sampai masuk ke kolong belakang truk (ekspedisi) itu. Rusak parah bagian mesinnya, Alhamdulillah gak sampai kena sopir,’’ tambahnya.
Akibat peristiwa tersebut, lalu lintas Jalan Raya Simpang Empat Mertex Desa Lengkong, Kecamatan Mojoanyar, Kabupaten Mojokerto, sempat tersendat. Namun, tak lama setelah ketiga kendaraan diamankan Satlantas Polres Mojokerto, lalu lintas kembali normal. (vad)"
2,https://radarmojokerto.jawapos.com/read/2020/11/26/226750/terjunkan-50-pengawas-buru-perusahaan-nakal,"26 NOVEMBER 2020, 09: 15: 59 WIB | EDITOR : IMRON ARLADO",Mojokerto,"Terjunkan 50 Pengawas, Buru Perusahaan Nakal","KABUPATEN, Jawa Pos Radar Mojokerto - BPJAMSOSTEK Kantor Wilayah Jawa Timur bekerjasama dengan Pengawas Ketenagakerjaan Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur bakal memburu perusahaan  yang tak patuh terhadap penyelenggaraan jaminan sosial ketenagakerjaan di wilayah Kabupaten Mojokerto. sebanyak 50 orang diterjunkan untuk melakukan pemeriksaan kepatuhan tersebut.
Deputi Direktur Wilayah BPJS Ketenagakerjaan Jawa Timur, Dodo Suharto, mengatakan, sesuai Undang-Undang Nomor 24 Tahun 2011, setiap pekerja berhak menjadi peserta BPJS Ketenagakerjaan, baik warga negara Indonesia maupun warga negara asing yang bekerja paling singkat 6 bulan di Indonesia.
Seperti diketahui, sesuai amanah undang-undang, BPJS Ketenagakerjaan menyelenggarakan empat program perlindungan. Yakni Jaminan Kecelakaan Kerja (JKK), Jaminan Hari Tua (JHT), Jaminan Pensiun (JP), serta Jaminan Kematian (JKM). ’’Tujuan dari pengawasan terpadu ini dalam upaya menegakkan kepatuhan pemberi kerja/badan usaha dalam pelaksanaan program BPJS Ketenagakerjaan di Mojokerto,'' tandasnya.
Di Provinsi Jawa Timur, masih terdapat perusahaan yang belum melaksanakan program ini sesuai dengan peraturan perundangan-undangan. Di antaranya Perusahaan Wajib Belum Daftar (PWBD) dan Perusahaan Daftar Sebagian (PDS) Upah, Tenaga Kerja, maupun Program serta Menunggak Iuran. Harapannya, dengan pembinaan dan pemeriksaan bersama dapat memberikan kesadaran kepada perusahaan untuk mematuhi pelaksanaan program tersebut.
Dengan dukungan dari pemerintah daerah dan pihak-pihak terkait, dapat meningkatkan sinergi dan membangun semangat para pemimpin daerah dan perusahaan untuk melaksanakan amanah undang-undang dalam menjamin warga dan seluruh pekerja di daerahnya masing-masing untuk mendapatkan perlindungan dari BPJS Ketenagakerjaan di Jawa Timur. ’’Dengan kepatuhan perusahaan dalam pelaksanaan program BPJS Ketenagakerjaan. Hal ini merupakan bukti nyata negara hadir untuk memberikan kepastian perlindungan atas risiko sosial dan ekonomi bagi seluruh rakyat Indonesia,'' ungkap Dodo.
Sementara itu, pjs bupati Mojokerto, Himawan Estu Bagijo menjelaskan, pengawasan terpadu BPJS Ketenagakerjan dengan Disnakertrans ini berkaitan dengan norma-norma ketenagakerjaan, serta memastikan terselenggaranya program jaminan sosial ketenagakerjaan di perusahaan.
’’Salah satu norma dari ketenagakerjaan yaitu jaminan sosial ketenagakerjaan. Selanjutnya, kami akan melihat perusahaan mana saja yang sudah patuh terhadap aturan jaminan sosial ketenagakerjaan. Mana yang telah terdaftar BPJS Ketenagakerjaan dan mana yang belum terdaftar. Nanti kita lakukan kegiatan bersama-sama untuk meningkatkan kepesertaan BPJS Ketenagakerjaan,’’ jelas Himawan.
Kepada perusahaan yang tidak menjalankan sesuai dengan ketentuan, nantinya akan diberikan sanksi berupa sanksi tegas. ''Jadi Pengawasan terpadu ini, untuk bekerja bersama dalam pembinaan dan pengawasan terhadap perusahaan yang belum tertib dalam pelaksanaan program BPJS Ketenagakerjaan diantaranya Perusahaan Wajib Belum Daftar, Perusahaan Daftar Sebagian Upah atau Tenaga Kerja dan Menunggak Iuran,'' ungkapnya
Di waktu yang sama, Kepala Kantor Cabang BPJS Ketenagakerjaan Mojokerto, Dwi Endah Aprilistyani menambahkan, dalam rangkaian pemberangkatan pengawas ketenagakerjaan, ada penyerahan piagam penghargaan dari Kementerian Ketenagakerjaan Republik Indonesia atas kinerja sebagai penyidik tindak pidana Ketenagakerjaan sampai tahap P-21. Adapun, para pengawas itu yakni, Nurleli Kesuma Siregar, SH MH, Hasan Manglle, SH MH, Budi Djamiko W, SH, Agus Sholichan, S Sos. ''Penghargaan ini diberikan secara simbolis oleh bupati Mojokerto, yakni Kepala Dinas Tenaga Kerja dan Trasmigrasi Provinsi Jawa Timur yang juga menjabat Pjs. bupati Mojokerto,'' pungkasnya. (dik)"
3,https://radarmojokerto.jawapos.com/read/2020/11/25/226589/dua-motor-adu-moncong-tiga-orang-tewas,"25 NOVEMBER 2020, 11: 20: 59 WIB | EDITOR : IMRON ARLADO",Hukum & Kriminal,"Dua Motor Adu Moncong, Tiga Orang Tewas","PURI, Jawa Pos Radar Mojokerto – Tiga orang meninggal setelah kecelakaan maut di jalan penghubung Desa Tangunan, Kecamatan Puri, dengan Desa Randugenengan, Kecamatan Dlanggu, Selasa petang (24/11).Ketiganya adalah Zulfikri Wahyu Nursakti, 21, warga Pare, Kediri, dan pasangan suami istri Desa Randugenengan, Kecamatan Dlanggu, M. Fathoni, 35, dan Mardiana, 36.
Menurut Jumain Andrianto, 50, relawan Gajah Mada 802, M. Fathoni, 35, dan Mardiana, 36, melaju dari arah Randugenengan mengendarai Megapro nopol S 6514 NQ. Sedangkan Zulfikri Wahyu Nursakti, 21, melaju dari arah berlawanan mengendari Vixion nopol AG 5978 CW.
Informasi yang dihimpun Radar Mojokerto, Zulfikri hendak mencari angin setelah pulang kerja pukul 17.00. Pemuda itu tinggal di Desa Randugenengan, Kecamatan Dlanggu, bersama kerabatnya. Sebab, dia tengah bekerja di Mojokerto.
Kecelakaan diduga lantaran kedua kendaraan melaju dengan kecepatan tinggi agak ke tengah jalan cor tersebut. Sehingga, adu moncong dua kendaraan itu tak terelakkan. Ketiga korban tewas di tempat dan kedua motor rusak parah di bagian depan. Jasad Mardiana terpental ke saluran irigasi kebun jagung di sekitar TKP. ’’Kemungkinan besar adu banteng (adu moncong), satu dari utara dan yang satu dari selatan,’’ ujar Jumain.
Saat kecelakaan terjadi, kondisi jalan yang diapit kebun jagung tersebut sedang tidak hujan. Tak berselang lama, jasad korban segera dievakuasi ke RSUD dr Wahidin Sudiro Husodo Kota menggunakan dua ambulans dan satu mobil patroli. (vad)"
4,https://radarmojokerto.jawapos.com/read/2020/11/24/226363/11-bulan-153-pengendara-tewas,"24 NOVEMBER 2020, 11: 10: 59 WIB | EDITOR : IMRON ARLADO",Hukum & Kriminal,"11 Bulan, 153 Pengendara Tewas","KABUPATEN, Jawa Pos Radar Mojokerto - Tingkat fatalitas kecelakaan lalu lintas di Kabupaten Mojokerto dirasa masih tinggi. Sebab, korban meninggal akibat kecelakaan di Bumi Majapahit ini meningkat. Tahun ini, insiden kecelakaan di Kabupaten Mojokerto mengalami tren penurunan sekitar 9 persen.
Sebab, terdapat 838 insiden kecelakaan pada tahun lalu, dan kini tercatat sebanyak 762 kecelakaan, terhitung sejak Januari hingga 22 November. Namun, korban meninggal dunia mengalami peningkatan. Tahun lalu, tercatat 142 korban tewas, sedangkan tahun ini (Januari-November) terdapat 153 korban tewas. Sehingga jumlah korban meninggal dunia mengalami peningkatan sekitar 8 persen.
Untuk korban luka berat, tengah mengalami penurunan sebesar 64 persen dibandingkan tahun lalu. Terdapat 28 korban luka berat akibat kecelakaan pada tahun lalu. Sedangkan tahun ini tercatat 10 korban mengalami luka berat. Demikian pun dengan jumlah korban luka ringan, mengalami penurunan sebesar 15 persen. Tahun lalu tercatat sebanyak 939 korban luka ringan dari seluruh insiden kecelakaan yang terjadi. Sementara tahun ini, terdapat 796 korban mengalami luka ringan. 
”Dalam hal kecelakaan, perlu adanya peran aktif dari semua pihak. Mulai dari pengendara itu sendiri, masyarakat, hingga pemerintah dengan dinas terkaitnya,” ujar Kasatlantas Polres Mojokerto AKP Randy Asdar. Banyak faktor yang memengaruhi kecelakaan. Di antaranya, kesalahan manusia (human error), teknis kendaraan dan fasilitas jalan. Sehingga dalam upaya meminimalisir peristiwa kecelakaan lalu lintas perlu adanya peran aktif dari beberapa pihak tersebut. Terkait lingkungan atau fasilitas jalan, pihaknya mengaku sering mengomunikasikan pada dinas terkait.
Kepolisian kerap berkoordinasi dengan Dinas Pekerjaan Umum dan Perumahan Rakyat (DPUPR) Kabupaten Mojokerto untuk segera menindaklanjuti guna melakukan perbaikan. ”Kalaupun itu jalan provinsi atau nasional, kami mendorong mereka untuk segera melaporkan ke PU tingkat provinsi,” bebernya. Begitu pun terkait rambu lalu lintas di jalanan, pihaknya segera mengomunikasikan pada dinas perhubungan (Dishub).
Randy menjelaskan, mengenai kesalahan manusia dalam kecelakaan lalu lintas perlu adanya analisa terlebih dahulu. Sebab, hal tersebut dapat terjadi pada pengendara itu sendiri maupun SDM dari instansi terkait. ”Bisa saja itu terjadi karena kesalahan pengendara sendiri. Dan bisa juga karena kesalahan dari SDM instansi terkait yang kurang optimal dalam penyediaan fasilitas berlalu lintas. Sedangkan kepolisian sendiri sebagai penegak hukum dalam peristiwa kecelakaan lalu lintas,” ungkapnya.
Sejauh ini, terdapat empat black spot atau titik rawan kecelakaan di wilayah Kabupaten Mojokerto. Pertama, simpang empat Kepindon, Desa Japan, di Jalan R.A Basuni. Kedua, Jalan Raya Desa Awang-Awang, Kecamatan Mojosari, yang merupakan jalan provinsi sepanjang 1 kilometer (Km). Ketiga, Jalan Raya Desa Jasem, Kecamatan Ngoro sepanjang 1 Km, yang merupakan jalan nasional.
Keempat, adalah Jalan Raya Sendi Pacet yang merupakan jalan provinsi sepanjang 3 km. Jalan Raya Sendi Pacet dirasa menjadi black spot dengan kasus kecelakaan tertinggi. Pasalnya, setiap bulan terjadi sekitar 40 insiden kecelakaan lalu lintas, terutama di tikungan Gotekan. Oleh karenanya pihak kepolisian mendirikan check point di rest area Jalan Raya Sendi Pacet. Sebab, kecelakaan di jalur berkontur tanjakan dan turunan tersebut kerap menimbulkan kecelakaan akibat rem blong.
Di sana disediakan pengecekan kendaraan serta pengecekan kesehatan pengemudi secara gratis bagi pengendara yang hendak menuju Kabupaten Mojokerto dari Kota Batu. ”Jadi pendirian chek point ini diinisiasi dari beberapa kejadian lakalantas akibat adanya kelalaian pengemudi. Misalnya, tidak ada pengecekan kondisi rem dan pengecekan kesehatan pengendara itu sendiri,” ujar Kapolres Mojokerto AKBP Dony Alexander dalam pembukaan chek point Minggu (22/11) pagi. Dia menyebutkan, hal tersebut merupakan salah satu upaya preventif untuk meminimalisir peristiwa kecelakaan lalu lintas di wilayah Sendi. Sebab, jalur tersebut dinilai cukup berbahaya. ”Kondisi jalan di wilayah Sendi ini kanan kirinya jurang dan hanya ada pembatas jalur jalan saja. Jadi di sini cukup sering terjadi laka lantas masuk ke jurang maupun tabrakan beruntun karena tidak fitnya kondisi kendaraan dan kesehatan pengemudi,” tukasnya. (vad)"
5,https://radarmojokerto.jawapos.com/read/2020/11/24/226369/rem-blong-sopir-terjepit-hingga-satu-jam,"24 NOVEMBER 2020, 05: 55: 59 WIB | EDITOR : IMRON ARLADO",Hukum & Kriminal,"Rem Blong, Sopir Terjepit hingga Satu Jam","JETIS, Jawa Pos Radar Mojokerto – Diduga rem blong, truk bermuatan pipa terguling setelah menabrak tiang lampu penerangan jalan umum (PJU) di jalur tengkorak kawasan hutan Watu Blorok, Desa Kupang, Kecamatan Jetis, Kabupaten Mojokerto, Senin pagi (23/11) pagi. Akibatnya, Purnomo, 43, sopir truk asal Desa Karangpoh, Kecamatan/Kabupaten Gresik, sempat terjepit di ruang kemudi dan mengalami luka dalam insiden kecelakaan tunggal tersebut.
Joni,  40, warga setempat mengatakan, setelah hampir satu jam proses evakuasi, korban baru bisa dikeluarkan dari kabin truk yang ringsek. Korban dilarikan ke Rumah Sakit Citra Medika, Sidoarjo, karena mengalami luka cukup parah. ’’Luka di bagian kaki dan pelipisnya,’’ terangnya.
Sementara itu, hingga pukul 15.00, badan truk masih dalam posisi terguling. Tampak hanya tiga personel dari mobil derek yang berusaha memindahkan posisi truk. Bahkan, sejumlah warga turut membantu mengatur arus lalu lintas yang terganggu akibat terbatasnya petugas yang turun ke tempat kejadian perkara (TKP).
Kecelakaan tunggal itu bermula ketika truk Toyota Dyna bernopol W 8122 M melaju dari arah utara. Memasuki jalur menurun di kawasan hutan Watu Blorok, sopir truk kehilangan kendali lantaran rem blong. Laju truk semakin tak terkendali, sehingga korban terpaksa mengarahkan kendaraannya di sisi kanan jalan. ”Paling setirnya dibanting ke kanan jalan. Masalahnya kalau ke kiri kan jurang malahan,’’ katanya.
Kanit Laka Lantas Polres Kota Mojokerto Ipda Lukman Basoni mengatakan, truk tersebut membawa muatan pipa paralon dari Gresik menuju Jombang. Diduga, truk mengalami kecelakaan akibat sistem pengereman tidak berfungsi. ”Kerugian akibat kejadian tersebut ditaksir mencapai Rp 20 juta,’’  ungkapnya. (adi)"
6,https://radarmojokerto.jawapos.com/read/2020/11/19/225504/situs-sumur-upas-dipercantik-telan-anggaran-hampir-rp-1-miliar,"19 NOVEMBER 2020, 14: 00: 59 WIB | EDITOR : IMRON ARLADO",Mojokerto,"Situs Sumur Upas Dipercantik, Telan Anggaran Hampir Rp 1 Miliar","TROWULAN, Jawa Pos Radar Mojokerto – Gedung perlindungan situs Sumur Upas di Dusun Kedaton, Desa Sentonorejo, Kecamatan Trowulan, sedang dalam perbaikan. Anggaran senilai Rp 939 juta digelontorkan untuk mempercantik tampilan cagar budaya ini.
Situs yang berada di atas lahan seluas 4.344 meter persegi ini telah menjalani perbaikan sejak 9 Oktober hingga 31 Desember mendatang. Nantinya, bangunan itu akan didesain menyerupai gedung olahraga.
Dengan jumbonya alokasi anggaran yang digelontorkan, gedung ini bakal dilakukan perbaikan di sejumlah bagian. Hal tersebut terpampang pada papan informasi pengadaan proyek yang ada di sisi barat bangunan. Seperti di bagian lantai dan dinding.
’’Sebelumnya, sekeliling penutup (bangunan, Red) ini bentuknya masih partisi. Mungkin karena itu, ada perbaikan ini,” ujar Rizal Abdillah, salah satu staff CV Bhakti Nusantara, kontraktor perbaikan bangunan pelindung Situs Sumur Upas.
Tampak perbaikan mayor pada Situs Sumur Upas ada pada bagian dinding gedung dan lantai jalan menuju situs. Sebelumnya, jalan di dalam situs yang diperkirakan ditemukan sekitar 1930 itu masih berupa plester. ”Dulunya jalanan ini masih rabatan,” tambah Rizal.
Sementara itu Kepala Balai Pelestarian Cagar Budaya (BPCB) Jawa Timur Zakaria Kasmini menerangkan, proyek tersebut sudah berjalan saat ia mulai menjabat sebagai Kepala BPCB Jatim September lalu. Sehingga, dia tak begitu paham terkait proyek tersebut.
Pihaknya menjelaskan, Situs Sumur Upas sementara ditutup lantaran mencegah adanya kecelakaan kerja yang dapat menerima pengunjung. Sebab, pengerjaan proyek membutuhkan ruang cukup. ”Kami tutup sementara karena kami tidak ingin ada pengunjung yang kenapa-kenapa. Kan tempatnya di sana sempit juga, ya. Pengerjaannya kan butuh ruang juga,” ujar Zakaria.
Masih kata Zakaria, situs yang konon dipercaya warga setempat menjadi persimpangan menuju laut selatan dan Mataram itu bakal segera dibuka lagi setelah perbaikan selesai. Pihaknya memprediksi, proyek bakal kelar sekitar 20 Desember mendatang. Meski dalam kontrak proyek diagendakan bakal tuntas 31 Desember. ”Kalau perbaikan sudah selesai, sesegera mungkin akan kami buka lagi. Lebih cepat lebih baik,” tandasnya. (vad)"
7,https://radarmojokerto.jawapos.com/read/2020/11/19/225491/penggendara-motor-tewas-dilibas-xenia,"19 NOVEMBER 2020, 12: 05: 59 WIB | EDITOR : IMRON ARLADO",Mojokerto,Penggendara Motor Tewas Dilibas Xenia,"DAWARBLANDONG, Jawa Pos Radar Mojokerto – Nahas menimpa Sujali, 53, warga Dusun Pelem, Desa Cendoro, Kecamatan Dawarblandong , Kabupaten Mojokerto, Rabu pagi (18/11) sekitar pukul 05.15. Dia tewas setelah motor yang dikendarainya dihantam mobil dari arah berlawanan di kawasan hutan Cendoro.
Insiden maut tersebut bermula ketika korban melaju dari arah utara mengendarai motor Supra 125 bernopol L 4625 WF. Tiba-tiba, Xenia bernopol W 401 SA yang dikemudikan Ahmad Agung Budi Setiawan, 25, menabrak korban dari arah berlawanan. Warga Desa Wotanmas Jedong, Kecamatan Ngoro, Kabupaten Mojokerto itu diduga mengantuk saat mengemudikan mobilnya hingga tidak sadar mobilnya melaju ke ruas kanan. Kerasnya benturan membuat keduanya terlempar ke dalam hutan.
Mujiono, 46, salah satu warga yang turut mengevakuasi korban, mengatakan, Sujali meninggal di tempat kejadian perkara (TKP) dengan luka di bagian kaki dan dada. Dari keterangnnya, dalam insiden tersebut korban dan kendaraannya sempat menghantam sejumlah pohon jati. ’’Dari goresan di pohonnya itu kelihatan,’’ ungkapnya.
Menurutnya, korban mengalami insiden maut tersebut ketika perjalanan menuju Pasar Kemlagi. Pasalnya, selain menggarap sawah, sehari-harinya korban juga bekerja sebagai pengepul barang bekas. ’’Biasanya kalau pagi memang ke pasar,’’ katanya.
Pagi itu, korban menuju pasar untuk kulakan bawang merah. Namun, bukan untuk kebutuhan dapur, melainkan akan ditukar dengan barang rongsokan dari warga. ’’Kadang ada yang jual rongsokan itu kan ditukar dengan brambang,’’ terangnya saat berada di rumah duka menunggu korban dibawa pulang.
Setelah dievakuasi, korban tewas dibawa ke RSUD dr Wahidin Sudiro Husodo Kota Mojokerto untuk dilakukan visum. Saat ini, kejadian tersebut tengah ditangani Polresta Mojokerto. Petugas masih melakukan pendalaman penyebab kecelakaan dengan mengumpulkan barang bukti serta meminta keterangan seluruh saksi. ’’Kita masih dalami untuk penyebab kejadiannya,’’ ungkap Kanit Laka Lantas Polresta Mojokerto Ipda Lukman Basoni. (adi)"
8,https://radarmojokerto.jawapos.com/read/2020/11/17/225083/jaminan-kecelakaan-dan-kematian-pegawai-non-asn-pemkot-dicover,"17 NOVEMBER 2020, 11: 00: 59 WIB | EDITOR : IMRON ARLADO",Mojokerto,"Pemerintah Kota Mojokerto
Jaminan Kecelakaan dan Kematian Pegawai Non-ASN Pemkot Dicover","KOTA, Jawa Pos Radar Mojokerto - Meningkatkan kesejahteraan pegawai non-aparatur sipil negara (ASN), terus dilakukan Pemerintah Kota Mojokerto. Hal ini dibuktikan dengan adanya kebijakan pemerintah daerah yang memberikan Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKM) bagi seluruh pegawai non-ASN.
Wali Kota Mojokerto Ika Puspitasari menjelaskan, kebijakan yang diambil dalam menyejahterakan pegawai non-ASN merupakan sinergitas antara pemerintah daerah dengan Badan Penyelenggara Jaminan Sosial (BPJS) Ketenagakerjaan. Yang mana, di bawah Sistem Jaminan Sosial Nasional (SJSN) diharapkan seluruh warga negara Indonesia dapat menerima perlindungan yang layak.
Seperti dari dampak yang merugikan atau penurunan pendapatan akibat sakit, kecelakaan kerja, usia lanjut, pensiun, maupun kematian. Untuk itu, Pemerintah Kota Mojokerto memberikan perlindungan kepada seluruh pegawai non-ASN. Di antaranya ketua RT/RW (859 penerima), pegawai non-ASN (3.521 penerima), dan perusahaan/badan usaha (7.910 penerima).
Dari data BPJS Ketenagakerjaan, penerima JKK-JKM yang telah mendapatkan haknya terhitung sejak bulan Januari hingga 16 November 2020 sebanyak 7 orang. Di antara, 2 orang mengalami kecelakaan kerja meninggal dan 5 lainnya mengalami kecelakaan kerja. Untuk penerima JKK-JKM yang mengalami kecelakaan kerja meninggal, bantuan diberikan kepada keluarga almarhum.
’’Melalui Peraturan Daerah Kota Mojokerto Nomor 9 Tahun 2019 tentang Pengaturan Jaminan Sosial Daerah dan Peraturan Wali Kota Mojokerto Nomor 94 tentang Pelaksanaan Kepatuhan Program Jaminan Sosial Ketenagakerjaan, kami bertekad menyejahterakan para pekerja formal, informal maupun non-ASN dengan jaminan sosial,’’ tegas Ning Ita, sapaan akrab wali kota, Senin (16/11).
Untuk tahun depan, lanjut wali kota perempuan pertama di Mojokerto ini, Pemerintah Kota Mojokerto akan memperluas sasaran dalam memberikan JKK-JKM. Yakni kepada tenaga keagamaan sebanyak 1.894 penerima (Guru TPQ, Modin, Muazin, Takmir Masjid/Musala, Kebersihan Masjid, Penjaga Makam, Pemandi Jenazah, Guru Sekolah Minggu, Koster dan Hufaz) serta jaminan kesejahteraan untuk keluarga.
’’Kami juga mengupayakan seluruh pegawai bukan penyelenggara negara maupun pegawai penyelenggara negara (non-ASN), juga mendapatkan manfaat bantuan subsidi upah (BSU) pemerintah dengan gaji di bawah Rp 5 juta. Untuk pegawai bukan penyelenggara negara sebanyak 9.626 penerima. Sedangkan pegawai non-ASN sebanyak 2.665 penerima,’’ jelas Ning Ita.
Melalui program JKK-JKM yang diberikan selama ini, Pemerintah Kota Mojokerto masuk nominasi 10 besar pada Paritrana Award 2020. Di mana, Kota Mojokerto menjadi satu-satunya kabupaten/kota yang mewakili Provinsi Jawa Timur pada penganugerahan yang diinisiasi pemerintah pusat melalui Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Kemenko-PMK) bersama BPJS Ketenagakerjaan.
Kebijakan yang bersinergi ini pun mendapatkan apresiasi dari Kepala Kantor Cabang BPJS Ketenagakerjaan Mojokerto Dwi Endah Aprilistyani. Ia mengucapkan terima kasih dan apresiasi yang tinggi kepada Pemerintah Kota Mojokerto dalam mendukung program negara terkait perlindungan
jaminan sosial Ketenagakerjaan di wilayah kerja Pemerintah Kota Mojokerto. ’’Pemerintah Kota Mojokerto telah mengimplementasikan program tersebut dengan mendaftarkan seluruh pegawai non-ASN Kota Mojokerto dalam perlindungan jaminaan sosial Ketenagakerjaan pada dua program (jaminan kecelakaan kerja dan jaminan kematian). Semoga, ke depannya sinergi Pemerintah Kota Mojokerto dan BPJamsostek dalam memberikan perlindungan kepada seluruh masyarakat pekerja dapat terus ditingkatkan,’’ tandasnya. (ry/adv)"
9,https://radarmojokerto.jawapos.com/read/2020/11/16/225086/kembangkan-sayap-dengan-membuka-percetakan-dan-sablon,"16 NOVEMBER 2020, 22: 00: 59 WIB | EDITOR : MOCHAMAD CHARIRIS",Ekonomi,"Modis Production
Kembangkan Sayap dengan Membuka Percetakan dan Sablon","Berbekal kemampuan yang dimiliki, Fajar Rahmadi merintis jalan untuk membalikkan keadaan saat gerai distro miliknya gulung tikar. Kini, pria 39 tahun ini tak hanya mengerjakan produk konveksi semata. Namun, juga merambah usaha cetak dan sablon.
NAMA Modis Production sebenarnya sudah diusung Fajar sejak 2002 silam. Tepatnya, saat ia memulai usaha toko distro dan sablon. Ketika itu berbagai koleksi kaus dan busana yang berciri khas gaya anak muda sangat laku di pasaran.
Tak heran bisnis gerai distronya langsung punya nama di kalangan anak muda. Namun, seiring berjalannya waktu, gerai distro ini tergerus perkembangan zaman. Setelah berjalan hampir 8 tahun, di tahun 2010 Fajar dengan terpaksa menutup gerai distronya.
Tetapi, di balik itu, ia punya pertimbangan lain untuk menutup distronya. ”Setelah distro tutup, kita buka workshop buat mengembangkan konveksi, sablon, sekaligus cetak,” kata Fajar.
Bertempat di workshop-nya di Jalan Rajasanegara, Puri, Mojokerto, Fajar kemudian mencoba kemampuannya menghasilkan produk yang diminati pasar. Produknya juga makin beragam.
Mulai dari kaus sablon, gantungan kunci, hingga pembuatan years book atau buku kenangan siswa. Pangsa pasarnya kini juga makin meluas. Merambah berbagai kalangan. Dari komunitas motor, lingkungan dinas, hingga lembaga pendidikan.
Dari usaha yang dirintisnya tersebut, kini Fajar bisa memperkerjakan 3 sampai 4 orang. Tergantung banyaknya pesanan yang ia terima. ”Order kita kebanyakan masih dari Mojokerto dan sekitarnya. Tapi, Alhamdulillah nama kita sudah mulai banyak dieknal orang,” tandas Fajar. (nto)"
