,Link,Date Time,Category,Title,Content
0,https://radarsidoarjo.jawapos.com/features/29/12/2020/bergaya-outdor-dan-instagramable,29 December 2020 10:50 AM,FEATURES,Bergaya Outdor dan Instagramable,"Warung Makan Unik di Tanggulangin Beragam cara kreatif dilakukan pengelola rumah makan untuk memikat pengunjung. Seperti yang dilakukan pengelola Warung Kebon Candi, Candi Ubud Tanggulangin. Pengelola memadukan ruang outdor dengan beragam aksesoris unik yang Instagramable. Hendrik Muchlison/Wartawan Radar Sidoarjo Warung yang ada di Jalan Raya Kludan ini sebenarnya belum lama berdiri. Warung berkonsep alam itu baru beroperasi pada 17 November lalu. Berkat konsepnya yang unik, warung itu pun ramai dikunjungi pembeli. Ada yang datang karena penasaran, ada yang datang karena sengaja mencari suasana baru tempat makan. Ataupun pengunjung datang karena ingin berfoto di sejumlah spot yang ada di warung tersebut. “Aku tahunya dari teman, terus cari info lokasinya,” kata Septi, salah satu pengunjung asal Sidoarjo di lokasi. Warung yang juga ramai di media sosial itu buka mulai pukul 11.00 – 22.00. Jika akhir pekan, pengunjung yang mampir juga makin ramai. Mulai dari kalangan anak muda hingga keluarga yang sengaja menikmati suasana makan berbeda bersama anaknya. Tampilan warung memang berbeda dengan biasanya. Di pintu depan, pengunjung sudah disambut tempat pemesanan makanan dengan bentuk yang unik. Setelah masuk, pengunjung juga bisa memilih banyak tempat makan. Tentu dengan spot-spot yang berbeda. Yang cukup digemari adalah spot tempat makan dengan konsep kapal pinisi. Di tempat itu pengunjung bisa makan sekaligus berfoto bersama. Soal harga, makanan di warung itu juga cukup terjangkau. Untuk menu makanan ringan, dibanderol mulai Rp 10 ribu, makanan berat mulai dari Rp 15 ribu, sedangkan untuk minuman dibanderol mulai dari Rp 4 ribu. (*/opi)"
1,https://radarsidoarjo.jawapos.com/ekonomi-bisnis/29/12/2020/perempuan-garda-terdepan-meningkatkan-kesejahteraan-ekonomi,29 December 2020 10:22 AM,EKONOMI & BISNIS,Perempuan Garda Terdepan Meningkatkan Kesejahteraan Ekonomi,"SIDOARJO – Organisasi sosial perempuan memiliki peranan penting dalam pembangunan. Baik dalam kesejahteraan ekonomi maupun penguatan kelembagaan. Sebagai salah satu bentuk realisasi, Pemerintah Provinsi (Pemprov) Jatim melalui Biro Administrasi Kesejahteraan Sosial mengumpulkan organisasi sosial pemberdayaan perempuan di Pendapa Delta Wibawa, Senin (28/12). Kabid Pemberdayaan dan Perlindungan Perempuan Dinas Pemberdayaan Perempuan dan Perlindungan Anak dan Kependudukan (P3AK) Pemprov Jatim Ida Tri Wulandari menjelaskan, secara tidak langsung, organisasi sosial perempuan tidak hanya bergerak di sektor ekonomi. Mereka juga bergerak dari sektor politik dan sosial. “Diharapkan nantinya penguatan kelembagaan bisa membantu pemulihan ekonomi akibat pandemi Covid-19 di masa mendatang,” harap Ida. Pemprov Jatim melalui Dinas P3AK selalu bersinergi dengan Biro Administrasi Kesejahteraan Sosial Sekretariat Provinsi Jatim untuk melakukan pembinaan bagi kaum Hawa. “Di masa pemulihan bisa menjadi tugas perempuan di garda depan, baik untuk meningkatkan kesejahteraan ekonomi melalui produk mereka ataupun lainnya,” ujarnya. Selain itu, ada lima amanat dari Presiden kepada Kementerian Pemberdayaan Perempuan dan Perlindungan Anak yang menjadi fokus dalam kegiatan tersebut. Di antaranya peran perempuan dalam kewirausahaan, peningkatan peran ibu dan keluarga dalam pengasuhan anak, penurunan angka kekerasan terhadap perempuan dan anak, pencegahan perkawinan anak dan penurunan angka pekerja anak. “Dari lima arahan Presiden ini, kita bersama-sama dengan lembaga organisasi sosial perempuan khususnya untuk mengatasi permasalahan yang ada saat ini,” jelas Ida. (rpp/opi)"
2,https://radarsidoarjo.jawapos.com/kota-delta/29/12/2020/hujan-lebat-disertai-angin-kencang-atap-rumah-warga-jebol,29 December 2020 09:28 AM,KOTA DELTA,"Hujan Lebat Disertai Angin Kencang, Atap Rumah Warga Jebol","SIDOARJO – Hujan disertai angin kencang yang mengguyur Sidoarjo, Minggu (27/12) malam, rupanya membuat sejumlah atap rumah warga jebol. Salah satunya terjadi di Perum Puri Tambak Rejo, Gang Perahu RT 05/RW 08, Tambak Rejo, Kecamatan Waru. Rumah milik Sulaiman, misalnya. Satu lembar atap rumah tersebut terlepas. Selain itu juga menimpa rumah milik Syamsu Duha. Atap genting dan plafon di rumah jebol. Bahkan hal serupa juga menimpa rumah milik Sumiati. Enam kamar kos miliknya juga rusak. “Petugas BPBD Sidoarjo melakukan asesmen ke lokasi kejadian dan memberikan terpal kepada rumah yang terdampak angin puting beliung,” kata Kepala BPBD Sidoarjo, Dwijo Prawito, Senin (28/12). Di tempat lain, sebuah pohon tumbang di Jalan Raya Juanda, Sedati Agung, Sedati, sekitar pukul 22.30. Hal itu terjadi akibat hujan lebat disertai angin kencang. Bahkan di sejumlah kawasan mengalami genangan air. Di antaranya terlihat Wadungasri Kecamatan Waru dengan tinggian genangan mencapai 10 cm. Sementara di Bungurasih Barat juga terjadi genangan setinggi 17 cm dan panjang genangan 200 meter. Hal itu juga terjadi di Jalan Teuku Umar Medaeng. Ketinggiannya mencapai 15 cm dan panjang genangan 200 meter. Bahkan di Perum Taman Waru Permai, Medaeng, ketinggian air mencapai 15 centimeter. Selain itu genangan air juga terlihat di Jalan Jati Sari Besar Pepelegi, Waru. Ketinggiannya sekitar 15 cm dan panjang genangan 150 meter. “Kami juga melakukan asesmen awal dan mengukur tinggi genangan di setiap lokasi yang terdampak genangan air,” ujarnya. Berdasarkan catatan peringatan dini cuaca tiga harian BMKG Juanda, hujan masih akan terjadi hari ini (29/12) di Sidoarjo pada siang hingga sore hari. “Hari berikutnya juga sama, namun diprediksi terjadi di pagi hari,” kata Kasi Data dan Informasi BMKG Juanda, Teguh Tri Susanto. (far/opi)"
3,https://radarsidoarjo.jawapos.com/lifestyle/29/12/2020/gisel-terancam-hukuman-12-tahun-penjara,29 December 2020 08:16 AM,LIFESTYLE,Gisel Terancam Hukuman 12 Tahun Penjara,"JAKARTA – Tahun 2020 menjadi momentum yang berat bagi Gisella Anastasia, penyanyi asli Suroboyo. Setelah video syur berdurasi 19 detik beredar luas di media sosial beberapa waktu lalu, kini Gisel ditetapkan sebagai tersangka atas kasus tersebut. Penetapan Gisel sebagai tersangka diungkapkan Kabid Humas Polda Metro Jaya Kombes Pol Yusri Yunus di hadapan awak media di kantornya, Selasa (29/12). Dia menyatakan Gisel telah dinaikkan statusnya dari saksi menjadi tersangka berdasarkan hasil gelar perkara. Bukan hanya Gisel yang ditetapkan sebagai tersangka. Pemeran laki-lakinya, MYD, juga ditetapkan sebagai tersangka setelah sebelumnya sempat diperiksa sebagai saksi. “Dua orang ini mengakui bahwa dia betul betul di video yang ada, yang beredar di media sosial,” ujar Yusri. Awak media pun penasaran dengan pemeran laki-laki berinisial MYD. Karena sepertinya hal itu di luar nama yang sempat muncul yang disebut-sebut sebagai pemeran laki-laki. Namun Kabid Humas tetap enggan menyebutkan nama terang. Ia tetap menyebutkan inisial MYD. Perlakuan yang sama juga dilakukannya tidak menyebutkan nama terang Gisel. Yusri hanya menyebutkan inisial GA. Beberapa nama sempat disebut-sebut sebagai pemeran laki-laki. Dua di antaranya adalah Adhietya Mukti dan Joshua March. Kedua nama ini sudah mengklarikasi dan menolak dikaitkan dengan video berkonten asusila. Gisel dan MYD dijerat dengan Pasal 4 ayat 1 jo Pasal 29 dan atau Pasal 8 UU No. 44 Tahun 2008 Tentang Pornografi. Yang ancaman hukumannya di atas 5 tahun penjara. ’’Paling rendah 6 tahun, paling tinggi 12 tahun penjara,’’ ujar Yusri. Usai ditetapkan sebagai tersangka, baik Gisel maupun MYD dalam waktu dekat akan kembali diperiksa dengan status baru sebagai tersangka. Namun mengenai waktunya masih belum diungkap mantan Kabid Humas Polda Jawa Barat itu. ’’Apa yang akan kita lakukan ke depan ? Kita akan memanggil saudari GA dan saudara MYD untuk dilakukan pemeriksaan sebagai tersangka,’’ tandasnya. (jpc/opi)"
4,https://radarsidoarjo.jawapos.com/kriminal-delta/28/12/2020/sehari-dua-orang-tewas-kecelakaan-di-krian,28 December 2020 18:30 PM,KRIMINAL DELTA,"Sehari, Dua Orang Tewas Kecelakaan di Krian","SIDOARJO – Arief Triono, 34, warga Desa Jaan RT 04/RW 03 Kecamatan Gondang, Kabupaten Nganjuk, tewas di Jalan Raya Bypass Krian, KM.29, Senin (28/12). Korban tewas setelah terlibat kecelakaan saat hendak mendahului kendaraan lain. Informasi yang berhasil dihimpun, awalnya korban diketahui sedang mengendarai motor Yamaha Mio nopol AG 6110 XU. Korban saat itu melaju dari arah barat ke timur. Korban berusaha mendahului truk Fuso nopol N 8332 UW. “Truk Fuso itu berjalan di depan korban dari arah yang sama dan berusaha didahului oleh korban,” kata Kanit Laka Lantas Polresta Sidoarjo AKP Sugeng Sulistyono. Namun saat mencoba mendahului tersebut korban menabrak media jalan. Akibatnya motor terjatuh ke sebelah kanan dan korban terpental ke sebelah kiri. Korban terlindas roda belakang sebelah kanan truk Fuso tersebut. Di tempat lain, Suhariyono, 62, warga Dusun Gresikan Kelurahan Krian, Kecamatan Krian tewas di Jalan Raya Ki Hajar Dewantara Krian, sekitar pukul 12.10. Awalnya korban sedang berjalan mengendarai motor Honda Vario nopol W 2444 YW. Korban melaju dari arah selatan ke utara. Namun terserempet kendaraan dump truk Tronton L 8477 UO yang datang dari arah yang sama. Akibatnya korban tewas di lokasi kejadian dan dievakuasi petugas ke RSU Anwar Medika. Dump truk tronton diketahui dikemudikan oleh Riyanto, 47, warga Desa Widang RT 07/RW 05 Widang Kabupaten Tuban. “Sejumlah barang bukti seperti kendaraan korban kami amankan ke Mapolsek Krian,” kata petugas lantas Polsek Krian, Aiptu Bachtiar. (far/nis)"
5,https://radarsidoarjo.jawapos.com/features/28/11/2020/semakin-dikenal-tidak-henti-sosialisasi,28 November 2020 11:00 AM,FEATURES,"Semakin Dikenal, Tidak Henti Sosialisasi","Melestarikan Baju Pengantin Khas Sidoarjo (2-Habis) Sebagai ciri khas Sidoarjo, baju pengantin khas Jenggolo masih harus selalu disosialisasikan. Pamornya masih kalah dari busana adat lain di tanah Jawa. Padahal baju pengantin Jenggolo punya karakteristik khusus termasuk upacara adatnya. Rizky Putri Pratimi/Wartawan Radar Sidoarjo Sudirman pengurus Himpunan Ahli Rias Pengantin Indonesia (Harpi) Melati Sidoarjo mengatakan selain aksesoris, dalam upacara pernikahan adat Jenggolo ini juga memiliki kerakter tersendiri. “Ada iringan musik rebana. Meriah, ramai,” kata Dirman sapaan akrabnya. Dirman menejelaskan upacara adat pernikahan saat temu manten ada tukar kembar mayang rontek, hiasan artistik terbuat dari anak pisang yang dihiasi dengan janur dan bunga jambeh serta dipercantik dengan rontek atau kertas warna-warni yang dililitkan pada lidi. Kembar mayang rontek ditukar kemudian dipergunakan sebagai hiasan pelaminan saat resepsi pernikahan. Kembang mayang rontek adalah lambang atau simbol bahwa kedua pengantin masih gadis dan masih perjaka. Memberi bekusut yang disiapkan mempelai pria. Bekusut terbuat dari sapu tangan putih yang di dalamnya diisi uang kertas kemudian dilipat dengan rapi. Mempelai putra yang memberikan bekusut dimaknakan sebagai sebuah kesanggupan menebus semua kebutuhan mempelai putri. Menginjak gendik dan pipisan suatu alat yang digunakan untuk menghaluskan bahan jamu tempo dulu. Dimaknakan supaya mempelai berdua dalam membangun rumah tangga dapat segar bugar serta sehat jasmani dan rohani. Thuthuk telur yang dilakukan oleh pamong manten. Telur ditempelkan pada dahi mempelai putra dan mempelai putri kemudian dijatuhkan. Thuthuk dimaknakan kedua mempelai haruslah ingat di dalam membangun rumah tangga harus bisa memecahkan kesulitan hidup berumah tangga dan juga siap member wiji suci (wiji dadi). Dirman sapaan akrabnya mengungkapkan bahwa Harpi Melati Sidoarjo saat ini tengah mengembangkan model busana pengantin Jenggolo Keprabon atau khas raja. Sebab yang ada sekarang ini digolongkan busana khas kesatria.
Tak henti hentinya tim Harpi Melati terus mensosialisasikan busana pengantin Jenggolo ini. Sebab belum banyak calon pengantin yang ingin pakai busana adat Jenggolo. Dirman dan seluruh anggota Harpi Melati Sidoarjo menginginkan contoh busana Jenggolo bisa masuk ke museum agar bisa dikaji dan dipelajari banyak kalangan. “Masih perlu menyusun buku bahan ajar yang sesuai standar. Untuk hal ini kami perlu dukungan pihak terkait,” harapnya. (*/opi)"
6,https://radarsidoarjo.jawapos.com/kriminal-delta/24/11/2020/motornya-diserempet-bus-restu-bocah-10-tahun-tewas,24 November 2020 10:11 AM,KRIMINAL DELTA,"Motornya Diserempet Bus Restu, Bocah 10 Tahun Tewas","SIDOARJO – Seorang bocah SD, Rendi Wijaya Kusuma, warga Dusun Kluweh, Desa Kebonagung, Kecamatan Porong meninggal dunia, Minggu (22/11) malam. Bocah 10 tahun itu terlibat kecelakaan di Jalan Raya Arteri Porong, Kelurahan Juwet Kecamatan Porong. Informasi yang dihimpun Radar Sidoarjo, awalnya korban bersama ayahnya Adam Topan, 68, berboncengan mengendarai motor Honda Scoopy nopol W 2049 QY. Saat itu keduanya sedang berjalan dari selatan atau dari arah Gempol, Pasuruan. Saat itu juga ada bus yang berjalan dari arah yang sama. “Bus PO Restu nopol N 7757 UG itu hendak menurunkan penumpang di traffic light sisi selatan simpang empat jalan arteri,” kata saksi mata, Satria, 19. Usai lampu merah, bus tersebut kemudian berjalan dan langsung menyerempet motor korban dari samping. Akibatnya keduanya terjatuh ke aspal. Sementara korban Rendi terlepas dari boncengan dan tewas di lokasi kejadian. Sedangkan ayahnya, Adam, harus menjalani perawatan medis karena mengalami luka di bagian tubuhnya. Korban kemudian dibawa ke RS. Bhayangkara Pusdik Gasum Porong. Hasil analisa petugas, kecelakaan tersebut diduga akibat kurang hati-hatinya pengemudi bus. Sejumlah petugas yang datang ke lokasi kejadian langsung memeriksa sakti mata dan menggelar olah TKP. “Sementara kasus ini sudah kami limpahkan ke Unit Laka Lantas Polresta Sidoarjo,” kata Aipda Teguh Eko Wahono, anggota Unit Lantas Polsek Porong. (far/nis)"
7,https://radarsidoarjo.jawapos.com/kriminal-delta/20/11/2020/tabrak-motor-taufik-alami-luka-berat,20 November 2020 18:52 PM,KRIMINAL DELTA,"Tabrak Motor, Taufik Alami Luka Berat","SIDOARJO – Ahmad Taufik, 38, warga Sembung RT 03/RW 01 Wringinanom Gresik harus dilarikan ke Rumah Sakit (RS) Gatoel, Kabupaten Mojokerto. Penyebabnya dia mengakami luka robek di bagian kepala dan tak sadarkan diri. Itu setelah dia terlibat kecelakaan di Jalan Raya Desa Waruberon, Balongbendo. Informasi yang berhasil dihimpun Radar Sidoarjo, peristiwa bermula saat korban mengendarai motor Honda Scoopy nopol W 2569 BE. Saat itu, korban berjalan dari arah utara ke selatan. Namun korban menabrak motor Honda CB 150 nopol S 4807 WK. “Motor CB saat itu hendak putar balik di sekitar TKP dan tertabrak motor korban,” kata anggota Lantas Polsek Balongbendo Bripka Iful. Motor CB 150 itu diketahui dikendarai oleh Mochammad Setyo Wibowo, 20, warga asal Kandangan Gondang Manis RT 02/RW 10 Bandar Kedung Mulyo, Kabupaten Jombang. Tak hanya itu, korban kembali menabrak motor Yamaha Mio nopol W 2877 WG. Saat itu, Mio sedang dikendarai oleh Rasmi, 59, warga Desa Waruberon RT 03/RW 01 Balongbendo. Hal itu membuat korban jatuh dan mengalami luka berat. Hasil analisa petugas di lapangan, kecelakaan itu diduga aibat kurang hati-hatinya pengendara Honda CB. Petugas yang tiba di lokasi langsung melakukan olah TKP, memeriksa saksi mata dan melakukan permohonan visum luka. “Saat ini kasus dilimpahkan ke Unit Laka Lantas Polsek Balongbendo,” jelasnya. (far/opi)"
8,https://radarsidoarjo.jawapos.com/kriminal-delta/17/11/2020/tidak-kuat-menanjak-truk-muat-plastik-terguling,17 November 2020 11:11 AM,KRIMINAL DELTA,"Tidak Kuat Menanjak, Truk Muat Plastik Terguling","SIDOARJO – Iswandi, 54, warga Randulawang Sandung Diwek RT 01/RW 06 Desa Bandung Kabupaten Jombang tak menyangka truk yang dikemudikannya gagal menanjak di fly over Masangan Wetan, Senin (16/11). Truk itu terguling hingga membuat dirinya mengalami luka-luka. Kanit Laka Lantas Polresta Sidoarjo AKP Sugeng Sulistiyono mengatakan, saat itu korban mengemudikan truk nopol S 8159 WJ. Truk berjalan dari arah selatan ke utara. Truk lalu berusaha belok kiri dan mencoba menanjak fly over. “Kejadian sekitar pukul 10.00, saat mencoba menanjak sambil belok kiri ternyata truk itu tidak kuat menanjak dan terguling,” katanya kepada Radar Sidoarjo. Truk yang dikemudikan korban terguling ke kanan. Akibatnya muatan truk, plastik bekas tumpah di jalan tersebut. Sementara korban mengalami luka ringan. Kejadian itu sempat membuat arus lalu lintas di lokasi terganggu. “Penanganan awal dilakukan oleh Unit Lantas Polsek Sukodono dan saat ini tengah dilimpahkan ke Unit Laka Lantas Polresta Sidoarjo,” ujarnya. Sementara itu, di Balongbendo, Jefri Haryanto, 23, warga Jojoran 1/35-C RT 08/RW 08 Mojo Gubeng Kota Surabaya harus dilarikan ke rumah sakit Anwar Medika. Penyebabnya dia mengalami patah tulang lengan kirinya setelah terlibat kecelakaan di Jalan Raya Wonokupang Balongbendo, Senin (16/11) pukul 08.00. Informasi yang berhasil dihimpun Radar Sidoarjo, korban mengendarai Honda Vario nopol L 6794 OD. Saat itu korban berjalan dari arah timur ke barat. Diduga mengantuk, korban kemudian oleng ke samping kiri dan terjatuh dari motor. Akibatnya lengan kirinya patah tulang. “Kami sudah mendatangi lokasi kejadian dan menggelar olah TKP serta memeriksa saksi-saksi,” kata anggota Lantas Polsek Balongbendo, Bripka Iful. (far/nis)"
9,https://radarsidoarjo.jawapos.com/kriminal-delta/16/11/2020/diserempet-minibus-tama-tewas-di-by-pass-krian,16 November 2020 10:48 AM,KRIMINAL DELTA,"Diserempet Minibus, Tama Tewas di By Pass Krian","SIDOARJO – Satya Tama Trisna Fahim, 20, warga Desa Betoyo Kauman RT 03/RW 02 Kecamatan Manyar Kabupaten Gresik tewas di Jalan Raya By Pass Krian, Sabtu (14/11) malam. Hal itu setelah korban terlibat dalam kecelakaan dengan sebuah minibus sekitar pukul 20.30. Informasi yang berhasil dihimpun Radar Sidoarjo, korban diketahui mengendarai motor Honda Vario nopol W 2373 AF. Saat itu korban berjalan dari arah barat ke timur. Namun tepat di Jalan Raya By Pass KM 31/3 korban diserempet minibus. “Di depan asrama Brimob sisi selatan, ada minibus yang berjalan dari arah yang sama kemudian menyerempet korban,” kata petugas Lantas Polsek Krian, Aiptu Bachtiar. Korban diserempet dari samping hingga terjatuh ke aspal. Sementara minibus yang tidak diketahui nopolnya itu melarikan diri ke arah barat. Akibatnya korban mengalami luka di bagian wajahnya dan tewas di sekitar lokasi kejadian. Sejumlah petugas kepolisian yang mendapat laporan warga langsung mendatangi lokasi kejadian. Olah tempat kejadian perkara (TKP) langsung digelar. Sejumlah saksi juga telah dimintai keterangan. Korban akhirnya dibawa ke rumah sakit untuk dimintai visum jenazah. Sementara barang bukti motor diamankan petugas. “Untuk penanganan lebih lanjut kami limpahkan ke Unit Laka Lantas Polresta Sidoarjo,” jelasnya. (far/nis)"
