,Link,Date Time,Category,Title,Content
0,https://radarsurabaya.jawapos.com/read/2020/12/27/232331/mabuk-tabrak-emak-emak-sampai-mati-dituntut-penjara-18-bulan,"27 DESEMBER 2020, 13: 51: 06 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,Mabuk Tabrak Emak-Emak Sampai Mati Dituntut Penjara 18 Bulan,"SURABAYA-Sigit Subiantoro hanya bisa pasrah dituntut hukuman selama setahun enam bulan penjara oleh Jaksa Penuntut Umum (JPU) Fathol Rasyid di Pengadilan Negeri (PN) Surabaya. Sigit juga dikenakan denda Rp 2 juta subsider tiga bulan penjara. “Memohon kepada majelis hakim agar terdakwa dihukum selama satu tahun enam bulan penjara,"" tutur Jaksa Fathol dalam persidangan beberapa waktu lalu.
Terdakwa Sigit terbukti melanggar pasal  310 ayat (4) Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan. Sebab, ia menabrak korban hingga meninggal dunia.
Sigit mengakui kesalahannya telah lalai dalam berkendara. Pada 23 September 2020, sekitar pukul 20.30, Sigit terlibat kecelakaan di Jalan Dukuh Menanggal. Seusai mabuk-mabukan di Lapangan Nanggala, Jalan Dukuh Menanggal, dalam perjalanan dirinya menabrak Siti Mustoinah, 34, yang saat itu berdiri di pinggir jalan hendak menyebrang.
Sementara itu, di depan Sigit ada mobil yang berjalan pelan. Ketika akan menyalip mobil tersebut, Sigit mengambil lajur kiri. Karena dalam keadaan mabuk dan kurang konsentrasi, ia pun menabrak Siti hingga meninggal dunia di tempat kejadian. (gin/rek)"
1,https://radarsurabaya.jawapos.com/read/2020/12/17/230749/asyik-selfie-di-suramadu-pakai-sepeda-angin-diperiksa-polisi,"17 DESEMBER 2020, 12: 00: 59 WIB | EDITOR : WIJAYANTO",Surabaya,"Asyik Selfie di Suramadu Pakai Sepeda Angin, Diperiksa Polisi","SURABAYA - Beralasan jalanan sepi, seorang pria nekat foto-foto di tengah Jembatan Suramadu sambil bersandar pada sepeda angin. Foto unik itu juga diunggah di media sosial. Akibatnya, ia harus diperiksa polisi. 
Pria bernama Vicky Christian, 35, memang terlihat keren lantaran bisa menembus Jembatan Suramadu. Padahal, selama ini sepeda angin dilarang keras melintas di jembatan sepanjang 5,5 kilometer itu karena sangat berbahaya.
Kegembiraan Vicky tidak berlangsung lama. Sebab, warga Jalan Kaliwaron, Surabaya, itu akhirnya dipanggil Satlantas Polres Pelabuhan Tanjung Perak. Ini karena tindakan Vicky dengan berswafoto di tengah Jembatan Suramadu sangat membahayakan dirinya dan pengendara yang lain.
Kasatlantas Polres Pelabuhan Tanjung Perak AKP Sigit Indra mengatakan, setelah foto selfie  tersebut viral, ia langsung mencari keberadaan pria yang mejeng di Suramadu. Polisi pun dengan mudah menemukan alamat Vicky.
Hingga akhirnya pada Selasa (15/12) sore, Vicky dipanggil ke Mapolres Pelabuhan Tanjung Perak. ""Kami beri teguran agar tidak melakukan hal yang sama. Apalagi mengendarai sepeda angin,"" ujarnya. 
 Vicky beralasan saat itu ia melintas di Jembatan Suramadu. Ketika itu kondisi jalan sepi. Ia pun berhenti dan mengeluarkan sepeda anginnya, kemudian berfoto dengan latar Jembatan Suramadu. ""Jadi, ia tidak bersepeda ontel ke tengah Jembatan Suramadu. Ia berhenti kemudian menurunkan sepeda anginnya dari mobil kemudian berfoto di sana,"" jelasnya. 
Sigit mengatakan, apa yang dilakukan Vicky ini tidak dibenarkan. Meskipun sepi belum tentu tidak ada kendaraan yang melintas. Hal itu bisa menyebabkan kecelakaan.
""Kami beri teguran agar tidak terjadi hal yang sama. Apalagi ini musim hujan dan angin kencang. Sudah ada rambu juga di jembatan untuk tidak berhenti. Ini kami lakukan semata agar tidak terjadi kecelakaan, ""tuturnya.
Vicky sendiri meminta maaf atas apa yang sudah dilakukannya. Ia juga membuat surat pernyataan untuk tidak mengulanginya lagi. ""Saya meminta maaf atas apa yang saya lakukan dan agar tidak ada lagi melakukan kegiatan yang saya lakukan. Saya berterima kasih karena sudah diingatkan,"" ujarnya. (gun/rek)"
2,https://radarsurabaya.jawapos.com/read/2020/12/17/230625/gerebek-karaoke-di-sidokare-amankan-lc-lagi-layani-seks-tamu-di-room,"17 DESEMBER 2020, 03: 50: 59 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Gerebek Karaoke di Sidokare, Amankan LC Lagi Layani Seks Tamu di Room
Seorang Mucikari Penyedia LC Ditahan","SURABAYA - Janji Ratnawati alias Semi tak bisa berkelit diamankan anggota Unit III Asusila Subdit IV Renakta Ditreskrimum Polda Jatim.  Perempuan 41 tahun yang tinggal di Jalan KH Sulaiman, RT 03 RW 01 Desa Gemurung, Gedangan, Sidoarjo, ini ditetapkan tersangka dan ditahan lantaran terbukti menyediakan pemandu lagu atau LC (lady escort) untuk layanan seks di room kafe dan resto yang ada di Jalan Mojopahit, Desa Sidokare, Sidoarjo. 
Wadirreskrimum Polda Jatim AKBP Nasrun Pasaribu mengungkapkan, penangkapan tersangka bermula dari informasi masyarakat bila tersangka kerap menawarkan pemandu lagu untuk layanan seks kepada para tamu cafe yang ada di room karaoke.
Menindaklanjuti informasi ini, polisi bergerak melakukan penyelidikan dengan membawa surat perintah lengkap ke kafe dan resto di kawasan Jalan Mojopahit tersebut, Selasa (15/12) sekitar pukul 20.30.
Di lokasi, polisi melakukan penggerebekan dan menemukan empat orang terdiri dua perempuan pemandu lagu dan dua tamu laki-laki berada di satu room. Tak eloknya, mereka digerebek saat sedang melakukan hubungan intim. Setelah diamankan dan dilakukan pemeriksaan, polisi menetapkan satu orang tersangka.
""Tersangka satu orang, yakni JR (Janji Ratnawati). Dia menyediakan pemandu lagu yang bisa diajak hubungan badan di room,"" kata Nasrun didampingi Kasubdit Penmas AKBP Sinwan, Rabu (16/12).
Nasrun menjelaskan, tersangka mematok tarif mulai Rp 1, 5 juta hingga Rp 2 juta untuk layanan seks shortime di room karaoke. Tarif tersebut sesuai dengan kualitas perempuan dan servis layanan. ""Tarifnya rata-rata Rp 1, 5 juta hingga Rp 2 juta. Eksekusi dilakukan di room,"" sebutnya.
Selain di room, lanjut Nasrun, polisi meyakini pemandu lagu yang disediakan kuat dugaan juga bisa dieksekusi di tempat lain. Untuk korban (anak buah) tersangka, kata Nasrun, diketahui sementara terdapat sembilan orang pemandu lagu freelance. Mereka rata-rata perempuan sudah berumur. ""Tidak ada yang di bawah umur. Untuk pemilik tempat mengaku tidak tahu, tapi tetap dilakukan pemeriksaan,"" tegasnya.
Dari penangkapan tersangka, diamankan barang bukti dua celana dalam wanita, dua celana dalam pria, uang tips Okta Rp 700 ribu, uang tips Ayu Rp 450 ribu, uang tips Mami Semi Rp 250 ribu dan bill room.
Akibat perbuatannya, tersangka dijerat pasal 296 KUHP dan 506 KUHP tentang perkara dugaan tindak pidana dengan sengaja mengadakan memudahkan perbuatan cabul dengan orang lain dan mengambil keuntungan dari pelacuran perempuan. ""Tersangka terancam hukuman 1 tahun 5 bulan. Saat ini sudah dilakukan penahanan,"" tandasnya. (rus/jay)"
3,https://radarsurabaya.jawapos.com/read/2020/12/17/230637/nekat-bobol-toko-tepergok-korban-benjut-diamuk-massa,"17 DESEMBER 2020, 02: 50: 59 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Nekat Bobol Toko, Tepergok Korban Benjut Diamuk Massa","SURABAYA-Gelap mata karena butuh uang membuat M Laini, 19, warga Desa Ketelen, Bangkalan, Madura, nekat membobol toko kelontong milik Sri Utami, 44, di Jalan Rungkut Menanggal II-D, Surabaya.
Sial, belum berhasil membawa kabur uang toko, dia dipergoki korban dan suaminya. Tak hanya itu. Tersangka juga diteriaki maling dan sempat dihajar massa hingga benjol dahinya.
✖
Kanit Reskrim Polsek Rungkut Iptu Djoko Soesanto mengungkapkan, tersangka Laini melancarkan aksi pembobolan toko di Rungkut Menanggal, Sabtu (11/12) sekitar pukul 04.00.
Pelaku sebelumnya sudah mengincar toko tersebut. Menjelang subuh, tersangka masuk toko melalui pintu belakang. ""Dia menggunakan obeng yang sudah disiapkan untuk merusak gembok kunci pintu belakang toko,"" ujarnya kepada Radar Surabaya, Selasa (15/12).
Setelah berhasil masuk, lanjut Djoko, pelaku mengambil uang hasil penjualan toko kelontong korban yang ditaruh di tas warna hitam dan keranjang plastik. Kemudian pelaku bergegas keluar.
Nah, saat pelaku keluar toko tersebut, korban terbangun karena ada suara pintu dan mendengar langkah kaki pelaku. Melihat baru saja ada orang tak dikenal keluar toko, korban lantas berteriak maling.
Sejurus kemudian, suaminya langsung mengejar pelaku. Akhirnya, belum jauh dari lokasi, pelaku berhasil ditangkap bersama warga. Bahkan, karena geram atas aksi pelaku, warga juga sempat menghajar pelaku hingga benjol dahinya.
""Setelah mendapat informasi dari masyarakat, pelaku kami amankan ke Mapolsek,"" terangnya. Dari tangan pelaku, polisi menyita barang bukti sebuah obeng, tas hitam, keranjang plastik, dan uang tunai Rp 310 ribu.
Sementara itu, kepada penyidik, tersangka M Laini mengaku baru sekali melakukan aksi pembobolan toko. Dia berdalih nekat mencuri karena butuh uang untuk makan sehari-hari.
""Baru sekali saya mencuri. Nggak ada kerjaan butuh uang. Kadang ngamen,"" kata Laini. Kini, tersangka sudah dijebloskan di tahanan Mapolsek Rungkut. (rus/rek)"
4,https://radarsurabaya.jawapos.com/read/2020/12/16/230633/pecah-ban-warga-gresik-tewas-kecelakaan-di-tol-tandes,"16 DESEMBER 2020, 18: 29: 09 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Pecah Ban, Warga Gresik Tewas Kecelakaan di Tol Tandes","SURABAYA-Kecelakaan maut terjadi di KM 4.600 Tol Tandes Barat, Surabaya, Rabu (16/12) sekitar pukul 07. 02. Korbannya adalah Ita Puteri Haryanti, warga Jalan Beton Raya Nomor 15, Desa Pongangan, Kecamatan Manyar, Gresik. 
Perempuan 25 tahun itu tewas setelah mobil Agya Nopol W 1266 BR yang dikemudikannya pecah ban depan kiri lalu oleng menabrak pembatas jalan, terpental menabrak pikap hingga terguling berbalik arah.
✖
Kasat PJR Polda Jawa Timur Kompol Dwi Sumrahadi mengatakan, semula kendaraan melaju dari arah Romokalisari menuju Tandes Barat di lajur tengah. ""Tepat di KM 4.600/B, kecepatan tinggi ban depan kiri meletus menabrak barier beton dan terpental kekanan,"" ungkapnya, Rabu (16/12).
Setelah terpental, lanjut Dwi, mobil Agya menabrak  mobil pikap Nopol L 9713 BF yang disopiri Abd Kowi, 25, warga Jalan Dr Sutomo Nomor 56, Tlogo Patut, Gresik. ""Mobil mental dan terguling dengan posisi berbalik arah. Pengemudi meninggal dunia di lokasi,"" tegasnya.
Petugas jasa marga dan PJR yang menerima informasi kecelakaan lantas mengamankan TKP. Setelah dilakukan identifikasi dan olah TKP jenazah korban dievakuasi menuju Rumah Sakit (RS) Ibnu Sina Gresik untuk keperluan visum. (rus)"
5,https://radarsurabaya.jawapos.com/read/2020/12/16/230578/mobil-elf-berisi-15-orang-terguling-tiga-penumpang-terluka,"16 DESEMBER 2020, 13: 06: 51 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Mobil Elf Berisi 15 Orang Terguling, Tiga Penumpang Terluka","SURABAYA - Mobil Elf berpenumpang 15 orang terguling di Jalan Laksda M Nasir, Perak, Senin (14/12) malam. Akibatnya, tiga orang menjadi korban kecelakaan tunggal ini. 
Suliha, 43, M Riyan, 30, dan Lisa Safitri, 23,  mengalami luka dan harus mendapat perawatan Tim Gerak Cepat (TGC) Surabaya. Sementara 11 penumpang dan satu sopir hanya syok. 
Playvolume
00:00/02:22
Truvid
Kanit Laka Lantas Polres Pelabuhan Tanjung Perak Iptu Dodik Soesanto mengatakan, tiga korban dirawat di lokasi dan enggan dibawa rumah sakit untuk perawatan lebih lanjut. Elf yang sempat terguling juga langsung diberdirikan kembali agar tidak menghambat lalu lintas malam itu. ""Tidak ada korban jiwa. Semua penumpang warga Pamekasan,"" ujarnya.
Mobil Isuzu Microbus nomor polisi N 7322 AB yang dikemudikan M Arifin, 38, warga Pamekasan, Madura, itu melintas dari tol Waru ke Perak. Sesampainya di eksit tol, tepatnya di bundaran patung jangkar, mobil melaju dengan kecepatan tinggi. Keadaan Jalan yang berbelok membuat sopir kehilangan kendali. Akibatnya, bagian kanan roda depan mobil tersebut menabrak trotoar.
Usai menabrak, roda depan  naik dan membuat mobil yang penuh penumpang  terguling ke kiri. Petugas lantas yang berada di pos lantas langsung ke lokasi dan mengevakuasi sopir serta penumpang. Tiga orang mengalami luka ringan. ""Korban mendapat perawatan di lokasi. Kemudian dijemput keluarganya masing-masing,"" ujarnya.
Dodik mengatakan, dugaan sementara sopir  melaju dengan kecepatan tinggi saat di tikungan. Hingga akhirnya hilang kendali dan terguling. Mengenai jumlah penumpang, masih sesuai dengan kapasitas mobil tersebut. ""Saat ini mobil dan sopir masih kami sidik untuk mengetahui penyebab pastinya,"" katanya. (gun/rek)"
6,https://radarsurabaya.jawapos.com/read/2020/12/10/229507/tabrak-fortuner-ambulans-ringsek-jenazah-dioper-ke-ambulans-dinsos,"10 DESEMBER 2020, 07: 11: 16 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Tabrak Fortuner, Ambulans Ringsek, Jenazah Dioper ke Ambulans Dinsos","SURABAYA-Mobil ambulans pembawa jenazah yang dikemudikan Yuli Firmansyah, 19, terlibat kecelakaan dengan Toyota Fortuner Nopol AG 1784 FB yang disopiri Rudy Sugijono, 43, warga Desa/Kecamatan Pare Kediri di simpang empat Jalan Dr Soetomo-Jalan Diponegoro, Surabaya, Rabu pagi (9/12).
Akibat kecelakaan tersebut, ambulans yang disopiri warga Jalan Bogen II, Ploso, Tambaksari, Surabaya itu ringsek. Sehingga jenazah yang sedang diangkutnya terpaksa dipindah ke ambulans milik Dinas Sosial (Dinsos) Pemkot Surabaya.
Playvolume
00:00/00:50
Masyarakat Perlu Memahami Upaya Penanganan Covid-19 Agar Tidak Tersesat Informasi
Truvid
Beruntung tidak ada korban jiwa dalam insiden laka tersebut. Informasi yang dihimpun Radar Surabaya, kecelakaan bermula saat mobil ambulans melaju dari arah selatan ke utara sekitar pukul 08.00.
RUSAK: Kondisi mobil ambulans yang ringsek usai tabrakan. (ISTIMEWA)
Mobil sudah menyalakan sirine. Setibanya di simpang empat Jalan Dr Soetomo-Jalan Diponegoro dari arah barat ke timur melaju mobil Toyota Fortuner karena lampu traffic light (TL) menyala hijau.
""Karena tidak memberikan prioritas utama, mobil Toyota Fortuner terlibat laka dengan ambulans,"" ungkap Kanit Laka Satlantas Polrestabes Surabaya, AKP M Fakih, Rabu (9/12).
Dijelaskan Fakih, akibat kecelakaan bagian depan mobil ambulans bernopol L 1890 AZ ringsek. Sementara ban belakang kanan dan pelek mobil Toyota Fortuner pecah. 
""Tidak ada korban jiwa. Mobil ambulans dari rumah sakit RKZ hendak membawa jenazah ke rumah duka di Sememi,"" bebernya. 
Setelah kejadian, lanjut Fakih, jenazah dipindah ke mobil ambulans milik Dinas Sosial Pemkot Surabaya. Sementara sopir dari kedua kendaraan yang terlibat laka lantas dimintai keterangan oleh polisi. Untuk barang bukti diamankan di kantor Unit Laka Lantas Polrestabes Surabaya.
""Meski prioritas utama, sopir ambulans juga harus berhati-hati. Karena semua menyangkut keselamatan,"" ingatnya. (rus/jay)"
7,https://radarsurabaya.jawapos.com/read/2020/12/09/229355/pemkot-tingkatkan-pemeliharan-rutin-cctv-saat-musim-hujan,"09 DESEMBER 2020, 14: 52: 47 WIB | EDITOR : WIJAYANTO",Surabaya,Pemkot Tingkatkan Pemeliharan Rutin CCTV saat Musim Hujan,"SURABAYA - Kamera closed circuit television (CCTV) surveillance and traffic counting (STC) di Kota Surabaya yang telah dipasang oleh Dinas Perhubungan (Dishub) Kota Surabaya saat ini ada 789 unit. Oleh karena itu demand pemasangan cctv pun juga tidak sembarang, dan tidak setiap simpang atau ruas ada. 
Kasi Penyediaan Prasarana Lalu Lintas Dishub Kota Surabaya Prasetyo Prambayanto menuturkan, cctv di setiap ruas jalan guna untuk pengambilan keputusan operator saat terjadi situasi darurat di lapangan, misalnya ada pohon tumbang, ada kejadian kecelakaan hingga ambulance bisa segera diatasi. ""Sangat urgent ini, karena cctv kami juga nge-link di Polres dan Command Center 112,"" katanya.
Oleh karena itu, pihaknya juga rutin melakukan perawatan cctv secara intensif mengingat fungsinya sangat penting. Apalagi saat musim hujan ini, fungsi cctv sangat diperlukan untuk memantau kejadian yang terjadi, misalnya pohon tumbang, laka lantas, banjir dan sebagainya.
""Kalau ada yang trouble kami segera perbaiki. Kalau misal tidak terdeteksi pas ada kejadian kita kontak yang ada dilapangan, untuk kemudian menghubungkan ke operatornya,"" jelasnya.
Saat ini, semua simpang jalan sudah terpenuhi di traffic light (TL), namun demand satu simpang tidak selalu ada, misalnya memasang di jalan protokol. Penempatan cctv tersebut berada disetiap persimpangan jalan dan di tempat lainnya seperti ruas jalan hingga taman. ""Tujuannya yang paling utama untuk pemantauan lalu lintas dalam kondisi apapun. ""Jadi real time-nya lalu lintas itu bisa dilihat kapanpun, misal di simpang jalan atau di ruas jalan,"" ungkapnya.
Saat ini ada 601 unit di persimpangan jalan dan 38 di ruas jalan. Dari data Dishub Kota Surabaya, cctv tersebar dengan tempat persebaran masing-masing tempat, yakni 38 unit di ruas jalan, 30 unit di sekolah, 11 unit di tempat ibadah, 6 unit di taman, 43 unit untuk e-tilang, 10 unit cctv untuk mengukur kecepatan kendaran, dan 50 unit cctv untuk kamera fitur face recognition. (rmt/nur)"
8,https://radarsurabaya.jawapos.com/read/2020/12/08/229076/gagal-nyalip-dari-kiri-warga-madiun-tewas-dilindas-trailer,"08 DESEMBER 2020, 07: 30: 02 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Gagal Nyalip dari Kiri, Warga Madiun Tewas Dilindas Trailer","SURABAYA-Awas, jangan menyalip kendaraan dari sebelah kiri! Bila kurang ruang gerak bisa celaka. Itulah yang dialami Sunarji, 44, warga Kelurahan Purworejo, Kecamatan Geger, Madiun.
Korban tewas setelah motor Honda Beat nopol L 5194 AE yang dikendarainya gagal menyalip truk dari kiri. Korban jatuh terlindas ban truk di Jalan Sememi (depan makam), Surabaya, Senin (7/12) sekitar pukul 09.51.
Informasi yang dihimpun Radar Surabaya, kecelakaan maut tersebut bermula saat korban mengendarai motor Honda Beat melaju dari arah barat ke timur di Jalan Sememi.
Setibanya di depan makam Sememi, korban berusaha menyalip dari sisi kiri truk L 8221 UY  yang disopiri Yanwar Lestyanto, 34, warga Jalan Dukuh, Desa Tenggak, Kecamatan Sidoharjo, Sragen. 
Truk tersebut melaju searah dengan korban. Apesnya, saat menyalip dari kiri truk, motor korban diduga kurang ruang gerak tersenggol bodi truk  dan terjatuh ke kanan.
""Korban nyalip dari kiri kepepet (tersenggol), lalu jatuh dan terlindas truk,"" ungkap salah satu warga yang melintas di lokasi, Ramis, Senin (7/12).
Dia menambahkan, korban terlindas ban truk di bagian kepala dan meninggal dunia di lokasi. Selain itu, motor dan helm korban juga turut ringsek.
Melihat insiden maut tersebut, warga sekitar hanya bisa menutupi jenazah korban dengan koran bekas sembari menunggu petugas kepolisian datang.
Kanit Laka Satlantas Polrestabes Surabaya AKP M Fakih mengungkapkan, setelah menerima laporan dari warga petugas meluncur ke lokasi untuk melakukan olah TKP. ""Korban meninggal dunia satu orang pengendara motor. Jenazah dievakuasi ke RS Bhayangkara untuk divisum,"" katanya. 
Sopir truk yang terlibat kecelakaan sudah dipemeriksa oleh anggota Unit Laka. Sedangkan barang bukti diamankan ke Unit Laka Lantas di Dukuh Pakis. ""Dugaannya, pengendara motor nyalip dari kiri kurang ruang gerak jatuh dan terlindas truk,"" ujarnya. (rus/rek)"
9,https://radarsurabaya.jawapos.com/read/2020/12/03/228185/motor-tabrak-pohon-warga-embong-kaliasin-tewas-di-jalan,"03 DESEMBER 2020, 10: 59: 54 WIB | EDITOR : WIJAYANTO",Hukum & Kriminal Surabaya,"Motor Tabrak Pohon, Warga Embong Kaliasin Tewas di Jalan","SURABAYA - Fandy Winata, 33, warga Jalan Keputran Pasar Kecil IV, Embong Kaliasin, Surabaya, meregang nyawa di Jalan Gunungsari, Selasa petang (1/12). Pengendara motor Suzuki Satria nopol L 2352 HN itu tewas setelah motornya menabrak pohon di pinggir jalan.
Informasi yang dihimpun, insiden tragis itu bermula saat korban pulang kerja melaju dari arah barat ke timur dengan kecepatan tinggi. Apesnya, sesampai di TKP, tepatnya sebelum traffic light (TL) Gunungsari, motor korban tiba-tiba oleng ke kiri dan menabrak pohon.
✖
Seketika korban terpental. Beberapa saat kemudian korban meninggal di lokasi. Sementara motornya ringsek. 
Kanit Laka Satlantas Polrestabes Surabaya AKP M Fakih mengungkapkan, setelah olah TKP polisi menduga korban melaju dengan kecepatan tinggi. ""Dugaannya,  korban kurang konsentrasi mengantuk lalu menabrak pohon,"" ujarnya, Rabu (2/12).
Setelah olah TKP, jenazah korban dievakuasi ke kamar mayat Rumah Sakit Bhayangkara. Sementara barang bukti kendaraan diamankan sebagai barang bukti. (rus/rek)"
