,Link,Date Time,Category,Title,Content
0,https://radartulungagung.jawapos.com/read/2020/11/26/226859/siapkan-relawan-jaga-perlintasan-ka,"26 NOVEMBER 2020, 11: 07: 43 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Siapkan Relawan Jaga Perlintasan KA
Minta Daerah Ajukan Palang Pintu ke Pusat","TALUN, Radar Blitar - Perlintasan kereta api (KA) sebidang tanpa palang pintu di Lingkungan Sumberjo, Kelurahan/Kecamatan Talun yang menelan korban jiwa karena kecelakaan beberapa waktu lalu dijaga relawan petugas.
Pemerintah daerah melalui instansi terkait memutuskan menempatkan relawan penjaga perlintasan KA. Rencana awalnya PT KAI  akan menutup total perlintasan KA sebidang tanpa palang pintu JPL 165 tersebut. ""Setelah kami koordinasikan dengan muspika setempat, diputuskan untuk dilakukan penjagaan di perlintasan tersebut,"" jelas Humas Daops 7 Madiun Ixfan Hendriwintoko, kemarin (25/11).
Sesuai kesepakatan bersama, penjagaan dilakukan relawan dari warga setempat. Penjagaan dibagi menjadi tiga sif selama 24 jam. ""Di sini kami juga membantu memberikan jadwal perjalanan KA yang melintas kepada penjaga. Membekali mereka dengan pengetahuan saat kondisi normal maupun darurat,"" terangnya.
Selain itu, para relawan penjaga juga diminta untuk melengkapi diri dengan alat pelindung diri (APD) yang diperlukan. Misalnya rompi, tongkat lampu lalu lintas, dan masker atau pelindung mulut, dan hidung dari debu.
Rencana awal, KAI bakal menutup total perlintasan tersebut. Sebab, menurut KAI, posisi geografis perlintasan lengkung sehingga mengganggu konsentrasi pengendara saat hendak belok ke kanan melewati perlintasan rel. ""Pengendara lebih konsentrasi pada pengendara di depannya sehingga tidak melihat datangnya KA yang dari selatan atau sejajar,"" bebernya.
Adanya penjagaan tersebut diharapkan bisa meningkatkan keselamatan para pengguna jalan yang hendak melewati perlintasan rel KA. Kendaraan yang melewati bisa diatur secara tertib. ""Hari ini tadi (kemarin, Red) tim Polsuska Daop 7 Madiun juga melakukan pengawasan di JPL 165 untuk memastikan sejauh mana proses penjagaan sudah berjalan,"" ujarnya.
KAI juga mendorong daerah setempat bisa segera mengajukan permohonan pembuatan pos dan pengadaan penjaga yang bersertifikat. Yakni untuk diajukan ke Kementrian Perhubungan (Kemenhub) melalui Direkturat Jenderal Perkeretaapian (DJKA). ""Ini seperti apa yang telah dilakukan Dishub Kota Blitar,"" tegasnya. (*)"
1,https://radartulungagung.jawapos.com/read/2020/11/19/225634/upaya-warga-desa-ngadirengo-berhasil-buka-akses-jalan,"19 NOVEMBER 2020, 15: 00: 59 WIB | EDITOR : ALWIK RUSLIANTO",Features,"Tak Ingin Ada Lagi Gejolak
Upaya Warga Desa Ngadirengo Berhasil Buka Akses Jalan
Kembangkan Wisata Buatan","Setahun terakhir, warga Desa Ngadirenggo, Kecamatan Wlingi, tidak bisa leluasa memanfaatkan akses jalan yang ada di desanya. Kedepan akan menghidupkan kembali wisata buatan desa yang sempat mati.
AGUS MUHAIMIN, Wlingi, Radar Blitar  
Jalan kabupaten yang membelah bekas perkebunan Pijiombo, di Desa Ngadirenggo, Kecamatan Wlingi, itu memang bukan jalan lurus. Namun, jalur itu dinilai lebih layak ketimbang jalur alternatif yang setahun terakhir digunakan masyarakat maupun wisatawan yang mengunjungi perkebunan teh Sirah Kencong.
Jalan berkelok itu juga dua kali lebih panjang ketimbang jalan alternatif. Namun, jalan menajak tersebut dirasa membahayakan. Entah berapa kali peristiwa kecelakaan yang ada di jalur alternatif ini. Belum lama ini, seorang warga setempat tersungkur dan mengalami patah tulang saat kendaraannya turun melalui jalur tersebut. ""Remnya ngeslong, karena memang turunannya cukup curam,"" kata Suswanto, seorang tokoh pemuda Desa Ngadirenggo.
Warga maupun wisatawan terpaksa menggunakan jalur alternatif itu setelah adanya perusahaan di area tersebut. Karena alasan keamanan, akses jalan yang berhimpitan dengan perusahaan ini ditutup untuk umum. Maklum, ada banyak penyakit atau virus yang bisa saja mengganggu produksi usaha. Sehingga diterapkan bio security terhadap setiap kendaraan yang masuk area perusahaan.
Komunikasi antara perusahaan dan masyarakat berjalan. Namun, untuk beberapa hal terjadi deadlock. Begitu juga untuk urusan akses jalan. Puncaknya, pada Selasa (17/11) mereka meminta wakil rakyat dan pemerintah daerah untuk memberikan jalan keluar atas persoalan akses ini.
Melalui perdebatan yang alot, perusahaan dengan terpaksa harus menerima kenyataan bahwa jalur tersebut merupakan fasilitas umum. Dengan kata lain, ketika masyarakat menginginkan fungsi dikembalikan tidak ada alasan untuk menolaknya.
Hal ini lantas menjadi salah satu dasar masyarakat mempertahankan niatnya untuk mendapatkan akses jalan. Kemarin (18/11) mereka kembali sowan kepada perusahaan untuk bersedia secara sukarela membuka pagar yang menutup jalan kabupaten ini. ""Alhamdulillah setelah mendengar penjelasan dalam hearing, pihak perusahaan bersedia membuka akses jalan ini,"" kata Kepala Desa Ngadirenggo, Rizky Rendyana.
Tak ada kendala yang berarti dalam proses pembukaan jalur ini. Pihak perusahaan yang sebelumnya sempat keukeuh mempertahan akses ini melunak.
Sebelum dibuka, masyarakat menggelar selamatan atau tasyakuran. Ini sesuai dengan janji warga jika suatu saat upaya pembukaan akses jalan ini berhasil. Dua tumpeng hasil urunan masyarakat dibawa ke simpang tiga tepat di depan akses masuk untuk perusahaan. Puluhan warga termasuk jajaran pemerintahan di tingkat kecamatan juga turut menyaksikan tasyakuran sekaligus pembukaan akses jalan kabupaten ini.
Akses jalan hanya salah satu persoalan yang kini meresahkan masyarakat Desa Ngadirenggo dan sekitar. Berikutnya, persoalan limbah yang harapannya juga bisa terselesaikan.
Warga Ngadirenggo juga melihat potensi pariwisata yang menjanjikan jika aktivitas perusahaan bisa bersinergi dengan lingkungan. Dengan kata lain persoalan limbah yang selama ini menjadi salah satu kendala dalam aktivitas pariwisata. “Kalau masih bau, wisatawan apa mau datang ke tempat wisata,” tuturnya.
Sebenarnya, masyarakat setempat sudah mulai merintis wisata buatan. Seperti Puncak Kejora yang berada tak jauh dari lingkungan perusahaan peternakan ini. Namun karena persoalan bau yang hingga kini belum selesai, wisata buatan tersebut kurang begitu diminati. “Kami akan membangkitkan lagi wisata itu jika sudah kondusif,” pungkasnya. (*)"
2,https://radartulungagung.jawapos.com/read/2020/11/16/224967/tubuh-sopir-terjepit-tewas-seketika,"16 NOVEMBER 2020, 11: 39: 26 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"KA Tabrak Mobil
Tubuh Sopir Terjepit, Tewas Seketika
Bodi Mobil Terseret hingga 350 Meter","TALUN, Radar Blitar – Kecelakaan melibatkan kereta api (KA) dengan kendaraan roda empat kembali terjadi di perlintasan sebidang KA tanpa palang pintu, kemarin (15/11). Mobil Toyota Ayla nomor polisi (nopol) AG 1556 KJ yang dikemudikan Suliyono, warga Desa Tingal, Kecamatan Garum, tertabrak KA Penataran yang melaju kencang. Mobil berwarna abu-abu itu terseret lokomotif KA sejauh sekitar 350 meter.
Bodi mobil pun ringsek tak berbentuk. Si pengemudi pun tewas seketika dengan luka parah pada kepalanya dan tubuhnya terjepit. Akibat kecelakaan itu, perjalanan KA terlambat sekitar 75 menit karena proses evakuasi bodi mobil yang tersangkut di lokomotif.
Polisi masih menyelidiki pasti penyebab pasti kecelakaan. Namun, dugaan sementara karena sopir kurang berhati-hati ketika hendak melewati perlintasan KA sebidang. ""Menurut keterangan saksi, sopir ini langsung nyelonong padahal sirine perlintasan nyala,"" kata Kasatlantas Polres Blitar AKP Rudi Purwanto di lokasi kecelakaan, kemarin (15/11).
Kecelakaan itu diketahui terjadi sekitar pukul 10.30 di perlintasan sebidang KA tanpa palang pintu di lingkungan Sumberjo, Kelurahan/Kecamatan Talun. Mobil yang dikemudikan Suliyono itu tertabrak KA Penataran-Dhoho yang melaju kencang dari barat ke timur. ""Saat itu, mobil dari barat ke timur kemudian belok ke kanan dan melewati perlintasan. Karena kurang hati-hati akhirnya tertabrak kereta,"" jelas perwira berpangkat tiga balok ini.
Seketika mobil pun terseret lokomotif kereta hingga sejauh 350 meter. Bodi mobil ringsek dan tubuh sopir terjepit. ""Usai menerima informasi, anggota kami langsung meluncur ke lokasi dan olah tempat kejadian perkara (TKP). Kereta sempat tertahan karena proses evakuasi. Setelah itu kereta kembali melanjutkan perjalanan,"" ujar Rudi.
Kecelakaan itu sempat menghambat perjalanan kereta api. Penyebabnya, proses evakuasi tubuh korban dan bangkai mobil yang memakan waktu hingga satu jam lebih. Selesai evakuasi kereta langsung melanjutkan perjalanannya.
Manager Humas Daops 7 Madiun Ixfan Hendriwintoko mengatakan, kecelakaan itu tidak sampai mengganggu jadwal perjalanan kereta lainnya. Proses perjalanan kereta lainnya tetap normal. ""Yang terganggu hanya kereta yang bersangkutan (KA Penataran-Dhoho),"" jelasnya.
Sementara itu, Winaryo warga setempat mengatakan, perlintasan sebidang KA tanpa palang pintu di Lingkungan Sumberjo tersebut memang rawan. Kecelakaan serupa juga pernah terjadi di perlintasan tersebut. ""Padahal sudah ada sirinenya. Dan kereta yang mau lewat juga terlihat,"" terangnya. (*)"
3,https://radartulungagung.jawapos.com/read/2020/11/12/224292/musim-hujan-waspada-hidrometeorologi,"12 NOVEMBER 2020, 11: 59: 46 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Musim Hujan, Waspada Hidrometeorologi","KEPANJENKIDUL, Radar Blitar- Potensi bencana alam saat musim penghujan terus mengintai. Masyarakat harus lebih waspada. Sebab, bisa terjadi sewaktu-waktu.
Kepala Bidang (Kabid) Penanggulangan Bencana Daerah (PBD) Bakesbangpol Kota Blitar Supriadi mengatakan, memasuki musim penghujan ini, waspada potensi bencana hidrometeorologi. Di antaranya tanah longsor, puting beliung, hujan es, hingga badai.
Sesuai rilis Badan Meteorologi Klimatologi dan Geofisika (BMKG), puncak musim hujan di wilayah Jawa Timur (Jatim) terjadi antara Januari-Februari 2021. Sejak Oktober-September lalu, sejumlah bencana telah terjadi di sejumlah daerah di Jatim. “Kami mohon masyarakat tetap waspada. Apalagi di masa pandemi agar tetap menjaga protokol kesehatan,” ujar Supriadi.
Terkait hal tersebut, Pemkot Blitar telah membuka layanan gawat darurat. Masyarakat bisa menghubungi nomor 112. ""Jika ada informasi penting, entah kejadian, peristiwa atau bencana alam bisa langsung disampaikan ke call center darurat kami ke nomor 112 itu,"" kata Pjs Wali Kota Blitar Jumadi, kemarin (11/11).
Layanan call center itu, lanjut Jumadi, memudahkan masyarakat menyampaikan sejumlah informasi penting. Misalnya bencana alam atau aksi kriminalitas di suatu wilayah. “Kami jamin pelayanannya cepat. Petugas call center akan merespon cepat dan meneruskannya ke instansi terkait lainnya. Baik itu BPBD, TNI maupun kepolisian,” jelasnya.
Layanan gawat darurat merupakan layanan panggilan tunggal yang terpadu. Tujuannya, membantu masyarakat menyampaikan sejumlah informasi kejadian. Kecelakaan, kebakaran, bencana alam hingga gangguan kejahatan lainnya. Nomor layanan panggilan itu bebas pulsa.
Masyarakat bisa langsung menghubungi nomor tersebut jika terjadi sesuatu hal. Masyarakat bisa memberitahu alamat atau lokasi kejadian. “Tapi, informasi yang disampaikan harus bisa dipertanggungjawabkan. Jangan untuk main-main karena ada sanksi hukumannya,” terang Jumadi.  (*)"
4,https://radartulungagung.jawapos.com/read/2020/11/02/222329/hindari-lubang-tewas-tabrak-pos-kamling,"02 NOVEMBER 2020, 11: 15: 41 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Hindari Lubang, Tewas Tabrak Pos Kamling","KESAMBEN, Radar Blitar- Nahas dialami Rivaldi Mulana, warga Dusun/Desa Bumirejo, Kecamatan Kesamben, kemarin (1/11). Pemuda 17 tahun itu mengalami kecelakaan tunggal di Jalan Kawi, Desa Mirigede, Kecamatan Kesamben. Yakni menabrak pos kamling. Korban luka parah di kepala hingga akhirnya tewas seketika.
Belum diketahui penyebab pasti laka tersebut. Dugaan sementara, Rivaldi yang mengendarai motor, berusaha menghindari lubang di jalan. ""Polisi langsung mendatangi TKP (tempat kejadian perkara). Untuk penyebab pasti kecelakaan masih diselidiki,"" jelas Kasubbag Humas Polres Blitar AKP Imam Subechi.
Imam mengatakan, kecelakaan terjadi sekitar pukul 10.00. Polisi yang tiba di lokasi mendapati pengendara sudah tergeletak tidak sadarkan diri. Kepalanya mengeluarkan banyak darah. Setelah dicek, sudah tidak bernyawa.
Berdasarkan keterangan saksi di lokasi kejadian, Rivaldi mengendarai Vario Nopol AG 3496 MQ sendirian. Dia melaju dari selatan ke utara dengan kecepatan tinggi.
Saat melewati tikungan dan tanjakan, diduga ada lubang di jalan. Rivaldi berusaha menghindar hingga akhirnya menabrak pos kampling di pinggir jalan. ""Saat itu yang bersangkutan (korban) melaju dengan kecepatan tinggi. Setelah menabrak, korban langsung ambruk tidak sadarkan diri,"" tandas perwira berpangkat tiga balok itu.
Polisi langsung membawa jenazah Rivaldi ke rumah sakit terdekat. Sedangkan motor, diamankan sebagai barang bukti. (*)"
5,https://radartulungagung.jawapos.com/read/2020/10/22/220529/diduga-tak-bisa-berenang-seorang-siswa-kelas-2-smp-tewas-tenggelam,"22 OKTOBER 2020, 13: 13: 42 WIB | EDITOR : ANDRIAN SUNARYO",Tulungagung,"Diduga Tak Bisa Berenang, Seorang Siswa Kelas 2 SMP Tewas Tenggelam","KOTA, Radar Tulungagung - Sebagai orang tua wajib memperhatikan anaknya.  Apalagi, bermain di kolam renang. Jangan sampai bernasib seperti ASY, 13. Diduga tak bisa berenang, remaja asal Desa Ngujang, Kecamatan Kedungwaru tewas tenggelam di salah satu kolam renang di Kecamatan Tulungagung Kota, Kamis (22/10) pagi. Informasi yang berhasil dihimpun wartawan radartulungagung.jawapos.com  ini peristiwa itu terjadi pukul 06.00.  Ia ditemukan tak bernyawa langsung oleh orang tuanya, Ahmad Rowi, 63. Ia diduga tak bisa berenang, sehingga tenggelam saat berenang di kolam renang yang memiliki kedalaman 2 meter. ""Saat ditemukan kondisi tak bernyawa,"" kata Kapolsek Tulungagung Kota, Kompol Rudi Purwanto. Dia menjelaskan, peristiwa tersebut berawal dari remaja tersebut berniat ingin belajar renang bersama ayahnya, Ahmad Rowi, 63. Sesampai di lokasi, siswa SMP kelas 2 ini awalnya bermain di kolam dangkal.  Dianggap aman, Ahmad Rowi berpamitan ke kamar mandi. ""Menurut kesaksian ayahnya, anak ini bermain di kolam dangkal,"" ucapnya Setelah keluar Ahmad Rowi tak mendapati anaknya lagi di kolam dangkal. Lantas mencari ke sudut-sudut lokasi kolam termasuk di kolam renang yang memiliki kedalaman 2 meter. Namun ketika diteliti, Ahmad Rowi terkejut melihat anaknya berada di kolam 2 meter. Lantas bergegas menolongnya. Namun sial, nyawa ASY tak dapat ditolong. ""Dari hasil olah TKP, kuat dugaan karena tak bisa berenang korban ini tenggelam. Dimungkinkan juga, remaja itu tidak tahu kedalamannya sehingga nekat berenang di situ,"" terangnya. Lantas, jasadnya dibawa ke RSUD dr. Iskak Tulungagung guna dilakukan visum. Kendati demikian, pihak keluarga meminta tidak otopsi. Karena menganggap peristiwa yang menimpa anaknya musibah. Rencananya hari ini langsung dimakamkan. ""Orang tua sudah membuat pernyataan tadi. Tidak dilakukan otopsi dan menganggapnya musibah,"" tandasnya. (*) (rt/lai/dre/JPR)"
6,https://radartulungagung.jawapos.com/read/2020/10/19/219894/24-perlintasan-ka-tanpa-palang-pintu,"19 OKTOBER 2020, 11: 41: 08 WIB | EDITOR : ALWIK RUSLIANTO",Tulungagung,"24 Perlintasan KA Tanpa Palang Pintu
Risiko Kecelakaan Masih Tinggi","KEDUNGWARU, Radar Tulungagung – Di Tulungagung ternyata masih banyak jalur kereta api tanpa palang pintu. Dari total 39 perlintasan sebidang di wilayah Tulungagung, hanya 15 perlintasan kereta api yang dilengkapi oleh palang pintu. Tentu dengan masih banyak perlintasan kerata api tanpa palang pintu, membuat risiko terjadinya kecelakaan cendurung masih tinggi. Dan hingga saat pihak Pemkab Tulungagung belum pernah mengajukan rekom untuk membuat palang pintu di perlintasan tanpa palang pintu.
Manager Humas PT KAI Daop 7 Madiun, Ixfan Hendriwintoko mengatakan, di Tulungagung tercatat masih ada 15 perlintasan kereta api yang telah dilengkapi dengan palang pintu. Padahal, di Tulungagung setidaknya ada 39 perlintasan sebidang kereta api. Artinya lebih dari setengah perlintasan sebidang kereta api belum dilengkapi palang pintu. “Berdasarkan data kami, di Tulungagung terdapat 15 palang pintu dari 39 perlintasan sebidang kereta api,” tuturnya saat dihubungi melalui telepon.
Ixfan –sapaan akrabnya menjelaskan, dari 24 perlintasan yang tidak memiliki palang pintu, 18 di antaranya tidak ada penjagaan namun terdapat rambu lalu lintas dan early warning system (EWS). Kemudian empat underpass dan dua perlintasan yang terdapat palang pintu tapi tidak memiliki EWS. Dengan demikian risiko terjadinya kecelakaan masih cenderung tinggi. “Jadi masih banyak perlintasan sebidang yang tidak memiliki palang pintu dan masih beresiko terjadinya kecelakaan. Lha wong perlintasan sebidang yang memiliki palang pintu juga masih sering terjadi kecelakaan,” jelasnya.
Pria ramah itu juga mengungkapkan bahwa pihaknya telah bersurat kepada pemkab melalui dinas terkait untuk mengajukan rekomendasi pembuatan palang pintu perlintasan kereta api. Karena untuk perlintasan yang di luar KAI menjadi kewajiban pemkab untuk melengkapinya. Selain itu dalam satu tahun minimal dilakukan evaluasi, dan berdasarkan peraturan menteri nomor 94 tahun 2018, jika terdapat perlintasan sebidang kurang dari 800 meter, maka harus dijadikan satu. Dengan mengambil jalan yang besar serta sering dilalui oleh masyarakat. “Kami sudah mengirim surat kepada dinas terkait di kabupaten untuk mengajukan rekomendasi pengadaan palang pintu perlintasan. Dan dalam satu tahun minimal dilakukan evaluasi, jika terdapat perlintasan sebidang kurang dari 800 meter lebih baik untuk ditutup,” terangnya.
Sementara itu, Kabid Lalu Lintas Dinas Perhubungan (Dishub) Kabupaten Tulungagung, Sujarmani menjelaskan, untuk perlintasan yang tidak memiliki palang pintu, pemkab tidak boleh malakukan pengadaan tanpa ada rekomendasi. Untuk Tulungagung memang masih belum ada rencana untuk pengadaan palang pintu. “Masih belum ada rencana, karena biaya mahal dan untuk pengamanannya perlu biaya juga. Selain itu belum ada aturan yang jelas mengenai hal itu, karena ketika terjadi kecelakaan siapa yang akan bertanggung jawab. Kan belum ada aturanya,” paparnya.
Jarmani, –sapaan akrabnya mengaku memang pihaknya sudah mendapatkan surat dari provinsi untuk mengajukan rekomendasi dalam pengadaan palang pintu kereta api. Tapi baginya masih banyak pertimbangan yang lain. Selain itu untuk menutup perlintasan kereta api tanpa palang pintu juga masih banyak kendala, salah satunya penolakan dari warga. “Meski ada arahan untuk melakukan penutupan perlintasan tanpa palang pintu, tapi itu menjadi kendala jika terdapat penolakan dari warga,” pungkasnya. (*)"
7,https://radartulungagung.jawapos.com/read/2020/10/12/218737/terobos-perlintas-pikap-diseruduk-ka-barang,"12 OKTOBER 2020, 22: 04: 04 WIB | EDITOR : ANDRIAN SUNARYO",Tulungagung,"Terobos Perlintas, Pikap Diseruduk KA Barang
Sopir-Penumpang Selamat","NGUNUT, Radar Tulungagung- Kecelakaan lalu lintas di perlintasan kereta api tanpa palang pintu terjadi di Desa Pulosari, Kecamatan Ngunut, Senin malam (12/10). Laka tersebut menimpa Komarudin dan Nurkolik,  keduanya  warga Desa Sukodono, Kecamatan Karangrejo. Akibat peristiwa itu, mobil jenis pikap yang dikendarai pria 37  tahun itu ringsek seusai tertabrak kereta Parce atau barang dari arah timur ke barat. Untung kecelakaan tersebut tidak ada korban jiwa. Komarudin dan Nurkolik bisa menyelamat diri. Kasatlantas Polres Tulungagung AKP Aristianto Budi S, melalui Kanit Laka Lantas, Iptu Diyon Fitrianto menjelaskan kecelakaan tersebut terjadi pukul 19.00. itu bermula ketika KA Parce atau kereta barang berwarna hijau berjalan dari arah timur ke barat.  Namun sesampai di TKP, diduga pengemudi pikap  Nopol AG 8590 RJ, Komarudin berusaha menerobos relawan penunggu perlintas  rel kereta api. Tapi begitu sampai di tengah mesin mati. Karena kereta api semakin dekat, maka tabrakan pun tak terelakan. ""Sudah dihentikan oleh relawan jaga. Namun masih jalan. Sesampainya di tengah perlintas  mesin mati dan langsung tertabrak,"" katanya. Tapi, tambah Diyon, sebelum  pikap tersebut ditabrak kereta api barang, Komarudin dan Nurkolik berhasil keluar dari mobilnya.  Jadi mereka selamat. Meski tak ada korban jiwa, tapi mobil grandmax jenis pick up mengalami ringsek. Bahkan tidak dapat dijalankan. ""Tak ada korban jiwa. Kasus ini masih kami selidiki lebih lanjut,"" tandasnya. (*) (rt/lai/dre/JPR)"
8,https://radartulungagung.jawapos.com/read/2020/10/08/217912/pusing-hantam-pagar-makam-meninggal,"08 OKTOBER 2020, 00: 03: 50 WIB | EDITOR : ANGGI SEPTIAN ANDIKA PUTRA",Hukum & Kriminal,"Pusing, Hantam Pagar Makam, Meninggal","KEDUNGWARU, Radar Tulungagung – Kecelakaan di jalan raya kembali terjadi. Kali ini menimpa Isuzu Panther Nopol AG 418 RN yang dikendarai Fadoli, warga Desa Pulosari, Kecamatan Ngunut yang mengalami kecelakaan tunggal di jalan Desa Winong, Kecamatan Kedungwaru. Akibat kecelakaan yang terjadi sekitar pukul 12.00 tersebut, Fadoli meninggal di tempat kejadian. Sedangkan satu penumpang bernama Sinarwati hanya mengalami luka ringan di dahi.
Sinarwati mengatakan, sebelum kejadian, Fadoli sebenarnya mengajak jalan-jalan ke Agrowisata Belimbing, Desa Moyoketen, Kecamatan Boyolangu. Setelah itu baru menuju Ngemplak. “Ini tadi baru dari Moyoketen,” katanya.
Begitu sampai Desa Winong, tiba-tiba korban merasa pusing. Sebenarnya saat itu, korban berusaha meminggirkan kendaraan, namun karena kejang-kejang, langsung banting setir ke kanan dan menabrak pagar makam. Fadoli pun diketahui meninggal dan Sinarwati hanya mengalami lecet. “Dia awalnya pusing dan bermaksud meminggirkan kendaraan. Tak tahunya, setelah itu kejang-kejang dan langsung banting setir ke kanan. Begitu menabrak pagar makam, kepala saya membentur bagian depan mobil,” tambahnya. 
Tidak berselang lama, polisi pun datang ke tempat kejadian setelah mendapat laporan dari masyarakat. Jenazah Fadoli pun langsung dibawa ke RSUD dr. Iskak untuk menjalani visum. Sedangkan polisi masih menyelidiki penyebab kecelakaan yang hanya membuat mobil mengalami kerusakan ringan. “Dari penuturan saksi, korban awalnya mengalami pusing hingga tidak bisa mengendalikan laju kendaraan. Untuk yang lainnya masih kami selidiki,” kata Kanit Laka Laka, Iptu Diyon Fitriyanto."
9,https://radartulungagung.jawapos.com/read/2020/10/04/217277/khofifah-serahkan-bsu-dan-manfaat-program-bpjamsostek-pekerja-blitar,"04 OKTOBER 2020, 21: 07: 38 WIB | EDITOR : DIDIN CAHYA FS",Blitar,Khofifah Serahkan BSU dan Manfaat Program BPJAMSOSTEK Pekerja Blitar,"SANANWETAN, Radar Blitar- Gubernur Jawa Timur (Jatim), Khofifah Indar Parawansa, menyerahkan secara simbolis Bantuan Subsidi Upah (BSU), dan klaim peserta penerima manfaat program BPJS Ketenagakerjaan, kemarin (10/4). 
Kegiatan itu dilaksanakan di Balai Kota Koesoema Wicitra, Kota Blitar. Dalam penyerahan bantuan tersebut, Khofifah didampingi Deputi Direktur Wilayah BPJS Ketenagakerjaan Jawa Timur Dodo Suharto, Kepala BPJS Ketenagakerjaan Kantor Cabang Blitar Agus Dwi Fitriyanto, dan  Penjabat Sementara (Pjs) Wali Kota Blitar Djumadi. 
Penerima BSU terdiri atas berbagai profesi. Penerima perwakilan simbolis dari Kota Blitar, yakni berasal dari petugas cleaning service PT Bina Jasa Abadi Karya, tenaga medis PMI Cabang Kota Blitar, perawat di RSI Aminah Blitar, supervisor F&B Patria Garden Hotel, dan guru di RA Perwanida. 
BERMANFAAT: Penerima BSU foto bersama usai penyerahan secara simbolis. (Whendy Gigih Perkasa/ Radar Blitar)
Sedangkan untuk penerima manfaat program BPJAMSOSTEK, sapaan BPJS Ketenagakerjaan, berupa jaminan hari tua (JHT) dan jaminan kematian (JKM), diberikan kepada ahli waris. Di antaranya pegawai BKD Pemda Kota Blitar, karyawan Kelurahan Sukorejo Kecamatan Sukorejo, serta karyawan RA Perwanida. 
Salah satunya Rumini. Dia merupakan ahli waris dari Manap, suaminya yang bekerja di BKD Pemda Kota Blitar. Manap meninggal karena sakit paru. Rumini menerima santunan JKM sebesar Rp 42 juta, dan JHT sebesar Rp 16.346.050. Total manfaat yang diterima sebesar Rp 58.346.050.   
Usai penyerahan di Balai Kota Koesoema Wicitra Kota Blitar, Gubernur Jatim Khofifah Indar Parawansa beserta rombongan bergeser menuju Pendapa Ronggo Hadi Negoro Kabupaten Blitar. Disana, gubernur juga menyerahkan secara simbolis BSU dan klaim peserta penerima manfaat program BPJSAMSOSTEK, didampingi Pjs Bupati Blitar Budi Santosa. 
Untuk penerima perwakilan BSU, berasal dari berbagai profesi. Di antaranya perawat RSUD Ngudi Waluyo Wlingi, honorer Dinas Tenaga Kerja Kabupaten Blitar, pendamping Program Keluarga Harapan (PKH) Kabupaten Blitar Kecamatan Kanigoro, karyawan Daff Kopi Shop Café and Resto, serta wiraswasta Keripik Tempe Shinta. 
Penerima manfaat program BPJAMSOSTEK diberikan kepada ahli waris. Berupa jaminan kematian (JKM), jaminan kecelakaan kerja (JKK), jaminan hari tua (JHT), serta JP (berkala). Di antaranya karyawan PP Nurul Ulum 2, KSP Arta Jaya, dan RSU Aminah.
Salah satunya Nadzirotul Fikriyah, ahli waris dari Imam Suhro Wardi yang tak lain ayah kandungnya. Dia menerima JKM sebesar Rp 42 juta. Ayahnya meninggal karena diabetes.  Ada juga Sevi Tri Wahyuning. Dia ahli waris dari Agus Triono yang tak lain suaminya. Karena itulah menerima manfaat JHT sebesar Rp 5.567.720 dan JKK sebesar Rp 115.825.888. Total yang diterima Rp 121.393.608. Agus Triono meninggal karena kecelakaan kerja saat berangkat bekerja. 
Kepala BPJS Ketenagakerjaan Kantor Cabang Blitar Agus Dwi Fitriyanto mengatakan, dalam kunjungannya di Blitar, Gubernur Jatim Khofifah Indar Parawansa juga ingin menyerahkan secara langsung BSU. Termasuk juga penerima manfaat program BPJS Ketenagakerjaan. “Gubernur (Khofifah Indar Parawansa, Red) ingin menyerahkan secara langsung,” ujarnya. 
Terkait perkembangan BSU di wilayah Blitar, Agus mengatakan kini sudah sampai batch 5. Namun, pihaknya belum mendapatkan data resmi daru pusat. “Semoga minggu depan ini sudah ada update lagi,” jelasnya. 
Seperti diketahui ada beberapa syarat untuk mendapatkan bantuan subsidi upah/gaji. Di antaranya warga negara Indonesia, terdaftar sebagai peserta BPJS Ketenagakerjaan aktif, gaji dibawah Rp 5 juta, dan menjadi peserta BPJS Ketenagakerjaan aktif sampai dengan 30 Juni 2020. 
Bagi yang memenuhi kriteria itu, lantas melengkapi nomor rekening. Selanjutnya BPJS Ketenagakerjaan bakal mengirimkan ke pemerintah pusat untuk proses verifikasi. BSU sendiri berlaku selama empat bulan. Setiap bulan sebesar Rp 600 ribu. Sistem pencairannya langsung dua bulan, yakni sebesar Rp 1,2 juta. (*)"
