,Link,Date Time,Category,Title,Content
0,https://radartulungagung.jawapos.com/read/2020/11/24/226467/kamirin-spesialis-ukir-kayu-yang-karyanya-disukai-banyak-orang,"24 NOVEMBER 2020, 15: 00: 59 WIB | EDITOR : ALWIK RUSLIANTO",Features,"Pernah Garap Istana Nurul Iman
Kamirin, Spesialis Ukir Kayu yang Karyanya Disukai Banyak Orang
Lebih Suka Motif Garis-garis","Berawal dari keterampilan ukir kayu waktu duduk di bangku SMP, Kamirin kepincut ingin menekuninya. Itu karena, ia suka dengan hal yang bernilai seni tinggi. Bahkan karyanya, pernah diapresiasi Istana Nurul Iman, Brunei Darussalam.
SITI NURUL LAILIL MA'RIFAH, Kota, Radar Tulungagung
Cuaca siang kemarin (23/11) sangat cerah. Membuat siapapun bersemangat untuk beraktivitas. Tidak terkecuali Kamirin.
Ditemui di galerinya, pria yang berdomisili Kelurahan Tertek, Kecamatan Tulungagung ini tengah membersihkan debu yang menempel di beberapa karya ukir kayunya. Karena, akan dikirim ke pemiliknya.
Sembari menunjukkan beberapa buah karyanya, Kamirin bercerita usaha ukir kayu ini berawal dari materi keterampilan ukir kayu saat masih duduk di bangku SMP. Saat itu, ia yang tertarik dengan hal berbau unik dan bernilai seni mencoba mempelajari. Hingga kemudian, ia disupport oleh gurunya yang menilai Kamirin memiliki bakat di bidang seni pahat/ukir tersebut. ""Awalnya sulit belajar. Tapi karena suka, jadi terasa tidak berat melalui kesulitan itu. Dan malah lebih semangat belajar,"" jelas pria kelahiran Pucanglaban ini
Kemudian, untuk mengembangkan bakat yang dimiliki, iapun memutuskan melanjutkan ke sekolah menengah industri kerajinan (SMIK). Di situ, ia mengambil jurusan ukir kayu. Sehingga, ia mendapat banyak ilmu tentang ukir kayu. ""Pendidikan itu sangat penting. Saya sendiri setelah menempuh pendidikan ukir kayu ini lebih tahu tentang apa itu ukir kayu. Bahkan teknik dan motif ukir ini ternyata ada ilmu dan namanya tersendiri,"" jelasnya.
Setelah lulus SMIK, iapun berencana membuat usaha ukir kayu sendiri dari pengembangan ilmu yang ia dapat. Kemudian pada 2000 silam, dia diajak seseorang yang mengetahui bakatnya mengukir untuk menjadi pekerja migran Indonesia (PMI) di Brunei Darussalam. Kebetulan, agen tersebut mengarahkan ke salah satu perusahaan mebel yang menjadi pemenang tender pengerjaan di Istana Nurul Iman. ""Di situ, saya ditugaskan untuk mengukir semua yang dimenangkan perusahaan saya,"" katanya.
Mengetahui hasil ukirannya yang rapi, pihak istana pun mengapresiasinya. Bahkan, jadi langganan untuk mengukir semua kebutuhan istana kala itu. Hingga akhirnya, setelah dua tahun bekerja, ia memutuskan untuk mengembangkan usaha ukir kayu melalui modal yang telah dikumpulkannya dengan kembali ke Tulungagung. ""Responnya sangat baik. Mereka mungkin suka pekerjaan saya. Motif air molek kesukaannya. Tapi saya kembangkan. Semisal bunga, kelopaknya saya beri ganjil. Karena saya hubungkan dengan Islam,"" terangnya.
Kemudian medio 2006-2007, suami Luki Andjarweni kemudian kembali diundang ke Brunei Darussalam. Hanya untuk mengukir di istana. Karena menurut Kamirin, istana jika punya gawe, seperti pernikahan akan mengganti semua ornamennya dengan yang baru baik itu dari sisi kursi, gapura atau lainnya. ""Kebetulan kalau 2006-2007 itu saya tidak sendiri. Saya mengajak binaan saya untuk membantu saya di sana selama sebulan,"" jelasnya.
Diakuinya ada ciri khas pada hasil ukirannya. Salah satunya terkait kerapian. Namun, dari banyaknya motif, ukiran motif garis-garis yang paling ia sukai. Itu ia ibaratkan hidupnya harus berjalan lurus. Bahkan motif ini ia tunjukkan pada pintu, serta kursi rumahnya. ""Kalau ada tawaran ke Brunei lagi, mungkin saya pikir-pikir dulu. Kebetulan saya punya sertifikat mengajar yang dapat dimanfaatkan untuk berbagi ilmu di sini atau istilahnya menjadi trainer. Menurut saya ini lebih bermanfaat dan berkah,"" kata bapak dua anak ini.
Sembari, mengembangkan usaha mebel ukir sendiri. Kini, ia tengah menggarap sejumlah pesanan seperti mimbar, gebyog, dan lainnya. ""Ada pula hiasan, tulisan NU ini dan juga ukiran wajah dan lain-lain,"" tandasnya. (*)"
1,https://radartulungagung.jawapos.com/read/2020/11/16/224979/dermaga-kayu-kurang-terawat,"16 NOVEMBER 2020, 12: 05: 21 WIB | EDITOR : ALWIK RUSLIANTO",Trenggalek,"Dermaga Kayu Kurang Terawat
Spot Foto Favorit di Pantai Mutiara","WATULIMO, Radar Trenggalek – Dermaga kayu yang menjadi spot foto favorit pengunjung Pantai Mutiara, Desa Tasikmadu, Kecamatan Watulimo, tidak terawat. Dikhawatirkan, fasilitas untuk umum (fasum, Red) tersebut akan berbahaya jika digunakan untuk pengunjung.
Fasilitas itu berada di area Pantai Mutiara sebelah selatan. Fasilitas yang kerap digunakan pengunjung untuk mengabadikan momen (foto-foto, Red) ini kurang terawat, sehingga mengalami kerusakan di beberapa kayu penyangganya. ""Spot foto di bagian barat itu alasnya semplah, jadi tidak berani menginjaknya,"" ungkap Deliana Sari, salah satu pengunjung.
Spot foto itu dinilai berbahaya bagi pengunjung karena letaknya sekitar 2,5 meter dari atas tanah. Sehingga rawan membuat pengunjung terjatuh. Selain itu, untuk menuju spot tersebut, pengunjung harus menaiki beberapa anak tangga. ""Niatnya ke tempat wisata untuk menikmati suasana, kalau jatuh dan luka nanti akan beda cerita,"" ujarnya.
Deliana berharap, agar spot untuk foto itu bisa segera diperbaiki, sebelum menyebabkan pengunjung terjatuh. Menurut dia, selain untuk menambah rasa aman, juga dapat menambah kenyamanan bagi pengunjung. ""Ketika spot foto itu rusak kan jadi nggak enak dilihat,"" tuturnya.
Sementara itu, petugas pos pemantau Pantai Mutiara, Siswoyo mengatakan, belum ada pengunjung yang mengadu ada kerusakan spot foto. Selama ini sebatas pengunjung yang bingung mencari tempat. Namun informasi tersebut akan dihimpun untuk dikoordinasikan dengan pengelola. ""Belum ada informasi yang masuk, akan kami lanjutkan,"" ungkapnya. (*)"
2,https://radartulungagung.jawapos.com/read/2020/11/16/224967/tubuh-sopir-terjepit-tewas-seketika,"16 NOVEMBER 2020, 11: 39: 26 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"KA Tabrak Mobil
Tubuh Sopir Terjepit, Tewas Seketika
Bodi Mobil Terseret hingga 350 Meter","TALUN, Radar Blitar – Kecelakaan melibatkan kereta api (KA) dengan kendaraan roda empat kembali terjadi di perlintasan sebidang KA tanpa palang pintu, kemarin (15/11). Mobil Toyota Ayla nomor polisi (nopol) AG 1556 KJ yang dikemudikan Suliyono, warga Desa Tingal, Kecamatan Garum, tertabrak KA Penataran yang melaju kencang. Mobil berwarna abu-abu itu terseret lokomotif KA sejauh sekitar 350 meter.
Bodi mobil pun ringsek tak berbentuk. Si pengemudi pun tewas seketika dengan luka parah pada kepalanya dan tubuhnya terjepit. Akibat kecelakaan itu, perjalanan KA terlambat sekitar 75 menit karena proses evakuasi bodi mobil yang tersangkut di lokomotif.
Polisi masih menyelidiki pasti penyebab pasti kecelakaan. Namun, dugaan sementara karena sopir kurang berhati-hati ketika hendak melewati perlintasan KA sebidang. ""Menurut keterangan saksi, sopir ini langsung nyelonong padahal sirine perlintasan nyala,"" kata Kasatlantas Polres Blitar AKP Rudi Purwanto di lokasi kecelakaan, kemarin (15/11).
Kecelakaan itu diketahui terjadi sekitar pukul 10.30 di perlintasan sebidang KA tanpa palang pintu di lingkungan Sumberjo, Kelurahan/Kecamatan Talun. Mobil yang dikemudikan Suliyono itu tertabrak KA Penataran-Dhoho yang melaju kencang dari barat ke timur. ""Saat itu, mobil dari barat ke timur kemudian belok ke kanan dan melewati perlintasan. Karena kurang hati-hati akhirnya tertabrak kereta,"" jelas perwira berpangkat tiga balok ini.
Seketika mobil pun terseret lokomotif kereta hingga sejauh 350 meter. Bodi mobil ringsek dan tubuh sopir terjepit. ""Usai menerima informasi, anggota kami langsung meluncur ke lokasi dan olah tempat kejadian perkara (TKP). Kereta sempat tertahan karena proses evakuasi. Setelah itu kereta kembali melanjutkan perjalanan,"" ujar Rudi.
Kecelakaan itu sempat menghambat perjalanan kereta api. Penyebabnya, proses evakuasi tubuh korban dan bangkai mobil yang memakan waktu hingga satu jam lebih. Selesai evakuasi kereta langsung melanjutkan perjalanannya.
Manager Humas Daops 7 Madiun Ixfan Hendriwintoko mengatakan, kecelakaan itu tidak sampai mengganggu jadwal perjalanan kereta lainnya. Proses perjalanan kereta lainnya tetap normal. ""Yang terganggu hanya kereta yang bersangkutan (KA Penataran-Dhoho),"" jelasnya.
Sementara itu, Winaryo warga setempat mengatakan, perlintasan sebidang KA tanpa palang pintu di Lingkungan Sumberjo tersebut memang rawan. Kecelakaan serupa juga pernah terjadi di perlintasan tersebut. ""Padahal sudah ada sirinenya. Dan kereta yang mau lewat juga terlihat,"" terangnya. (*)"
3,https://radartulungagung.jawapos.com/read/2020/11/02/222329/hindari-lubang-tewas-tabrak-pos-kamling,"02 NOVEMBER 2020, 11: 15: 41 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Hindari Lubang, Tewas Tabrak Pos Kamling","KESAMBEN, Radar Blitar- Nahas dialami Rivaldi Mulana, warga Dusun/Desa Bumirejo, Kecamatan Kesamben, kemarin (1/11). Pemuda 17 tahun itu mengalami kecelakaan tunggal di Jalan Kawi, Desa Mirigede, Kecamatan Kesamben. Yakni menabrak pos kamling. Korban luka parah di kepala hingga akhirnya tewas seketika.
Belum diketahui penyebab pasti laka tersebut. Dugaan sementara, Rivaldi yang mengendarai motor, berusaha menghindari lubang di jalan. ""Polisi langsung mendatangi TKP (tempat kejadian perkara). Untuk penyebab pasti kecelakaan masih diselidiki,"" jelas Kasubbag Humas Polres Blitar AKP Imam Subechi.
Imam mengatakan, kecelakaan terjadi sekitar pukul 10.00. Polisi yang tiba di lokasi mendapati pengendara sudah tergeletak tidak sadarkan diri. Kepalanya mengeluarkan banyak darah. Setelah dicek, sudah tidak bernyawa.
Berdasarkan keterangan saksi di lokasi kejadian, Rivaldi mengendarai Vario Nopol AG 3496 MQ sendirian. Dia melaju dari selatan ke utara dengan kecepatan tinggi.
Saat melewati tikungan dan tanjakan, diduga ada lubang di jalan. Rivaldi berusaha menghindar hingga akhirnya menabrak pos kampling di pinggir jalan. ""Saat itu yang bersangkutan (korban) melaju dengan kecepatan tinggi. Setelah menabrak, korban langsung ambruk tidak sadarkan diri,"" tandas perwira berpangkat tiga balok itu.
Polisi langsung membawa jenazah Rivaldi ke rumah sakit terdekat. Sedangkan motor, diamankan sebagai barang bukti. (*)"
4,https://radartulungagung.jawapos.com/read/2020/11/02/222330/libur-panjang-jumlah-penumpang-naik-50-persen,"02 NOVEMBER 2020, 11: 17: 11 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Libur Panjang, Jumlah Penumpang Naik 50 Persen
Meskipun Kondisi Pandemi Covid-19","TALUN, Radar Blitar - Libur panjang dan akhir pekan telah usai. Terjadi peningkatan volume penumpang kereta api (KA) pada momen libur panjang ini.
Data dari Humas Daops 7 Madiun menyebutkan, kenaikan volume penumpang mencapai 50 persen dibanding pada hari normal, meski dalam kondisi pandemi korona. Kenaikan itu terjadi karena adanya momen libur panjang.
Manajer Humas Daops 7 Madiun Ixfan Hendriwintoko menjelaskan, pada 20 hingga 24 Oktober lalu, total penumpang KA mencapai 33.967 orang. Sementara pada masa libur panjang akhir pekan yang dimulai pada 27 Oktober hingga 1 November jumlahnya meningkat. ""Terpantau sampai hari ini (kemarin, Red) tercatat ada 49.881 orang naik kereta. Baik yang berangkat maupun yang datang,"" jelasnya kepada Koran ini, kemarin.
Menurut dia, PT. KAI sebelumnya telah memprediksi bahwa akan terjadi lonjakan penumpang. Makanya, sejumlah antisipasi dilakukan guna mencegah terjadinya penumpukan calon penumpang. ""Beberapa diantaranya dengan memperpanjang waktu pemesanan tiket hingga H-14 keberangkatan, serta menjalankan kembali beberapa KA jarak jauh yang sempat dihentikan sementara karena pandemi korona,"" ungkapnya.
Beberapa KA Jarak jauh yang kembali dioperasikan, yakni KA Brantas relasi Blitar - Pasarsenen, KA Singasari relasi Blitar - Pasarsenen, dan KA Anjasmoro relasi Jombang - Pasarsenen.
Minggu kemarin (1/11) merupakan puncak arus balik libur panjang dan akhir pekan, karena cuti bersama memperingati maulid Nabi Muhammad SAW. Ketersediaan tiket kursi penumpang untuk beberapa KA sudah terpenuhi.
Berdasarkan pantauan Humas Daops 7 Madiun, hingga pukul 09.00 terpantau melalui data Rail Ticketing System (RTS) untuk ketersediaan kursi penumpang mulai 1 November untuk KA 117 (Brantas) kelas ekonomi sudah habis. ""Begitu juga dengan KA 127 (Anjasmoro) kelas ekskutif juga habis,"" bebernya. (*)"
5,https://radartulungagung.jawapos.com/read/2020/10/17/219726/kena-covid-19-seorang-nakes-di-tulungagung-meninggal,"17 OKTOBER 2020, 22: 00: 12 WIB | EDITOR : ANDRIAN SUNARYO",Tulungagung,"Kena Covid-19, Seorang Nakes di Tulungagung Meninggal","KOTA, Radar Tulungagung –Kasus coronavirus disease (covid-19) di Tulungagung belum berakhir. Bahkan setelah hampir satu semester tidak menemukan pasien meninggal, hari ini (17/10) satuan Gugus Tugas Percepatan Penanganan (GTPP) Covid-19 Kabupaten Tulungagung kembali mengkonfirmasi satu pasien meninggal akibat covid-19. Pasien dari Kecamatan Karangrejo ini merupakan tenaga kesehatan (nakes) RSUD dr Iskak Tulungagung. “Dengan demikian total kasus meninggal berubah menjadi empat kasus,”jelas wakil jubir GTPP Covid-19 Kabupaten Tulungagung, Galih Nusantoro. Galih melanjutkan, sebelumnya pasien berinisial TRS ini pertama kali terkonfirmasi covid-19 pada 22 Juli lalu. Namun pada tanggal 25 Juli TRS dinyatakan sembuh sehingga dapat beraktivitas seperti biasa. Selanjutnya, 30 September lalu TRS kembali dinyatakan positif Covid-19 berdasarkan hasil pemeriksaan PCR pada 28 September lalu. Ini karena TRS mengalami gejala batuk, panas, dan sesak. Sehingga petugas melakukan pemeriksaaan lebih lanjut. Namun pada 16 Oktober, TRS dinyatakan meninggal dunia. “Pemulasaran jenazah telah dilakukan sesuai dengan protokol Kesehatan atau prosedur covid-19,”imbuh Galih. Meninggalnya TRS menambah daftar nakes yang meninggal akibat covid-19. “Untuk Tulungagung, kasus nakes meninggal akibat covid-19 baru pertama ini,” bebernya.  Sementara kasus meninggal dunia akibat covid-19 di Tulungagung tersebar di Kecamatan Boyolangu, Sumbergempol, Tulungagung dan Karangrejo. Sampai saat ini jumlah kasus covid-19 di Tulungagung mencapai 443 dengan angka kesembuhan mencapai 404 pasien.  Galih menambahkan, karena itu masyarakat Tulungagung harus tetap mematuhi protokol kesehatan (prokes) dengan melakukan 3M yakni, memakai masker, menjaga jarak dan mencuci tangan. (*)  (rt/nda/dre/JPR)"
6,https://radartulungagung.jawapos.com/read/2020/10/08/217987/swadaya-bantu-warga-tak-mampu-mulai-dilirik-donatur,"08 OKTOBER 2020, 18: 30: 59 WIB | EDITOR : ALWIK RUSLIANTO",Features,"Lebih Dekat dengan Komunitas Kawula Muda Bli
Swadaya Bantu Warga Tak Mampu, Mulai Dilirik Donatur","Dua tahun lalu, komunitas Kawula Muda Blitar (KMB) dibentuk. Semangat awalnya, hanya ingin ikut berbagi dengan warga yang kurang mampu, baik dengan membantu sembako dan lain-lain. Karena banyak donatur, kini juga bantu rehabilitasi  rumah agar lebih layak untuk ditinggali.
 AGUS MUHAIMIN, Sananwetan, Radar Blitar
“Iki enek info maneh, neng daerah Nglegok enek sing ketoke pantes (ini ada infomasi lagi, di daerah Nglegok ada yang kayaknya pantas) dieksekusi,” kata Handoyo kepada Sarjono. “Siji-siji wae lo (satu-satu dulu), dirampungne sing (diselesaikan) di Desa Palulo disek (lebih dulu),” jawab Sarjono. Handoyo yang notabene sekretaris komunintas KMB ini pun manggut-manggut menerima penjelasan rekannya.
Beberapa tahun terakhir, perkumpulan ini memang cukup getol melaksanakan misi sosial di wilayah Blitar Raya. Mereka menyebut dirinya sebagai komunitas Kawula Muda Blitar (KMB). Meskipun anggota di dalamnya rata-rata sudah berusia dewasa semua. “Muda itu tidak hanya soal usia, semangat juga boleh muda,” tutur Sarjono.
Dalam waktu dekat, komunitas ini berencana mengeksekusi atau ikut membantu memperbaiki sebuah rumah di Desa Palulo, Kecamatan Nglegok. Rumah seorang warga kurang mampu yang rawan roboh itu, rencananya akan direnovasi. Segala izin sudah dikantongi. Kini Sarjono dan rekan-rekan, hanya menunggu pelaksanaan yang menyesuaikan jadwal longgar anggota komunitas.
Ini dilakukan semata untuk meminimalkan pengeluaran. Dengan gotong-royong antaranggota, mereka tidak perlu menyewa banyak jasa tukang untuk kegiatan tersebut. “Meski kegiatan fisik, anggota yang cewek juga ikut andil lo. Ngudek luluhan yo iso (mengaduk semen juga bisa),” ujarnya sambil tersenyum.
Tercatat sejak 2018 lalu, sudah ada sekitar 5 rumah kurang layak yang sudah dirombak oleh komunitas ini. Meskipun diawal pendiriannya hanya ingin berbagi kebutuhan sembako dengan warga kurang mampu. Namun, seiring perjalanan waktu, antusias masyarakat dengan  komunitas sosial ini cukup bagus. Sehingga mampu melaksanakan berbagai kegiatan sosial yang menggunakan dana cukup besar.
Dana yang digunakan untuk kegiatan tersebut, selain dari anggota juga dari donatur dan pendukung-pendukung lain, yang memiliki keprihatinan terhadap warga kurang mampu. “Yang banyak nyumbang juga itu dari TKI,” terangnya.
Sarjono dan kawan-kawan paham betul dalam menjaga kepercayaan masyarakat. Untuk itu, setiap kali mendapat bantuan selalu dilaporkan bukti penggunaan dana, yang mereka terima dari para donatur. Sementara itu, transparansi di internal komunitas juga sudah menjadi kewajiban untuk menjaga kekompakan. “Kami foto bentuk barangnya, untuk internal bagian keuangan itu selalu laporan digrup secara terbuka, tidak ada yang ditutup-tutupi,” ungkapnya.
Komunitas ini memiliki rekening untuk kas kegiatan. Kegiatan dimaksud bukan kegiatan jalan-jalan atau kopi darat (kopdar) anggota. Melainkan, bakti sosial dengan bagi sembako ataupun renovasi rumah tak layak. Di sisi lain, kegiatan kopdar itu bertujuan untuk menggalang dana untuk mengisi kas.
Komunitas ini, juga tidak pernah menerapkan arisan atau pertemuan rutin. Kegiatan itu dinilai dapat membebani anggota. Maklum, anggota komunitas ini memiliki latar belakang yang beragam. Mulai dari buruh harian hingga pegawai kantoran. Sehingga jelas tidah mudah untuk mengatur jadwal pertemuan. “Paling kalau ada rencana pertemuan itu insidental dan di-share ke grup, tapi gak tau ya, selama ini selalu saja penuh kalau ada kegiatan pertemuan seperti itu,” tuturnya.
Komunitas ini memiliki kebiasaan yang cukup unik saat melaksanakan kegiatan, baik kopdar maupun kerja sosial. Mereka tidak pernah belanja makanan dari luar alias selalu bawa bekal sendiri dari rumah. Bukan karena ngirit, cara tersebut diyakini lebih efektif untuk mempererat silaturahmi anggota komunitas. “Misalnya saja bawa nasinya, nanti pasti ada yang siap bawa lauk, kerupuk, sambal, atau sayur,” ujar Handoyo. (*)"
7,https://radartulungagung.jawapos.com/read/2020/10/08/217984/temukan-fragmen-relief-dan-dinding-bata,"08 OKTOBER 2020, 11: 19: 34 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,"Temukan Fragmen Relief dan Dinding Bata
Di Hari ke Tiga Ekskavasi Candi Gedog","SANANWETAN, Radar Blitar - Tim dari Balai Pelestarian Cagar Budaya (BPCB) Jawa Timur (Jatim) dan Dinas Pariwisata dan Kebudayaan (Disparbud) Kota Blitar bersama sejumlah warga Kelurahan Gedog kembali menemukan fragmen relief dan struktur dinding, pada hari ke tiga lanjutan kegiatan ekskavasi Candi Gedog kemarin (7/10).
Arkeolog BPCB Jatim selaku ketua tim ekskavasi, Nugroho Harjo Lukito mengatakan, tim berhasil menemukan sejumlah fragmen relief dan struktur batu bata di sisi barat pohon beringin yang ada di situs. Ada indikasi, bahwa temuan struktur itu adalah suatu pilar yang berhubungan dengan temuan dinding, yang sebelumnya lebih dulu diketemukan. ""Kita sudah bisa melihat struktur bangunan. Ada indikasi sebuah pilar,"" ungkapnya.
Namun, pihaknya masih belum bisa memastikan hal tersebut, karena belum menemukan hubungan antara pilar yang baru saja ditemukan, dengan struktur batu bata yang lebih dulu ditemukan. ""Karena kita juga belum bisa melihat, ini mengarah pada bagian candi atau petirtaan,"" jelasnya.
Lalu, terkait fragmen relief yang ditemukan terkubur di lokasi penemuan pilar, Nugroho membeberkan, jika temuan fragmen baru ini menguatkan pernyataan Stamford Raffles dalam bukunya yang menyatakan bahwa pada abad ke-19 terdapat sebuah candi di kawasan Gedog. ""Fragmen ini menguatkan berita Raffles. Pada saat itu abad 19, yang menyatakan di Gedog ini ada candi yang memiliki relief yang sangat indah,"" tegasnya.
Namun, guna memastikan teori tersebut, pihaknya mengaku perlu melakukan kajian lebih lanjut. ""Kalau peninggalan dari masa apa, kita belum tahu karena datanya minim sekali,"" ujarnya.
Dalam kegiatan itu, Pjs Wali Kota Blitar Jumadi tampak hadir di lokasi ekskavasi, untuk memeriksa kondisi terkini situs candi yang berada di Kelurahan Gedog, Kecamatan Sananwetan itu.
Dia menerangkan, memang ada indikasi terdapat situs candi di Kota Blitar. Oleh sebab itu, dengan dilanjutkannya kegiatan ekskavasi Candi Gedog ini, diharapkan nantinya ada titik terang terkait hal tersebut. ""Di Kota Blitar memang ada indikasi adanya sebuah candi, yakni di wilayah Kelurahan Gedog,"" akunya.
Menurut dia, pihak Pemerintah Kota (Pemkot) Blitar akan berkoordinasi lebih lanjut dengan pihak Dewan Perwakilan Rakyat Daerah (DPRD) Kota Blitar mengenai alokasi anggaran yang akan digelontorkan untuk proyek ini. Namun, belum bisa memastikan jumlah nominal anggaran tersebut. ""Itu nanti kita bicarakan dengan anggota DPRD, dengan fraksi-fraksi dan komisi. Bila nanti ada komunikasi untuk masuk dan akuntabel, pasti kita lakukan,"" ungkapnya.
Dia menginginkan, agar nantinya situs Candi Gedog dapat dijadikan destinasi wisata baru di wilayah Kota Blitar. ""Kalau bisa, nanti produknya bisa kita jadikan industri pariwisata,"" ujarnya. (*)"
8,https://radartulungagung.jawapos.com/read/2020/10/08/217912/pusing-hantam-pagar-makam-meninggal,"08 OKTOBER 2020, 00: 03: 50 WIB | EDITOR : ANGGI SEPTIAN ANDIKA PUTRA",Hukum & Kriminal,"Pusing, Hantam Pagar Makam, Meninggal","KEDUNGWARU, Radar Tulungagung – Kecelakaan di jalan raya kembali terjadi. Kali ini menimpa Isuzu Panther Nopol AG 418 RN yang dikendarai Fadoli, warga Desa Pulosari, Kecamatan Ngunut yang mengalami kecelakaan tunggal di jalan Desa Winong, Kecamatan Kedungwaru. Akibat kecelakaan yang terjadi sekitar pukul 12.00 tersebut, Fadoli meninggal di tempat kejadian. Sedangkan satu penumpang bernama Sinarwati hanya mengalami luka ringan di dahi.
Sinarwati mengatakan, sebelum kejadian, Fadoli sebenarnya mengajak jalan-jalan ke Agrowisata Belimbing, Desa Moyoketen, Kecamatan Boyolangu. Setelah itu baru menuju Ngemplak. “Ini tadi baru dari Moyoketen,” katanya.
Begitu sampai Desa Winong, tiba-tiba korban merasa pusing. Sebenarnya saat itu, korban berusaha meminggirkan kendaraan, namun karena kejang-kejang, langsung banting setir ke kanan dan menabrak pagar makam. Fadoli pun diketahui meninggal dan Sinarwati hanya mengalami lecet. “Dia awalnya pusing dan bermaksud meminggirkan kendaraan. Tak tahunya, setelah itu kejang-kejang dan langsung banting setir ke kanan. Begitu menabrak pagar makam, kepala saya membentur bagian depan mobil,” tambahnya. 
Tidak berselang lama, polisi pun datang ke tempat kejadian setelah mendapat laporan dari masyarakat. Jenazah Fadoli pun langsung dibawa ke RSUD dr. Iskak untuk menjalani visum. Sedangkan polisi masih menyelidiki penyebab kecelakaan yang hanya membuat mobil mengalami kerusakan ringan. “Dari penuturan saksi, korban awalnya mengalami pusing hingga tidak bisa mengendalikan laju kendaraan. Untuk yang lainnya masih kami selidiki,” kata Kanit Laka Laka, Iptu Diyon Fitriyanto."
9,https://radartulungagung.jawapos.com/read/2020/07/17/204592/ka-lokal-beroperasi-penuh,"17 JULI 2020, 12: 00: 59 WIB | EDITOR : ALWIK RUSLIANTO",Blitar,KA Lokal Beroperasi Penuh,"KOTA, Radar Tulungagung – Pascamengoperasikan dua kereta api (KA) lokal sejak diterapkannya adaptasi kebiasaan baru (AKB), kini PT Kereta Api Indonesia (KAI) DAOP 7 Madiun kembali mengoperasikan perjalanan KA lokal secara penuh. Tercatat sejak Selasa lalu (14/7), terdapat enam perjalanan yang kembali dioperasikan. Sehingga total sebanyak delapan perjalanan setiap harinya. “Ada delapan rangkaian KA lokal, yakni KA Rapih Dhoho tujuan Surabaya atau sebaliknya. Alhamdulilah antusiasmenya cukup baik, terutama untuk jam pagi,” jelas Manajer Humas PT KAI Daop 7 Madiun Ixfan Hendriwintoko.
Ixfan mengatakan, meskipun telah kembali mengoperasikan beberapa perjalanan KA secara bertahap, kini terdapat beberapa aturan baru yang wajib diikuti oleh calon penumpang. Salah satunya memberlakukan aturan ketat menyangkut protokol kesehatan. Seluruh penumpang yang memanfaatkan jasa KA lokal diwajibkan untuk memakai masker dan baju lengan panjang atau jaket. Jika ditemukan ada pelanggaran, maka calon penumpang tidak diperkenankan melanjutkan perjalanan. “Prosedurnya seperti itu. Kalau memang penumpang tidak bisa mematuhi, maka kami tidak mengizinkan untuk naik kereta, tapi tiket akan dikembalikan 100 persen,” urainya.
Tak hanya itu, physical distancing juga diterapkan di dalam gerbong KA. Dalam satu gerbong yang biasanya bisa terisi penumpang secara penuh, kini hanya dialokasikan 50 persen kursi. Tiket berdiri juga tidak diberlakukan. Selain itu, sebelum boarding, dilakukan pemeriksaan suhu tubuh calon penumpang menggunakan thermal gun. “Seperti kursi yang berhadap-hadapan itu biasanya diisi empat orang, ini hanya dua saja. Calon penumpang juga kami periksa suhu tubuhnya maksimal 37,3 derajat Celcius,” imbuhnya.
PROTOKOL KESEHATAN: Calon penumpang mengantre di ruang boarding Stasiun Tulungagung. (ANANIAS AYUNDA PRIMASTUTI/RATU)
Ixfan menambahkan, pemberlakuan operasional KA secara penuh akan berlaku hingga 31 Juli mendatang. Selanjutnya, PT KAI akan melakukan evaluasi, layak atau tidaknya dilakukan perpanjangan. Jika memenuhi syarat, maka dapat dilanjutkan kembali. Untuk itu, dia pun mengimbau agar calon penumpang patuh dengan peraturan yang berlaku. Termasuk tetap mematuhi protokol kesehatan selama berada di area stasiun maupun selama perjalanan. (*)"
