,Link,Date Time,Title,Content,Category
0,https://jatimnow.com/baca-32404-pemotor-asal-nganjuk-tewas-dalam-kecelakaan-di-bypass-krian-sidoarjo,"Senin :
28 Desember 2020 : 16:46:36","Pemotor asal Nganjuk Tewas dalam Kecelakaan di Bypass Krian, Sidoarjo","jatimnow.com - Arief (34) pemotor asal Desa Jaan, Kecamatan Gondang, Kabupaten Nganjuk tewas di Jalan Raya Bypass Kecamatan Krian, Kabupaten Sidoarjo setelah tertabrak truk Fuso.
Kanit Laka Satlantas Polresta Sidoarjo AKP Sugeng Sulistiyono mengatakan, korban mengendarai motor Honda Vario bernopol AG 6110 XU. Sementara truk Fuso bernopol N 8332 UW disopiri Andik Mintoko (24), asal Desa Krondonan, Kecamatan Gondang, Kabupaten Bojonegoro.
Sugeng menyebut bahwa saat itu motor melaju dari arah barat ke timur. Saat sampai di lokasi, motor mencoba mendahului truk Fuso yang melaju di depannya.
""Korban mendahului Fuso dari sebelah kanan. Namun pada saat mendahului, motor itu diduga menabrak median jalan. Motor terjatuh ke kanan dan pengendaranya terjatuh ke kiri lalu tertabrak truk tersebut,"" ujar Sugeng, Senin (28/12/2020).
Sugeng menambahkan, korban meninggal setelah terlindas roda belakang sebelah kanan truk Fuso.
""Penyebab kecelakaan diduga korban kurang hati-hati pada saat mendahului kendaraan Fuso yang berada di depannya,"" pungkasnya.",PERISTIWA
1,https://jatimnow.com/baca-32400-bocah-3-tahun-di-pacitan-tewas-tertabrak-truk-yang-disopiri-ayahnya,"Senin :
28 Desember 2020 : 15:18:19",Bocah 3 Tahun di Pacitan Tewas Tertabrak Truk yang Disopiri Ayahnya,"jatimnow.com - Seorang bocah berumur 3 tahun di Pacitan tewas tertabrak truk yang disopiri ayahnya sendiri. Balita itu meninggal lantaran mengalami luka pada bagian kepala.
Banit Laka Sat Lantas Polres Pacitan, Brigadir Dian Oktrivian menyebut, kecelakaan itu terjadi Minggu (27/12/2020) sore. Namun peristiwa itu baru dilaporkan ke Unit Laka pada malam harinya.
Katanya, peristiwa itu terjadi di Dusun Tanggung, Desa Sanggrahan, Kecamatan Kebonagung, Kabupaten Pacitan. Truk engkel bernopol AE 8042 UY itu disopiri Suripto (61), ayah korban.
""Truk itu diparkir di depan rumah. Anak pertama si sopir saat itu meminta uang jajan,"" jelasnya, Senin (28/12/2020).
Setelah memberikan uang, Suripto bergegas naik ke kemudi truk untuk mengantarkan kayu sengon. Namun rupanya, anak keduanya yang bernama Rista berada di depan truk dan tertabrak.
""Korban mengalami luka terbuka pada kening, meninggal di TKP,"" terangnya.
Sementara Kepala Desa Sanggrahan, Sutarno mengaku melihat peristiwa itu dan menyebut tidak ada unsur kesengajaan. Karena saat anak pertama meminta uang, korban masih bermain di teras rumah. Ternyata saat truk jalan, korban berada sekitar truk.
""Tahunya pun saat Riko (anak pertama) teriak kalau adiknya terlindas. Setelah diberitahu, korban langsung dibawa ke puskemas tapi nyawanya tidak tertolong,"" pungkas Sutarno.",PERISTIWA
2,https://jatimnow.com/baca-32382-pikap-dikemudikan-emakemak-terbalik-di-sungai-empat-orang-terluka,"Minggu :
27 Desember 2020 : 16:58:16","Pikap Dikemudikan Emak-emak Terbalik di Sungai, Empat Orang Terluka","jatimnow.com - Empat orang terluka dalam kecelakaan mobil pikap Suzuki Carry bernopol N 9563 WE. Mobil itu terperosok ke sungai di Jalan Raya Malang-Surabaya, Desa Purwodadi, Kecamatan Purwodadi, Kabupaten Pasuruan, sekitar pukul 12.15 Wib, Minggu (27/12/2020).
Kanit Laka Satlantas Polres Pasuruan, Iptu Marti mengatakan, keempat korban luka tersebut saat ini sudah mendapatkan perawatan medis di Puskesmas Purwodadi.
""Kecelakaan tersebut ditangani Pos Lantas Purwodadi. Informasi yang saya terima sementara ini ada empat orang terluka dan semuanya kini sudah sehat, tidak ada yang parah,"" jelas Marti.
Terkait identitas dan kronologi kejadiannya, Marti belum berani berkomentar. Sebab anggota di TKP masih memeriksa saksi-saksi serta korban.
""Untuk keterangan lengkapnya tunggu sebentar ya. Petugas masih melakukan penanganan di TKP. Yang jelas pengemudinya perempuan, penumpangnya anak-anak,"" tegasnya.
Menurut keterangan warga sekitar, Kusmantoro, saat kecelakaan terjadi dia mendengar suara mobil yang melakukan pengereman mendadak.
""Suara rem mendadaknya cukup nyaring. Saat saya cek ternyata mobil itu sudah terperosok ke sungai,"" terang Kuswantoro.
Sementara warga menduga jika pengemudi pikap kurang antisispasi saat melewati jalanan yang menyempit karena adanya proyek pengerjaan jembatan.
""Sepertinya kurang antisipasi. Kemudian setelah itu menabrak pagar jalan dan nyemplung ke sungai,"" sambung Dedik Abdullah, yang juga warga sekitar.
Dari informasi yang didapat, pengemudi pikap tersebut bernama Yuliani (46), warga Kecamatan Purworejo, Kota Pasuruan.",PERISTIWA
3,https://jatimnow.com/baca-32369-garagara-rem-pikap-terguling-hingga-ringsek-di-tol-pandaanmalang,"Sabtu :
26 Desember 2020 : 15:16:51","Gara-gara Rem, Pikap Terguling hingga Ringsek di Tol Pandaan-Malang","jatimnow.com - Sebuah pikap Daihatsu Gran Max bernopol L 9246 GN mengalami kecelakaan tunggal hingga terguling di Jalan Tol Pandaan-Malang tepatnya di KM 77.400/ B, Sabtu (26/12/2020).
Kanit 4 PJR Polda Jatim, AKP Imam Mahmudi mengatakan pikap itu dikemudikan Yudi Rahmawan, warga Ngagel Mulyo, Kota Surabaya.
""Kecelakaan tungal tersebut mengakibatkan kendaraan pikap terguling. Beruntung tidak ada korban dalam kecelakan itu,"" katanya.
Dari olah TKP dan keterangan saksi, kecelakaan bermula saat mobil melaju dari arah Malang ke Surabaya di lajur cepat diketahui pengemudi berusaha mengerem kendaraan.
""Saat kendaraan melaju kencang, ada masalah di bagian pengereman. Itu membuat kendaraan oleng dan terguling,"" ungkapnya.
Kendaraan pikap tersebut ringsek di bagian atap kendaraan dan kaca depan pecah.
Polisi mengevakuasi kendaraan pikap dan membawanya ke pool derek gerbang Tol Purwodadi.
""Barang bukti kecelakaan ini kita bawa ke gerbang Tol Purwodadi,"" tandasnya.",PERISTIWA
4,https://jatimnow.com/baca-32368-main-hp-gunakan-headset-pemuda-ini-tewas-tersambar-kereta-api,"Sabtu :
26 Desember 2020 : 14:55:10","Main HP Gunakan Headset, Pemuda ini Tewas Tersambar Kereta Api","jatimnow.com - Seorang pemuda tewas tersambar kereta api di Jalan Ketintang Baru, Gayungan, Surabaya, Sabtu (26/12/2020). Korban disebut tidak mendengar saat kereta melintas lantaran sedang memakai headset.
Informasi yang dihimpun, korban bernama Sugeng Santoso (27), warga Dukuh Blumbung, Kelurahan Pangkal, Kecamatan Sawo, Kabupaten Ponorogo yang sehari-hari indekos di Jalan Ketintang Baru 18, Surabaya.
Kapolsek Gayungan, Kompol Gatot Harianto membenarkan peristiwa tersebut. Ia mengatakan jika saat ini pihaknya masih melakukan penyelidikan.
""Iya, kejadian tadi pagi sekitar pukul 05.15 Wib di perlintasan kereta api Jalan Ketintang Baru 18. Jenazah korban tadi sudah dievakuasi ke RSU dr Soetomo,"" kata Gatot saat dihubungi jatimnow.com.
Gatot menjelaskan, korban tertabrak kereta api saat duduk-duduk di atas rel. Dari keterangan sejumlah saksi, Gatot menyebut bahwa korban saat itu sedang menikmati kopi sambil mendengarkan musik di handphone (HP) menggunakan headset.
Diduga korban tidak mendengar ada kereta api yang melintas, sehingga korban tersambar dan tewas di lokasi kejadian.
""Tempat kos korban ini dekat rel kereta api. Menurut keterangan teman sekamar korban, setelah membuat kopi korban langsung duduk-duduk di atas rel sambil dengerin musik pakai headset itu. Sehingga ada kereta api melintas korban tidak mendengar, akhirnya tertabrak,"" papar Gatot.
Saat ini jenazah korban masih di Kamar Mayat RSU dr Soetomo Surabaya. Polisi juga masih melakukan penyelidikan sembari menunggu keluarga korban datang.",PERISTIWA
5,https://jatimnow.com/baca-32321-innova-tabrak-pembatas-jalan-tol-pandaan-dua-orang-terluka,"Selasa :
22 Desember 2020 : 14:33:33","Innova Tabrak Pembatas Jalan Tol Pandaan, Dua Orang Terluka","jatimnow.com - Mobil Toyota Innova dengan nopol D 1250 AIP mengalami kecelakaan tunggal di Tol Pandaan-Malang, Kecamatan Sukorejo, Kabupaten Pasuruan, sekitar pukul 10.30 Wib, Selasa (22/12/2020). Dari 6 penumpang, dua di antaranya terluka.
""Dua penumpang mengalami luka ringan akibat kecelakaan tunggal tersebut. Untuk identitasnya didata Unit Laka Polres Pasuruan. Saat ini keduanya sudah dievakuasi ke rumah sakit untuk pertolongan medis,"" jelas Kanit 4 Sat PJR Polda Jatim, AKP Imam Mahmudi.
Sementara sopir Innova Reborn bernama Ali Perwira Negara (32), warga Mustika Hegar Regency, Margasari, Kota Bandung bersama tiga penumpang lainnya selamat.
Menurut Imam, mobil Innova itu melaju dari selatan ke utara berada di lajur cepat. Sampai di KM 64.400, ban bagian depan kanan pecah hingga kendaraan hilang kemudi dan oleng ke kanan lalu menabrak beton pembatas.
""Setelah menabrak beton pembatas, pengemudi membanting setir ke kiri lalu menabrak guadrail dan terpental ke kanan hingga akhirnya kendaraan berhenti di lajur cepat,"" bebernya.
Selain menyebabkan dua penumpang mengalami luka, kecelakaan tunggal ini membuat bodi mobil ringsek di bagian depan dan belakang kanan.
""Pemicu terjadinya kecelakaan ini diduga pengemudi mobil kurang mengecek kondisi mobilnya,"" terangnya.
Setelah mengamankan arus lalu lintas di TKP, Sat PJR Polda Jatim dan Jasamarga kemudian menderek kendaraan tersebut ke Pool Derek Gerbang Tol Purwodadi.",PERISTIWA
6,https://jatimnow.com/baca-32290-hilang-kendali-truk-kontainer-muat-kayu-terguling-dan-tabrak-pajero,"Minggu :
20 Desember 2020 : 14:04:46","Hilang Kendali, Truk Kontainer Muat Kayu Terguling dan Tabrak Pajero","jatimnow.com - Truk memuat kontainer berisi kayu glugu bernopol L 9286 UQ terguling dan menabrak mobil Pajero nopol H 90 LP di kawasan Bundaran Waru sisi timur Surabaya, Minggu (20/12/2020).
Truk trailer itu dikemudikan oleh Djalil (55), asal Dusun Balun LR II Timur, Cepu. Sedangkan Pajero dikemudikan Ananda Dwi Ardiyanto (23), warga Desa Karas, Rt 01 Rw 03, Magetan.
Kanit Laka Sat Lantas Polrestabes Surabaya, AKP Muhammad Fakih mengatakan peristiwa itu terjadi pada pukul 05.30 Wib.
""Truk melaju dari arah barat ke timur dan saat belok ke kanan ke arah selatan karena kecepatan sekitar 30 - 40 kilometer per jam sehingga hilang keseimbangan muatan (kontainer muatan kayu glugu sekitar 25 ton) oleng ke kiri dan terguling,"" kata AKP Muhammad Fakih.
""Setelah terguling kemudian terjadi laka lantas dengan Pajero yang berjalan dari arah utara ke selatan di samping kirinya. Tidak ada korban dalam peristiwa tersebut,"" imbuhnya.
   ",PERISTIWA
7,https://jatimnow.com/baca-32252-pemotor-wanita-tewas-dalam-kecelakaan-di-sidoarjo,"Kamis :
17 Desember 2020 : 20:20:07",Pemotor Wanita Tewas dalam Kecelakaan di Sidoarjo,"jatimnow.com - Kecelakaan melibatkan truk bernopol W 8437 UT dengan motor Yamaha Mio L 5390 FN terjadi di Simpang Empat Kecamatan Candi, Kabupaten Sidoarjo. Kecelakaan menyebabkan satu orang tewas.
Kecelakaan itu terjadi sekitar pukul 12.00 Wib, Kamis (17/12/2020). Korban meninggal adalah pengendara motor bernama Samiasih (30), warga Desa Kebonsari, Kecamatan Candi, Kabupaten Sidoarjo.
Sedangkan sopir truk adalah Setu (55), warga Sarirogo, Kecamatan/Kabupaten Sidoarjo.
""Dalam insiden kecelakaan antara truk kontra sepeda motor ini, mengakibatkan satu orang meninggal di TKP,"" jelas Kanit Laka Satlantas Polresta Sidoarjo, AKP Sugeng.
Sugeng menyebut, semula motor yang dikendarai korban melaju dari timur ke barat. Sampai di Simpang Empat Candi, korban berbelok ke kiri arah selatan dengan mengambil lajur sebaliknya.
Karena diduga kurang berhati-hati, korban tertabrak bagian kanan truk yang melaju dari arah selatan ke utara, yang akan berbelok ke arah timur.
""Faktor penyebab kecelakaan ini diduga karena kekurang hati-hatinya pengendara motor,"" tandasnya.
Jenazah korban sudah dievakuasi ke RSUD Sidoarjo. Dua kendaraan juga sudah diamankan.",PERISTIWA
8,https://jatimnow.com/baca-32250-lepas-dari-derek-truk-seruduk-mobil-dan-gerobak-di-sidoarjo,"Kamis :
17 Desember 2020 : 19:09:25","Lepas dari Derek, Truk Seruduk Mobil dan Gerobak di Sidoarjo","jatimnow.com - Sebuah truk tronton terlepas dari kendaraan derek hingga menabrak mobil Isuzu Panther, gerobak penjual gorengan dan bangunan toko di Jalan Raya Porong, Kecamatan Porong, Kabupaten Sidoarjo sekitar pukul 10.30 Wib, Kamis (17/12/2020).
Sopir kendaraan derek adalah Junaidi (38), warga Jalan Barat Sawah, Somor Koneng, Kecamatan Kuwanyar, Kabupaten Bangkalan, Madura.
""Tidak ada korban jiwa dalam kecelakaan truk terlepas dari mobil derek ini. Hanya kerugian material,"" jelas Kanit Laka Satlantas Polresta Sidoarjo, AKP Sugeng.
Sugeng menyebut, kecelakaan bermula saat truk derek dengan nopol S 8499 UM menderek truk bernopol W 9814 NL. Truk derek ini melaju dari utara ke selatan.
Sampai di lokasi kejadian, truk itu lepas dari kendaraan derek. Truk tanpa sopir itu pun melaju tanpa terkendali hingga menabrak mobil Panther B 1538 TFG terparkir di tepi jalan.
Panther itu kemudian terdorong hingga menabrak gerobak penjual gorengan dan baru terhenti setelah menabrak toko kosong hingga pintunya rusak.
""Jadi saat diderek, truk ini terlepas, kemudian menabrak mobil yang sedang parkir, gerobak penjual gorengan dan setelah itu menabrak bagian depan bangunan toko yang kondisinya kosong,"" tegas Sugeng.
Dari data yang didapat polisi, pemilik mobil Panther itu adalah Riyanto (40), warga Desa Suwayuwo, Kecamatan Sukorejo, Kabupaten Pasuruan. Sedangkan pemilik toko kosong tersebut H Wahyudi Zuhri (49), warga Desa Kebonagung, Kecamatan Porong, Kabupaten Sidoarjo.
""Kerugian material dari kecelakaan ini sekitar Rp 10 juta,"" tandasnya.
     ",PERISTIWA
9,https://jatimnow.com/baca-32212-agya-pecah-ban-di-tol-tabrak-pikap-lalu-terguling-pengemudi-tewas,"Rabu :
16 Desember 2020 : 14:23:38","Agya Pecah Ban di Tol: Tabrak Pikap Lalu Terguling, Pengemudi Tewas","jatimnow.com - Mobil Toyota Agya dengan nopol W 1266 BR mengalami kecelakaan di Tol Romokalisari-Tandes Barat, Surabaya, Rabu (16/12/2020). Kecelakaan ini mengakibatkan pengemudi mobil tewas.
Kasat Patroli Jalan Raya (PJR) Polda Jatim, Kompol Dwi Sumrahadi menyebut, kecelakaan itu terjadi sekitar pukul 07.02 Wib. Pengemudi yang tewas itu bernama Ita Putri Hariyanti (25), warga Pongangan, Manyar, Gresik.
""Iya mas, korban yang mengemudikan Agya meninggal dunia. Ini masih kita lakukan penyelidikan,"" ujar Dwi saat dikonfirmasi jatimnow.com.
Dwi menjelaskan, kecelakaan bermula saat mobil yang dikemudikan korban mengalami pecah ban. Diduga pengemudi tidak bisa menguasai laju mobilnya hingga mobil itu menabrak barrier beton hingga akhirnya terpental beberapa kali sebelum menghantam pikap dan berbalik arah serta terguling.
""Kendaraan korban mengalami pecah ban depan sebelah kiri. Sehingga kendaraan tidak terkontrol kemudian menabrak barrier beton yang ada di sebelah kiri. Setelah menabrak pikap yang melaju di sebelah kiri, mobil korban mental lagi lalu berbalik arah,"" jelasnya.
Sementara pengemudi pikap bernopol L 9713 BFN bernama Abdul Kowi (25) warga Dr Soetomo, Tlogo Patut, Gresik selamat dari kecelakaan tersebut dan sempat membantu korban sebelum dilarikan ambulans ke Rumah Sakit Ibnu Sina Gresik.
Sedangkan mobil korban dan mobil pikap yang terlibat kecelakaan diamankan ke Poll Romokalisari.",PERISTIWA
