,Link,Date Time,Location,Title,Content
0,https://radarsurabaya.jawapos.com/read/2020/12/27/232331/mabuk-tabrak-emak-emak-sampai-mati-dituntut-penjara-18-bulan,"27 Desember 2020, 13:51:06 WIB",SURABAYA,Mabuk Tabrak Emak-Emak Sampai Mati Dituntut Penjara 18 Bulan,"SURABAYA-Sigit Subiantoro hanya bisa pasrah dituntut hukuman selama setahun enam bulan penjara oleh Jaksa Penuntut Umum (JPU) Fathol Rasyid di Pengadilan Negeri (PN) Surabaya. Sigit juga dikenakan denda Rp 2 juta subsider tiga bulan penjara. âMemohon kepada majelis hakim agar terdakwa dihukum selama satu tahun enam bulan penjara,"" tutur Jaksa Fathol dalam persidangan beberapa waktu lalu.
Terdakwa Sigit terbukti melanggar pasal  310 ayat (4) Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan. Sebab, ia menabrak korban hingga meninggal dunia.
Sigit mengakui kesalahannya telah lalai dalam berkendara. Pada 23 September 2020, sekitar pukul 20.30, Sigit terlibat kecelakaan di Jalan Dukuh Menanggal. Seusai mabuk-mabukan di Lapangan Nanggala, Jalan Dukuh Menanggal, dalam perjalanan dirinya menabrak Siti Mustoinah, 34, yang saat itu berdiri di pinggir jalan hendak menyebrang.
Sementara itu, di depan Sigit ada mobil yang berjalan pelan. Ketika akan menyalip mobil tersebut, Sigit mengambil lajur kiri. Karena dalam keadaan mabuk dan kurang konsentrasi, ia pun menabrak Siti hingga meninggal dunia di tempat kejadian. (gin/rek)"
1,https://radarbromo.jawapos.com/news/23/12/2020/mau-kerja-pegawai-dishub-tewas-jadi-korban-tabrak-lari-di-beji,"23 Desember 2020, 20:27:04 WIB",JAWA TIMUR,"Mau Kerja, Pegawai Dishub Tewas Jadi Korban Tabrak Lari di Beji","BEJI, Radar Bromoâ Nahas nian nasib yang dialami Yoyok Pudjo Prayugo, 55. Pegawai yang seharinya menjalankan tugas di Cargo Beji, berakhir pilu. Pegawai Dishub Kabupaten Pasuruan tersebut meninggal dunia, setelah ditabrak tractor head yang tak diketahui identitasnya.
Informasi yang diperoleh radarbromo.jawapos.com peristiwa memilukan itu menimpa korban, Rabu sore (23/12). Ceritanya berawal saat korban hendak berdinas di Terminal Cargo Beji. Ia berangkat dari rumahnya di Pekuncen, Kecamatan Panggungrejo, Kota Pasuruan.
Semula, semuanya lancar. Korban mengendarai motor Honda Supra X 125 nopol N 5834 XA sendirian dari arah Pasuruan. Hingga ia sampai di Luwung, Desa/Kecamatan Beji. Saat hendak menyebrang, sebuah tractor head tak diketahui identitasnya menyasaknya dari belakang.
Tabrakan tersebut membuat korban masuk jalur berlawanan. Ironisnya, saat yang sama muncul sebuah mobil Daihatsu Terios nopol S 1492 ZM. Jarak yang dekat, membuat sopir Terios, Triyono Kembar Saputro, 44, warga Puton Diwek, Jombang, tak kuasa menghindar.
Mobil yang masih kinyis-kinyis itupun, langsung menabrak dan melindas kepala korban. Seketika saja, korban meninggal dunia di lokasi kejadian. âKejadiannya sekitar pukul 17.00,â kata Yudi, warga Beji.
Sugi, salah satu pegawai Dishub Kabupaten Pasuruan membenarkan kalau Yoyok merupakan pegawai Dishub Kabupaten Pasuruan. Selama ini, Yoyok bertugas di Terminal Cargo Beji. âIya, beliau pegawai Dishub yang bertugas di Cargo Beji,â akunya sedih. (one/fun)"
2,https://radarbromo.jawapos.com/pandaan/21/12/2020/boncengan-tiga-vario-tabrak-kijang-di-prigen-tiga-terluka,"21 Desember 2020, 19:54:31 WIB",JAWA TIMUR,"Boncengan Tiga, Vario Tabrak Kijang di Prigen, Tiga Terluka  ","PRIGEN, Radar Bromo-Tiga orang pengendara motor Honda Vario bernopol P 3021 NB harus dilarikan ke IGD Puskesmas Prigen, Kabupaten Pasuruan. Minggu (20/12), sekitar pukul 19.00, motor itu bertabrakan dengan mobil Toyota Kijang bernopol W 1992 QC.
Kecelakaan lalu lintas ini terjadi di ruas jalan jurusan Prigen-Pandaan, Kelurahan/Kecamatan Prigen. Informasinya, saat itu, motor Vario itu dikemudikan oleh Maulidia, 25, warga Blimbing, Kota Malang. Ia berboncengan dengan Rita, 25, warga Kencong, Jember dan Samsul, 60, warga Desa Wonokoyo, Kecamatan Beji, Kabupaten Pasuruan.
Sesampainya di tempat kejadian perkara (TKP), motornya mengarah ke kanan dan menabrak Toyota Kijang yang melaju dari arah berlawanan. Mobil ini dikemudikan oleh Andri Panca Siswanto, 38, warga Desa Lumbangrejo, Kecamatan Prigen. âMotor dan mobil tabrak adu depan,â ujar Anggota Unit Lantas Polsek Pandaan Bripka Heru Susanto.
Dari lokasi kejadian, para pengendara motor itu dievakuasi ke IGD Puskesmas Prigen, yang berjarak sekitar 250 meter dari lokasi kejadian. âPengendara motor dan dua orang yang dibonceng mengalami luka ringan. Posisinya motor kurang menguntungkan karena kurang hati-hati dan memang tak kenal medan,â ujarnya.
Setelah para korbannya dievakuasi, kendaraan yang terlibat kecelakaan dibawah ke Poslantas Polsek Pandaan. Motor dan mobil sama-sama ringsek di bagian depan. Sudah kami amankan di Poslantas,â ujarnya. (zal/rud)
 "
3,https://radarbromo.jawapos.com/pandaan/20/12/2020/mau-malam-mingguan-remaja-asal-beji-tabrak-truk-parkir-1-tewas,"20 Desember 2020, 21:58:18 WIB",JAWA TIMUR,"Mau Malam Mingguan, Remaja asal Beji Tabrak Truk Parkir, 1 Tewas","GEMPOL, Radar Bromoâ Nasib nahas dialami Raka Adi, 16. Remaja Desa Gununggangsir, Kecamatan Beji, Kabupaten Pasuruan tersebut, mengalami kecelakaan di ruas jalan nasional jurusan Banyuwangi-Surabaya, di Desa Legok, Kecamatan Gempol, Kabupaten Pasuruan. Minggu (20/12). Dia menabrak truk parkir
Dalam insiden yang terjadi sekitar pukul 03.30, Raka Adi, meninggal dunia.
Sementara M. Gilang Ramadhan, 16, yang berada dibonceng Raka Adi, mengalami luka-luka.
Informasinya, kedua remaja yang sama-sama berasal dari Desa Gununggangsir, Kecamatan Beji, Kabupaten Pasuruan, itu hendak malam mingguan ke daerah Sidoarjo.
Dari Beji, mereka mengendarai sepeda motor Yamaha Mio bernopol L 3693 ND. Dengan kecepatan tinggi, Raka memacu motornya seakan tanpa kendala.
Sialnya, saat melaju di tempat kejadian perkara (TKP), korban menabrak dari belakang truk yang sedang parker di tepi jalan. âMotornya menabrak truk parkir dari arah yang sama atau searah. Sesaat setelah kejadian, truknya kabur ke barat. Sedangkan motor beserta pengendaranya jatuh ke badan jalan,â ujar Kanit Lantas Polsek Gempol, Iptu Pujianto.
Sesaat setelah kejadian, kedua korban dilarikan ke ke IGD Rumah Sakit Asih Abyakta, Desa Kepulungan, Kecamatan Gempol. Kedua korban tidak mengalami luka luar yang serius. Raka hanya terluka di pipi dan kaki kiri. Sedangkan, Gilang, luka lecet di leher.
DIRAWAT: Korban kecelakaan lalu lintas ketika menjalani perawatan medis di IGD RS Asih Abyakta, Kepulungan, Gempol, Kabupaten Pasuruan, Minggu (20/12) pagi. Salah satu dari dua korban akhirnya meregang nyawa. (Foto: Unit Lantas Polsek Gempol for Jawa Pos Radar Bromo)
Sayangnya, maut tak bisa ditolak. Setelah beberapa jam menjalani perawatan medis, Raka meninggal dunia. âPengendara motornya (Raka) sekitar pukul 09.00 menghembuskan napas terakhir. Jasadnya divisum ke kamar mayat RS Bhayangkara, Watukosek, Gempol. Untuk penumpangnya yang dibonceng luka-luka dan selamat,â jelas Pujianto.
Motor Yamaha Mio milik korban, dinihari itu juga dibawah dan diamankan ke Poslantas Polsek Gempol. âPengendara motornya diduga kuat mengantuk. Dalam kecelakaan ini posisinya kurang menguntungkan. Untuk truknya yang kabur dan tertabrak dari belakang dalam proses penyelidikan,â ujarnya. (zal/rud/fun)"
4,https://radarbromo.jawapos.com/pandaan/17/12/2020/tabrak-truk-warga-cowek-terluka-hingga-masuk-igd,"17 Desember 2020, 21:47:21 WIB",JAWA TIMUR,"Tabrak Truk, Warga Cowek Terluka hingga Masuk IGD","PURWOSARI, Radar Bromoâ Apes nian nasib yang dialami Aris Suduri, 28. Warga Dusun Borong, Desa Cowek, Kecamatan Purwodadi, Kabupaten Pasuruan itu, harus dilarikan ke IGD Puskesmas Purwodadi, Kamis (17/12). Penyebabnya, dia mengalami kecelakaan usai menabrak truk.
Insiden itu terjadi sekitar pukul 04.00. Usai menabrak truk di jalan nasional Surabaya-Malang, Desa Kertosari, Kecamatan Purwosari, dia terluka. Alhasil dia harus mendapat perawatan di instalasi gawat darurat.
Saat itu, korban mengendarai sepeda motor Honda Beat bernopol N 2667 TDN seorang diri. Sesampai di tempat kejadian perkara (TKP), korban yang melaju dari utara mendadak menabrak truk di depannya yang berjalan searah.
âPengendara motor itu jatuh dan mengalami luka-luka, sedangkan truknya langsung kabur meninggalkan TKP menuju arah selatan atau Malang,â ujar Kaposlantas Purwosari, Aiptu Bambang Hariono. Korban diketahui terluka di kaki kiri, bibir, dahi, dan dagu.
Selain mengakibatkan korban terluka, kecelkaan ini juga menimbulkan kerugian materi. Sepeda motor korban rusak parah di bagian depan. Kini, motornya diamankan di Poslantas Purwosari. Kalau melihat keterangan saksi dan hasil olah TKP, posisi yang kurang menguntungkan adalah pengendara motornya. Karena, menabrak dari belakang. Dugaannya bisa karena ngantuk,â ujarnya. (zal/fun)"
5,https://radarbromo.jawapos.com/kraksaan/17/12/2020/megapro-tabrak-brio-di-gending-remaja-banyuanyar-tewas,"17 Desember 2020, 21:44:37 WIB",JAWA TIMUR,"Megapro Tabrak Brio di Gending, Remaja Banyuanyar Tewas  ","GENDING, Radar Bromo-Nahas menimpa dua remaja asal Desa Pendil, Kecamatan Banyuanyar, Kabupaten Probolinggo. Rabu (16/12) malam, mereka menabrak mobil yang hendak berbelok di Jalan Raya Sebaung-Gending. Akibatnya, satu orang meninggal di lokasi.
Kedua remaja ini adalah Ryco Pratama Putra, 14, dan Firmansyah Putra, 15. Malam itu, sekitar pukul 21.30, mereka berboncengan mengendarai sepeda motor Honda Megapro bernopol N 3442 P. Mereka melaju dari selatan di jalan Raya Sebaung-Gending.
Sesampainya di lokasi kejadian, ada sebuah pikap yang berada di depan korban melaju dengan kecepatan rendah. Di depan pikap melaju, ada mobil Honda Brio bernopol N 1216 NE yang dikemudikan oleh Jamal, 42, Desa Gading Kulon, Kecamatan Banyuanyar. Mobil ini hendak berbelok ke kanan.
âMobil pikap memperlambat laju. Sebab ada mobil Brio yang hendak berberbelok ke gang yang posisinya ada di sebelah kanan.â ujar Kanit Laka Lantas Polres Probolinggo, Iptu Nyoman Harayasa.
Karena korban mengendarai motor dengan kecepatan tinggi, kemudian menyalip mobil pikap dan tidak melihat mobil Brio hendak menyeberang jalan, sehingga tabrakan tidak dapat dihindari. Kejadian ini mengakibatkan Ryco Pratama Putra meninggal dunia di tempat kejadian perkara.
Sedangkan, Firmansyah Putra mengalami luka ringan kemudian dilarikan ke Puskesmas Gending. âKarena kondisi jalan cukup sepi motor yang dikendarai berkecepatan tinggi, sehingga tidak dapat mengerem dengan baik. Akhirnya, menabrak mobil tersebut,â ujar Nyoman. (ar/rud)
  "
6,https://radarbromo.jawapos.com/pandaan/16/12/2020/rem-blong-dump-truk-tabrak-pagar-pt-gudang-garam-di-gempol,"16 Desember 2020, 21:23:59 WIB",JAWA TIMUR,"Rem Blong, Dump Truck Tabrak Pagar PT Gudang Garam di Gempol","GEMPOL, Radar Bromo-Gara-gara rem blong, sebuah dump truck hilang kendali di jalan Sumbersuko-Sukoreno, Dusun Kaliputih, Desa Sumbersuko, Kecamatan Gempol. Truk itu pun menabrak pagar gudang tembakau milik PT. Gudang Garam Tbk, lalu terguling.
Kecelakaan tunggal itu terjadi Rabu sore (16/12) sekitar pukul 14.45. informasi yang dihimpun, dump truk beropol W 8444 UP itu muat sirtu.
Truk awalnya melaju dari selatan ke utara. Dump truk dikemudikan Munir, 40, warga Kandangan, Desa Kunjorowesi, Kecamatan Ngoro, Kabupaten Mojokerto.
Saat sampai di lokasi kejadian, di ruas jalan menurun, Munir dibuat panik. Sebab, tiba-tiba rem-nya blong. Ia lantas berupaya banting setir ke kiri. Tujuannya, masuk ke areal gudang tembakau milik PT. Gudang Garam Tbk. Namun, dump truck malah menabrak pagar gudang. Selanjutnya truk terguling dan sebagian muatannya tumpah.
Dari catatan Jawa Pos Radar Bromo, kecelakaan tunggal di wilayah yang sama itu terjadi dua kali dalam kurun sebulan terakhir. âPengakuan sopir dump truk pada kami, dari atas truk berjalan dengan gigi satu. Ternyata, tiba-tiba mengalami rem blong dan terjadilah kecelakaan ini,â jelas koordinator security PT. Gudang Garam Tbk ditemui di lokasi kejadian.
Petugas security PT. Gudang Garam Tbk lantas mengevakuasi sopir dari ruang kemudi. Sopir selamat, hanya mengalami luka lecet di kaki dan tangan.
âTiba-tiba rem blong, seketika saya langsung banting kiri. Maunya masukkan dump truk ke parkiran depan gudang. Tapi malah menabrak pagar dan terguling,â terang Munir, sopir dump truk.
Usai kejadian, sekuriti dari PT. Gudang Garam Tbk yang berada di TKP melaporkan kasus laka lantas tunggal ini ke Unit Lantas Polsek Gempol. Dan selang sekitar 45 menit kemudian tiba di lokasi.
Setibanya di TKP, petugas lantas polsek setempat langsung meminta keterangan sopir dump truk sekaligus sejumlah saksi. Dan sampai berita ini ditulis, proses evakuasi muatan dan kendaraan masih berlangsung.
âPenyebab lakanya karena faktor teknis kendaraan, yakni rem blong. Juga kelalaian sopir dump truk,â tegas Kanit Lantas Polsek Gempol Iptu Pujianto. (zal/mie)"
7,https://radarbromo.jawapos.com/probolinggo/12/12/2020/diduga-sopir-ngantuk-truk-tabrak-pohon-di-sumberasih-kernet-tewas,"12 Desember 2020, 20:02:23 WIB",JAWA TIMUR,"Diduga Sopir Ngantuk, Truk Tabrak Pohon di Sumberasih, Kernet Tewas","SUMBERASIH, Radar Bromo-Perjalanan Hadi Purwanto dan Basuki Agung Sampurno mengantar beras dari Bojonegoro ke Jember, Sabtu (12/12) berujung tragedi. Itu setelah truk Colt Diesel bernopol K 1775 GB yang mereka tumpangi mengalami kecelakaan tunggal di jalan raya pantura Desa Pesisir, Kecamatan Sumberasih, Kabupaten Probolinggo.
Truk itu menabrak pohon. Akibatnya, Basuki Agung Sampurno warga Kalirejo, Bojonegoro, yang jadi kernet meregang nyawa. Sementara Hadi Purwanto, 38 sang sopir asal Dusun Peni, RT 3/ RW 5, Desa Kedungprimpen Kecamatan Kanor, Kabupaten Bojonegoro alami luka-luka.
Informasi yang dihimpun menyebutkan, kecelakaan itu terjadi sekitar pukul 04.30 pagi. Menurut keterangan sejumlah saksi, truk melaju dari arah barat ke timur dengan kecepatan tinggi.
Saat sampai di lokasi kejadian, mendadak truk oleng. Truk keluar jalur ke arah utara jalan hingga akhirnya menabrak pohon di tepi jalan. âDiduga sopir mengantuk. Bahkan, di lokasi, tidak ada tanda bekas rem sama sekali,â kata Ipda Tohari, Kanitlaka Satlantas Polres Probolinggo Kota saat ditemui di lokasi kejadian.
Akibat hantaman yang sangat keras antara truk dan pohon itu, kabin truk sampai ringsek. Bahkan, sopir dan kernetnya sempat terjepit. Selain itu tumpukan beras yang hendak dikirim, tercecer di tepi jalan dan di sekitar rel kereta
âBeras yang dibawa sampai jatuh ke rel kereta. Untung ada warga yang bantu juga. Jadi (beras yang tercecer), tidak sampai  ganggu perjalanan KA,â tambah Ipda Tohari.
Saat tiba di lokasi, petugas dibantu warga langsung berupaya mengevakuasi sopir dan kernet yang tergencet kabin truk. Saat itu, kondisi keduanya alami sejumlah luka.
Usai dievakuasi, kedua korban pun langsung dibawa ke IGD RSUD dr Moh Saleh. Namun karena kondisi Basuki alami luka parah, sekitar pukul 10.00 ia dinyatakan meninggal.
âJadi, bagian lutut, kaki kanan dan kiri alami luka lecet. Sementara tulang lengan, dada dan tangan kanan patah,â beber Wasis, petugas kamar mayat RSUD dr Moh Saleh. (rpd/mie)
 "
8,https://radarsurabaya.jawapos.com/read/2020/12/10/229507/tabrak-fortuner-ambulans-ringsek-jenazah-dioper-ke-ambulans-dinsos,"10 Desember 2020, 07:11:16 WIB",SURABAYA,"Tabrak Fortuner, Ambulans Ringsek, Jenazah Dioper ke Ambulans Dinsos","SURABAYA-Mobil ambulans pembawa jenazah yang dikemudikan Yuli Firmansyah, 19, terlibat kecelakaan dengan Toyota Fortuner Nopol AG 1784 FB yang disopiri Rudy Sugijono, 43, warga Desa/Kecamatan Pare Kediri di simpang empat Jalan Dr Soetomo-Jalan Diponegoro, Surabaya, Rabu pagi (9/12).
Akibat kecelakaan tersebut, ambulans yang disopiri warga Jalan Bogen II, Ploso, Tambaksari, Surabaya itu ringsek. Sehingga jenazah yang sedang diangkutnya terpaksa dipindah ke ambulans milik Dinas Sosial (Dinsos) Pemkot Surabaya.
Beruntung tidak ada korban jiwa dalam insiden laka tersebut. Informasi yang dihimpun Radar Surabaya, kecelakaan bermula saat mobil ambulans melaju dari arah selatan ke utara sekitar pukul 08.00.
RUSAK: Kondisi mobil ambulans yang ringsek usai tabrakan. (ISTIMEWA)
Mobil sudah menyalakan sirine. Setibanya di simpang empat Jalan Dr Soetomo-Jalan Diponegoro dari arah barat ke timur melaju mobil Toyota Fortuner karena lampu traffic light (TL) menyala hijau.
""Karena tidak memberikan prioritas utama, mobil Toyota Fortuner terlibat laka dengan ambulans,"" ungkap Kanit Laka Satlantas Polrestabes Surabaya, AKP M Fakih, Rabu (9/12).
Dijelaskan Fakih, akibat kecelakaan bagian depan mobil ambulans bernopol L 1890 AZ ringsek. Sementara ban belakang kanan dan pelek mobil Toyota Fortuner pecah. 
""Tidak ada korban jiwa. Mobil ambulans dari rumah sakit RKZ hendak membawa jenazah ke rumah duka di Sememi,"" bebernya. 
Setelah kejadian, lanjut Fakih, jenazah dipindah ke mobil ambulans milik Dinas Sosial Pemkot Surabaya. Sementara sopir dari kedua kendaraan yang terlibat laka lantas dimintai keterangan oleh polisi. Untuk barang bukti diamankan di kantor Unit Laka Lantas Polrestabes Surabaya.
""Meski prioritas utama, sopir ambulans juga harus berhati-hati. Karena semua menyangkut keselamatan,"" ingatnya. (rus/jay)"
9,https://radarsurabaya.jawapos.com/read/2020/12/03/228185/motor-tabrak-pohon-warga-embong-kaliasin-tewas-di-jalan,"3 Desember 2020, 10:59:54 WIB",SURABAYA,"Motor Tabrak Pohon, Warga Embong Kaliasin Tewas di Jalan","SURABAYA - Fandy Winata, 33, warga Jalan Keputran Pasar Kecil IV, Embong Kaliasin, Surabaya, meregang nyawa di Jalan Gunungsari, Selasa petang (1/12). Pengendara motor Suzuki Satria nopol L 2352 HN itu tewas setelah motornya menabrak pohon di pinggir jalan.
Informasi yang dihimpun, insiden tragis itu bermula saat korban pulang kerja melaju dari arah barat ke timur dengan kecepatan tinggi. Apesnya, sesampai di TKP, tepatnya sebelum traffic light (TL) Gunungsari, motor korban tiba-tiba oleng ke kiri dan menabrak pohon.
Seketika korban terpental. Beberapa saat kemudian korban meninggal di lokasi. Sementara motornya ringsek. 
Kanit Laka Satlantas Polrestabes Surabaya AKP M Fakih mengungkapkan, setelah olah TKP polisi menduga korban melaju dengan kecepatan tinggi. ""Dugaannya,  korban kurang konsentrasi mengantuk lalu menabrak pohon,"" ujarnya, Rabu (2/12).
Setelah olah TKP, jenazah korban dievakuasi ke kamar mayat Rumah Sakit Bhayangkara. Sementara barang bukti kendaraan diamankan sebagai barang bukti. (rus/rek)"
