,link,title,content,location,loc,point,latitude,longitude,jalan,kec,kabkot,prov,date,day,month,time,age,truck,car,motorcycle,bicycle,train,bus,die,injured
2813,https://radarmalang.jawapos.com/malang-raya/kota-malang/30/12/2020/diduga-melamun-angkot-masuk-selokan-di-arjosari,"Diduga Melamun, Angkot Masuk Sungai di Arjosari","MALANG KOTA Mungkin hari ini ( 30/12 ) adalah hari sial bagi Bagyo , sopir angkot jurusan Lawang-Arjosari dengan nomor polisi N 1554 UE . Diduga melamun , kendaraan yang dikendarainya masuk ke sungai di Jalan Panji Suroso dekat Terminal Arjosari Malang sekitar pukul 11.00 WIB . Pas jalan saya nggak tahu tiba-tiba setir sudah belok kanan , lalu ban sudah masuk ke pinggir sungai . Karena kurang fokus , sepenglihatan saya tadi rodanya tiba-tiba sudah tidak nampak di aspal . Tahu-tahu saya sudah di dalam sungai , kata Bagyo sambil menunggu evakuasi pihak berwajib . Namun , Bagyo menampik bahwa dirinya mengantuk , melainkan hanya kurang fokus . Kalau ngantuk nggak juga , saya sudah sarapan , ungkapnya . Di dalam angkot terdapat satu orang penumpang yang ikut terjatuh . Untungnya tidak ada luka di tubuh penumpang tersebut . Tadi penumpangnya perempuan , tapi sudah pulang , dia tidak apa-apa kok . Dia terpaksa keluar lewat kaca belakang dan saya lewat pintu depan , ujarnya . Karena angkot yang ditumpanginya terguling ke sungai , Bagyo mengatakan , terpaksa penumpang tadi pindah naik angkot lain karena melanjutkan perjalanan ke Singosari . Salah seorang saksi , Yayuk , yang melihat kejadian tersebut menuturkan bahwa angkot melaju dari arah barat ke timur . Kemudian putar balik lalu lurus menuju jalan besar sebelum akhirnya jatuh ke sungai . Menurut Yayuk , penumpang perempuan yang ikut terjatuh di sungai tadi mengeluh sakit pinggang usai terjatuh . Kayaknya tadi mau balik terus periksa ke tukang pijat , tuturnya . Salah satu anggota kepolisian yang mengevakuasi kejadian , Dedi mengatakan , salah satu penyebab kecelakaan lalu lintas tersebut adalah akibat jalan licin yang basah terkena hujan . Angkot body-nya ringsek , nanti diamankan ke Polres . Sementara penyebabnya karena sopir kurang fokus .",jalan panji suroso terminal arjosari malang,"Masjid kantor kementerian agama kota malang, Jalan Pandji Suroso, Purwodadi, Malang, Jawa Timur, 65126, Indonesia","(-7.9307419, 112.65025418505152)",-7.9307419,112.65025418505152,Masjid kantor kementerian agama kota malang Jalan Pandji Suroso,Purwodadi,Malang,Jawa Timur,2020-12-30,Wednesday,December,pagi,,0,0,0,0,0,1,0,1
3046,https://radarbromo.jawapos.com/probolinggo/29/12/2020/rem-motor-matik-blong-sekeluarga-terjun-ke-pekarangan-warga-sumber,"Rem Motor Matik Blong, Sekeluarga Terjun ke Pekarangan Warga Sumber","SUMBER , Radar Bromo Rencana Ramadhan Budi , 25 beserta istri dan anaknya untuk pulang usai dari Sumber , Kabupaten Probolinggo berujung tragedi . Motor matiknya alami rem blong hingga terjun ke pekarangan warga . Kecelakaan tunggal itu terjadi di jalan Desa/Kecamatan Sumber , Selasa ( 29/12 ) sekitar pukul 16.00 . Sore itu rombongan sekeluarga asal Jalan WR Supratman Sentono , Kelurahan Jati , Kecamatan Mayangan , Kota Probolinggo itu hendak ke arah kota . Mereka mengendarai motor Honda Beat bernopol N 6347 ST. Yang mengendarai adalah Ramadhan Budi . Sementara sang istri Dewi Nuke Mayasari , 28 , dan anaknya Akbar berusia 2 tahun , dibonceng . Korban Dewi Nuke Mayasari sesaat sebelum dirujuk ke RSUD dr Moh Saleh . ( Polsek Sumber for Jawa Pos Radar Bromo ) Kapolsek Sumber Iptu Sono menjelaskan , saat sampai di lokasi kejadian , rem motor matik korban alami panas dan tak berfungsi . Alias ngeblong . Untuk menghindari tabrakan yang lebih fatal , Ramadhan Budi memilih membelokkan motornya untuk masuk ke pekarangan warga . Kecelakaan akibat rem motor blong . Diduga rem blong akibat panas setelah dipakai terus menerus saat posisi jalan menurun . Kemudian motor pun masuk ke pekarangan warga , katanya Iptu Sono . Akibat kecelakaan tunggal itu , korban Budi alami luka patah jari kelingking tangan sebelah kanan , luka robek pada tulang kering bawah lutut kaki sebelah kanan , dan memar di punggung . Sedangkan korban Dewi alami luka robek kaki sebelah kanan , luka robek di pelipis mata sebelah kiri . Dewi harus dirujuk ke RSUD dr Moh . Soleh Kota Probolinggo . Sedangkan korban Akbar anaknya , alami memar di dahi . Semua korban hanya alami luka luka . Satu korban dirujuk ke RSUD Moch Saleh Kota Probolinggo , ujar Sono .",jalan desa/kecamatan sumber,"Sumber, Tuban, Jawa Timur, Indonesia","(-6.8562162, 111.9756634)",-6.8562162,111.9756634,,Sumber,Tuban,Jawa Timur,2020-12-29,Tuesday,December,sore,"[25, 28, 2]",0,0,1,0,0,0,0,3
3659,https://radarsidoarjo.jawapos.com/kriminal-delta/31/12/2020/ban-slip-di-jalan-raya-seduri-tiga-orang-luka-luka,"Ban Slip di Jalan Raya Seduri, Tiga Orang Luka-Luka","SIDOARJO Sebuah truk Toyota Dyna nopol L 8894 US yang melaju di Jalan Raya Seduri terguling , Selasa ( 29/12 ) malam . Hal itu membuat sopir harus dilarikan ke rumah sakit untuk menjalani perawatan lantaran mengalami luka-luka . Informasi yang berhasil dihimpun , awalnya truk melaju dari arah timur ke barat . Namun tepat di lokasi kejadian ban belakang truk di bagian kiri mengalami slip . Hal itu membuat truk kehilangan keseimbangan dan tidak bisa mengendalikan laju kendaraan . Karena pengemudi kendaraan itu tidak bisa mengendalikan , kemudian truk oleng dan terguling ke kiri jalan , kata petugas Lantas Polsel Balongbendo , Aipda Slamet W , Rabu ( 30/12 ) . Akibatnya , pengemudi truk , Wagiran , 45 , warga Desa Mlirip RT 02/RW 05 Kecamatan Jetis Kabupaten Mojokerto mengalami luka telinga kiri . Penumpang dalam kabin , yaitu Ahmad Fahrizal , 29 , mengalami luka-luka di bagian punggung belakang . Tak hanya itu , warga Jalan Pesantren Desa Wonorejo RT 04/RW 01 Kecamatan Trowulan Kabulaten Mojokerto itu juga mengakami luka tangan kanannya . Sementara M. Wahyu Pinanggih , 26 , asal Bloto RT 01/RW 02 Kecamatan Prajurit Kulon Kota Mojokerto mengalami luka kaki dan jari kanannya . Dua orang penumpang di dalam kabinnya dan sang pengemudi langsung dilarikan ke RS Anwar Medika , untuk mendapat pertolongan medis , ujarnya . Selain itu , mereka juga menjalani visum luka akibat kecelakaan itu . Aparat kepolisian yang datang ke lokasi langsung menggelar olah TKP dan memeriksa saksi-saksi . Sedangkan barang bukti diamankan petugas sebagai barang bukti . Saat ini kasus laka lantas itu ditangani Unit Laka Satlantas Polresta Sidoarjo , jelasnya .",jalan raya seduri,"Seduri, Mojokerto, Jawa Timur, Indonesia","(-7.5126112, 112.5600982)",-7.5126112,112.5600982,,Seduri,Mojokerto,Jawa Timur,2020-12-29,Tuesday,December,malam,"[45, 29, 26]",1,0,0,0,0,0,0,3
3033,https://radarbromo.jawapos.com/kraksaan/30/12/2020/menyeberang-tukang-becak-tewas-tertabrak-truk-di-kraksaan,"Menyeberang, Tukang Becak Tewas Tertabrak Truk di Kraksaan","KRAKSAAN , Radar Bromo Nahas menimpa Miskari 59 , Selasa ( 29/12 ) malam . Tukang becak itu ditabrak sebuah truk boks saat hendak menyeberang di jalan raya Kelurahan Patokan , Kraksaan , Kabupaten Probolinggo . Ia pun langsung meninggal di lokasi kejadian . Kecelakaan itu terjadi sekitar pukul 21.00 . Saat itu warga Kelurahan Sidomukti , Kraksaan , itu tengah mengayuh becaknya dari timur ke barat . Dia mengayuh di lajur selatan , tepatnya di barat jembatan kembar , Kraksaan . Sesaat kemudian , Miskari menyeberang ke utara . Lalu , dari arah yang sama meluncur sebuah truk boks bernopol L 8672 AK disopiri Dwi Julianto Maulana , 23 , warga Sumbertaman , Kecamatan Wonoasih , Kota Probolinggo . Diduga kurang konsentrasi , truk langsung menabrak becak tanpa muatan itu . Becak pun langsung terguling di lokasi kejadian bersama korban . Kanitlaka Satlantas Polres Probolinggo Ipda Nyoman Harayasa mengatakan , truk boks kehilangan kendali saat itu . Kemudian menabrak becak tanpa penumpang yang dikayuh korban Miskari . Insiden itu membuat kepala korban luka parah . Dari hasil olah TKP , pengemudi truk boks diduga kurang konsentrasi saat sedang mengemudi . Akibat kejadian itu , korban langsung meninggal di TKP , ujar Nyoman saat dikonfirmasi Rabu ( 30/12 ) . Usai menabrak korban , menurut Nyoman , pengemudi truk boks tidak langsung berhenti . Dia malah hendak kabur . Namun , warga sekitar yang melihat kecelakaan itu langsung menghentikan truk boks tersebut . Usai menabrak , truk boks tidak langsung berhenti . Malah tetap melaju ke arah barat . Untungnya oleh warga di sekitar TKP dikejar . Saat ini dua kendaraan yang terlibat kecelakaan sudah kami amankan di pos lantas , katanya . Mau Nyalip , Ditabrak TrailerSebelumnya , di malam yang sama juga terjadi kecelakaan di Jalan Raya Pajurangan , Kecamatan Gending , Kabupaten Probolinggo . Kecelakaan yang terjadi sekitar pukul 19.00 , itu melibatkan dua kendaraan . Yaitu , motor Honda Vario nopol N 5914 N yang dikendarai Muhammad Saiful Amin , 20 , warga RT 3/RW 1 , Desa Alassumur Lor , Kecamatan Besuk . Dan satu lagi , yaitu truk trailer Nopol L 9299 UL yang disopiri Joyo Kamsono , 62 , warga Desa Talok , Kecamatan Bangsal , Kabupaten Mojokerto . Kanitlaka Satlantas Polres Probolinggo Ipda Nyoman Harayasa menjelaskan , awalnya pengendara motor melaju dari barat ke timur . Sampai di Jalan Raya Pajurangan , motor hendak menyalip sebuah kendaraan di depannya . Namun , motor menyalip terlalu ke kanan . Dalam waktu yang sama , melaju truk trailer dari arah berlawanan . Akibatnya , terjadilah tabrakan antara truk trailer dan motor . Pengendara motor Saiful Amin langsung dilarikan ke IGD RSUD Waluyo Jati Kraksaan . Tapi hanya mengalami luka ringan , terang Nyoman . Adapun supir truk trailer tidak terluka . Truk trailer juga tidak ada yang rusak . Sementara sepeda motor pengendara motor Saiful Amin hancur parah di bagian depan .",jalan raya kelurahan patokan kraksaan kabupaten probolinggo,"Patokan, Probolinggo, Jawa Timur, 67282, Indonesia","(-7.7543578, 113.410787)",-7.7543578,113.410787,,Patokan,Probolinggo,Jawa Timur,2020-12-29,Tuesday,December,malam,"[59, 23, 20, 62]",1,0,1,1,0,0,1,2
3665,https://radarsidoarjo.jawapos.com/kriminal-delta/28/12/2020/sehari-dua-orang-tewas-kecelakaan-di-krian,"Sehari, Dua Orang Tewas Kecelakaan di Krian","SIDOARJO Arief Triono , 34 , warga Desa Jaan RT 04/RW 03 Kecamatan Gondang , Kabupaten Nganjuk , tewas di Jalan Raya Bypass Krian , KM.29 , Senin ( 28/12 ) . Korban tewas setelah terlibat kecelakaan saat hendak mendahului kendaraan lain . Informasi yang berhasil dihimpun , awalnya korban diketahui sedang mengendarai motor Yamaha Mio nopol AG 6110 XU . Korban saat itu melaju dari arah barat ke timur . Korban berusaha mendahului truk Fuso nopol N 8332 UW . Truk Fuso itu berjalan di depan korban dari arah yang sama dan berusaha didahului oleh korban , kata Kanit Laka Lantas Polresta Sidoarjo AKP Sugeng Sulistyono . Namun saat mencoba mendahului tersebut korban menabrak media jalan . Akibatnya motor terjatuh ke sebelah kanan dan korban terpental ke sebelah kiri . Korban terlindas roda belakang sebelah kanan truk Fuso tersebut . Di tempat lain , Suhariyono , 62 , warga Dusun Gresikan Kelurahan Krian , Kecamatan Krian tewas di Jalan Raya Ki Hajar Dewantara Krian , sekitar pukul 12.10 . Awalnya korban sedang berjalan mengendarai motor Honda Vario nopol W 2444 YW . Korban melaju dari arah selatan ke utara . Namun terserempet kendaraan dump truk Tronton L 8477 UO yang datang dari arah yang sama . Akibatnya korban tewas di lokasi kejadian dan dievakuasi petugas ke RSU Anwar Medika . Dump truk tronton diketahui dikemudikan oleh Riyanto , 47 , warga Desa Widang RT 07/RW 05 Widang Kabupaten Tuban . Sejumlah barang bukti seperti kendaraan korban kami amankan ke Mapolsek Krian , kata petugas lantas Polsek Krian , Aiptu Bachtiar .",jalan raya bypass krian km.29,"Jalan Bypass Krian, Sidomulyo, Krian, Sidoarjo, Jawa Timur, 6162, Indonesia","(-7.3988461, 112.5777358)",-7.3988461,112.5777358,Jalan Bypass Krian Sidomulyo,Krian,Sidoarjo,Jawa Timur,2020-12-28,Monday,December,siang,"[34, 62, 47]",1,0,1,0,0,0,3,0
7,https://news.detik.com/berita-jawa-timur/d-5311325/viral-pemotor-terobos-lampu-merah-terlibat-kecelakaan-di-situbondo,Viral Pemotor Terobos Lampu Merah Terlibat Kecelakaan di Situbondo,"Situbondo - Rekaman kecelakaan terobos traffic light di Situbondo , viral . Dalam video berdurasi 15 detik itu , tampak pemotor nekat menerobos lampu merah dan akhirnya kecelakaan . Akibat keceroboan tersebut , sepeda motor itu pun tertabrak mobil yang datang dari arah samping . Pemotor tampak terpelanting hingga lebih dari 1 meter . Termasuk sepeda motornya yang jatuh bergelimpangan di atas aspal jalan raya . Rekaman CCTV laka lantas itu hingga kini banyak beredar . Termasuk di grup maupun story whatsapp . `` Dari rekaman CCTV itu cukup jelas , pengemudi sepeda motor menerobos lampu merah hingga terjadi kecelakaan , '' ujar Kanit Laka Satlantas Polres Situbondo Iptu Agus Siswanto kepada detikcom , Minggu ( 27/12/2020 ) . Informasi yang diperoleh , insiden kecelakaan itu terjadi di dekat monumen Ancak Agung , tepatnya di traffic light persimpangan Sarworini , sekitar pukul 17.14 Wib Sabtu ( 26/12 ) sore . Saat itu , pengemudi sepeda motor Honda BeAT P 4565 FM datang dari arah Jalan Cempaka ( Selatan ) . Entah karena kurang konsentrasi atau sebab lain , pengemudi motor yang belakangan diketahui sebagai Sunanto , warga Desa Kilensari Kecamatan Panarukan , malah nekat menerobos . Pria 20 tahun itu terus melajukan sepeda motornya menyeberang jalan menuju arah Jalan WR Soepratman . Dia seolah tak peduli , meski kendaraan yang dari arah barat sudah mulai jalan karena lampu hijau . Sunanto malah nekat melintas di depan mobil yang sedang berjalan dari arah barat . Akibatnya , sepeda motor korban pun seketika tertabrak mobil Kijang Innova bernopol B 1265 SOC , yang dikemudikan Naning asal Jakarta . Dari kejadian itu , Agus mengimbau kepada seluruh pengendara baik roda dua maupun empat , untuk lebih mematuhi rambu-rambu di jalan raya . Khususnya , selama operasi Lilin berlangsung . Mengingat , volume kendaraan yang melintas di jalan pantura Situbondo cukup mengalami peningkatan . `` Baik saat operasi maupun tidak , pengendara harus selalu mematuhi aturan dan rambu lalu lintas yang ada . Ini semua demi keselamatan di jalan raya , '' saran Iptu Agus Siswanto .",situbondo,"Situbondo, Jawa Timur, Indonesia","(-7.7067843, 114.0054142)",-7.7067843,114.0054142,,,Situbondo,Jawa Timur,2020-12-27,Sunday,December,sore,[20],0,1,1,0,0,0,0,0
511,https://jatimnow.com/baca-32400-bocah-3-tahun-di-pacitan-tewas-tertabrak-truk-yang-disopiri-ayahnya,Bocah 3 Tahun di Pacitan Tewas Tertabrak Truk yang Disopiri Ayahnya,"jatimnow.com - Seorang bocah berumur 3 tahun di Pacitan tewas tertabrak truk yang disopiri ayahnya sendiri . Balita itu meninggal lantaran mengalami luka pada bagian kepala . Banit Laka Sat Lantas Polres Pacitan , Brigadir Dian Oktrivian menyebut , kecelakaan itu terjadi Minggu ( 27/12/2020 ) sore . Namun peristiwa itu baru dilaporkan ke Unit Laka pada malam harinya . Katanya , peristiwa itu terjadi di Dusun Tanggung , Desa Sanggrahan , Kecamatan Kebonagung , Kabupaten Pacitan . Truk engkel bernopol AE 8042 UY itu disopiri Suripto ( 61 ) , ayah korban . `` Truk itu diparkir di depan rumah . Anak pertama si sopir saat itu meminta uang jajan , '' jelasnya , Senin ( 28/12/2020 ) . Setelah memberikan uang , Suripto bergegas naik ke kemudi truk untuk mengantarkan kayu sengon . Namun rupanya , anak keduanya yang bernama Rista berada di depan truk dan tertabrak . `` Korban mengalami luka terbuka pada kening , meninggal di TKP , '' terangnya . Sementara Kepala Desa Sanggrahan , Sutarno mengaku melihat peristiwa itu dan menyebut tidak ada unsur kesengajaan . Karena saat anak pertama meminta uang , korban masih bermain di teras rumah . Ternyata saat truk jalan , korban berada sekitar truk . `` Tahunya pun saat Riko ( anak pertama ) teriak kalau adiknya terlindas . Setelah diberitahu , korban langsung dibawa ke puskemas tapi nyawanya tidak tertolong , '' pungkas Sutarno .",pacitan,"Pacitan, Jawa Timur, Indonesia","(-8.101787550000001, 111.14464661886814)",-8.101787550000001,111.14464661886814,,,Pacitan,Jawa Timur,2020-12-27,Sunday,December,sore,"[3, 61]",1,0,0,0,0,0,1,0
3073,https://radarbromo.jawapos.com/pandaan/27/12/2020/pikap-ini-nyemplung-sungai-di-purwodadi-nasib-penumpangnya-begini,"Pikap ini Nyemplung Sungai di Purwodadi, Nasib Penumpangnya Begini","PURWODADI , Radar Bromo Sebuah mobil jenis pikap nopol N 9563 WE mengalami kecelakaan lalu lintas tunggal , Minggu siang ( 27/12 ) . Mobil yang didalamnya empat penumpang tersebut , masuk ke sungai di Desa Parerejo , Kecamatan Purwodadi . Informasinya , kecelakaan itu terjadi sekitar pukul 12.15 . Saat otu mobil diketahui melintas di ruas jalan nasional jurusan Malang Surabaya . Mobil ini dikemudikan Yuliani , 46 , asal Pohjentrek , Kota Pasuruan . Siang itu berjalan dari arah selatan ke utara . Di dalam mobil terdapat empat orang penumpang merupakan anggota keluarganya . Masing-masing Abdul Firmansyah , 17 , Habibi Yanuar , 8 , Abdul Basit , 3 dan Yasmina , 1,5 . Sesampainya di TKP , tepat di lokasi dekat proyek rehab jalan yang sudah ditandai dan terpasang rambu-rambu , tiba tiba pikap mengarah ke kiri . Pikap lalu menabrak guardril , setelah itu nyemplung ke sungai Juri . Pikapnya melaju di lajur kiri atau lambat , dan sempat melakukan pengereman secara mendadak . Kemudian menabrak guardril dan akhirnya nyemplung ke sungai Juri ini , dengan posisi kendaran terbalik , beber Kuswantoro , saksi sekaligus warga sekitar . Usai kejadian , sopir dan para penumpangnya masih memiliki hubungan ibu dan anak , dievakuasi oleh petugas dibantu warga sekitar . Semua korban dibawa ke IGD Puskesmas Purwodadi . Baik sopir dan empat orang penumpangnya semuanya selamat . Masing-masing hanya mengalami luka ringan saja . Kejadian ini laka lantas tunggal , karena kurang kehati-hatian sopir pikap . Mobil menabrak guardril lebih dulu , setelah itu kendaraannya nyemplung ke sungai , jelas Kaposlantas Purwodadi , Aiptu Arnowo . Kaposlantas menuturkan , sopir dan empat orang penumpangnya , siang itu naik pikap perjalanan pulang dari Batu menuju Pasuruan . Sore harinya , di TKP pikap dievakuasi dari dasar Sungai Juri . Dengan bantuan truk derek , didatangkan petugas poslantas setempat .",desa parerejo kecamatan purwodadi,"Parerejo, Pasuruan, Jawa Timur, 65211, Indonesia","(-7.8022186, 112.7229294)",-7.8022186,112.7229294,,Parerejo,Pasuruan,Jawa Timur,2020-12-27,Sunday,December,siang,"[46, 17, 8, 3]",1,1,0,0,0,0,0,1
512,https://jatimnow.com/baca-32382-pikap-dikemudikan-emakemak-terbalik-di-sungai-empat-orang-terluka,"Pikap Dikemudikan Emak-emak Terbalik di Sungai, Empat Orang Terluka","jatimnow.com - Empat orang terluka dalam kecelakaan mobil pikap Suzuki Carry bernopol N 9563 WE . Mobil itu terperosok ke sungai di Jalan Raya Malang-Surabaya , Desa Purwodadi , Kecamatan Purwodadi , Kabupaten Pasuruan , sekitar pukul 12.15 Wib , Minggu ( 27/12/2020 ) . Kanit Laka Satlantas Polres Pasuruan , Iptu Marti mengatakan , keempat korban luka tersebut saat ini sudah mendapatkan perawatan medis di Puskesmas Purwodadi . `` Kecelakaan tersebut ditangani Pos Lantas Purwodadi . Informasi yang saya terima sementara ini ada empat orang terluka dan semuanya kini sudah sehat , tidak ada yang parah , '' jelas Marti . Terkait identitas dan kronologi kejadiannya , Marti belum berani berkomentar . Sebab anggota di TKP masih memeriksa saksi-saksi serta korban . `` Untuk keterangan lengkapnya tunggu sebentar ya . Petugas masih melakukan penanganan di TKP . Yang jelas pengemudinya perempuan , penumpangnya anak-anak , '' tegasnya . Menurut keterangan warga sekitar , Kusmantoro , saat kecelakaan terjadi dia mendengar suara mobil yang melakukan pengereman mendadak . `` Suara rem mendadaknya cukup nyaring . Saat saya cek ternyata mobil itu sudah terperosok ke sungai , '' terang Kuswantoro . Sementara warga menduga jika pengemudi pikap kurang antisispasi saat melewati jalanan yang menyempit karena adanya proyek pengerjaan jembatan . `` Sepertinya kurang antisipasi . Kemudian setelah itu menabrak pagar jalan dan nyemplung ke sungai , '' sambung Dedik Abdullah , yang juga warga sekitar . Dari informasi yang didapat , pengemudi pikap tersebut bernama Yuliani ( 46 ) , warga Kecamatan Purworejo , Kota Pasuruan .",jalan raya malang-surabaya desa purwodadi kecamatan purwodadi kabupaten pasuruan,"Jalan Tol Pandaan–Malang, Purwodadi, Pasuruan, Jawa Timur, 65211, Indonesia","(-7.8179882, 112.7277362)",-7.8179882,112.7277362,Jalan Tol Pandaan–Malang,Purwodadi,Pasuruan,Jawa Timur,2020-12-27,Sunday,December,siang,[46],0,1,0,0,0,0,0,4
2815,https://radarmalang.jawapos.com/malang-raya/kota-batu/26/12/2020/meleng-motor-tabrak-avanza-di-batu,"Meleng, Motor Tabrak Avanza di Batu","KOTA BATU Diduga kurang hati-hati , pengendara sepeda motor menabrak mobil . Kejadian itu terjadi di Jalan Raya Diponegoro Kelurahan Sisir Kecamatan Batu , hari ini ( 26/12 ) . Terjadi pada sekitar pukul 12.30 WIB . Pengendara motor tunggal dengan nomor polisi ( nopol ) N 3450 KT dengan mobil Avanza nopol N 1185 VW , ungkap Kanit Laka Lantas Polres Batu , Trimo SH . Ditengarai , pengendara motor yang diketahui bernama Dundut Wahyudi asal Batu berjalan dari arah utara ke selatan dari Jalan Arjuno . Dengan kecepatan tinggi ia berjalan menuju ke persimpangan hendak menyeberang jalan ke selatan . Kesalahan dia , tidak mengutamakan jalan lurus . Dari arah Temas ada Avanza dengan kecepatan sedang , terangnya . Mobil yang diketahui dikendarai oleh Nanang Hadi Purwo yang tinggal di Malang ini , tidak bisa menghindar karena jarak yang sudah terlalu dekat . Tabrakan pun tak terhindarkan , Dundut mengalami luka pada bagian kepala dan kerugian materil karena motor yang dikendarainya rusak . Dundut pun langsung dilarikan ke Rumah Sakit Bhayangkara Hastabrata Kota Batu . Usai kejadian , kedua belah pihak enggan kasusnya ditangani kepolisian . Mereka lebih memilih jalur kekeluargaan sebagai penyelesaian . Trimo pun mengimbau , pada seluruh masyarakat agar patuh dan taat pada peraturan lalu lintas . Berhati hati dan selalu fokus dalam berkendara merupakan hal yang utama . Saya juga tak hentinya mengingatkan seluruh elemen untuk taat protokol kesehatan . Menjaga jarak , selalu mencuci tangan dan memakai masker , tutupnya .",jalan raya diponegoro kelurahan sisir kecamatan batu,"Jalan Diponegoro, Sisir, Batu, Jawa Timur, 65314, Indonesia","(-7.8755729, 112.5311143)",-7.8755729,112.5311143,Jalan Diponegoro,Sisir,Batu,Jawa Timur,2020-12-26,Saturday,December,siang,,0,1,1,0,0,0,0,1
